證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2015,2015年第3季,,,              5117215,              5117215,,              4583674,                533541,                533541,,,                110636,,                 49683,,                  8841,                169160,                364381,,,                 40542,,                 20838,,                     72,,                 14815,                 76123,                440504,,                 68271,                372233,                372233,,,                -33873,                  2416,                    411,                -31868,                -31868,                340365,,                372233,                              0,,                340365,                              0,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,,
2015,2015年第2季,,,              5875816,              5875816,,              5070310,                805506,                805506,,,                114748,,                 53917,,                  9649,                178314,                627192,,,                 16645,,                -10606,,                    543,,                 31770,                 37266,                664458,,                112442,                552016,                552016,,,                -12740,                    102,                     17,                -12655,                -12655,                539361,,                552016,                              0,,                539361,                              0,,                              0.95,                              0.95,,                              0.95,                              0.95,,              5070310,,,,,
2015,2015年01月01日至2015年09月30日,,,             17935729,             17935729,,             15868857,              2066872,              2066872,,,                359668,,                162152,,                 28204,                550024,              1516848,,,                 62268,,                 15230,,                  1267,,                 75044,                151275,              1668123,,                270273,              1397850,              1397850,,,                -34074,                  2518,                    428,                -31984,                -31984,              1365866,,              1397850,                              0,,              1365866,                              0,,                              2.40,                              2.40,,                              2.40,                              2.40,,,,,,,
2015,2015年01月01日至2015年06月30日,,,             12818514,             12818514,,             11285183,              1533331,              1533331,,,                249032,,                112469,,                 19363,                380864,              1152467,,,                 21726,,                 -5608,,                  1195,,                 60229,                 75152,              1227619,,                202002,              1025617,              1025617,,,                   -201,                    102,                     17,                   -116,                   -116,              1025501,,              1025617,                              0,,              1025501,                              0,,                              1.76,                              1.76,,                              1.76,                              1.76,,             11285183,,,,,
2015,2015年01月01日至2015年03月31日,,,              6942698,              6942698,,              6214873,                727825,                727825,,,                134284,,                 58552,,                  9714,                202550,                525275,,,                  5081,,                  4998,,                    652,,                 28459,                 37886,                563161,,                 89560,                473601,                473601,,,                 12539,,                              0,                 12539,                 12539,                486140,,                473601,                              0,,                486140,                              0,,                              0.81,                              0.81,,                              0.81,                              0.81,,              6214873,,,,,
2015,2014年第3季,,,              7187936,              7187936,,              6618087,                569849,                569849,,,                122602,,                 52824,,                  9143,                184569,                385280,,,                 35880,,                 -3741,,                    760,,                 30881,                 62260,                447540,,                 65986,                381554,                381554,,,                -44096,                              0,                              0,                -44096,                -44096,                337458,,                381554,                              0,,                337458,                              0,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,
2015,2014年第2季,,,              8120061,              8120061,,              7446590,                673471,                673471,,,                127949,,                 48671,,                 10966,                187586,                485885,,,                  8656,,                 -4042,,                    669,,                 12032,                 15977,                501862,,                 82653,                419209,                419209,,,                   -655,                              0,                              0,                   -655,                   -655,                418554,,                419209,                              0,,                418554,                              0,,                              0.72,                              0.72,,                              0.72,                              0.72,,              7446590,,,,,
2015,2014年度,,,             30171468,             30171468,,             27607924,              2563544,              2563544,,,                481534,,                232593,,                 43224,                757351,              1806193,,,                 68803,,                  1444,,                  2895,,                106689,                174041,              1980234,,                312103,              1668131,              1668131,,,,,,,                -18367,              1649764,,              1668131,                              0,,              1649764,                              0,,                              2.87,                              2.87,,                              2.87,                              2.87,,,                -28519,,                     78,                 12137,                  2063
2015,2014年01月01日至2014年09月30日,,,             22687815,             22687815,,             20854478,              1833337,              1833337,,,                367835,,                155614,,                 31862,                555311,              1278026,,,                 49524,,                 -3981,,                  2106,,                 74353,                117790,              1395816,,                219497,              1176319,              1176319,,,                -48301,                              0,                              0,                -48301,                -48301,              1128018,,              1176319,                              0,,              1128018,                              0,,                              2.02,                              2.02,,                              2.02,                              2.02,,,,,,,
2015,2014年01月01日至2014年06月30日,,,             15499879,             15499879,,             14236391,              1263488,              1263488,,,                245233,,                102790,,                 22719,                370742,                892746,,,                 13644,,                   -240,,                  1346,,                 43472,                 55530,                948276,,                153511,                794765,                794765,,,                 -4205,                              0,                              0,                 -4205,                 -4205,                790560,,                794765,                              0,,                790560,                              0,,                              1.37,                              1.37,,                              1.37,                              1.37,,             14236391,,,,,
