證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 銷貨退回,　　　　 銷貨收入,　　　 銷貨成本,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 銀行存款利息,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　　 處分無形資產利益,　　　 按攤銷後成本衡量之金融負債利益,　　　 當期原始認列生物資產之利益,　　　 生物資產當期公允價值減出售成本之變動之利益,　　　 公允價值調整利益－投資性不動產,　　　 不動產、廠房及設備重估價利益,　　　 無形資產重估價利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益
2393,2015年第3季,,,,              7392060,                320804,              7071256,              7071256,,,              5416754,              5416754,              1654502,              1654502,,,                435367,,                617646,,                180679,              1233692,                420810,,,,                 44210,                 19240,                 63450,,                              0,                199620,                -72057,                 11285,                              0,,                  9000,                107278,,                 36535,                 36535,,                -26612,                107581,                528391,,                118775,                409616,                409616,,,                421905,               -330290,,                  1728,                  8641,                 84702,                 84702,                494318,,                414483,                 -4867,,                478707,                 15611,,                              0.96,,                              0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2015年第2季,,,,              7229723,                173982,              7055741,              7055741,,,              5485944,              5485944,              1569797,              1569797,,,                394473,,                554818,,                194124,              1143415,                426382,,,,                 41696,                 36723,                 78419,,                              0,                 14600,                -14663,                  2233,                 15933,,                  9588,                -27817,,,                 28388,,                -24529,                 -2315,                424067,,                115405,                308662,                308662,,,                -83138,               -201381,,                   -475,                  2314,               -287308,               -287308,                 21354,,                315078,                 -6416,,                 32358,                -11004,,                              0.74,,                              0.62,                              0,                              0,                 24529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2015年01月01日至2015年09月30日,,,,             22095011,                734301,             21360710,             21360710,,,             16348696,             16348696,              5012014,              5012014,,,              1259263,,              1688595,,                554003,              3501861,              1510153,,,,                123586,                 91344,                214930,,                              0,                201514,                -58128,                 17013,                 15933,,                 21588,                 88852,,                 85550,                 85550,,                -74054,                144178,              1654331,,                369357,              1284974,              1284974,,,                147619,               -751437,,                    817,                 -4890,               -598111,               -598111,                686863,,              1290339,                 -5365,,                688883,                 -2020,,                              3.01,,                              2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2015年01月01日至2015年06月30日,,,,             14702951,                413497,             14289454,             14289454,,,             10931942,             10931942,              3357512,              3357512,,,                823896,,              1070949,,                373324,              2268169,              1089343,,,,                 79376,                 72104,                151480,,                              0,                  1894,                 13929,                  5728,                 15933,,                 12588,                -18426,,,                 49015,,                -47442,                 36597,              1125940,,                250582,                875358,                875358,,,               -274286,               -421147,,                   -911,                -13531,               -682813,               -682813,                192545,,                875856,                   -498,,                210176,                -17631,,                              2.05,,                              1.61,                              0,                              0,                 47442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2015年01月01日至2015年03月31日,,,,              7473228,,              7233713,              7233713,,,              5445998,              5445998,              1787715,              1787715,,,                429423,,                516131,,                179200,              1124754,                662961,,,,                 37680,                 35381,                 73061,,                              0,                              0,                 28592,                  3495,,,                  3000,                  9391,,,                 20627,,                -22913,                 38912,                701873,,                135177,                566696,                566696,,,               -191148,               -219766,,                   -436,                -15845,               -395505,               -395505,                171191,,                560778,                  5918,,                177818,                 -6627,,                              1.31,,                              1.15,                 12706,,                 22913,                239515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2014年第3季,,,,              8806333,                280430,              8525903,              8525903,,,              6442482,              6442482,              2083421,              2083421,,,                465988,,                639735,,                161312,              1267035,                816386,,,,                 37180,                 34612,                 71792,,                              0,                 84354,                -17639,                 24430,                  8915,,                 64747,                -31377,,                  9705,                  9705,,                 -6659,                 24051,                840437,,                114808,                725629,                725629,,,                181942,               -350623,,                  1204,                 -8681,               -158796,               -158796,                566833,,                709349,                 16280,,                536157,                 30676,,                              1.67,,                              1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2014年第2季,,,,              7864814,                217758,              7647056,              7647056,,,              5744359,              5744359,              1902697,              1902697,,,                466246,,                542009,,                174725,              1182980,                719717,,,,                 46065,                 47339,                 93404,,                688554,                              0,                 12819,                 19244,                              0,,                768468,               -111464,,,                 30262,,                -13613,                -61935,                657782,,                165082,                492700,                492700,,,               -174323,                412535,,                   -641,                 -3384,                240955,                240955,                733655,,                489124,                  3576,,                744976,                -11321,,                              1.16,,                              1.02,                 25125,                              0,                 13613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2014年度,,,,             31521800,,             30569450,             30569450,,,             22998068,             22998068,              7571382,              7571382,,,              1933404,,              2267778,,                728547,              4929729,              2641653,,,,                149680,                178468,                328148,,                722364,                293617,                -42651,                 48428,                              0,,                924405,                    497,,,                101596,,               -118397,                108652,              2750305,,                569568,              2180737,              2180737,,,,,,,,,                220872,              2401609,,              2167131,                 13606,,              2366114,                 35495,,                              5.12,,                              4.48,,,                118397,                952350,             31521800,             22998068,                              0,                              0,                569568,                266976,                -46321,                 -8711,,                  4674,                 -4254,,,,,,,,,,,,,,,,,,,,,,,,
2393,2014年01月01日至2014年09月30日,,,,             23134693,                708069,             22426624,             22426624,,,             16836228,             16836228,              5590396,              5590396,,,              1352145,,              1707626,,                508220,              3567991,              2022405,,,,                114794,                119015,                233809,,                720874,                130471,                -11918,                 77359,                              0,,                833215,                -71147,,                 82135,                 82135,,                -75939,                  4588,              2026993,,                394048,              1632945,              1632945,,,                -23615,               -210345,,                  3202,                 -8642,               -222116,               -222116,              1410829,,              1617013,                 15932,,              1391234,                 19595,,                              3.83,,                              3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,2014年01月01日至2014年06月30日,,,,             14328360,                427639,             13900721,             13900721,,,             10393746,             10393746,              3506975,              3506975,,,                886157,,              1067891,,                346908,              2300956,              1206019,,,,                 77614,                 78605,                156219,,                729789,                 46117,                  5721,                 47131,                              0,,                768468,                -33972,,,                 72430,,                -69280,                -19463,              1186556,,                279240,                907316,                907316,,,               -205557,                140278,,                  1998,                     39,                -63320,                -63320,                843996,,                907664,                   -348,,                855077,                -11081,,                              2.16,,                              1.88,                              0,                              0,                 69280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
