證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 與其他綜合損益組成部分相關之所得稅
1323,2014年01月01日至2014年06月30日,,,              1655128,              1655128,,,              1242889,              1242889,                412239,                412239,,,                 97537,,                 81146,,                 21219,                199902,,                     75,                212412,,,                 21165,,                 -7982,,                 13482,                   -299,                212113,,                 63975,                148138,                148138,,,                              0,                              0,,                 -7267,                  1024,                 -6243,                 -6243,                141895,,                115304,                 32834,,                108692,                 33203,,                              1.27,,                              1.26,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,
1323,2014年01月01日至2014年03月31日,,,                823477,                823477,,,                621891,                621891,                201586,                201586,,,                 49066,,                 43339,,                 16218,                108623,,                     79,                 93042,,,                 10874,,                  7770,,                  7031,                 11613,                104655,,                 29006,                 75649,                 75649,,,,,,,,,                 12659,                 88308,,                 58604,                 17045,,                 71036,                 17272,,                              0.68,,                              0.67,,,,,,,,,,,                 14477,                    643,,                 -2461,,,
1323,2013年第3季,,,                849073,                849073,,,                637215,                637215,                211858,                211858,,,                 48456,,                 40613,,                 14424,                103493,,                   -152,                108213,,,                  4963,,                  1103,,                  6017,                     49,                108262,,                 33059,                 75203,                 75203,,,,,,,,,                 -7889,                 67314,,                 59841,                 15362,,                 51872,                 15442,,                              0.66,,                              0.66,,,,,,,,,,,                 -9697,                    159,,                  1649,                              0.66,                              0.66,
1323,2013年第2季,,,                809546,                809546,,,                598679,                598679,                210867,                210867,,,                 48791,,                 33314,,                 15348,                 97453,,                     -6,                113408,,,                  9408,,                  5733,,                  6402,                  8739,                122147,,                 41889,                 80258,                 80258,,,,,,,,,                 15362,                 95620,,                 64859,                 15399,,                 80673,                 14947,,                              0.75,,                              0.74,,                              0,,,,,,,,,                 19541,                   -857,,,                              0.75,,                  3322
1323,2013年度,,,              3289477,              3289477,,,              2462449,              2462449,                827028,                827028,,,                200772,,                137280,,                 48404,                386456,,                    -71,                440501,,,                 38035,,                -10488,,                 26099,                  1448,                441949,,                139026,                302923,                302923,,,,,,,,,                 21198,                324121,,                239659,                 63264,,                266023,                 58098,,                              2.64,,                              2.62,,,,,,,,,,,                 53565,                   -116,                -27886,                 -4365,                              2.64,                              2.62,
1323,2013年07月01日至2013年09月30日,,,                849073,                849073,,,                637215,                637215,                211858,                211858,,,                 48456,,                 40613,,                 14424,                103493,,                   -152,                108213,,,                    364,,                  5702,,                  6017,                     49,                108262,,                 33059,                 75203,                 75203,,,,,,,,,                 -7889,                 67314,,                 59841,                 15362,,                 51872,                 15442,,                              0.69,,                              0.69,,,,,,,,,,,                 -9697,                    159,,                  1649,                              0.69,                              0.69,
1323,2013年04月01日至2013年06月30日,,,                809546,                809546,,,                598679,                598679,                210867,                210867,,,                 48791,,                 33314,,                 15348,                 97453,,                     -6,                113408,,,                    374,,                 14767,,                  6402,                  8739,                122147,,                 41889,                 80258,                 80258,,,,,,,,,                 15362,                 95620,,                 64859,                 15399,,                 80673,                 14947,,                              0.79,,                              0.78,,                              0,,,,,,,,,                 19541,                   -857,,,                              0.79,,                  3322
1323,2013年01月01日至2013年12月31日,,,              3289477,              3289477,,,              2462449,              2462449,                827028,                827028,,,                200772,,                141819,,                 58830,                401421,,                    -71,                425536,,,                  2496,,                 40016,,                 26099,                 16413,                441949,,                139026,                302923,                302923,,,,,,,,,                 21198,                324121,,                239659,                 63264,,                266023,                 58098,,                              2.77,,                              2.75,,,,,,,,,,,                 53565,                   -116,                -27886,                 -4365,                              2.77,                              2.75,
1323,2013年01月01日至2013年09月30日,,,              2436266,              2436266,,,              1828155,              1828155,                608111,                608111,,,                148963,,                108710,,                 42112,                299785,,                   -207,                308119,,,                 26285,,                  2813,,                 19962,                  9136,                317255,,                 95967,                221288,                221288,,,,,,,,,                 29425,                250713,,                179071,                 42217,,                208825,                 41888,,                              1.97,,                              1.96,,,,,,,,,,,                 35987,                   -445,,                 -6117,                              1.97,                              1.96,
1323,2013年01月01日至2013年06月30日,,,              1587193,              1587193,,,              1190940,              1190940,                396253,                396253,,,                100507,,                 68097,,                 27688,                196292,,                    -55,                199906,,,                 21322,,                  1710,,                 13945,                  9087,                208993,,                 62908,                146085,                146085,,,,,,,,,                 37314,                183399,,                119230,                 26855,,                156953,                 26446,,                              1.38,,                              1.37,,                              0,,,,,,,,,                 45684,                   -604,,,                              1.38,,                  7766
1323,2013年01月01日至2013年03月31日,,,                777647,                777647,,,                592261,                592261,                185386,                185386,,,                 51716,,                 34783,,                 12340,                 98839,,                    -49,                 86498,,,                 11914,,                 -4023,,                  7543,                    348,                 86846,,                 21019,                 65827,                 65827,,,,,,,,,                 21952,                 87779,,                 54371,                 11456,,                 76280,                 11499,,                              0.63,,                              0.63,,,,,,,,,,,                 26143,                    253,,                 -4444,,,
1323,2012年07月01日至2012年09月30日,,,                758659,                758659,,,                580184,                580184,                178475,                178475,,,                 57575,,                 33540,,                 15670,                106785,,                     -2,                 71688,,,                    188,,                  6592,,                  8548,                 -1768,                 69920,,                 15937,                 53983,                 53983,,,,,,,,,                -15335,                 38648,,                 41769,                 12214,,                 26550,                 12098,,                              0.48,,                              0.48,,,,,,,,,,,                -18495,                     16,,                  3144,                              0.48,                              0.48,
1323,2012年04月01日至2012年06月30日,,,                774829,                774829,,,                601133,                601133,                173696,                173696,,,                 59024,,                 23992,,                 13666,                 96682,,                     -4,                 77010,,,                    295,,                 12168,,                  9470,                  2993,                 80003,,                 23680,                 56323,                 56323,,,,,,,,,                  5049,                 61372,,                 43425,                 12898,,                 48484,                 12888,,                              0.53,,                              0.52,,                              0,,,,,,,,,                  6179,                    -80,,,                              0.53,,                  1050
1323,2012年01月01日至2012年12月31日,,,              3057537,              3057537,,,              2327803,              2327803,                729734,                729734,,,                211119,,                121358,,                 55206,                387683,,                   -239,                341812,,,                  1820,,                 10122,,                 35390,                -23448,                318364,,                 81306,                237058,                237058,,,,,,,,,                -33765,                203293,,                194171,                 42887,,                160448,                 42845,,                              2.24,,                              2.22,,,,,,,,,,,                -31212,                  1191,                -10910,                  7166,                              2.24,                              2.22,
1323,2012年01月01日至2012年09月30日,,,              2285603,              2285603,,,              1743879,              1743879,                541724,                541724,,,                162765,,                 94790,,                 42692,                300247,,                     -8,                241469,,,                    627,,                 14640,,                 28231,                -12964,                228505,,                 63335,                165170,                165170,,,,,,,,,                -25361,                139809,,                132872,                 32298,,                107488,                 32321,,                              1.53,,                              1.52,,,,,,,,,,,                -31218,                    550,,                  5307,                              1.53,                              1.52,
1323,2012年01月01日至2012年06月30日,,,              1526944,              1526944,,,              1163695,              1163695,                363249,                363249,,,                105190,,                 61250,,                 27022,                193462,,                     -6,                169781,,,                    439,,                  8048,,                 19683,                -11196,                158585,,                 47398,                111187,                111187,,,,,,,,,                -10026,                101161,,                 91103,                 20084,,                 80938,                 20223,,                              1.11,,                              1.09,,                              0,,,,,,,,,                -12723,                    534,,,                              1.11,,                 -2163
1323,2012年01月01日至2012年03月31日,,,                752115,                752115,,,                562562,                562562,                189553,                189553,,,                 46166,,                 37258,,                 13356,                 96780,,                     -2,                 92771,,,                    144,,                 -4120,,                 10213,                -14189,                 78582,,                 23718,                 54864,                 54864,,,,,,,,,                -15075,                 39789,,                 47678,                  7186,,                 32454,                  7335,,                              0.58,,                              0.57,,,,,,,,,,,                -18902,                    614,,                  3213,,,
