證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9925,2015年第3季,,              1791308,,              1143977,                647331,                647331,,,                 52325,,                319713,                372038,                275293,,,                109410,,                -24103,,                 -2440,                 26543,,                  6297,,                    284,                129940,                405233,,                 51277,                353956,                353956,,,                  5207,               -320010,,                    998,                    994,               -314799,               -314799,                 39157,,                330387,                 23569,,                 41851,                 -2694,,                              0.87,                              0.87,,                              0.87,                              0.87,,,,,,,
9925,2015年第2季,,              1754667,,              1101483,                653184,                653184,,,                 47620,,                357610,                405230,                247954,,,                171646,,,,,                  4980,,                  6000,,                  1117,                171743,                419697,,                 83968,                335729,                335729,,,                 -2357,                103883,,                   -329,                   -384,                101581,                101581,                437310,,                324986,                 10743,,                419396,                 17914,,                              0.85,                              0.85,,                              0.85,                              0.85,,,,,,,
9925,2015年01月01日至2015年09月30日,,              5253868,,              3299364,              1954504,              1954504,,,                151133,,              1003225,              1154358,                800146,,,                298098,,                -34691,,                 -2440,                 37131,,                 18340,,                    651,                317540,              1117686,,                187653,                930033,                930033,,,                  2069,               -284178,,                   -158,                    362,               -282629,               -282629,                647404,,                884414,                 45619,,                619551,                 27853,,                              2.32,                              2.32,,                              2.32,                              2.32,,,,,,,
9925,2015年01月01日至2015年06月30日,,              3462560,,              2155387,              1307173,              1307173,,,                 98808,,                683512,                782320,                524853,,,                188688,,,,,                 10588,,                 12043,,                    367,                187600,                712453,,                136376,                576077,                576077,,,                 -3138,                 35832,,                 -1156,                   -632,                 32170,                 32170,                608247,,                554027,                 22050,,                577700,                 30547,,                              1.45,                              1.45,,                              1.45,                              1.45,,,,,,,
9925,2015年01月01日至2015年03月31日,,              1707893,,              1053904,                653989,                653989,,,                 51188,,                325902,                377090,                276899,,,                 17042,,                 -5608,,,                  5608,,                  6043,,                   -750,                 15857,                292756,,                 52408,                240348,                240348,,,                   -781,                -68051,,                   -827,                   -248,                -69411,                -69411,                170937,,                229041,                 11307,,                158304,                 12633,,                              0.60,                              0.60,,                              0.60,                              0.60,                 17042,,,,,,
9925,2014年第3季,,              1728016,,              1075372,                652644,                652644,,,                 46048,,                350813,                396861,                255783,,,                 90724,,                -99856,,                 -3418,                103274,,                  6631,,                    604,                187971,                443754,,                 49245,                394509,                394509,,,                  2543,                -27306,,                    604,                    493,                -24652,                -24652,                369857,,                378301,                 16208,,                349394,                 20463,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,,
9925,2014年第2季,,              1725790,,              1067008,                658782,                658782,,,                 44372,,                334363,                378735,                280047,,,                149284,,,,,                 13838,,                  8706,,                  3072,                157488,                437535,,                187587,                249948,                249948,,,                 -1674,                 22345,,                   -387,                   -332,                 20616,                 20616,                270564,,                234377,                 15571,,                257052,                 13512,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,,
9925,2014年度,,              6870833,,              4260744,              2610089,              2610089,,,                201419,,              1384904,              1586323,              1023766,,,                270523,,               -146202,,                  2793,                143409,,                 30518,,                  3267,                386681,              1410447,,                327975,              1082472,              1082472,,,,,,,,,                -43105,              1039367,,              1033789,                 48683,,                985164,                 54203,,                              2.71,                              2.71,,                              2.71,                              2.71,                270523,                  4169,                 15874,                -75691,,                    295,                -12248
9925,2014年01月01日至2014年09月30日,,              5177338,,              3202990,              1974348,              1974348,,,                145907,,              1010003,              1155910,                818438,,,                249987,,               -160365,,                 -3418,                163783,,                 22726,,                  2551,                393595,              1212033,,                286012,                926021,                926021,,,                  1060,               -188364,,                   -493,                     73,               -187870,               -187870,                738151,,                880638,                 45383,,                700043,                 38108,,                              2.31,                              2.31,,                              2.31,                              2.31,,,,,,,
9925,2014年01月01日至2014年06月30日,,              3449322,,              2127618,              1321704,              1321704,,,                 99859,,                659190,                759049,                562655,,,                159263,,,,,                 60509,,                 16095,,                  1947,                205624,                768279,,                236767,                531512,                531512,,,                 -1483,               -161058,,                 -1097,                   -420,               -163218,               -163218,                368294,,                502337,                 29175,,                350649,                 17645,,                              1.32,                              1.32,,                              1.32,                              1.32,,,,,,,
9925,2014年01月01日至2014年03月31日,,              1723532,,              1060610,                662922,                662922,,,                 55487,,                324827,                380314,                282608,,,                  9979,,                -46671,,,                 46671,,                  7389,,                 -1125,                 48136,                330744,,                 49180,                281564,                281564,,,                    191,               -183403,,                   -710,                    -88,               -183834,               -183834,                 97730,,                267960,                 13604,,                 93597,                  4133,,                              0.70,                              0.70,,                              0.70,                              0.70,                  9979,,,,,,
