證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 其他收益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益
1817,2015年第3季,,,,                551813,                  2617,                  9031,                540165,,                  2344,                542509,,,                354032,                  8223,                362255,                180254,                180254,,,                 49581,,                 34157,,                  4595,                 88333,,                    317,                 92238,,,,                    143,                    231,                    374,,                  2539,                    199,                   -882,                  3222,,                    421,                    421,                  3175,                 95413,,                 25155,                 70258,                 70258,,,                 32154,                  5466,                 26688,                 26688,                 96946,,                 70258,,                 96946,,                              0.97,                              0.97,,                              0.97,                              0.97,,,,,,,,,,,,,,,,,
1817,2015年第2季,,,,                545228,                  2659,                  9867,                532702,,                  2127,                534829,,,                360935,                  6914,                367849,                166980,                166980,,,                 58996,,                 33067,,                  4126,                 96189,,                    -94,                 70697,,,,                    358,                    138,                    496,,                              0,                     16,                    193,                   -209,,                    511,                    511,                   -224,                 70473,,                 23560,                 46913,                 46913,,,                -23284,                 -3958,                -19326,                -19326,                 27587,,                 46913,,                 27587,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,,,,,,,,,,,,,,
1817,2015年01月01日至2015年09月30日,,,,              1591542,                  8871,                 28779,              1553892,,                  6887,              1560779,,,              1045733,                 22147,              1067880,                492899,                492899,,,                163381,,                 97706,,                 12662,                273749,,                     90,                219240,,,,                    632,                    964,                  1596,,                  2539,                    527,                              0,                  2012,,                  1354,                  1354,                  2254,                221494,,                 62421,                159073,                159073,,,                 -8431,                 -1433,                 -6998,                 -6998,                152075,,                159073,,                152075,,                              2.19,                              2.19,,                              2.18,                              2.18,,,,,,,,,,,,,,,,,
1817,2015年01月01日至2015年06月30日,,,,              1039729,                  6254,                 19748,              1013727,,                  4543,              1018270,,,                691701,                 13924,                705625,                312645,                312645,,,                113800,,                 63549,,                  8067,                185416,,                   -227,                127002,,,,                    489,                    733,                  1222,,                              0,                    328,                    882,                 -1210,,                    933,                    933,                   -921,                126081,,                 37266,                 88815,                 88815,,,                -40585,                 -6899,                -33686,                -33686,                 55129,,                 88815,,                 55129,,                              1.22,                              1.22,,                              1.22,                              1.22,,,,,,,,,,,,,,,,,
1817,2015年01月01日至2015年03月31日,,,,                494501,                  3595,                  9881,                481025,,                  2416,                483441,,,                330766,                  7010,                337776,                145665,                145665,,,                 54804,,                 30482,,                  3941,                 89227,,                   -133,                 56305,,,,                    131,                    595,                    726,,                              0,                    312,                    689,                 -1001,,                    422,                    422,                   -697,                 55608,,                 13706,                 41902,                 41902,,,                -17301,                 -2941,                -14360,                -14360,                 27542,,                 41902,,                 27542,,                              0.58,                              0.58,,                              0.58,                              0.58,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,
1817,2014年第3季,,,,                520729,                  4342,                 10622,                505765,,                              0,                505765,,,                351516,                              0,                351516,                154249,                154249,,,                 50309,,                 28033,,                  4251,                 82593,,                              0,                 71656,,,,                     60,                    218,                    278,,                    567,                    701,                   -607,                    473,,                    605,                    605,                    146,                 71802,,                 16870,                 54932,                 54932,,,                 17486,                  2972,                 14514,                 14514,                 69446,,                 54932,,                 69446,,                              0.76,                              0.76,,                              0.76,                              0.76,,,,,,,,,,,,,,,,,
1817,2014年第2季,,,,                500394,                  2876,                  7485,                490033,,                              0,                490033,,,                344501,                              0,                344501,                145532,                145532,,,                 48060,,                 35469,,                  3785,                 87314,,                              0,                 58218,,,,                    298,                  1241,                  1539,,                 -1558,                  1017,                    607,                 -3182,,                    613,                    613,                 -2256,                 55962,,                 15538,                 40424,                 40424,,,                -21219,                 -3607,                -17612,                -17612,                 22812,,                 40424,,                 22812,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,,,,,,,,,,,,,
1817,2014年度,,,,              1994365,                 14101,                 37674,              1942590,,                  5463,              1948053,,,              1336715,                 25679,              1362394,                585659,                585659,,,                202089,,                127331,,                 16965,                346385,,                    -23,                239251,,,,                    799,                  3836,                  4635,,                  1817,                  3222,,                 -1405,,                  2104,                  2104,                  1126,                240377,,                 58272,                182105,                182105,,,,,,                 32035,                214140,,                182105,,                214140,,                              2.51,                              2.51,,                              2.50,                              2.50,,,,,,,,,,,,                    -23,                 40956,                 -1958,                 -6963,,
1817,2014年01月01日至2014年09月30日,,,,              1423646,                 11052,                 26348,              1386246,,                              0,              1386246,,,                969474,                              0,                969474,                416772,                416772,,,                143184,,                 96163,,                 11311,                250658,,                              0,                166114,,,,                    530,                  1886,                  2416,,                    567,                  1725,                              0,                 -1158,,                  1638,                  1638,                   -380,                165734,,                 39286,                126448,                126448,,,                 11108,                  1888,                  9220,                  9220,                135668,,                126448,,                135668,,                              1.74,                              1.74,,                              1.74,                              1.74,,,,,,,,,,,,,,,,,
1817,2014年01月01日至2014年06月30日,,,,                902917,                  6710,                 15726,                880481,,                              0,                880481,,,                617958,                              0,                617958,                262523,                262523,,,                 92875,,                 68130,,                  7060,                168065,,                              0,                 94458,,,,                    470,                  1668,                  2138,,                              0,                  1024,                    607,                 -1631,,                  1033,                  1033,                   -526,                 93932,,                 22416,                 71516,                 71516,,,                 -6378,                 -1084,                 -5294,                 -5294,                 66222,,                 71516,,                 66222,,                              0.99,                              0.99,,                              0.98,                              0.98,,,,,,,,,,,,,,,,,
