證券代號,年季,　 營業收入,　　 勞務收入,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 陸運收入（海陸運輸業適用）,　　　　 空運收入（航空業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 海運成本,　　　　 陸運成本,　　　　 空運成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）
2612,2015年第3季,,,,                379271,                455835,                  4592,                839698,                839698,                839698,,,,                252106,                344361,                  3597,                600064,                600064,                600064,                239634,                              0,                              0,                239634,,,                 80088,                 80088,                159546,,,,                  3032,                  3032,                  4906,                  7938,,                  4045,                 -1014,                   -357,                    192,                  5750,                 -3268,,                 34075,                 34075,,                -14529,                -43934,                115612,,                 15020,                 15020,                100592,                100592,,,                640518,                              0,,                 75550,                716068,                716068,                816660,,                100592,                              0,,                816660,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,,,,,,,
2612,2015年第2季,,,,                364778,                471757,                  4272,                840807,                840807,                840807,,,,                272373,                353928,                  3174,                629475,                629475,                629475,                211332,,,                211332,,,                 88233,                 88233,                123099,,,,                  6877,                  6877,                  2277,                  9154,,                  6684,,,                              0,                 11996,                -51834,,                 32377,                 32377,,                -28891,               -103948,                 19151,,                 32749,                 32749,                -13598,                -13598,,,               -138237,                              0,,                -21284,               -159521,               -159521,               -173119,,                -13598,                              0,,               -173119,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                   -286,                 46808,                              0,,,,,,,,,,,,,,,
2612,2015年01月01日至2015年09月30日,,,,              1134109,              1367661,                 11317,              2513087,              2513087,              2513087,,,,                761332,              1037258,                  8561,              1807151,              1807151,              1807151,                705936,                              0,                              0,                705936,,,                259499,                259499,                446437,,,,                 14388,                 14388,                 11157,                 25545,,                 25521,                 -1761,                -16922,                    192,                 32273,                -25627,,                 99943,                 99943,,                -52916,               -152941,                293496,,                 63149,                 63149,                230347,                230347,,,                392261,                              0,,                 34965,                427226,                427226,                657573,,                230347,                              0,,                657573,,                              0.90,                              0.90,,                              0.90,                              0.90,,,,,,,,,,,,,,,,,,
2612,2015年01月01日至2015年06月30日,,,,                754838,                911826,                  6725,              1673389,              1673389,              1673389,,,,                509226,                692897,                  4964,              1207087,              1207087,              1207087,                466302,,,                466302,,,                179411,                179411,                286891,,,,                 11356,                 11356,                  6251,                 17607,,                 21476,,,                              0,                 26523,                -22359,,                 65868,                 65868,,                -38387,               -109007,                177884,,                 48129,                 48129,                129755,                129755,,,               -248257,                              0,,                -40585,               -288842,               -288842,               -159087,,                129755,                              0,,               -159087,,                              0.51,                              0.51,,                              0.51,                              0.51,                    747,                 16565,                              0,,,,,,,,,,,,,,,
2612,2015年01月01日至2015年03月31日,,,,                390060,                440069,                  2453,                832582,                832582,                832582,,,,                236853,                338969,                  1790,                577612,                577612,                577612,                254970,,,                254970,,,                 91178,                 91178,                163792,,,,                  4479,                  4479,                  3974,                  8453,,                 14792,,                 30243,                              0,                 14527,                 29475,,                 33491,                 33491,,                 -9496,                 -5059,                158733,,                 15380,                 15380,                143353,                143353,,,,,,               -129321,               -129321,               -129321,                 14032,,                143353,                              0,,                 14032,,                              0.56,                              0.56,,                              0.56,                              0.56,                  1033,,                              0,,                              0,               -110020,                -19301,,,,,,,,,,,
2612,2014年第3季,,,,                375468,                486141,                  4621,                866230,                866230,                866230,,,,                241858,                393959,                  2895,                638712,                638712,                638712,                227518,                              0,                              0,                227518,,,                 85740,                 85740,                141778,,,,                 12864,                 12864,                  3307,                 16171,,                 26157,                 10556,                   -183,                    224,                 10361,                 25945,,                 49480,                 49480,,                -17931,                -25295,                116483,,                 15969,                 15969,                100514,                100514,,,                170819,                 -5368,,                 26459,                191910,                191910,                292424,,                100514,                              0,,                292424,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,,,,,,,
2612,2014年第2季,,,,                367447,                511049,                  3457,                881953,                881953,                881953,,,,                245022,                419545,                  1978,                666545,                666545,                666545,                215408,,,                215408,,,                 73574,                 73574,                141834,,,,                 13842,                 13842,                  5640,                 19482,,                  6265,,,                  3808,                  9923,                 -4313,,                 51789,                 51789,,                -12802,                -49422,                 92412,,                 30727,                 30727,                 61685,                 61685,,,               -187211,                  5450,,                -31252,               -213013,               -213013,               -151328,,                 61685,                              0,,               -151328,,                              0.24,                              0.24,,                              0.24,                              0.24,                 -2924,                   -229,                              0,,,,,,,,,,,,,,,
2612,2014年度,,,,              1511071,              1966021,                 14189,              3491281,              3491281,              3491281,,,,                994517,              1584279,                  8272,              2587068,              2587068,              2587068,                904213,,,                904213,,,,                344673,                559540,,,,                 52746,                 52746,                 13125,                 65871,,                 64703,,,                  3092,                 25561,                 14390,,                193310,                193310,,                -49727,               -162776,                396764,,,                 64050,                332714,                332714,,,,,,,,                644706,                977420,,                332714,,,                977420,,                              1.30,                              1.30,,                              1.30,                              1.30,                 21660,,,,,,,                -49727,                 64050,                569696,                 -6766,,                 81009,                 81009,                   -767,,,
2612,2014年01月01日至2014年09月30日,,,,              1112648,              1471110,                 10539,              2594297,              2594297,              2594297,,,,                722151,              1199235,                  6259,              1927645,              1927645,              1927645,                666652,                              0,                              0,                666652,,,                245161,                245161,                421491,,,,                 42868,                 42868,                 10502,                 53370,,                 58664,                -19499,                   -151,                  4370,                 33330,                  1314,,                151696,                151696,,                -40899,               -137911,                283580,,                 55971,                 55971,                227609,                227609,,,                187185,                     82,,                 26239,                213506,                213506,                441115,,                227609,                              0,,                441115,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,,,,,,,,,,,,,
2612,2014年01月01日至2014年06月30日,,,,                737180,                984969,                  5918,              1728067,              1728067,              1728067,,,,                480293,                805276,                  3364,              1288933,              1288933,              1288933,                439134,,,                439134,,,                159421,                159421,                279713,,,,                 30004,                 30004,                  7195,                 37199,,                 32507,,,                  4146,                 22969,                -24631,,                102216,                102216,,                -22968,               -112616,                167097,,                 40002,                 40002,                127095,                127095,,,                 16366,                  5450,,                   -220,                 21596,                 21596,                148691,,                127095,                              0,,                148691,,                              0.50,                              0.50,,                              0.50,                              0.50,                 30055,                    -32,                              0,,,,,,,,,,,,,,,
