證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
1325,2015年第3季,,,                246899,                246899,,,                211246,                211246,                 35653,                 35653,,,                  5642,,                 10873,,                  2323,                 18838,                 16815,,,                  4147,,                 22161,,                      4,                 26304,                 43119,,                  9146,                 33973,                 33973,,,                  8697,                   -135,                  8562,                  8562,                 42535,,                 36040,                 -2067,,                 41998,                    537,,                              0.36,,                              0.36,,,,,,
1325,2015年第2季,,,                283596,                283596,,,                240406,                240406,                 43190,                 43190,,,                  5151,,                 11032,,                  2433,                 18616,                 24574,,,                  3811,,                 -6624,,                     16,                 -2829,                 21745,,                  4387,                 17358,                 17358,,,                 -3511,                    175,                 -3336,                 -3336,                 14022,,                 16775,                    583,,                 14401,                   -379,,                              0.17,,                              0.17,,,,,,
1325,2015年01月01日至2015年09月30日,,,                810474,                810474,,,                689271,                689271,                121203,                121203,,,                 17722,,                 30941,,                  7069,                 55732,                 65471,,,                 12104,,                  9468,,                     39,                 21533,                 87004,,                 17434,                 69570,                 69570,,,                   -409,                     73,                   -336,                   -336,                 69234,,                 71309,                 -1739,,                 70862,                 -1628,,                              0.71,,                              0.71,,,,,,
1325,2015年01月01日至2015年06月30日,,,                563575,                563575,,,                478025,                478025,                 85550,                 85550,,,                 12080,,                 20068,,                  4746,                 36894,                 48656,,,                  7957,,                -12693,,                     35,                 -4771,                 43885,,                  8288,                 35597,                 35597,,,                 -9106,                    208,                 -8898,                 -8898,                 26699,,                 35269,                    328,,                 28864,                 -2165,,                              0.35,,                              0.35,,,,,,
1325,2015年01月01日至2015年03月31日,,,                279979,                279979,,,                237619,                237619,                 42360,                 42360,,,                  6929,,                  9036,,                  2313,                 18278,                 24082,,,                  4146,,                 -6069,,                     19,                 -1942,                 22140,,                  3901,                 18239,                 18239,,,                 -5595,                     33,                 -5562,                 -5562,                 12677,,                 18494,                   -255,,                 14463,                 -1786,,                              0.18,,                              0.18,,,,,,
1325,2014年第3季,,,                244906,                244906,,,                231315,                231315,                 13591,                 13591,,,                  5804,,                  8393,,                  2388,                 16585,                 -2994,,,                  4831,,                 11016,,                     26,                 15821,                 12827,,                  2790,                 10037,                 10037,,,                  6644,                    -65,                  6579,                  6579,                 16616,,                 11258,                 -1221,,                 15938,                    678,,                              0.11,,                              0.11,,,,,,
1325,2014年第2季,,,                275914,                275914,,,                250833,                250833,                 25081,                 25081,,,                  6144,,                 12145,,                  2399,                 20688,                  4393,,,                  4100,,                -11561,,                     24,                 -7485,                 -3092,,                  1589,                 -4681,                 -4681,,,                 -7370,                    165,                 -7205,                 -7205,                -11886,,                 -3489,                 -1192,,                 -8579,                 -3307,,                             -0.03,,                             -0.03,,,,,,
1325,2014年01月01日至2014年09月30日,,,                813793,                813793,,,                742455,                742455,                 71338,                 71338,,,                 18598,,                 29175,,                  7343,                 55116,                 16222,,,                 15565,,                  3263,,                     82,                 18746,                 34968,,                  8635,                 26333,                 26333,,,                  4075,                    166,                  4241,                  4241,                 30574,,                 28720,                 -2387,,                 31799,                 -1225,,                              0.29,,                              0.29,,,,,,
1325,2014年01月01日至2014年06月30日,,,                568887,                568887,,,                511140,                511140,                 57747,                 57747,,,                 12794,,                 20782,,                  4955,                 38531,                 19216,,,                 10734,,                 -7753,,                     56,                  2925,                 22141,,                  5845,                 16296,                 16296,,,                 -2569,                    231,                 -2338,                 -2338,                 13958,,                 17462,                 -1166,,                 15861,                 -1903,,                              0.17,,                              0.17,,,,,,
1325,2014年01月01日至2014年03月31日,,,                292973,                292973,,,                260307,                260307,                 32666,                 32666,,,                  6650,,                  8637,,                  2556,                 17843,                 14823,,,                  6634,,                  3808,,                     32,                 10410,                 25233,,                  4256,                 20977,                 20977,,,                  4801,                     66,                  4867,                  4867,                 25844,,                 20951,                     26,,                 24440,                  1404,,                              0.21,,                              0.21,,,,,,
1325,2013年07月01日至2013年09月30日,,,                261591,                261591,,,                233325,                233325,                 28266,                 28266,,,                  5381,,                  7156,,                  2421,                 14958,                 13308,,,                  3093,,                 -3969,,                      7,                   -883,                 12425,,                  1958,                 10467,                 10467,,,,,,                 -3404,                  7063,,                 10925,                   -458,,                  8584,                 -1521,,                              0.11,,                              0.11,                 -3411,                      7,,,,
1325,2013年04月01日至2013年06月30日,,,                249374,                249374,,,                220098,                220098,                 29276,                 29276,,,                  5186,,                  8812,,                  2743,                 16741,                 12535,,,                  2949,,                  5337,,                     62,                  8224,                 20759,,                  6311,                 14448,                 14448,,,,,,                  7367,                 21815,,                 14900,                   -452,,                 20065,                  1750,,                              0.15,,                              0.15,                  7334,                     33,,,                              0.15,                              0.15
1325,2013年01月01日至2013年12月31日,,,              1089403,              1089403,,,                959499,                959499,                129904,                129904,,,                 22200,,                 32946,,                 10519,                 65665,                 64239,,,                 12047,,                 12474,,                    159,                 24362,                 88601,,                 16927,                 71674,                 71674,,,,,,                 21563,                 93237,,                 72441,                   -767,,                 88055,                  5182,,                              0.72,,                              0.72,                 20202,                 -2775,                  4983,                   -847,,
1325,2013年01月01日至2013年09月30日,,,                779132,                779132,,,                680671,                680671,                 98461,                 98461,,,                 15930,,                 24534,,                  7899,                 48363,                 50098,,,                  7712,,                  5264,,                    132,                 12844,                 62942,,                 12871,                 50071,                 50071,,,,,,                 11521,                 61592,,                 51349,                 -1278,,                 58618,                  2974,,                              0.51,,                              0.51,                 14289,                 -2768,,,,
1325,2013年01月01日至2013年06月30日,,,                517541,                517541,,,                447346,                447346,                 70195,                 70195,,,                 10549,,                 17378,,                  5478,                 33405,                 36790,,,                  4619,,                  9233,,                    125,                 13727,                 50517,,                 10913,                 39604,                 39604,,,,,,                 14925,                 54529,,                 40424,                   -820,,                 50034,                  4495,,                              0.40,,                              0.40,                 17700,                 -2775,,,                              0.40,                              0.40
1325,2013年01月01日至2013年03月31日,,,                268167,                268167,,,                227248,                227248,                 40919,                 40919,,,                  5363,,                  8566,,                  2735,                 16664,                 24255,,,                  1670,,                  3896,,                     63,                  5503,                 29758,,                  4602,                 25156,                 25156,,,,,,                  7558,                 32714,,                 25524,                   -368,,                 29969,                  2745,,                              0.25,,                              0.25,                 10366,                 -2808,,,                              0.25,                              0.25
1325,2012年07月01日至2012年09月30日,,,                255334,                255334,,,                215853,                215853,                 39481,                 39481,,,                  6317,,                  8143,,                  2445,                 16905,                 22576,,,                  2163,,                   -642,,                    169,                  1352,                 23928,,                  4295,                 19633,                 19633,,,,,,                 -7526,                 12107,,                 20318,                   -685,,                 15091,                 -2984,,                              0.21,,                              0.21,                 -7883,                    357,,,,
1325,2012年04月01日至2012年06月30日,,,                264276,                264276,,,                232778,                232778,                 31498,                 31498,,,                  5933,,                  7532,,                  2656,                 16121,                 15377,,,                  1340,,                   -263,,                    194,                    883,                 16260,,                  6923,                  9337,                  9337,,,,,,                  3804,                 13141,,                 10130,                   -793,,                 13077,                     64,,                              0.10,,                              0.10,                  2734,                  1070,,,                              0.10,                              0.10
1325,2012年01月01日至2012年12月31日,,,              1057807,              1057807,,,                903408,                903408,                154399,                154399,,,                 22907,,                 32859,,                 10308,                 66074,                 88325,,,                  6260,,                   -630,,                    645,                  4985,                 93310,,                 20361,                 72949,                 72949,,,,,,                -14740,                 58209,,                 75132,                 -2183,,                 64671,                 -6462,,                              0.75,,                              0.75,                -14135,                  1497,                 -2532,                    430,,
1325,2012年01月01日至2012年09月30日,,,                763899,                763899,,,                651510,                651510,                112389,                112389,,,                 16812,,                 25290,,                  7533,                 49635,                 62754,,,                  4680,,                   -138,,                    574,                  3968,                 66722,,                 15866,                 50856,                 50856,,,,,,                -12757,                 38099,,                 53029,                 -2173,,                 44528,                 -6429,,                              0.53,,                              0.53,                -14124,                  1367,,,,
1325,2012年01月01日至2012年06月30日,,,                508565,                508565,,,                435657,                435657,                 72908,                 72908,,,                 10495,,                 17147,,                  5088,                 32730,                 40178,,,                  2517,,                    504,,                    405,                  2616,                 42794,,                 11571,                 31223,                 31223,,,,,,                 -5231,                 25992,,                 32711,                 -1488,,                 29437,                 -3445,,                              0.32,,                              0.32,                 -6241,                  1010,,,                              0.32,                              0.32
1325,2012年01月01日至2012年03月31日,,,                244289,                244289,,,                202879,                202879,                 41410,                 41410,,,                  4562,,                  9615,,                  2432,                 16609,                 24801,,,                  1177,,                    767,,                    211,                  1733,                 26534,,                  4648,                 21886,                 21886,,,,,,                 -9035,                 12851,,                 22581,                   -695,,                 16360,                 -3509,,                              0.22,,                              0.22,                 -8975,                    -60,,,                              0.22,                              0.22
