證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益
1416,2013年07月01日至2013年09月30日,,                123022,,                113145,                  9877,                  9877,,,                 20636,,                  1086,                 21722,                -11845,,,,                    904,                  7918,                              0,                  1390,                 10212,,                     49,                    203,                 18540,                  1240,                 17552,,                  1507,,                  3860,                 30117,                 18272,,                 61390,                -43118,                -43118,,                -19901,,                -19901,                -63019,,                -43480,                    362,,                -63381,                    362,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,                              0
1416,2013年04月01日至2013年06月30日,,                107338,,                 83231,                 24107,                 24107,,,                 30635,,                 53502,                 84137,                -60030,,,,                  1359,,                     18,                    872,                  2249,,                     48,                   -682,                -34112,                    925,                -35671,,                  1693,,                 30211,                 -4904,                -64934,,                    -48,                -64886,                -64886,,                 17703,,                 17703,                -47183,,                -63898,                   -988,,                -46195,                   -988,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                              0
1416,2013年01月01日至2013年12月31日,,                330772,,                276046,                 54726,                 54726,,,                 91879,,                127044,                218923,               -164197,,,,                  5606,                 10235,                    184,                 12576,                 28601,,                224872,                    845,                -24355,                  5649,                195713,,                  5940,,                 62472,                280846,                116649,,                 53103,                 63546,                 63546,,                 61781,                  2320,                 64101,                127647,,                 62577,                    969,,                126678,                    969,,                              0.19,                              0.19,,                              0.19,                              0.19,
1416,2013年01月01日至2013年09月30日,,                268077,,                204995,                 63082,                 63082,,,                 63214,,                 88055,                151269,                -88187,,,,                  3252,                  7918,                     95,                  3312,                 14577,,                    209,                   -229,                -36102,                  3457,                -39579,,                  4641,,                 61274,                 31631,                -56556,,                 61346,               -117902,               -117902,,                 47373,,                 47373,                -70529,,               -122125,                  4223,,                -74752,                  4223,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,                              0
1416,2013年01月01日至2013年06月30日,,                145055,,                 91850,                 53205,                 53205,,,                 42578,,                 86969,                129547,                -76342,,,,                  2348,,                     95,                  1922,                  4365,,                    160,                   -432,                -54642,                  2217,                -57131,,                  3134,,                 57414,                  1514,                -74828,,                    -44,                -74784,                -74784,,                 67274,,                 67274,                 -7510,,                -78645,                  3861,,                -11371,                  3861,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,                              0
1416,2013年01月01日至2013年03月31日,,                 37717,,                  8619,                 29098,                 29098,,,                 11943,,                 33467,                 45410,                -16312,,,,                    989,,                     77,                  1050,                  2116,,                    112,                    250,                -20530,                  1292,                -21460,,                  1441,,                 27203,                  6418,                 -9894,,                      4,                 -9898,                 -9898,,                 49571,,                 49571,                 39673,,                -14747,                  4849,,                 34824,                  4849,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,                              0
1416,2012年07月01日至2012年09月30日,,                 76703,,                 78077,                 -1374,                 -1374,,,                 15224,,                 19607,                 34831,                -36205,,,,                  1995,                    959,                    205,                  2351,                  5510,,                              0,                    -33,                  6084,                  1932,                 12503,,                    272,,                  5392,                 23133,                -13072,,                              0,                -13072,                -13072,,                -27950,,                -27950,                -41022,,                 -8763,                 -4309,,                -36713,                 -4309,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                  8384
1416,2012年04月01日至2012年06月30日,,              1544024,,                642340,                901684,                901684,,,                 56757,,                 45841,                102598,                799086,,,,                  3214,,                              0,                 12225,                 15439,,                              0,                    -18,                 -6884,                     91,                 -6834,,                    634,,                146080,                154051,                953137,,                 21599,                931538,                931538,,                 19890,,                 19890,                951428,,                931467,                     71,,                951357,                     71,,                              2.61,                              2.61,,                              2.58,                              2.58,                    159
1416,2012年01月01日至2012年12月31日,,              1847258,,                919100,                928158,                928158,,,                 97446,,                138395,                235841,                692317,,,,                  7000,                 11622,                              0,                 80208,                 98830,,                              0,                  1365,                 24284,                  8321,                 17328,,                  7230,,                328717,                437645,              1129962,,                 14119,              1115843,              1115843,,                -79128,                 25033,                -54095,              1061748,,              1121812,                 -5969,,              1067717,                 -5969,,                              3.15,                              3.15,,                              3.14,                              3.14,
1416,2012年01月01日至2012年09月30日,,              1706258,,                787900,                918358,                918358,,,                 91244,,                 83968,                175212,                743146,,,,                  5307,                    959,                    205,                 34296,                 40767,,                              0,                    238,                  6367,                  1936,                 14008,,                  5507,,                163982,                213250,                956396,,                 13930,                942466,                942466,,                -53711,,                -53711,                888755,,                946629,                 -4163,,                892918,                 -4163,,                              2.65,                              2.65,,                              2.64,                              2.64,                  9339
