證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　 其他綜合損益(淨額),　　 其他綜合損益,　　 其他綜合損益（淨額）,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 繼續營業單位淨利（淨損）
1436,2015年第3季,,                 39727,,                 27603,                 12124,                 12124,,,                  2907,,                 12479,                 15386,                 -3262,,,                  1608,,                   -411,,                 11486,                -10289,                -13551,,                    304,                -13855,                -13855,                -13855,,                -13855,,                -13855,,                             -0.20,,                             -0.20,,,,,,,,,,,,,,,,,
1436,2015年第2季,,                 11154,,                  7364,                  3790,                  3790,,,                    865,,                 12783,                 13648,                 -9858,,,                  8172,,                    449,,                  9678,                 -1057,                -10915,,                 11073,                -21988,                -21988,                -21988,,                -21988,,                -21988,,                             -0.37,,                             -0.37,,,,,,,,,,,,,,,,,
1436,2015年01月01日至2015年09月30日,,                100320,,                 70398,                 29922,                 29922,,,                  5653,,                 36540,                 42193,                -12271,,,                 11964,,                     33,,                 30559,                -18562,                -30833,,                 12178,                -43011,                -43011,                -43011,,                -43011,,                -43011,,                             -0.62,,                             -0.62,,,,,,,,,,,,,,,,,
1436,2015年01月01日至2015年06月30日,,                 60593,,                 42795,                 17798,                 17798,,,                  2746,,                 24061,                 26807,                 -9009,,,                 10356,,                    444,,                 19073,                 -8273,                -17282,,                 11874,                -29156,                -29156,                -29156,,                -29156,,                -29156,,                             -0.49,,                             -0.49,,,,,,,,,,,,,,,,,
1436,2014年第3季,,                368271,,                263938,                104333,                104333,,,                 15577,,                 18859,                 34436,                 69897,,,                  1647,,                              0,,                              0,                  1647,                 71544,,                  1767,                 69777,                 69777,                 69777,,                 69777,,                 69777,,                              1.01,,                              1.01,,,,,,,,,,,,,,,,,
1436,2014年第2季,,                954476,,                672483,                281993,                281993,,,                 46813,,                 16318,                 63131,                218862,,,                  3063,,                              0,,                    909,                  2154,                221016,,                  5574,                215442,                215442,                215442,,                215442,,                215442,,                              3.59,,                              3.59,,,,,,,,,,,,,,,,,
1436,2014年01月01日至2014年09月30日,,              1370766,,                971145,                399621,                399621,,,                 65144,,                 44422,                109566,                290055,,,                  5340,,                    682,,                  1394,                  4628,                294683,,                  7488,                287195,                287195,                287195,,                287195,,                287195,,                              4.16,,                              4.16,,,,,,,,,,,,,,,,,
1436,2014年01月01日至2014年06月30日,,              1002495,,                707207,                295288,                295288,,,                 49567,,                 25563,                 75130,                220158,,,                  3693,,                    682,,                  1394,                  2981,                223139,,                  5721,                217418,                217418,                217418,,                217418,,                217418,,                              3.62,,                              3.62,,,,,,,,,,,,,,,,,
1436,2013年07月01日至2013年09月30日,,                    655,,                    392,                    263,                    263,,,                  1319,,                  6109,                  7428,                 -7165,,,                  1422,,                    754,,                     15,                  2161,                 -5004,,                              0,                 -5004,                 -5004,                 -5004,,                 -5004,,                 -5004,,                             -0.08,,,,                    655,,,,,,                    392,,,,,,,,,
1436,2013年04月01日至2013年06月30日,,                    614,,                    394,                    220,                    220,,,                  1499,,                  7246,                  8745,                 -8525,,,                  1560,,                 -1620,,                    -61,                      1,                 -8524,,                    -27,                 -8497,                 -8497,                 -8497,,                 -8497,,                 -8497,,                             -0.14,,,,                    614,,,,,,                    394,,,,,                              0,                              0,,,
1436,2013年01月01日至2013年12月31日,,                 93268,,                 76785,                 16483,                 16483,,,                  6364,,                 29920,                 36284,                -19801,,,                  4940,,                  3882,,                     89,                  8733,                -11068,,                    -27,                -11041,                -11041,                -11041,,                -11041,,                -11041,,                             -0.18,,,,                  4620,,,                 88648,                 88648,,                  1570,,                 75215,                 75215,,,,,,
1436,2013年01月01日至2013年09月30日,,                  1873,,                  1178,                    695,                    695,,,                  3954,,                 21031,                 24985,                -24290,,,                  5000,,                  2701,,                     62,                  7639,                -16651,,                    -27,                -16624,                -16624,                -16624,,                -16624,,                -16624,,                             -0.28,,,,                  1873,,,,,,                  1178,,,,,,,,,
1436,2013年01月01日至2013年06月30日,,                  1218,,                    786,                    432,                    432,,,                  2635,,                 14922,                 17557,                -17125,,,                  3578,,                  1947,,                     47,                  5478,                -11647,,                    -27,                -11620,                -11620,                -11620,,                -11620,,                -11620,,                             -0.19,,,,                  1218,,,,,,                    786,,,,,                              0,                              0,,,
1436,2013年01月01日至2013年03月31日,,                    604,,                    392,                    212,                    212,,,                  1136,,                  7676,                  8812,                 -8600,,,                  2018,,                  3567,,                    108,                  5477,                 -3123,,                              0,                 -3123,                 -3123,                 -3123,,                 -3123,,                 -3123,,                             -0.05,,,,                    604,,,,,,                    392,,,,,                              0,                              0,                  2018,                              0,                             -0.05
1436,2012年07月01日至2012年09月30日,,                    783,,                    575,                    208,                    208,,,                    921,,                  9477,                 10398,                -10190,,,                  6858,,                 46960,,                     89,                 53729,                 43539,,                              0,                 43539,                 43539,                 43539,,                 43539,,                 43539,,                              0.73,,,,                    783,,,,,,                    575,,,,,,,,,
1436,2012年04月01日至2012年06月30日,,                    724,,                    575,                    149,                    149,,,                  1609,,                  9464,                 11073,                -10924,,,                 56015,,                -67940,,                      6,                -11931,                -22855,,                 93152,               -116007,               -116007,               -116007,,               -116007,,               -116007,,                             -0.41,,,,                    724,,,,,,                    575,,,,,                              0,                              0,,,
1436,2012年01月01日至2012年12月31日,,                  5036,,                  2268,                  2768,                  2768,,,                  5414,,                 40544,                 45958,                -43190,,,                 77583,,                -25496,,                    120,                 51967,                  8777,,                 75967,                -67190,                -67190,                -67190,,                -67190,,                -67190,,                             -0.37,,,,                  5036,,,                              0,                              0,,                  2268,,                              0,                              0,,,,,,
1436,2012年01月01日至2012年09月30日,,                  2218,,                  1724,                    494,                    494,,,                  4114,,                 26779,                 30893,                -30399,,,                 74173,,                -25136,,                    114,                 48923,                 18524,,                 93152,                -74628,                -74628,                -74628,,                -74628,,                -74628,,                             -0.34,,,,                  2218,,,,,,                  1724,,,,,,,,,
1436,2012年01月01日至2012年06月30日,,                  1435,,                  1149,                    286,                    286,,,                  3193,,                 18520,                 21713,                -21427,,,                 68533,,                -72096,,                     25,                 -3588,                -25015,,                 93152,               -118167,               -118167,               -118167,,               -118167,,               -118167,,                             -0.39,,,,                  1435,,,,,,                  1149,,,,,                              0,                              0,,,
1436,2012年01月01日至2012年03月31日,,                    711,,                    574,                    137,                    137,,,                  1584,,                  9056,                 10640,                -10503,,,                 12518,,                 -4156,,                     19,                  8343,                 -2160,,                              0,                 -2160,                 -2160,                 -2160,,                 -2160,,                 -2160,,                             -0.01,,,,                    711,,,,,,                    574,,,,,                              0,                              0,                 12518,                              0,                             -0.01
