證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
8112,2015年第3季,,,,             21430317,             21430317,                  6845,                 48162,             21375310,             21375310,,,             20943955,             20943955,             20943955,                431355,                431355,,,                272526,,                  1994,                274520,                156835,,,                 17407,,                  4540,,                 53604,,                 31558,                    -99,                156736,,                 41187,                 41187,                115549,                115549,,,                231187,                              0,                 35839,                195348,                195348,                310897,,                100087,                 15462,,                275069,                 35828,,                              0.35,,                              0.34,,,,,,,,
8112,2015年第2季,,,,             19198241,             19198241,                 24496,                 28007,             19145738,             19145738,,,             18735494,             18735494,             18735494,                410244,                410244,,,                221166,,                  2439,                223605,                186639,,,                 29508,,                -24050,,                 51820,,                 30030,                -16332,                170307,,                 33614,                 33614,                136693,                136693,,,                -14270,                              0,                 -2010,                -12260,                -12260,                124433,,                 84623,                 52070,,                 74806,                 49627,,                              0.29,,                              0.28,,,,,,,,
8112,2015年01月01日至2015年09月30日,,,,             54652263,             54652263,                 47740,                 98513,             54506010,             54506010,,,             53428736,             53428736,             53428736,              1077274,              1077274,,,                715725,,                  6274,                721999,                355275,,,                 72855,,                -37842,,                152277,,                134679,                 17415,                372690,,                 92023,                 92023,                280667,                280667,,,                190956,                              0,                 29873,                161083,                161083,                441750,,                236248,                 44419,,                382100,                 59650,,                              0.82,,                              0.80,,,,,,,,
8112,2015年01月01日至2015年06月30日,,,,             33221946,             33221946,                 40895,                 50351,             33130700,             33130700,,,             32484781,             32484781,             32484781,                645919,                645919,,,                443199,,                  4280,                447479,                198440,,,                 55448,,                -42382,,                 98673,,                103121,                 17514,                215954,,                 50836,                 50836,                165118,                165118,,,                -40231,                              0,                 -5966,                -34265,                -34265,                130853,,                136161,                 28957,,                107031,                 23822,,                              0.47,,                              0.46,,,,,,,,
8112,2015年01月01日至2015年03月31日,,,,             14023705,             14023705,                 16399,                 22344,             13984962,             13984962,,,             13749287,             13749287,             13749287,                235675,                235675,,,                222033,,                  1841,                223874,                 11801,,,                 25940,,                -18332,,                 46853,,                 73091,                 33846,                 45647,,                 17222,                 17222,                 28425,                 28425,,,                -25961,                              0,                 -3956,                -22005,                -22005,                  6420,,                 51538,                -23113,,                 32225,                -25805,,                              0.18,,                              0.17,,,                              0,                              0,,,,
8112,2014年第3季,,,,             15611339,             15611339,                 16789,                 75786,             15518764,             15518764,,,             15075409,             15075409,             15075409,                443355,                443355,,,                255493,,                  2695,                258188,                185167,,,                 16682,,                -15153,,                 41958,,                 41113,                    684,                185851,,                 40054,                 40054,                145797,                145797,,,                 41483,                -13500,                  6387,                 21596,                 21596,                167393,,                128156,                 17641,,                145836,                 21557,,                              0.51,,                              0.48,,,,,,,,
8112,2014年第2季,,,,             12541455,             12541455,                 29245,                 28589,             12483621,             12483621,,,             12149909,             12149909,             12149909,                333712,                333712,,,                230645,,                  5001,                235646,                 98066,,,                 13535,,                 10007,,                 29942,,                 20414,                 14014,                112080,,                 20480,                 20480,                 91600,                 91600,,,                -42161,                  4800,                 -6902,                -30459,                -30459,                 61141,,                 69367,                 22233,,                 40471,                 20670,,                              0.29,,                              0.26,,,,,,,,
8112,2014年度,,,,             51571661,             51571661,                134921,                179325,             51257415,             51257415,,,             49898659,             49898659,             49898659,              1358756,              1358756,,,                983939,,                 15541,                999480,                359276,,,                 82341,,                 17097,,                141937,,                126902,                 84403,                443679,,,                 96327,                347352,                347352,,,,,,,                110744,                458096,,                301924,                 45428,,                399819,                 58277,,                              1.29,,                              1.16,,,,,                 96327,                140855,                 -6300,                 23811
8112,2014年01月01日至2014年09月30日,,,,             37395890,             37395890,                 87978,                121297,             37186615,             37186615,,,             36168448,             36168448,             36168448,              1018167,              1018167,,,                683951,,                  9835,                693786,                324381,,,                 57803,,                  7175,,                 97588,,                 86375,                 53765,                378146,,                 87001,                 87001,                291145,                291145,,,                 32806,                 -6300,                  5177,                 21329,                 21329,                312474,,                251429,                 39716,,                270405,                 42069,,                              1.11,,                              0.98,,,,,,,,
8112,2014年01月01日至2014年06月30日,,,,             21784551,             21784551,                 71189,                 45511,             21667851,             21667851,,,             21093039,             21093039,             21093039,                574812,                574812,,,                428458,,                  7140,                435598,                139214,,,                 41121,,                 22328,,                 55630,,                 45262,                 53081,                192295,,                 46947,                 46947,                145348,                145348,,,                 -8677,                  7200,                 -1210,                   -267,                   -267,                145081,,                123273,                 22075,,                124569,                 20512,,                              0.58,,                              0.47,,,,,,,,
