證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3598,2014年01月01日至2014年03月31日,,              2199383,,              1848178,                351205,                351205,,,                 62644,,                 30130,,                184773,                277547,                 73658,,,                  1224,,                 16572,,                  1620,,,                 16176,                 89834,,                 11465,                 78369,                 78369,,,                    -66,                 10506,,                 10440,                 10440,                 88809,,                 78369,,                              0,,                 88809,,                              0,,                              1.10,,                              1.08,,                              0,,,,
3598,2013年第3季,,              2365045,,              2055829,                309216,                309216,,,                 60392,,                 22708,,                173203,                256303,                 52913,,,                  2396,,                 -8800,,                  1779,,,                 -8183,                 44730,,                  7500,                 37230,                 37230,,,,,,,                   -926,                 36304,,                 37230,                              0,                              0,,                 36304,                              0,                              0,,                              0.52,,                              0.52,,,                   -131,                   -795,,
3598,2013年第2季,,              2715662,,              2321912,                393750,                393750,,,                 68920,,                 25751,,                184918,                279589,                114161,,,                  2075,,                 10017,,                  2136,,,                  9956,                124117,,                 21365,                102752,                102752,,,,,,,                 -2111,                100641,,                102752,                              0,                              0,,                100641,                              0,                              0,,                              1.44,,                              1.39,,                              0,                    175,                 -2286,,
3598,2013年度,,              9628256,,              8321046,              1307210,              1307210,,,                272650,,                 94459,,                702665,              1069774,                237436,,,                  7653,,                 26106,,                  7087,,,                 26672,                264108,,                 50291,                213817,                213817,,,,,,,                     48,                213865,,                213817,,,,                213865,,,,                              3.00,,                              2.92,,,                    501,                 -4102,                  4396,                    747
3598,2013年07月01日至2013年09月30日,,              2365045,,              2055829,                309216,                309216,,,                 60392,,                 22708,,                173203,                256303,                 52913,,,                  2396,,                 -8800,,                  1779,,,                 -8183,                 44730,,                  7500,                 37230,                 37230,,,,,,,                   -926,                 36304,,                 37230,,,,                 36304,,,,                              0.52,,                              0.52,,                              0,                   -131,                   -795,,
3598,2013年04月01日至2013年06月30日,,              2715662,,              2321912,                393750,                393750,,,                 68920,,                 25751,,                184918,                279589,                114161,,,                  2075,,                 10017,,                  2136,,,                  9956,                124117,,                 21365,                102752,                102752,,,,,,,                 -2111,                100641,,                102752,,,,                100641,,,,                              1.51,,                              1.46,,,                    175,                 -2286,,
3598,2013年01月01日至2013年12月31日,,              9628256,,              8321046,              1307210,              1307210,,,                272650,,                 94459,,                702665,              1069774,                237436,,,                  7653,,                 26106,,                  7087,,,                 26672,                264108,,                 50291,                213817,                213817,,,,,,,                     48,                213865,,                213817,,,,                213865,,,,                              3.00,,                              2.92,,,                    501,                 -4102,                  4396,                    747
3598,2013年01月01日至2013年09月30日,,              7264465,,              6216873,              1047592,              1047592,,,                195933,,                 70791,,                534271,                800995,                246597,,,                  6207,,                 10583,,                  5707,,,                 11083,                257680,,                 43965,                213715,                213715,,,,,,,                 -2793,                210922,,                213715,                              0,                              0,,                210922,                              0,                              0,,                              3.00,,                              2.92,,,                    288,                 -3081,,
3598,2013年01月01日至2013年06月30日,,              4899420,,              4161044,                738376,                738376,,,                135541,,                 48083,,                361068,                544692,                193684,,,                  3811,,                 19383,,                  3928,,,                 19266,                212950,,                 36465,                176485,                176485,,,,,,,                 -1867,                174618,,                176485,                              0,                              0,,                174618,                              0,                              0,,                              2.48,,                              2.40,,                              0,                    419,                 -2286,,
3598,2013年01月01日至2013年03月31日,,              2183758,,              1839132,                344626,                344626,,,                 66621,,                 22332,,                176150,                265103,                 79523,,,                  1736,,                  9366,,                  1792,,,                  9310,                 88833,,                 15100,                 73733,                 73733,,,,,,,                    244,                 73977,,                 73733,,                              0,,                 73977,,                              0,,                              1.09,,                              1.06,,                              0,                    244,                              0,,
3598,2012年07月01日至2012年09月30日,,              3244775,,              2692202,                552573,                552573,,,                 70087,,                 27305,,                199572,                296964,                255609,,,                  3453,,                -17055,,                  1755,,,                -15357,                240252,,                 40482,                199770,                199770,,,,,,,                              0,                199770,,                199770,,,,                199770,,,,                              2.85,,                              2.76,,                              0,                              0,                              0,,
3598,2012年04月01日至2012年06月30日,,              2460638,,              2043755,                416883,                416883,,,                 59155,,                 22585,,                157796,                239536,                177347,,,                  3734,,                  1266,,                  1222,,,                  3778,                181125,,                 30795,                150330,                150330,,,,,,,                              0,                150330,,                150330,,,,                150330,,,,                              2.31,,                              2.17,,,                              0,                              0,,
3598,2012年01月01日至2012年12月31日,,             10541736,,              8742087,              1799649,              1799649,,,                252942,,                101817,,                701443,              1056202,                743447,,,                 11907,,                -35906,,                  7534,,,                -31533,                711914,,                120147,                591767,                591767,,,,,,,                   -467,                591300,,                591767,,,,                591300,,,,                              8.56,,                              8.15,,,                              0,                              0,                   -562,                    -95
3598,2012年01月01日至2012年09月30日,,              7800865,,              6458207,              1342658,              1342658,,,                175002,,                 72279,,                512203,                759484,                583174,,,                  9204,,                -31059,,                  6563,,,                -28418,                554756,,                 93453,                461303,                461303,,,,,,,                              0,                461303,,                461303,,,,                461303,,,,                              6.74,,                              6.40,,                              0,                              0,                              0,,
3598,2012年01月01日至2012年06月30日,,              4556090,,              3766005,                790085,                790085,,,                104915,,                 44974,,                312631,                462520,                327565,,,                  5751,,                -14004,,                  4808,,,                -13061,                314504,,                 52971,                261533,                261533,,,,,,,                              0,                261533,,                261533,,,,                261533,,,,                              4.06,,                              3.82,,,                              0,                              0,,
3598,2012年01月01日至2012年03月31日,,              2095452,,              1722250,                373202,                373202,,,                 45760,,                 22389,,                154835,                222984,                150218,,,                  2017,,                -15270,,                  3586,,,                -16839,                133379,,                 22176,                111203,                111203,,,,,,,                              0,                111203,,                111203,,                              0,,                111203,,                              0,,                              1.76,,                              1.62,,                              0,                              0,,,
