證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
2373,2015年第3季,,,,              3431750,                  7069,                  7195,              3417486,              3417486,,              2030401,              1387085,                 24718,              1362367,,              1201675,                160692,,,                              0,                125168,                125168,,                 -4629,,                  8119,,                111351,                223771,                384463,,                 55273,                329190,                329190,,,                201895,                -81813,,                 11306,                131388,                131388,                460578,,                308206,                 20984,,                420323,                 40255,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,
2373,2015年第2季,,,,              3455380,                 11901,                  5233,              3438246,              3438246,,              2029899,              1408347,                 33247,              1375100,,              1195158,                179942,,,                              0,                142827,                142827,,                 -2423,,                  6641,,                 62441,                196204,                376146,,                 48423,                327723,                327723,,,                -67150,                 32725,,                -88184,               -122609,               -122609,                205114,,                298649,                 29074,,                182622,                 22492,,                              0.96,                              0.96,,                              0.96,                              0.96,,,,,,
2373,2015年01月01日至2015年09月30日,,,,              9822732,                 23900,                 16357,              9782475,              9782475,,              5762515,              4019960,                 70422,              3949538,,              3458040,                491498,,,                 68571,                364153,                432724,,                  8441,,                 21091,,                210408,                630482,              1121980,,                149056,                972924,                972924,,,                 90462,                 -4813,,                -86577,                   -928,                   -928,                971996,,                902422,                 70502,,                889457,                 82539,,                              2.90,                              2.90,,                              2.89,                              2.89,,,,,,
2373,2015年01月01日至2015年06月30日,,,,              6390982,                 16831,                  9162,              6364989,              6364989,,              3732114,              2632875,                 45704,              2587171,,              2256365,                330806,,,                 68571,                238985,                307556,,                 13070,,                 12972,,                 99057,                406711,                737517,,                 93783,                643734,                643734,,,               -111433,                 77000,,                -97883,               -132316,               -132316,                511418,,                594216,                 49518,,                469134,                 42284,,                              1.91,                              1.91,,                              1.90,                              1.90,,,,,,
2373,2015年01月01日至2015年03月31日,,,,              2935602,                  4930,                  3929,              2926743,              2926743,,              1702215,              1224528,                 12457,              1212071,,              1061207,                150864,,,                 68571,                 96158,                164729,,                 15493,,                  6331,,                 36616,                210507,                361371,,                 45360,                316011,                316011,,,                -44283,                 44275,,                 -9699,                 -9707,                 -9707,                306304,,                295567,                 20444,,                286512,                 19792,,                              0.95,                              0.95,,                              0.95,                              0.95,,,,,,
2373,2014年第3季,,,,              2769014,                  6682,                  3299,              2759033,              2759033,,              1554802,              1204231,                 21227,              1183004,,                999463,                183541,,,                              0,                102861,                102861,,                 23982,,                  7227,,                 89670,                209286,                392827,,                 48230,                344597,                344597,,,                108866,                385760,,                -13800,                480826,                480826,                825423,,                329085,                 15512,,                780175,                 45248,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,,
2373,2014年第2季,,,,              2790738,                 10614,                  3112,              2777012,              2777012,,              1548883,              1228129,                 19593,              1208536,,                986335,                222201,,,                              0,                103122,                103122,,                 22175,,                  6488,,                 31616,                150425,                372626,,                 52446,                320180,                320180,,,                -75447,                 -3201,,                -73770,               -152418,               -152418,                167762,,                297377,                 22803,,                155084,                 12678,,                              0.96,                              0.96,,                              0.95,                              0.95,,,,,,
2373,2014年度,,,,             11102039,                 35514,                 11437,             11055088,             11055088,,              6119567,              4935521,                 66756,              4868765,,              4047815,                820950,,,,,                428855,,                  4471,,                 27630,,                 94641,                500337,              1321287,,                159120,              1162167,              1162167,,,,,,,,                272038,              1434205,,              1075394,                 86773,,              1324193,                110012,,                              3.46,                              3.46,,                              3.45,                              3.45,                170716,                279864,                -27745,,               -155513,                  4716
2373,2014年01月01日至2014年09月30日,,,,              8137061,                 26203,                  9093,              8101765,              8101765,,              4537573,              3564192,                 51512,              3512680,,              2915003,                597677,,,                              0,                314759,                314759,,                 87865,,                 20166,,                126090,                508548,              1106225,,                148274,                957951,                957951,,,                 15871,                395363,,               -268639,                142595,                142595,              1100546,,                894805,                 63146,,              1023185,                 77361,,                              2.88,                              2.88,,                              2.87,                              2.87,,,,,,
2373,2014年01月01日至2014年06月30日,,,,              5368047,                 19521,                  5794,              5342732,              5342732,,              2982771,              2359961,                 30285,              2329676,,              1915540,                414136,,,                              0,                211898,                211898,,                 63883,,                 12939,,                 36420,                299262,                713398,,                100044,                613354,                613354,,,                -92995,                  9603,,               -254839,               -338231,               -338231,                275123,,                565720,                 47634,,                243010,                 32113,,                              1.82,                              1.82,,                              1.81,                              1.81,,,,,,
2373,2014年01月01日至2014年03月31日,,,,              2577309,                  8907,                  2682,              2565720,              2565720,,              1433888,              1131832,                 10692,              1121140,,                929205,                191935,,,                              0,                108776,                108776,,                 41708,,                  6451,,                  4804,                148837,                340772,,                 47598,                293174,                293174,,,                -17548,                 12804,,               -181069,               -185813,               -185813,                107361,,                268343,                 24831,,                 87926,                 19435,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,,,
2373,2013年第3季,,,,              2688492,                  8964,                  3365,              2676163,              2676163,,              1495955,              1180208,                 21492,              1158716,,                944199,                214517,,,,,                 83089,,                 -6093,,                  6560,,                 91667,                162103,                376620,,                 40877,                335743,                335743,,,,,,,,                 63752,                399495,,                314904,                 20839,,                382968,                 16527,,                              1.04,                              1.04,,                              1.03,                              1.03,                -42947,                 34569,,,                 72130,
2373,2013年第2季,,,,              2684679,                 10087,                  2390,              2672202,              2672202,,              1477896,              1194306,                  6113,              1188193,,                999294,                188899,,,,,                 47753,,                 21913,,                  4577,,                124158,                189247,                378146,,                 35452,                342694,                342694,,,,,,,,                -46043,                296651,,                323368,                 19326,,                272563,                 24088,,                              1.06,                              1.06,,                              1.06,                              1.06,                 61213,                -34569,,,                -72687,
2373,2013年度,,,,             10773399,                 37289,                 14975,             10721135,             10721135,,              5841222,              4879913,                 45471,              4834442,,              3953970,                880472,,,,,                272159,,                -18315,,                 22444,,                319090,                550490,              1430962,,                158738,              1272224,              1272224,,,,,,,,                425111,              1697335,,              1189544,                 82680,,              1589629,                107706,,                              3.90,                              3.90,,                              3.89,                              3.89,                194164,                -37130,                  3829,,                264900,                   -652
2373,2013年07月01日至2013年09月30日,,,,              2688492,                  8964,                  3365,              2676163,              2676163,,              1495955,              1180208,                 21492,              1158716,,                944199,                214517,,,,,                 83089,,                 -6093,,                  6560,,                 91667,                162103,                376620,,                 40877,                335743,                335743,,,,,,,,                 63752,                399495,,                314904,                 20839,,                382968,                 16527,,                              1.04,                              1.04,,                              1.03,                              1.03,                -42947,                 34569,,,                 72130,
2373,2013年04月01日至2013年06月30日,,,,              2684679,                 10087,                  2390,              2672202,              2672202,,              1477896,              1194306,                  6113,              1188193,,                999294,                188899,,,,,                 47753,,                 21913,,                  4577,,                124158,                189247,                378146,,                 35452,                342694,                342694,,,,,,,,                -46043,                296651,,                323368,                 19326,,                272563,                 24088,,                              1.06,                              1.06,,                              1.06,                              1.06,                 61213,                -34569,,,                -72687,
2373,2013年01月01日至2013年12月31日,,,,             10773399,                 37289,                 14975,             10721135,             10721135,,              5841222,              4879913,                 45471,              4834442,,              3953970,                880472,,,,,                272159,,                -18315,,                 22444,,                319090,                550490,              1430962,,                158738,              1272224,              1272224,,,,,,,,                425111,              1697335,,              1189544,                 82680,,              1589629,                107706,,                              3.90,                              3.90,,                              3.89,                              3.89,                194164,                -37130,                  3829,,                264900,                   -652
2373,2013年01月01日至2013年09月30日,,,,              7848986,                 23389,                  9036,              7816561,              7816561,,              4320357,              3496204,                 29036,              3467168,,              2874464,                592704,,,,,                204122,,                  6486,,                 16123,,                305564,                500049,              1092753,,                108223,                984530,                984530,,,,,,,,                306061,              1290591,,                924691,                 59839,,              1215470,                 75121,,                              3.04,                              3.04,,                              3.03,                              3.03,                124155,                -18565,,,                200471,
2373,2013年01月01日至2013年06月30日,,,,              5160494,                 14425,                  5671,              5140398,              5140398,,              2824402,              2315996,                  7544,              2308452,,              1930265,                378187,,,,,                121033,,                 12579,,                  9563,,                213897,                337946,                716133,,                 67346,                648787,                648787,,,,,,,,                242309,                891096,,                609787,                 39000,,                832502,                 58594,,                              2.00,                              2.00,,                              2.00,                              2.00,                167102,                -53134,,,                128341,
2373,2013年01月01日至2013年03月31日,,,,              2475815,                  4338,                  3281,              2468196,              2468196,,              1346506,              1121690,                  1431,              1120259,,                930971,                189288,,,,,                 73280,,                 -9334,,                  4986,,                 89739,                148699,                337987,,                 31894,                306093,                306093,,,,,,,,                288352,                594445,,                286419,                 19674,,                559939,                 34506,,                              0.94,                              0.94,,                              0.94,                              0.94,                105889,                -18565,,,                201028,
2373,2012年07月01日至2012年09月30日,,,,              3127528,                 14654,                 49251,              3063623,              3063623,,              1816715,              1246908,                  3050,              1243858,,              1077929,                165929,,,,,                 92584,,                  4487,,                  7263,,                108108,                197916,                363845,,                 41516,                322329,                322329,,,,,,,,                -43772,                278557,,                306777,                 15552,,                269259,                  9298,,                              1.01,                              1.01,,                              1.01,                              1.01,                -61906,                 -3841,,,                 21975,
2373,2012年04月01日至2012年06月30日,,,,              3374758,                 11661,                 40743,              3322354,              3322354,,              2018651,              1303703,                  1060,              1302643,,              1124960,                177683,,,,,                 46220,,                     46,,                  5810,,                 32800,                 73256,                250939,,                -35327,                286266,                286266,,,,,,,,               -276657,                  9609,,                269409,                 16857,,                 -3940,                 13549,,                              0.89,                              0.89,,                              0.88,                              0.88,                 -1809,                -16004,,,               -258844,
2373,2012年01月01日至2012年12月31日,,,,             12845202,                 53454,                146928,             12644820,             12644820,,              7498050,              5146770,                  6841,              5139929,,              4316686,                823243,,,,,                226276,,                 49423,,                 25221,,                194371,                444849,              1268092,,                117124,              1150968,              1150968,,,,,,,,               -168753,                982215,,              1080531,                 70437,,                923781,                 58434,,                              3.54,                              3.54,,                              3.53,                              3.53,                -87000,                 64017,                -27358,,               -123063,                  4651
