證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 繼續營業單位淨利（淨損）
9928,2015年第3季,,                246910,,                288980,                -42070,                -42070,,,                 13050,,                 33802,                 46852,                -88922,,,                 38546,,                  6547,,                  9664,                 35429,                -53493,,                              0,                -53493,                -53493,,,                 -7096,                 -7096,                 -7096,                -60589,,                -53494,                      1,,                -60590,                      1,,                             -0.40,,,
9928,2015年第2季,,                229437,,                299594,                -70157,                -70157,,,                 15002,,                 33697,                 48699,               -118856,,,                 37320,,                  4386,,                  8582,                 33124,                -85732,,                              0,                -85732,                -85732,,,                 -2527,                 -2527,                 -2527,                -88259,,                -85740,                      8,,                -88259,,,                             -0.65,,,
9928,2015年01月01日至2015年09月30日,,                632773,,                843156,               -210383,               -210383,,,                 38355,,                105272,                143627,               -354010,,,                 90133,,                 13557,,                 26482,                 77208,               -276802,,                              0,               -276802,               -276802,,,                -11930,                -11930,                -11930,               -288732,,               -276809,                      7,,               -288733,                      1,,                             -2.09,,,
9928,2015年01月01日至2015年06月30日,,                385863,,                554176,               -168313,               -168313,,,                 25305,,                 71470,                 96775,               -265088,,,                 51587,,                  7010,,                 16818,                 41779,               -223309,,                              0,               -223309,               -223309,,,                 -4834,                 -4834,                 -4834,               -228143,,               -223315,                      6,,               -228143,,,                             -1.68,,,
9928,2015年01月01日至2015年03月31日,,                156426,,                254582,                -98156,                -98156,,,                 10303,,                 37773,                 48076,               -146232,,,                 14267,,                  2624,,                  8236,                  8655,               -137577,,                              0,               -137577,               -137577,,,                 -2258,                 -2258,                 -2258,               -139835,,               -137575,                     -2,,               -139832,                     -3,,                             -1.04,,,
9928,2014年第3季,,                224195,,                258509,                -34314,                -34314,,,                 11429,,                 37071,                 48500,                -82814,,,                 21282,,                  4986,,                  7727,                 18541,                -64273,,                              0,                -64273,                -64273,,,                 -5151,                 -5151,                 -5151,                -69424,,                -64271,                     -2,,                -69418,                     -6,,                             -0.49,,,
9928,2014年第2季,,                235862,,                241626,                 -5764,                 -5764,,,                 12208,,                 34457,                 46665,                -52429,,,                 22251,,                   -179,,                  7441,                 14631,                -37798,,                              0,                -37798,                -37798,,,                  1577,                  1577,                  1577,                -36221,,                -37798,                              0,,                -36221,,,                             -0.28,,,
9928,2014年度,,              1005026,,              1107867,               -102841,               -102841,,,                 49962,,                143398,                193360,               -296201,,,                 88233,,                  5480,,                 30509,                 63204,               -232997,,                  1222,               -234219,               -234219,,,,,                    -19,               -234238,,               -234210,                     -9,,               -234228,                    -10,,                             -1.77,                    100,                   -119,                             -1.77
9928,2014年01月01日至2014年09月30日,,                690237,,                766106,                -75869,                -75869,,,                 35303,,                106682,                141985,               -217854,,,                 59452,,                  4615,,                 22385,                 41682,               -176172,,                    -10,               -176162,               -176162,,,                 -1883,                 -1883,                 -1883,               -178045,,               -176158,                     -4,,               -178039,                     -6,,                             -1.33,,,
9928,2014年01月01日至2014年06月30日,,                466042,,                507597,                -41555,                -41555,,,                 23874,,                 69611,                 93485,               -135040,,,                 38170,,                   -371,,                 14658,                 23141,               -111899,,                    -10,               -111889,               -111889,,,                  3268,                  3268,                  3268,               -108621,,               -111887,                     -2,,               -108621,,,                             -0.84,,,
9928,2014年01月01日至2014年03月31日,,                230180,,                265971,                -35791,                -35791,,,                 11666,,                 35154,                 46820,                -82611,,,                 15919,,                   -192,,                  7217,                  8510,                -74101,,                    -10,                -74091,                -74091,,,                  1691,                  1691,                  1691,                -72400,,                -74089,                     -2,,                -72400,                              0,,                             -0.56,,,
9928,2013年第3季,,                321340,,                319620,                  1720,                  1720,,,                 12851,,                 32023,                 44874,                -43154,,,                 17703,,                   -748,,                  7038,                  9917,                -33237,,                              0,                -33237,                -33237,,,,,                 -1261,                -34498,,                -33235,                     -2,,                -34496,                     -2,,                             -0.25,                 -1261,,
9928,2013年第2季,,                280003,,                295302,                -15299,                -15299,,,                 13336,,                 32651,                 45987,                -61286,,,                 20848,,                   -152,,                  6963,                 13733,                -47553,,                              0,                -47553,                -47553,,,,,                  6963,                -40590,,                -47553,                              0,,                -40595,                      5,,                             -0.36,                  6963,,
9928,2013年度,,              1262767,,              1283180,                -20413,                -20413,,,                 55536,,                130657,                186193,               -206606,,,                 73165,,                  1390,,                 28023,                 46532,               -160074,,                  2043,               -162117,               -162117,,,,,                 16230,               -145887,,               -162112,                     -5,,               -145887,                              0,,                             -1.22,                  7323,                  8907,                             -1.22
9928,2013年07月01日至2013年09月30日,,                321340,,                319620,                  1720,                  1720,,,                 12851,,                 32023,                 44874,                -43154,,,                 17703,,                   -748,,                  7038,                  9917,                -33237,,                              0,                -33237,                -33237,,,,,                 -1261,                -34498,,                -33235,                     -2,,                -34496,                     -2,,                             -0.25,                 -1261,,
9928,2013年04月01日至2013年06月30日,,                280003,,                295302,                -15299,                -15299,,,                 13336,,                 32651,                 45987,                -61286,,,                 20848,,                   -152,,                  6963,                 13733,                -47553,,                              0,                -47553,                -47553,,,,,                  6963,                -40590,,                -47553,                              0,,                -40595,                      5,,                             -0.36,                  6963,,
9928,2013年01月01日至2013年12月31日,,              1262767,,              1283180,                -20413,                -20413,,,                 55536,,                130657,                186193,               -206606,,,                 73165,,                  1390,,                 28023,                 46532,               -160074,,                  2043,               -162117,               -162117,,,,,                 16230,               -145887,,               -162112,                     -5,,               -145887,                              0,,                             -1.22,                  7323,                  8907,                             -1.22
9928,2013年01月01日至2013年09月30日,,                847946,,                896994,                -49048,                -49048,,,                 38348,,                 99575,                137923,               -186971,,,                 55971,,                    324,,                 20938,                 35357,               -151614,,                    118,               -151732,               -151732,,,,,                  4283,               -147449,,               -151731,                     -1,,               -147452,                      3,,                             -1.14,                  4283,,
9928,2013年01月01日至2013年06月30日,,                526606,,                577374,                -50768,                -50768,,,                 25497,,                 67552,                 93049,               -143817,,,                 38268,,                  1072,,                 13900,                 25440,               -118377,,                    118,               -118495,               -118495,,,,,                  5544,               -112951,,               -118496,                      1,,               -112956,                      5,,                             -0.89,                  5544,,
9928,2013年01月01日至2013年03月31日,,                246603,,                282072,                -35469,                -35469,,,                 12161,,                 34901,                 47062,                -82531,,,                 17420,,                  1224,,                  6937,                 11707,                -70824,,                    118,                -70942,                -70942,,,,,                 -1419,                -72361,,                -70943,                      1,,                -72361,,,                             -0.53,                 -1419,,
9928,2012年07月01日至2012年09月30日,,                380963,,                371915,                  9048,                  9048,,,                 16883,,                 35571,                 52454,                -43406,,,                 23459,,                    803,,                  7286,                 16976,                -26430,,                              0,                -26430,                -26430,,,,,                 -7705,                -34135,,                -26430,                              0,,                -34134,                     -1,,                             -0.20,                 -7705,,
9928,2012年04月01日至2012年06月30日,,                296464,,                292804,                  3660,                  3660,,,                 13983,,                 33125,                 47108,                -43448,,,                 71188,,                   -931,,                  7337,                 62920,                 19472,,                              0,                 19472,                 19472,,,,,                -17109,                  2363,,                 19475,                     -3,,                  2370,                     -7,,                              0.15,                -17109,,
9928,2012年01月01日至2012年12月31日,,              1336657,,              1342130,                 -5473,                 -5473,,,                 58530,,                141280,                199810,               -205283,,,                141551,,                    188,,                 29158,                112581,                -92702,,                  1107,                -93809,                -93809,,,,,                -11391,               -105200,,                -93800,                     -9,,               -105191,                     -9,,                             -0.71,                 -4419,                 -6972,                             -0.71
9928,2012年01月01日至2012年09月30日,,                965784,,                958235,                  7549,                  7549,,,                 45481,,                104273,                149754,               -142205,,,                117574,,                    593,,                 22071,                 96096,                -46109,,                   -100,                -46009,                -46009,,,,,                 -5060,                -51069,,                -46008,                     -1,,                -51068,                     -1,,                             -0.35,                 -5060,,
9928,2012年01月01日至2012年06月30日,,                584821,,                586320,                 -1499,                 -1499,,,                 28598,,                 68702,                 97300,                -98799,,,                 94115,,                   -210,,                 14785,                 79120,                -19679,,                   -100,                -19579,                -19579,,,,,                  2645,                -16934,,                -19578,                     -1,,                -16934,                              0,,                             -0.15,                  2645,,
9928,2012年01月01日至2012年03月31日,,                288357,,                293516,                 -5159,                 -5159,,,                 14615,,                 35577,                 50192,                -55351,,,                 22927,,                    721,,                  7448,                 16200,                -39151,,                   -100,                -39051,                -39051,,,,,                 19754,                -19297,,                -39053,                      2,,                -19304,                      7,,                             -0.29,                 19754,,
