證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8422,2015年第3季,,                752608,,                328753,                423855,                423855,,,                 68083,,                  1365,                 69448,                354407,,,,                  7346,                    372,                  7718,,                              0,                  9669,                     45,                              0,                  9624,                 17342,                371749,,                 46626,                325123,                325123,,,                  1201,                  1201,                  1201,                326324,,                325198,                    -75,,                326336,                    -12,,                              2.99,                              2.99,,                              2.98,                              2.98,,,,
8422,2015年第2季,,                652676,,                253938,                398738,                398738,,,                 66647,,                  2254,                 68901,                329837,,,,                  6827,                    240,                  7067,,,,,                              0,                 -3340,                  3727,                333564,,                 52973,                280591,                280591,,,                   -331,                   -331,                   -331,                280260,,                280769,                   -178,,                280526,                   -266,,                              2.58,                              2.58,,                              2.58,                              2.58,                  3340,,,
8422,2015年01月01日至2015年09月30日,,              1955690,,                720623,              1235067,              1235067,,,                201837,,                  5908,                207745,              1027322,,,,                 19260,                  1376,                 20636,,                              0,                  4146,                     45,                     10,                  4091,                 24727,              1052049,,                148573,                903476,                903476,,,                    777,                    777,                    777,                904253,,                903976,                   -500,,                904749,                   -496,,                              8.30,                              8.30,,                              8.29,                              8.29,,,,
8422,2015年01月01日至2015年06月30日,,              1203082,,                391870,                811212,                811212,,,                133754,,                  4543,                138297,                672915,,,,                 11914,                  1004,                 12918,,,,,                     10,                 -5533,                  7385,                680300,,                101947,                578353,                578353,,,                   -424,                   -424,                   -424,                577929,,                578778,                   -425,,                578413,                   -484,,                              5.32,                              5.32,,                              5.31,                              5.31,                  5523,,,
8422,2015年01月01日至2015年03月31日,,                550406,,                137932,                412474,                412474,,,                 67107,,                  2289,                 69396,                343078,,,,                  5087,                    764,                  5851,,,,,                     10,                 -2193,                  3658,                346736,,                 48974,                297762,                297762,,,                    -93,                    -93,                    -93,                297669,,                298009,                   -247,,                297887,                   -218,,                              2.74,                              2.74,,                              2.73,                              2.73,                  2183,,,
8422,2014年第3季,,                499756,,                170271,                329485,                329485,,,                 71131,,                  2503,                 73634,                255851,,,,                  5457,                     84,                  5541,,                     26,                  5502,                              0,                              0,                  5528,                 11069,                266920,,                 34971,                231949,                231949,,,                    762,                    762,                    762,                232711,,                232156,                   -207,,                232858,                   -147,,                              2.13,                              2.13,,                              2.13,                              2.13,,,,
8422,2014年第2季,,                549624,,                175807,                373817,                373817,,,                 72727,,                  2851,                 75578,                298239,,,,                  5995,                    618,                  6613,,,,,                     46,                 -3881,                  2732,                300971,,                 68038,                232933,                232933,,,                   -512,                   -512,                   -512,                232421,,                232933,                              0,,                232421,                              0,,                              2.14,                              2.14,,                              2.14,                              2.14,                  3835,,,
8422,2014年度,,              2128475,,                661769,              1466706,              1466706,,,                262028,,                 17298,                279326,              1187380,,,,                 21538,                  1122,                 22660,,,                  7610,,                    880,                  6730,                 29390,              1216770,,                190695,              1026075,              1026075,,,,,                 -1809,              1024266,,              1026494,                   -419,,              1024552,                   -286,,                              9.43,                              9.43,,                              9.41,                              9.41,,                    626,                 -2768,                   -333
8422,2014年01月01日至2014年09月30日,,              1584477,,                506137,              1078340,              1078340,,,                201733,,                  8130,                209863,                868477,,,,                 17105,                    886,                 17991,,                              0,                    485,                              0,                     20,                    465,                 18456,                886933,,                143562,                743371,                743371,,,                    104,                    104,                    104,                743475,,                743578,                   -207,,                743622,                   -147,,                              6.83,                              6.83,,                              6.82,                              6.82,,,,
8422,2014年01月01日至2014年06月30日,,              1084721,,                335866,                748855,                748855,,,                130602,,                  5627,                136229,                612626,,,,                 11648,                    802,                 12450,,,,,                     46,                 -5063,                  7387,                620013,,                108591,                511422,                511422,,,                   -658,                   -658,                   -658,                510764,,                511422,                              0,,                510764,                              0,,                              4.70,                              4.70,,                              4.69,                              4.69,                  5017,,,
