證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
5906,2015年第3季,,                202404,,                166177,                 36227,                 36227,,,                136303,,                 22558,                158861,               -122634,,,                  2096,,                 -4446,,                    541,                 -2891,               -125525,,                    867,               -126392,               -126392,,,                 17671,                 17671,                 17671,               -108721,,               -126392,                              0,                              0,,               -108721,                              0,                              0,,                             -1.31,                             -1.31,
5906,2015年第2季,,                220538,,                196820,                 23718,                 23718,,,                190080,,                 27779,                217859,               -194141,,,                 25967,,                 -6424,,                  1724,                 17819,               -176322,,                   -869,               -175453,               -175453,,,                -10484,                -10484,                -10484,               -185937,,               -175453,,,,               -185937,,,,                             -1.82,                             -1.82,
5906,2015年01月01日至2015年09月30日,,                831872,,                592740,                239132,                239132,,,                581941,,                 73278,                655219,               -416087,,,                 50886,,                -14122,,                  5916,                 30848,               -385239,,                    631,               -385870,               -385870,,,                  1531,                  1531,                  1531,               -384339,,               -385870,                              0,                              0,,               -384339,                              0,                              0,,                             -4.01,                             -4.01,
5906,2015年01月01日至2015年06月30日,,                629468,,                426563,                202905,                202905,,,                445638,,                 50720,                496358,               -293453,,,                 48790,,                 -9676,,                  5375,                 33739,               -259714,,                   -236,               -259478,               -259478,,,                -16140,                -16140,                -16140,               -275618,,               -259478,,,,               -275618,,,,                             -2.69,                             -2.69,
5906,2015年01月01日至2015年03月31日,,                408930,,                229743,                179187,                179187,,,                255558,,                 22941,                278499,                -99312,,,                 22823,,                 -3252,,                  3651,                 15920,                -83392,,                    633,                -84025,                -84025,,,                 -5656,                 -5656,                 -5656,                -89681,,                -84025,,,,                -89681,,,,                             -0.87,                             -0.87,
5906,2014年第3季,,                273510,,                195961,                 77549,                 77549,,,                235395,,                 44975,                280370,               -202821,,,                  3323,,                 -2707,,                  6977,                 -6361,               -209182,,                  1969,               -211151,               -211151,,,                 21851,                 21851,                 21851,               -189300,,               -211151,                              0,                              0,,               -189300,                              0,                              0,,                             -2.19,                             -2.19,
5906,2014年第2季,,                287659,,                192483,                 95176,                 95176,,,                239848,,                 26772,                266620,               -171444,,,                    280,,                 -2135,,                  5622,                 -7477,               -178921,,                  1054,               -179975,               -179975,,,                -19191,                -19191,                -19191,               -199166,,               -179975,,,,               -199166,,,,                             -1.87,                             -1.87,
5906,2014年度,,              1577731,,              1120737,                456994,                456994,,,              1166541,,                140291,              1306832,               -849838,,,                 26515,,                293220,,                 21814,                297921,               -551917,,                  4417,               -556334,               -556334,,,,,                 28027,               -528307,,               -556334,,,,               -528307,,,,                             -5.78,                             -5.78,                 28027
5906,2014年01月01日至2014年09月30日,,              1096288,,                693588,                402700,                402700,,,                844563,,                 99486,                944049,               -541349,,,                  4590,,                 -9158,,                 18305,                -22873,               -564222,,                  5136,               -569358,               -569358,,,                  1498,                  1498,                  1498,               -567860,,               -569358,                              0,                              0,,               -567860,                              0,                              0,,                             -5.91,                             -5.91,
5906,2014年01月01日至2014年06月30日,,                822778,,                497627,                325151,                325151,,,                609168,,                 54511,                663679,               -338528,,,                  1267,,                 -6451,,                 11328,                -16512,               -355040,,                  3167,               -358207,               -358207,,,                -20353,                -20353,                -20353,               -378560,,               -358207,,,,               -378560,,,,                             -3.72,                             -3.72,
