證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3550,2013年度,,,              4171620,              4171620,,,              3555687,              3555687,                615933,                615933,,,                160500,,                277581,,                 44246,                482327,                133606,,,                 23434,,                  6633,,                 15964,,                  1144,                 15247,                148853,,                 52195,                 96658,                 96658,,,,,                 73644,                170302,,                 91374,                  5284,,                160732,                  9570,,                              1.07,,                              1.07,                 72923,                    721
3550,2013年07月01日至2013年09月30日,,,              1068986,              1068986,,,                911122,                911122,                157864,                157864,,,                 38375,,                 69762,,                 10769,                118906,                 38958,,,                  6513,,                 -8482,,                  3974,,                   -492,                 -6435,                 32523,,                  9017,                 23506,                 23506,,,,,                -12526,                 10980,,                 21905,                  1601,,                 10028,                    952,,                              0.26,,                              0.26,                -12526,
3550,2013年04月01日至2013年06月30日,,,              1074852,              1074852,,,                913245,                913245,                161607,                161607,,,                 38215,,                 70312,,                 11482,                120009,                 41598,,,                  5928,,                  2476,,                  4063,,                  1430,                  5771,                 47369,,                 14264,                 33105,                 33105,,,,,                 23665,                 56770,,                 31034,                  2071,,                 53321,                  3449,,                              0.37,,                              0.37,                 23665,
3550,2013年01月01日至2013年12月31日,,,              4171620,              4171620,,,              3555687,              3555687,                615933,                615933,,,                160500,,                277581,,                 44246,                482327,                133606,,,                 23434,,                  6633,,                 15964,,                  1144,                 15247,                148853,,                 52195,                 96658,                 96658,,,,,                 73644,                170302,,                 91374,                  5284,,                160732,                  9570,,                              1.07,,                              1.07,                 72923,                    721
3550,2013年01月01日至2013年09月30日,,,              3068824,              3068824,,,              2621136,              2621136,                447688,                447688,,,                113459,,                206430,,                 32168,                352057,                 95631,,,                 17399,,                  2199,,                 11921,,                  1570,                  9247,                104878,,                 33620,                 71258,                 71258,,,,,                 48307,                119565,,                 67721,                  3537,,                113030,                  6535,,                              0.80,,                              0.79,                 48307,
3550,2013年01月01日至2013年06月30日,,,              1999838,              1999838,,,              1712955,              1712955,                286883,                286883,,,                 75084,,                136668,,                 21399,                233151,                 53732,,,                 10886,,                 13622,,                  7947,,                  2062,                 18623,                 72355,,                 24603,                 47752,                 47752,,,,,                 60833,                108585,,                 45816,                  1936,,                103002,                  5583,,                              0.54,,                              0.54,                 60833,
3550,2013年01月01日至2013年03月31日,,,                924986,                924986,,,                799110,                799110,                125876,                125876,,,                 36869,,                 66356,,                  9917,                113142,                 12734,,,                  4958,,                 10546,,                  3884,,                    632,                 12252,                 24986,,                 10339,                 14647,                 14647,,,,,                 37168,                 51815,,                 14782,                   -135,,                 49681,                  2134,,                              0.17,,                              0.17,                 37168,
3550,2012年07月01日至2012年09月30日,,,              1080435,              1080435,,,                929060,                929060,                151375,                151375,,,                 37688,,                 71610,,                  8789,                118087,                 33288,,,                  4495,,                -18371,,                  4255,,                  2310,                -15821,                 17467,,                 17172,                    295,                    295,,,,,                -22252,                -21957,,                   -710,                  1005,,                -24180,                  2223,,                             -0.01,,                             -0.01,                -22252,
3550,2012年04月01日至2012年06月30日,,,              1038970,              1038970,,,                907940,                907940,                131030,                131030,,,                 35481,,                 76271,,                  8761,                120513,                 10517,,,                  3449,,                  4542,,                  4398,,                  1534,                  5127,                 15644,,                 12367,                  3277,                  3277,,,,,                  7541,                 10818,,                  1602,                  1675,,                  8786,                  2032,,                              0.02,,                              0.02,                  7541,
3550,2012年01月01日至2012年12月31日,,,              4086334,              4086334,,,              3550753,              3550753,                535581,                535581,,,                143657,,                291094,,                 34551,                469302,                 66279,,,                 20788,,                -46434,,                 16766,,                  3486,                -38926,                 27353,,                 48282,                -20929,                -20929,,,,,                -36446,                -57375,,                -26274,                  5345,,                -62839,                  5464,,                             -0.31,,                             -0.31,                -40734,                  4288
3550,2012年01月01日至2012年09月30日,,,              3068273,              3068273,,,              2664053,              2664053,                404220,                404220,,,                104137,,                218265,,                 26008,                348410,                 55810,,,                 12603,,                -32325,,                 12705,,                  3293,                -29134,                 26676,,                 38588,                -11912,                -11912,,,,,                -40833,                -52745,,                -15927,                  4015,,                -56877,                  4132,,                             -0.19,,                             -0.19,                -40833,
3550,2012年01月01日至2012年06月30日,,,              1987838,              1987838,,,              1734993,              1734993,                252845,                252845,,,                 69795,,                146655,,                 17219,                233669,                 19176,,,                 11454,,                -13954,,                  8450,,                    983,                 -9967,                  9209,,                 21416,                -12207,                -12207,,,,,                -18581,                -30788,,                -15217,                  3010,,                -32697,                  1909,,                             -0.18,,                             -0.18,                -18581,
3550,2012年01月01日至2012年03月31日,,,                948868,                948868,,,                827053,                827053,                121815,                121815,,,                 34314,,                 70384,,                  8458,                113156,                  8659,,,                  8005,,                -18496,,                  4052,,                   -551,                -15094,                 -6435,,                  9049,                -15484,                -15484,,,,,                -26122,                -41606,,                -16819,                  1335,,                -41483,                   -123,,                             -0.20,,                             -0.20,                -26122,
