證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 當期所得稅費用（利益）
3698,2015年第3季,,,,              3593239,                 75456,              3517783,              3517783,,,              3218276,              3218276,              3218276,                299507,                299507,,,                138630,,                107843,,                142321,                388794,                -89287,,,                 17676,,                127609,,                 19695,,                  1809,                127399,                 38112,,                  2192,                 35920,                 35920,,,                230453,                 -9971,                              0,                220482,                220482,                256402,,                 35920,                              0,,                256402,                              0,,                              0.06,,                              0.06,,,,,,,
3698,2015年第2季,,,,              3625484,                 25620,              3599864,              3599864,,,              3214807,              3214807,              3214807,                385057,                385057,,,                 98536,,                116939,,                139269,                354744,                 30313,,,                 17484,,                 15878,,                 23348,,                  3945,                 13959,                 44272,,                  3485,                 40787,                 40787,,,                -36389,                -22234,                              0,                -58623,                -58623,                -17836,,                 43155,                 -2368,,                -15086,                 -2750,,                              0.07,,                              0.07,,,,,,,
3698,2015年01月01日至2015年09月30日,,,,             10747716,                128173,             10619543,             10619543,,,              9399662,              9399662,              9399662,              1219881,              1219881,,,                326601,,                351358,,                413770,              1091729,                128152,,,                 46974,,                152541,,                 67603,,                  3171,                135083,                263235,,                 26937,                236298,                236298,,,                151984,                -32879,                              0,                119105,                119105,                355403,,                241739,                 -5441,,                361583,                 -6180,,                              0.39,,                              0.38,,,,,,,
3698,2015年01月01日至2015年06月30日,,,,              7154477,                 52717,              7101760,              7101760,,,              6181386,              6181386,              6181386,                920374,                920374,,,                187971,,                243515,,                271449,                702935,                217439,,,                 29298,,                 24932,,                 47908,,                  1362,                  7684,                225123,,                 24745,                200378,                200378,,,                -78469,                -22908,                              0,               -101377,               -101377,                 99001,,                205819,                 -5441,,                105181,                 -6180,,                              0.33,,                              0.33,,,,,,,
3698,2015年01月01日至2015年03月31日,,,,              3528993,                 27097,              3501896,              3501896,,,              2966579,              2966579,              2966579,                535317,                535317,,,                 89435,,                126576,,                132180,                348191,                187126,,,                 11814,,                  9054,,                 24560,,                 -2583,                 -6275,                180851,,                 21260,                159591,                159591,,,                -42080,                   -674,                              0,                -42754,                -42754,                116837,,                162664,                 -3073,,                120267,                 -3430,,                              0.26,,                              0.25,,,,,,,
3698,2014年第3季,,,,              4197774,                 24889,              4172885,              4172885,,,              3470564,              3470564,              3470564,                702321,                702321,,,                 85984,,                135725,,                112689,                334398,                367923,,,                 18633,,                  5431,,                 27039,,                 -1495,                 -4470,                363453,,                 54185,                309268,                309268,,,                 48377,                 -9433,                              0,                 38944,                 38944,                348212,,                312553,                 -3285,,                351385,                 -3173,,                              0.59,,                              0.54,,,,,,,
3698,2014年第2季,,,,              3823781,                 31091,              3792690,              3792690,,,              3244609,              3244609,              3244609,                548081,                548081,,,                 83094,,                147888,,                 97923,                328905,                219176,,,                 18178,,                -21850,,                 30898,,                  2132,                -32438,                186738,,                 23342,                163396,                163396,,,                -61293,                -18864,                              0,                -80157,                -80157,                 83239,,                167568,                 -4172,,                 87513,                 -4274,,                              0.32,,                              0.29,,,,,,,
3698,2014年度,,,,             14633145,                116008,             14517137,             14517137,,,             12392047,             12392047,             12392047,              2125090,              2125090,,,                338134,,                554000,,                432110,              1324244,                800846,,,                 69055,,                 14588,,                132388,,                -12694,                -61439,                739407,,                123745,                615662,                615662,,,,,,,                141547,                757209,,                629860,                -14198,,                771365,                -14156,,                              1.17,,                              1.09,                185770,                -47162,                  2939,                              0,,,
3698,2014年01月01日至2014年09月30日,,,,             11258091,                 70132,             11187959,             11187959,,,              9536085,              9536085,              9536085,              1651874,              1651874,,,                248440,,                439815,,                306311,                994566,                657308,,,                 54354,,                -28145,,                100642,,                 -9291,                -83724,                573584,,                 79860,                493724,                493724,,,                 43877,                -39077,                              0,                  4800,                  4800,                498524,,                506854,                -13130,,                511631,                -13107,,                              0.96,,                              0.89,,,,,,,
3698,2014年01月01日至2014年06月30日,,,,              7060317,                 45243,              7015074,              7015074,,,              6065521,              6065521,              6065521,                949553,                949553,,,                162456,,                304090,,                193622,                660168,                289385,,,                 35721,,                -33576,,                 73603,,                 -7796,                -79254,                210131,,                 25675,                184456,                184456,,,                 -4500,                -29644,                              0,                -34144,                -34144,                150312,,                194301,                 -9845,,                160246,                 -9934,,                              0.37,,                              0.36,,,,,,,
