證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 當期所得稅費用（利益）,　　 共同控制下前手權益（綜合損益）
1903,2015年第3季,,                 36221,,                 46965,                -10744,                -10744,,,                  7407,,                 47830,,                    715,                 55952,                -66696,,,                 68516,,                   -196,,                  5219,                 63101,                 -3595,,                              0,                 -3595,,                              0,                 -3595,,,                              0,                              0,,                              0,               -116711,                              0,                              0,                              0,,                              0,                              0,                              0,               -116711,               -116711,               -120306,,                 -3595,                              0,,               -120306,                              0,,                             -0.01,,,,
1903,2015年第2季,,                 66536,,                 75474,                 -8938,                 -8938,,,                  7773,,                 48386,,                  1324,                 57483,                -66421,,,                  5985,,                   -702,,                  5409,                   -126,                -66547,,                              0,                -66547,,                              0,                -66547,,,,,,,               -421397,,,,,,,,               -421397,               -421397,               -487944,,                -66547,                              0,,               -487944,                              0,,                             -0.26,,,,
1903,2015年01月01日至2015年09月30日,,                185823,,                207613,                -21790,                -21790,,,                 22475,,                138827,,                  3471,                164773,               -186563,,,                 82904,,                  2656,,                 16013,                 69547,               -117016,,                              0,               -117016,,                              0,               -117016,,,                              0,                              0,,                              0,               -212661,                              0,                              0,                              0,,                              0,                              0,                              0,               -212661,               -212661,               -329677,,               -117016,                              0,,               -329677,                              0,,                             -0.45,,,,
1903,2015年01月01日至2015年06月30日,,                149602,,                160648,                -11046,                -11046,,,                 15068,,                 90997,,                  2756,                108821,               -119867,,,                 14388,,                  2852,,                 10794,                  6446,               -113421,,                              0,               -113421,,                              0,               -113421,,,,,,,                -95950,,,,,,,,                -95950,                -95950,               -209371,,               -113421,                              0,,               -209371,                              0,,                             -0.44,,,,
1903,2015年01月01日至2015年03月31日,,                 83066,,                 85174,                 -2108,                 -2108,,,                  7295,,                 42611,,                  1432,                 51338,                -53446,,,                  8403,,                  3554,,                  5385,                  6572,                -46874,,                              0,                -46874,,                              0,                -46874,,,,,,,                325447,,,,,,,,                325447,                325447,                278573,,                -46874,                              0,,                278573,                              0,,                             -0.18,,,,
1903,2014年第3季,,                415825,,                381046,                 34779,                 34779,,,                 26860,,                100677,,                  1466,                129003,                -94224,,,                 29721,,                  4335,,                  4656,                 29400,                -64824,,                              0,                -64824,,                              0,                -64824,,,                   -964,                   -964,,                              0,                191580,                              0,                              0,                              0,,                              0,                              0,                              0,                191580,                190616,                125792,,                -64824,                              0,,                125792,                              0,,                             -0.25,,,,
1903,2014年第2季,,                470681,,                433453,                 37228,                 37228,,,                 30766,,                 32341,,                  2287,                 65394,                -28166,,,                  5620,,                   -523,,                  4792,                    305,                -27861,,                              0,                -27861,,                              0,                -27861,,,,,,,                 18786,,,,,,,,                 18786,                 18786,                 -9075,,                -27861,                              0,,                 -9075,                              0,,                             -0.11,,,,
1903,2014年度,,              1552109,,              1470284,                 81825,                 81825,,,                 99134,,                214444,,                  6525,                320103,               -238278,,,                 57324,,               -245669,,                 18710,               -207055,               -445333,,                              0,               -445333,,                              0,               -445333,,,,,,,,,,,,,,,,                363041,                -82292,,               -445333,                              0,,                -82292,                              0,,                             -1.71,                363342,                   -301,,
1903,2014年01月01日至2014年09月30日,,              1250819,,              1164285,                 86534,                 86534,,,                 83437,,                164702,,                  5583,                253722,               -167188,,,                 38940,,                -70278,,                 13728,                -45066,               -212254,,                              0,               -212254,,                              0,               -212254,,,                   -964,                   -964,,                              0,                185536,                              0,                              0,                              0,,                              0,                              0,                              0,                185536,                184572,                -27682,,               -212254,                              0,,                -27682,                              0,,                             -0.82,,,,
1903,2014年01月01日至2014年06月30日,,                834994,,                783239,                 51755,                 51755,,,                 56577,,                 64025,,                  4117,                124719,                -72964,,,                  9219,,                -74613,,                  9072,                -74466,               -147430,,                              0,               -147430,,                              0,               -147430,,,,,,,                 -6044,,,,,,,,                 -6044,                 -6044,               -153474,,               -147430,                              0,,               -153474,                              0,,                             -0.57,,,,
1903,2014年01月01日至2014年03月31日,,                364313,,                349786,                 14527,                 14527,,,                 25811,,                 31684,,                  1830,                 59325,                -44798,,,                  3599,,                -74090,,                  4280,                -74771,               -119569,,                              0,               -119569,,                              0,               -119569,,,,,,,                -24830,,,,,,,,                -24830,                -24830,               -144399,,               -119569,                              0,,               -144399,                              0,,                             -0.46,,,,
1903,2013年第3季,,                488059,,                480361,                  7698,                  7698,,,                 32412,,                 31918,,                  2269,                 66599,                -58901,,,                 26870,,                 -1481,,                  3516,                 21873,                -37028,,                              0,                -37028,,                              0,                -37028,,,,,,,,,,,,,,,,                 45097,                  8069,,                -37028,                              0,,                  8069,                              0,,                             -0.14,                 45097,                              0,,
1903,2013年第2季,,                567253,,                506072,                 61181,                 61181,,,                 36717,,                 31929,,                  2841,                 71487,                -10306,,,                  4522,,                  1586,,                  3446,                  2662,                 -7644,,                              0,                 -7644,,                              0,                 -7644,,,,,,,,,,,,,,,,                -14323,                -21967,,                 -7644,                              0,,                -21967,                              0,,                             -0.03,                -14323,,,
1903,2013年度,,              2012098,,              1938793,                 73305,                 73305,,,                133164,,                127797,,                  9946,                270907,               -197602,,,                 39154,,                  1364,,                 14205,                 26313,               -171289,,                     -1,               -171288,,                              0,               -171288,,,,,,,,,,,,,,,,                -28742,               -200030,,               -171288,                              0,,               -200030,                              0,,                             -0.66,                -31034,                  2292,,
1903,2013年07月01日至2013年09月30日,,                488059,,                480361,                  7698,                  7698,,,                 32412,,                 31918,,                  2269,                 66599,                -58901,,,                 26870,,                 -1481,,                  3516,                 21873,                -37028,,                              0,                -37028,,,                -37028,,,,,,,,,,,,,,,,                 45097,                  8069,,                -37028,                              0,,                  8069,                              0,,                             -0.14,                 45097,,                              0,                              0
1903,2013年04月01日至2013年06月30日,,                567253,,                506072,                 61181,                 61181,,,                 36717,,                 31929,,                  2841,                 71487,                -10306,,,                  4522,,                  1586,,                  3446,                  2662,                 -7644,,                              0,                 -7644,,,                 -7644,,,,,,,,,,,,,,,,                -14323,                -21967,,                 -7644,,,                -21967,,,                             -0.03,                -14323,,,
1903,2013年01月01日至2013年12月31日,,              2012098,,              1938793,                 73305,                 73305,,,                133164,,                127797,,                  9946,                270907,               -197602,,,                 39154,,                  1364,,                 14205,                 26313,               -171289,,                     -1,               -171288,,,               -171288,,,,,,,,,,,,,,,,                -28742,               -200030,,               -171288,                              0,,               -200030,                              0,,                             -0.66,                -31034,                  2292,,
1903,2013年01月01日至2013年09月30日,,              1569913,,              1479707,                 90206,                 90206,,,                102654,,                 94818,,                  7980,                205452,               -115246,,,                 34827,,                  1292,,                 10272,                 25847,                -89399,,                     -1,                -89398,,                              0,                -89398,,,,,,,,,,,,,,,,                 10578,                -78820,,                -89398,                              0,,                -78820,                              0,,                             -0.34,                 10578,                              0,                     -1,                              0
1903,2013年01月01日至2013年06月30日,,              1081854,,                999346,                 82508,                 82508,,,                 70242,,                 62900,,                  5711,                138853,                -56345,,,                  7957,,                  2773,,                  6756,                  3974,                -52371,,                     -1,                -52370,,                              0,                -52370,,,,,,,,,,,,,,,,                -34519,                -86889,,                -52370,                              0,,                -86889,                              0,,                             -0.20,                -34519,,,
1903,2013年01月01日至2013年03月31日,,                514601,,                493274,                 21327,                 21327,,,                 33525,,                 30971,,                  2870,                 67366,                -46039,,,                  3435,,                  1187,,                  3310,                  1312,                -44727,,                     -1,                -44726,,,                -44726,,,,,,,,,,,,,,,,                -20196,                -64922,,                -44726,                              0,,                -64922,                              0,,                             -0.17,                -20196,,,
1903,2012年07月01日至2012年09月30日,,                530473,,                493263,                 37210,                 37210,,,                 35525,,                 31116,,                  2838,                 69479,                -32269,,,                  7362,,                  1688,,                  3011,                  6039,                -26230,,                              0,                -26230,,,                -26230,,,,,,,,,,,,,,,,                 57080,                 30850,,                -26230,                              0,,                 30850,                              0,,                             -0.10,                 57080,,                              0,                              0
1903,2012年04月01日至2012年06月30日,,                594830,,                534235,                 60595,                 60595,,,                 39874,,                 32465,,                  4110,                 76449,                -15854,,,                  5716,,                  1655,,                  2995,                  4376,                -11478,,                              0,                -11478,,,                -11478,,,,,,,,,,,,,,,,                -70325,                -81803,,                -11478,,,                -81803,,,                             -0.04,                -70325,,,
1903,2012年01月01日至2012年12月31日,,              2117642,,              2015885,                101757,                101757,,,                137359,,                126565,,                 14795,                278719,               -176962,,,                 25200,,                 -2153,,                 12095,                 10952,               -166010,,                              0,               -166010,,,               -166010,,,,,,,,,,,,,,,,                 59700,               -106310,,               -166010,                              0,,               -106310,                              0,,                             -0.64,                 66742,                 -7042,,
1903,2012年01月01日至2012年09月30日,,              1585999,,              1487788,                 98211,                 98211,,,                106385,,                 94321,,                  9765,                210471,               -112260,,,                 18917,,                  2562,,                  8909,                 12570,                -99690,,                              0,                -99690,,,                -99690,,,,,,,,,,,,,,,,                 57211,                -42479,,                -99690,                              0,,                -42479,                              0,,                             -0.38,                 57211,,                              0,                              0
1903,2012年01月01日至2012年06月30日,,              1055526,,                994525,                 61001,                 61001,,,                 70860,,                 63205,,                  6927,                140992,                -79991,,,                 11555,,                    874,,                  5898,                  6531,                -73460,,                              0,                -73460,,,                -73460,,,,,,,,,,,,,,,,                    131,                -73329,,                -73460,,,                -73329,,,                             -0.28,                    131,,,
1903,2012年01月01日至2012年03月31日,,                460696,,                460290,                    406,                    406,,,                 30986,,                 30740,,                  2817,                 64543,                -64137,,,                  5839,,                   -781,,                  2903,                  2155,                -61982,,                              0,                -61982,,,                -61982,,,,,,,,,,,,,,,,                 70456,                  8474,,                -61982,                              0,,                  8474,                              0,,                             -0.24,                 70456,,,
