證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3037,2015年第3季,,             17395367,,             15678990,              1716377,              1716377,,,                363057,,                604741,,                493424,              1461222,,                -14838,                240317,,,                207485,,                -48973,,                137726,,                -31182,                -10396,                229921,,                 96507,                133414,                133414,,,,                              0,                              0,,                467410,                -72031,,                  9069,                154659,                249789,                249789,                383203,,                157981,                -24567,,                536249,               -153046,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,
3037,2015年第2季,,             16243811,,             14908480,              1335331,              1335331,,,                417111,,                604760,,                479165,              1501036,,                 44286,               -121419,,,                285926,,               -344791,,                139131,,                -27265,               -225261,               -346680,,                -12073,               -334607,               -334607,,,,                              0,                              0,,               -224841,                -60025,,                -13879,                -34354,               -264391,               -264391,               -598998,,               -215601,               -119006,,               -465254,               -133744,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,,,,,,
3037,2015年01月01日至2015年09月30日,,             47062348,,             43351047,              3711301,              3711301,,,              1091592,,              1807541,,              1441775,              4340908,,                 15864,               -613743,,,                668907,,               -426227,,                396268,,               -100532,               -254120,               -867863,,                -24426,               -843437,               -843437,,,,                 -1482,                 -1482,,                 41521,                -79631,,                 -8916,                 97581,               -144607,               -146089,               -989526,,               -614249,               -229188,,               -626040,               -363486,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,
3037,2015年01月01日至2015年06月30日,,             29666981,,             27672057,              1994924,              1994924,,,                728535,,              1202800,,                948351,              2879686,,                 30702,               -854060,,,                461422,,               -377254,,                258542,,                -69350,               -243724,             -1097784,,               -120933,               -976851,               -976851,,,,                 -1482,                 -1482,,               -425889,                 -7600,,                -17985,                -57078,               -394396,               -395878,             -1372729,,               -772230,               -204621,,             -1162289,               -210440,,                             -0.51,                             -0.51,,                             -0.51,                             -0.51,,,,,,
3037,2015年01月01日至2015年03月31日,,             13423170,,             12763577,                659593,                659593,,,                311424,,                598040,,                469186,              1378650,,                -13584,               -732641,,,                175496,,                -32463,,                119411,,                -42085,                -18463,               -751104,,               -108860,               -642244,               -642244,,,,                 -1482,                 -1482,,               -201048,                 52425,,                 -4106,                -22724,               -130005,               -131487,               -773731,,               -556629,                -85615,,               -697035,                -76696,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,,,,,,
3037,2014年第3季,,             16480488,,             14638819,              1841669,              1841669,,,                278420,,                575514,,                461346,              1315280,,                -38937,                487452,,,                186443,,                 21871,,                118152,,                  8567,                 98729,                586181,,                111753,                474428,                474428,,,,                              0,                              0,,                391088,                -46633,,                  8155,                 46196,                306414,                306414,                780842,,                423549,                 50879,,                703783,                 77059,,                              0.28,                              0.28,,                              0.27,                              0.27,,,,,,
3037,2014年第2季,,             15088358,,             13655314,              1433044,              1433044,,,                284898,,                535941,,                439181,              1260020,,                 29896,                202920,,,                175811,,                  4867,,                120465,,                  8907,                 69120,                272040,,                   -325,                272365,                272365,,,,                              0,                              0,,               -299635,                 45187,,                 -4770,                -50672,               -208546,               -208546,                 63819,,                253038,                 19327,,                 43816,                 20003,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,
3037,2014年度,,             61755106,,             55596186,              6158920,              6158920,,,              1094453,,              2251726,,              1797892,              5144071,,                 40372,              1055221,,,                720298,,               -865902,,                481514,,                -23416,               -650534,                404687,,                 43500,                361187,                361187,,,,,,,,,,,,,                321795,                682982,,                497179,               -135992,,                907994,               -225012,,                              0.32,                              0.32,,                              0.32,                              0.32,                380855,                 69516,                  2466,,                 13182,                144224
3037,2014年01月01日至2014年09月30日,,             45124369,,             40607816,              4516553,              4516553,,,                796386,,              1659795,,              1311869,              3768050,,                 33486,                781989,,,                501546,,                -11719,,                349931,,                 20866,                160762,                942751,,                138905,                803846,                803846,,,,                              0,                              0,,                -44276,                 46110,,                  8946,                 46062,                -35282,                -35282,                768564,,                763864,                 39982,,                809189,                -40625,,                              0.50,                              0.50,,                              0.49,                              0.49,,,,,,
3037,2014年01月01日至2014年06月30日,,             28643881,,             25968997,              2674884,              2674884,,,                517966,,              1084281,,                850523,              2452770,,                 72423,                294537,,,                315103,,                -33590,,                231779,,                 12299,                 62033,                356570,,                 27152,                329418,                329418,,,,                              0,                              0,,               -435364,                 92743,,                    791,                   -134,               -341696,               -341696,                -12278,,                340315,                -10897,,                105406,               -117684,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,
