證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 股利收入,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 備供出售金融資產未實現評價損益,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
6191,2015年第3季,,              5672673,,              5135380,                537293,                537293,,,                122172,,                369609,,                 32107,                523888,                 13405,,,,                 32702,                              0,                 23276,                 55978,,                  5881,                              0,                -14649,                  3858,                   -666,                 -4244,,                 41248,,                  1586,                 12072,                 25477,,                    765,                 24712,                 24712,,,                674569,                  3555,,                 26089,                704213,                704213,                728925,,                 23775,                    937,,                726067,                  2858,,                              0.04,,,,,,,,,,,
6191,2015年第2季,,              5474525,,              5025856,                448669,                448669,,,                144275,,                277086,,                 25988,                447349,                  1320,,,,                 33363,                              0,                 53323,                 86686,,                 63189,                              0,                 -2942,                  3328,                  2155,                 61420,,                 38040,,                 -3006,                107060,                108380,,                 30523,                 77857,                 77857,,,               -156629,,,                 -9883,               -166512,               -166512,                -88655,,                 72516,                  5341,,                -93489,                  4834,,                              0.14,,,,,,,,,,,
6191,2015年01月01日至2015年09月30日,,             16958372,,             15586966,              1371406,              1371406,,,                427100,,              1061859,,                 84318,              1573277,               -201871,,,,                106651,                  4155,                 96703,                207509,,                 69066,                    129,                -14616,                 14995,                  2663,                 66911,,                127140,,                 -2833,                144447,                -57424,,                 66959,               -124383,               -124383,,,                396710,                  3555,,                  9290,                409555,                409555,                285172,,               -129784,                  5401,,                278687,                  6485,,                             -0.24,,,,,,,,,,,
6191,2015年01月01日至2015年06月30日,,             11285699,,             10451586,                834113,                834113,,,                304928,,                692250,,                 52211,              1049389,               -215276,,,,                 73949,                  4155,                 73427,                151531,,                 63185,                    129,                     33,                 11137,                  3329,                 71155,,                 85892,,                 -4419,                132375,                -82901,,                 66194,               -149095,               -149095,,,               -277859,,,                -16799,               -294658,               -294658,               -443753,,               -153559,                  4464,,               -447380,                  3627,,                             -0.29,,,,,,,,,,,
6191,2015年01月01日至2015年03月31日,,              5811174,,              5425730,                385444,                385444,,,                160653,,                415164,,                 26223,                602040,               -216596,,,,                 40586,                  4155,                 20104,                 64845,,                     -4,                    129,                  2975,                  7809,                  1174,                  9735,,                 47852,,                 -1413,                 25315,               -191281,,                 35671,               -226952,               -226952,,,               -121230,,,                 -6916,               -128146,               -128146,               -355098,,               -226075,                   -877,,               -353891,                 -1207,,                             -0.43,,,,,,,,,,,
6191,2014年第3季,,              7873117,,              7263245,                609872,                609872,,,                164590,,                356493,,                 35619,                556702,                 53170,,,,                 56404,                              0,                 25155,                 81559,,                 -2513,                              0,                 30982,                  4671,                  3230,                 29910,,                 50993,,                  6105,                 66581,                119751,,                 20747,                 99004,                 99004,,,                212038,                              0,,                  6924,                218962,                218962,                317966,,                 97633,                  1371,,                315844,                  2122,,                              0.18,,,,,,,,,,,
6191,2014年第2季,,              7645257,,              7068662,                576595,                576595,,,                136900,,                355677,,                 34653,                527230,                 49365,,,,                 47030,                              0,                 21427,                 68457,,                   -510,                              0,                 -1867,                  3325,                   -139,                  1087,,                 55028,,                  4107,                 18623,                 67988,,                 32093,                 35895,                 35895,,,               -217180,,,                 -1337,               -218517,               -218517,               -182622,,                 32420,                  3475,,               -185535,                  2913,,                              0.06,,,,,,,,,,,
6191,2014年度,,             30057535,,             27711873,              2345662,              2345662,,,                580802,,              1462634,,                135405,              2178841,                166821,,,,                186019,                 10120,                103071,                299210,,                 25791,,                -90237,                 27956,                 24886,                -61376,,                211613,,                 28519,                 54740,                221561,,                 81025,                140536,                140536,,,,,,,,                656465,                797001,,                135107,                  5429,,                790153,                  6848,,                              0.25,                              0,,                              0,                631895,                  1429,,                 23341,                    200,,,
6191,2014年01月01日至2014年09月30日,,             22911317,,             21163167,              1748150,              1748150,,,                445940,,              1074281,,                104480,              1624701,                123449,,,,                135939,                  5476,                 75638,                217053,,                 25417,                              0,                -56481,                 18717,                  4689,                -17036,,                155522,,                 22833,                 67328,                190777,,                 72796,                117981,                117981,,,                207434,                              0,,                  5285,                212719,                212719,                330700,,                112497,                  5484,,                324842,                  5858,,                              0.21,,,,,,,,,,,
6191,2014年01月01日至2014年06月30日,,             15038200,,             13899922,              1138278,              1138278,,,                281350,,                717788,,                 68861,              1067999,                 70279,,,,                 79536,                  5476,                 50482,                135494,,                 27930,                              0,                -87463,                 14046,                  1459,                -46946,,                104529,,                 16728,                    747,                 71026,,                 52049,                 18977,                 18977,,,                 -4604,,,                 -1639,                 -6243,                 -6243,                 12734,,                 14864,                  4113,,                  8998,                  3736,,                              0.03,,,,,,,,,,,
