證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資損失,　　　　 投資損失合計,　　　 投資支出（投資公司適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 手續費收入,　　　　 手續費收入合計,　　　　 待出售非流動資產減損迴轉利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 當期所得稅費用（利益）,　　　 處分投資利益,　　　　 金融資產減損損失,　　　　 銷貨收入,　　　 銷貨退回,　　　 銷貨折讓,　　 遞延所得稅費用（利益）
2024,2015年第3季,,,,                297933,                297933,,,                 13612,                 13612,                 13612,                311545,,,                284990,                284990,,,                              0,                              0,                284990,                 26555,                 26555,,,                 12759,,                  7213,                 19972,                  6583,,,,                    192,                    192,                     65,                    257,,                  5466,                              0,,                              0,,                              0,                     50,,                              0,                  5416,,                              0,,                              0,,                  4157,                  4157,                  1516,                  8099,,                              0,                              0,                  8099,,                              0,                  8099,,,,                              0,                              0,,                              0,                              0,                              0,                  8099,,                  8099,                              0,,                  8099,                              0,,                              0.08,                              0.00,                              0.08,,                              0.08,                              0.00,                              0.08,,,,,,,,,,,,,,,,
2024,2015年第2季,,,,                370497,                370497,,,                 14158,                 14158,                 14158,                384655,,,                349546,                349546,,,                              0,                              0,                349546,                 35109,                 35109,,,                 14539,,                  8024,                 22563,                 12546,,,,,                    840,                    625,                  1465,,                              0,                              0,,                              0,,                              0,                     49,,                              0,                 -1979,,                              0,,                              0,,                  4008,                  4008,                 -4522,                  8024,,                              0,                              0,                  8024,,                              0,                  8024,,,,                              0,                              0,,                              0,                              0,                              0,                  8024,,                  8024,                              0,,                  8024,                              0,,                              0.08,                              0.00,                              0.08,,                              0.08,                              0.00,                              0.08,                  1930,                              0,,,,,,,,,,,,,,
2024,2015年01月01日至2015年09月30日,,,,              1010382,              1010382,,,                 42147,                 42147,                 42147,              1052529,,,                952760,                952760,,,                              0,                              0,                952760,                 99769,                 99769,,,                 41156,,                 23212,                 64368,                 35401,,,,                  1740,                  1740,                  1022,                  2762,,                  3158,                              0,,                              0,,                              0,                     81,,                              0,                  3077,,                              0,,                              0,,                 12378,                 12378,                 -6539,                 28862,,                              0,                              0,                 28862,,                              0,                 28862,,,,                              0,                              0,,                              0,                              0,                              0,                 28862,,                 28862,                              0,,                 28862,                              0,,                              0.28,                              0.00,                              0.28,,                              0.28,                              0.00,                              0.28,,,,,,,,,,,,,,,,
2024,2015年01月01日至2015年06月30日,,,,                712449,                712449,,,                 28535,                 28535,                 28535,                740984,,,                667770,                667770,,,                              0,                              0,                667770,                 73214,                 73214,,,                 28397,,                 15999,                 44396,                 28818,,,,,                  1548,                    957,                  2505,,                              0,                              0,,                              0,,                              0,                     31,,                              0,                 -2339,,                              0,,                              0,,                  8221,                  8221,                 -8055,                 20763,,                              0,                              0,                 20763,,                              0,                 20763,,,,                              0,                              0,,                              0,                              0,                              0,                 20763,,                 20763,                              0,,                 20763,                              0,,                              0.20,                              0.00,                              0.20,,                              0.20,                              0.00,                              0.20,                  2308,                              0,,,,,,,,,,,,,,
2024,2015年01月01日至2015年03月31日,,,,                341952,                341952,,,                 14377,                 14377,                 14377,                356329,,,                318224,                318224,,,                              0,                              0,                318224,                 38105,                 38105,,,                 13858,,                  7975,                 21833,                 16272,,,,                    708,                    708,                    332,                  1040,,                              0,                              0,,                              0,,,                    -18,,                              0,                   -360,,                              0,,                              0,,                  4213,                  4213,                 -3533,                 12739,,,                              0,                 12739,,                              0,                 12739,,,,                              0,                              0,,                              0,                              0,                              0,                 12739,,                 12739,                              0,,                 12739,                              0,,                              0.12,                              0.00,                              0.12,,                              0.12,                              0.00,                              0.12,                    378,,,,,,,,,,,,,,,
2024,2014年第3季,,,,                431369,                431369,,,                 20608,                 20608,                 20608,                451977,,,                393569,                393569,,,                              0,                              0,                393569,                 58408,                 58408,,,                 17126,,                  8429,                 25555,                 32853,,,,                    741,                    741,                    997,                  1738,,                  3234,                    173,,                              0,,                              0,                      1,,                              0,                  3406,,                              0,,                              0,,                  4655,                  4655,                    489,                 33342,,                              0,                              0,                 33342,,                              0,                 33342,,,,                              0,                              0,,                              0,                              0,                              0,                 33342,,                 33342,                              0,,                 33342,                              0,,                              0.31,                              0.00,                              0.31,,                              0.31,                              0.00,                              0.31,,,,,,,,,,,,,,,,
2024,2014年第2季,,,,                436471,                436471,,,                 19305,                 19305,                 19305,                455776,,,                396479,                396479,,,                              0,                              0,                396479,                 59297,                 59297,,,                 18265,,                  8762,                 27027,                 32270,,,,,                    756,                  1978,                  2734,,                              0,                     34,,                              0,,                              0,                     -1,,                              0,                 -2743,,                              0,,                              0,,                  4685,                  4685,                 -4694,                 27576,,                  3006,                  3006,                 24570,,                 41402,                 65972,,,,                              0,                              0,,                 -4063,                 -4063,                 -4063,                 61909,,                 67726,                 -1754,,                 64924,                 -3015,,                              0.23,                              0.39,                              0.62,,                              0.23,                              0.39,                              0.62,                  2778,                              0,,,,,,,,,,,,,,
2024,2014年度,,,,              1652533,              1652533,,,                 73820,                 73820,                 73820,              1726353,,,              1526827,              1526827,,,                              0,                              0,              1526827,                199526,                199526,,,                 66233,,                 33106,                 99339,                100187,,,,,                  2885,                  3252,                  6137,,                 10740,                    386,,                 -1020,,,,,                              0,                 10106,,                              0,,                              0,,,                 18908,                 -2665,                 97522,,,                  3649,                 93873,,                 39088,                132961,,,,,,,,,                -10414,                122547,,                135112,                 -2151,,                126637,                 -4090,,                              0.88,                              0.38,                              1.26,,,,,                              0,,,                              0,                 -1020,                 -6244,                 -4170,                              0,                              0,,,,,,,
2024,2014年01月01日至2014年09月30日,,,,              1272051,              1272051,,,                 55489,                 55489,                 55489,              1327540,,,              1162912,              1162912,,,                              0,                              0,              1162912,                164628,                164628,,,                 50792,,                 25071,                 75863,                 88765,,,,                  2087,                  2087,                  3010,                  5097,,                  3387,                    126,,                              0,,                              0,                      1,,                              0,                  3512,,                              0,,                              0,,                 14347,                 14347,                 -5738,                 83027,,                  3006,                  3006,                 80021,,                 39088,                119109,,,,                              0,                              0,,                 -6244,                 -6244,                 -6244,                112865,,                121260,                 -2151,,                116955,                 -4090,,                              0.73,                              0.38,                              1.11,,                              0.73,                              0.38,                              1.11,,,,,,,,,,,,,,,,
2024,2014年01月01日至2014年06月30日,,,,                840682,                840682,,,                 34881,                 34881,                 34881,                875563,,,                769343,                769343,,,                              0,                              0,                769343,                106220,                106220,,,                 33666,,                 16642,                 50308,                 55912,,,,,                  1330,                  2029,                  3359,,                    153,                              0,,                              0,,                              0,                              0,,                              0,                    106,,                              0,,                              0,,                  9692,                  9692,                 -6227,                 49685,,                  3006,                  3006,                 46679,,                 39088,                 85767,,,,                              0,                              0,,                 -6244,                 -6244,                 -6244,                 79523,,                 87918,                 -2151,,                 83613,                 -4090,,                              0.42,                              0.38,                              0.80,,                              0.42,                              0.38,                              0.80,                              0,                     47,,,,,,,,,,,,,,
