證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額
1736,2015年第3季,,              4234941,,              2379110,              1855831,              1855831,,,                709797,,                906249,,                104320,              1720366,                135465,,,                122863,,                 32001,,                 20647,                134217,                269682,,                 48919,                220763,                220763,,,                549206,                 93365,                455841,                455841,                676604,,                221472,                   -709,,                677313,                   -709,,                              0.73,,                              0.73,,,,
1736,2015年第2季,,              3478883,,              1977714,              1501169,              1501169,,,                700262,,                724127,,                 95477,              1519866,                -18697,,,                 89587,,                -48680,,                 19848,                 21059,                  2362,,                164094,               -161732,               -161732,,,                -19364,                 -3292,                -16072,                -16072,               -177804,,               -161821,                     89,,               -177893,                     89,,                             -0.53,,                             -0.53,,,,
1736,2015年01月01日至2015年09月30日,,             11138402,,              6153803,              4984599,              4984599,,,              2178433,,              2365594,,                290462,              4834489,                150110,,,                321718,,               -189836,,                 61797,                 70085,                220195,,                219224,                    971,                    971,,,                  2362,                    402,                  1960,                  1960,                  2931,,                  1484,                   -513,,                  3444,                   -513,,                              0.00,,                              0.00,,,,
1736,2015年01月01日至2015年06月30日,,              6903461,,              3774693,              3128768,              3128768,,,              1468636,,              1459345,,                186142,              3114123,                 14645,,,                198855,,               -221837,,                 41150,                -64132,                -49487,,                170305,               -219792,               -219792,,,               -546844,                -92963,               -453881,               -453881,               -673673,,               -219988,                    196,,               -673869,                    196,,                             -0.72,,                             -0.72,,,,
1736,2015年01月01日至2015年03月31日,,              3424578,,              1796979,              1627599,              1627599,,,                768374,,                735218,,                 90665,              1594257,                 33342,,,                109268,,               -173157,,                 21302,                -85191,                -51849,,                  6211,                -58060,                -58060,,,               -527480,                -89671,               -437809,               -437809,               -495869,,                -58167,                    107,,               -495976,                    107,,                             -0.19,,                             -0.19,,,,
1736,2014年第3季,,              4060000,,              2101699,              1958301,              1958301,,,                530417,,                937731,,                 94320,              1562468,                395833,,,                 90428,,               -153472,,                 22611,                -85655,                310178,,                 52870,                257308,                257308,,,                 48907,                  8315,                 40592,                 40592,                297900,,                256899,                    409,,                297491,                    409,,                              0.85,,                              0.85,,,,
1736,2014年第2季,,              3447269,,              1848813,              1598456,              1598456,,,                665399,,                731195,,                 79473,              1476067,                122389,,,                118308,,                -33937,,                 20364,                 64007,                186396,,                 28455,                157941,                157941,,,               -168991,                -28729,               -140262,               -140262,                 17679,,                157945,                     -4,,                 17683,                     -4,,                              0.52,,                              0.52,,,,
1736,2014年01月01日至2014年09月30日,,             11169800,,              5978773,              5191027,              5191027,,,              1876901,,              2329233,,                239858,              4445992,                745035,,,                273925,,               -111774,,                 62676,                 99475,                844510,,                145259,                699251,                699251,,,                -41479,                 -7051,                -34428,                -34428,                664823,,                698734,                    517,,                664306,                    517,,                              2.30,,                              2.30,,,,
1736,2014年01月01日至2014年06月30日,,              7109800,,              3877074,              3232726,              3232726,,,              1346484,,              1391502,,                145538,              2883524,                349202,,,                183497,,                 41698,,                 40065,                185130,                534332,,                 92389,                441943,                441943,,,                -90386,                -15366,                -75020,                -75020,                366923,,                441835,                    108,,                366815,                    108,,                              1.45,,                              1.45,,,,
1736,2014年01月01日至2014年03月31日,,              3662531,,              2028261,              1634270,              1634270,,,                681085,,                660307,,                 66065,              1407457,                226813,,,                 65189,,                 75635,,                 19701,                121123,                347936,,                 63934,                284002,                284002,,,                 78605,                 13363,                 65242,                 65242,                349244,,                283890,                    112,,                349132,                    112,,                              0.94,,                              0.94,,,,
