證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 訓練費,　　　 進出口費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 水電瓦斯費,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 稅捐-管理費用,　　　 折舊-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 訓練費-推銷費用,　　　 訓練費-管理費用,　　　 處分投資利益,　　　 佣金支出,　　　 稅捐,　　　 研究發展費用,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1617,2014年01月01日至2014年06月30日,,,,              1774540,              1774540,                  1588,                  2553,              1770399,              1770399,,,              1633132,              1633132,              1633132,                137267,                137267,,,                 13231,                     76,                     43,                    588,                  2079,                    142,                    439,                    292,                  1159,                    325,                    122,                     23,                    410,                    224,,                  4549,                  1409,                 25116,,                 45095,                  1110,                    291,                    995,                    956,                  1286,                  1051,                  3631,                  1026,                  3021,                  2912,                    892,                    801,                 19587,                 82654,,                  4623,                112393,                 24874,,,,                  8295,                  2243,,                              0,                 10538,,                  4288,                  2565,                              0,                  1125,                              0,                              0,                              0,                    937,,                              0,                  4820,,                 12234,                 12234,                  3124,                 27998,,                  7015,                  7015,                 20983,                 20983,,,                -22766,                  6661,                -16105,                -16105,                  4878,,                 21086,                   -103,,                  4473,                    405,,                              0.15,,                              0.15,                      5,                              0,                     29,,,,,,,,
1617,2014年01月01日至2014年03月31日,,,,                858093,                858093,                    415,                  1249,                856429,                856429,,,                790924,                790924,                790924,                 65505,                 65505,,,                  6563,                     46,                     27,                     93,                    975,                     67,                    221,                    123,                    571,                    215,,                     11,                    205,                    104,                      1,                  2158,                    492,                 11872,,                 23520,                    593,                    166,                    470,                    474,                    718,                    562,                  1913,                    727,,                  1474,                    447,                    396,                  9508,                 42250,,                  2252,                 56374,                  9131,,,,                  3027,                    797,,                     27,                  3851,,                     34,                 15509,                              0,                              0,                              0,,                              0,                    464,,,                 15335,,                  6142,                  6142,                 13044,                 22175,,,                  1567,                 20608,                 20608,,,,,,                 -6760,                 13848,,                 20641,                    -33,,                 13748,                    100,,                              0.14,,                              0.14,,,                    256,                              0,                  1282,,                  1567,                 -7948,                  1188,,
1617,2013年第3季,,,,                970638,                970638,                    901,                  1069,                968668,                968668,,,                890622,                890622,                890622,                 78046,                 78046,,,                  6211,                     46,                     32,                    403,                  1016,                     76,                    141,                    115,                    523,                    161,                              0,                     12,                    194,                    111,                      1,                  2732,                   -664,                 11110,,                 21888,                    695,                    120,                    694,                    501,                    660,                    557,                  1720,                    589,                  1628,                  1478,                    451,                    416,                 12703,                 44100,,                  2647,                 57857,                 20189,,,,                    724,                    789,                  1673,                    485,                  3671,,                    367,                              0,                 17137,                              0,                              0,                    196,                 12242,                              0,,                              0,                  5066,,                  6037,                  6037,                  2700,                 22889,,,                    835,                 22054,                 22054,,,,,,                 -5922,                 16132,,                 22039,                     15,,                 16037,                     95,,                              0.15,,                              0.15,,,                              0,,,,                    835,                 -8919,                  2997,,
1617,2013年第2季,,,,                970902,                970902,                  2686,                  2120,                966096,                966096,,,                909652,                909652,                909652,                 56444,                 56444,,,                  6105,                     30,                     40,                    117,                  1144,                     70,                     70,                    108,                    539,                    141,                    123,                     14,                    191,                    114,                      2,                  2961,                    737,                 12506,,                 21035,                     53,                    222,                    388,                    477,                    522,                    478,                  2436,                    350,                  1928,                  1522,                    469,                    420,                  7672,                 37972,,                  2763,                 53241,                  3203,,,,                  1719,                    680,,                  7925,                 10324,,                    892,                  2399,                              0,                              0,                              0,                              0,                              0,                 17409,,,                -13202,,                  7359,                  7359,                -10237,                 -7034,,,                  2233,                 -9267,                 -9267,,,,,,                 10461,                  1194,,                 -9226,                    -41,,                  1163,                     31,,                             -0.06,,                             -0.06,,,                    916,,,,                  2233,                 13217,                 -2756,,
1617,2013年度,,,,              3825583,              3825583,                  4950,                  4996,              3815637,              3815637,,,              3566353,              3566353,              3566353,                249284,                249284,,,                 24920,                    219,                    136,                    918,                  4178,                    286,                    444,                    536,                  2110,                    860,                    211,                     56,                    768,                    438,                      8,                 11053,                  1085,                 48226,,                 85072,                  1448,                    609,                  2201,                  1892,                  2688,                  2294,                  6927,                  2316,                  7269,                  7193,                  1945,                  1670,                 38104,                161628,,                 10719,                220573,                 28711,,,,                  5925,                  3056,                  1687,                  6825,                 17493,,                  1182,                 19610,                              0,                              0,                              0,                              0,                              0,                    526,,                 11780,                  9365,,                 26633,                 26633,                    225,                 28936,,,                 12440,                 16496,                 16496,,,,,,                 50512,                 67008,,                 16874,                   -378,,                 67233,                   -225,,                              0.12,,                              0.12,,,                    879,,,,                 12440,                 40381,                  4025,                  7357,                  1251
1617,2013年07月01日至2013年09月30日,,,,                970638,                970638,                    901,                  1069,                968668,                968668,,,                890622,                890622,                890622,                 78046,                 78046,,,                  6211,                     46,                     32,                    403,                  1016,                     76,                    141,                    115,                    523,                    161,                              0,                     12,                    194,                    111,                      1,                  2732,                   -664,                 11110,,                 21888,                    695,                    120,                    694,                    501,                    660,                    557,                  1720,                    589,                  1628,                  1478,                    451,                    416,                 12703,                 44100,,                  2647,                 57857,                 20189,,,,                    724,                    789,                  1673,                    485,                  3671,,                    367,                              0,                 17137,                              0,                              0,                    196,                 12242,                              0,,,                  5066,,                  6037,                  6037,                  2700,                 22889,,,                    835,                 22054,                 22054,,,,,,                 -5922,                 16132,,                 22039,                     15,,                 16037,                     95,,                              0.15,,                              0.15,,,                              0,,,,                    835,                 -8919,                  2997,,
1617,2013年04月01日至2013年06月30日,,,,                970902,                970902,                  2686,                  2120,                966096,                966096,,,                909652,                909652,                909652,                 56444,                 56444,,,                  6105,                     30,                     40,                    117,                  1144,                     70,                     70,                    108,                    539,                    141,                    123,                     14,                    191,                    114,                      2,                  2961,                    737,                 12506,,                 21035,                     53,                    222,                    388,                    477,                    522,                    478,                  2436,                    350,                  1928,                  1522,                    469,                    420,                  7672,                 37972,,                  2763,                 53241,                  3203,,,,                  1719,                    680,,                  7925,                 10324,,                    892,                  2399,                              0,                              0,                              0,                              0,                              0,                 17409,,,                -13202,,                  7359,                  7359,                -10237,                 -7034,,,                  2233,                 -9267,                 -9267,,,,,,                 10461,                  1194,,                 -9226,                    -41,,                  1163,                     31,,                             -0.06,,                             -0.06,,,                    916,,,,                  2233,                 13217,                 -2756,,
1617,2013年01月01日至2013年12月31日,,,,              3825583,              3825583,                  4950,                  4996,              3815637,              3815637,,,              3566353,              3566353,              3566353,                249284,                249284,,,                 24920,                    219,                    136,                    918,                  4178,                    286,                    444,                    536,                  2110,                    860,                    211,                     56,                    768,                    438,                      8,                 11053,                  1085,                 48226,,                 85072,                  1448,                    609,                  2201,                  1892,                  2688,                  2294,                  6927,                  2316,                  7269,                  7193,                  1945,                  1670,                 38104,                161628,,                 10719,                220573,                 28711,,,,                  5925,                  3056,                  1687,                  6825,                 17493,,                  1182,                 19610,                              0,,                              0,,                              0,                    526,,                 11780,                  9365,,                 26633,                 26633,                    225,                 28936,,,                 12440,                 16496,                 16496,,,,,,                 50512,                 67008,,                 16874,                   -378,,                 67233,                   -225,,                              0.12,,                              0.12,,,                    879,,,,                 12440,                 40381,                  4025,                  7357,                  1251
1617,2013年01月01日至2013年09月30日,,,,              2863120,              2863120,                  4265,                  3667,              2855188,              2855188,,,              2668163,              2668163,              2668163,                187025,                187025,,,                 18921,                    188,                    102,                    662,                  3083,                    205,                    319,                    316,                  1596,                    590,                    123,                     44,                    577,                    331,                      8,                  8061,                    585,                 35711,,                 65943,                  1034,                    483,                  1686,                  1438,                  2004,                  1783,                  5222,                  1862,                  5361,                  4558,                  1518,                  1259,                 29903,                124054,,                  8190,                167955,                 19070,,,,                  3483,                  2274,                  1673,                 11105,                 18535,,                  1253,                 13384,                              0,                              0,                              0,                              0,                              0,                    409,,                              0,                 16018,,                 19943,                 19943,                 14610,                 33680,,,                  3973,                 29707,                 29707,,,,,,                 23990,                 53697,,                 29762,                    -55,,                 53668,                     29,,                              0.21,,                              0.21,,,                  1790,,,,                  3973,                 24180,                   -190,,
1617,2013年01月01日至2013年06月30日,,,,              1892482,              1892482,                  3364,                  2598,              1886520,              1886520,,,              1777541,              1777541,              1777541,                108979,                108979,,,                 12710,                    142,                     70,                    259,                  2067,                    129,                    178,                    201,                  1073,                    429,                    123,                     32,                    383,                    220,                      7,                  5329,                  1249,                 24601,,                 44055,                    339,                    363,                    992,                    937,                  1344,                  1226,                  3502,                  1273,                  3733,                  3080,                  1067,                    843,                 17200,                 79954,,                  5543,                110098,                 -1119,,,,                  2759,                  1485,,                 10620,                 14864,,                    886,                 25626,                              0,                              0,                              0,                              0,                              0,                 17546,,,                 10952,,                 13906,                 13906,                 11910,                 10791,,,                  3138,                  7653,                  7653,,,,,,                 29912,                 37565,,                  7723,                    -70,,                 37631,                    -66,,                              0.05,,                              0.05,,,                  1986,,,,                  3138,                 33099,                 -3187,,
