證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　 合併前非屬共同控制股權損益,　 合併前非屬共同控制股權綜合損益淨額
1452,2015年第3季,,,,                456387,,,,                389415,                 66972,                 66972,,,                 13678,,                 12052,,                  2698,                 28428,                 38544,,,                 10322,,                 29421,,                      6,,                 25105,                 64842,                103386,,                 12515,                 90871,                 90871,,,,,,,                 -5758,,                -28121,                -33879,                -33879,                 56992,,                              0.69,                              0.69,,                              0.68,                              0.68,,,,,,,,,
1452,2015年第2季,,,,                489749,,,                396190,                396190,                 93559,                 93559,,,                 12437,,                 14053,,                  2712,                 29202,                 64357,,,                  3722,,                 50813,,                      3,,                 49172,                103704,                168061,,                 11826,                156235,                156235,,,,,,,                  9391,,                 13453,                 22844,                 22844,                179079,,,                              1.18,,,                              1.18,,,,,,,,,
1452,2015年度,,,              1981644,              1981644,,,              1646382,              1646382,                335262,                335262,,,                 52732,,                 51954,,                  9590,                114276,                220986,,,                 20444,,                 95071,,                     17,,                 79193,                194691,                415677,,                 44896,                370781,                370781,,,                 -4224,                   -718,                 -3506,,                    783,,                 34286,                 35069,                 31563,                402344,,                              2.80,                              2.80,,                              2.78,                              2.78,,,,,,,,,
1452,2015年01月01日至2015年09月30日,,,,              1522589,,,,              1252657,                269932,                269932,,,                 38280,,                 38766,,                  7104,                 84150,                185782,,,                 17940,,                 95783,,                     17,,                 76855,                190561,                376343,,                 41623,                334720,                334720,,,,,,,                  3745,,                 34318,                 38063,                 38063,                372783,,                              2.52,                              2.52,,                              2.52,                              2.52,,,,,,,,,
1452,2015年01月01日至2015年06月30日,,,,              1066202,,,                863242,                863242,                202960,                202960,,,                 24602,,                 26714,,                  4406,                 55722,                147238,,,                  7618,,                 66362,,                     11,,                 51750,                125719,                272957,,                 29108,                243849,                243849,,,,,,,                  9503,,                 62439,                 71942,                 71942,                315791,,,                              1.84,,,                              1.83,,,,,,,,,
1452,2015年01月01日至2015年03月31日,,,,                576453,,,,                467052,                109401,                109401,,,                 12165,,                 12661,,                  1694,                 26520,                 82881,,,                  3896,,                 15549,,                      8,,                  2578,                 22015,                104896,,                 17282,                 87614,                 87614,,,,,,,                    112,,                 48986,                 49098,                 49098,                136712,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,,,
1452,2014年第3季,,,,                526001,,,,                469969,                 56032,                 56032,,,                 13231,,                  9511,,                  1433,                 24175,                 31857,,,                 12407,,                 11499,,                    323,,                    825,                 24408,                 56265,,                  8224,                 48041,                 48041,,,,,,,                 -3441,,                  3054,                   -387,                   -387,                 47654,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,
1452,2014年第2季,,,,                489132,,,                429971,                429971,                 59161,                 59161,,,                 11428,,                  8894,,                  1314,                 21636,                 37525,,,                  4469,,                -11124,,                     11,,                  5190,                 -1476,                 36049,,                 -3460,                 39509,                 39509,,,,,,,                 -2577,,                 -5267,                 -7844,                 -7844,                 31665,,,                              0.30,,,                              0.30,,,,,,,,,
1452,2014年度,,,              2119911,              2119911,,,              1878021,              1878021,                241890,                241890,,,                 48227,,                 37236,,                  5440,                 90903,                150987,,,                 23698,,                 14369,,                    723,,                  9456,                 46800,                197787,,                 24056,                173731,                173731,,,                  1029,                    175,                    854,,                  7480,,                 10232,                 17712,                 18566,                192297,,                              1.31,                              1.31,,                              1.31,                              1.31,                  7480,                  1029,,                 10232,                    175,,,,
1452,2014年01月01日至2014年09月30日,,,,              1540168,,,,              1370692,                169476,                169476,,,                 35764,,                 28155,,                  4084,                 68003,                101473,,,                 19917,,                 11831,,                    616,,                  7441,                 38573,                140046,,                 13561,                126485,                126485,,,,,,,                -10026,,                  6238,                 -3788,                 -3788,                122697,,                              0.95,                              0.95,,                              0.95,                              0.95,,,,,,,,,
