證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
8081,2015年第3季,,                876967,,                563305,                313662,                313662,,,                 73756,,                 26378,,                105954,                206088,                107574,,,                 22125,,                 47613,,                  1344,,                     46,                 68440,                176014,,                 25499,                150515,                150515,,,                  1817,                -49340,                -47523,                -47523,                102992,,                151445,                   -930,,                103922,                   -930,,                              1.77,                              1.77,,                              1.75,                              1.75,,,,
8081,2015年第2季,,                827251,,                547834,                279417,                279417,,,                 64939,,                 24344,,                 89967,                179250,                100167,,,                  7059,,                -15346,,                  1065,,                     44,                 -9308,                 90859,,                 26872,                 63987,                 63987,,,                   -625,               -100755,               -101380,               -101380,                -37393,,                 65130,                 -1143,,                -36250,                 -1143,,                              0.76,                              0.76,,                              0.74,                              0.74,,,,
8081,2015年01月01日至2015年09月30日,,              2593892,,              1685673,                908219,                908219,,,                206450,,                 80147,,                292669,                579266,                328953,,,                 37312,,                 35936,,                  3382,,                    143,                 70009,                398962,,                 73289,                325673,                325673,,,                    706,               -122203,               -121497,               -121497,                204176,,                328662,                 -2989,,                207165,                 -2989,,                              3.83,                              3.83,,                              3.71,                              3.71,,,,
8081,2015年01月01日至2015年06月30日,,              1716925,,              1122368,                594557,                594557,,,                132694,,                 53769,,                186715,                373178,                221379,,,                 15187,,                -11677,,                  2038,,                     97,                  1569,                222948,,                 47790,                175158,                175158,,,                 -1111,                -72863,                -73974,                -73974,                101184,,                177217,                 -2059,,                103243,                 -2059,,                              2.07,                              2.07,,                              2.02,                              2.02,,,,
8081,2015年01月01日至2015年03月31日,,                889674,,                574534,                315140,                315140,,,                 67755,,                 29425,,                 96748,                193928,                121212,,,                  8128,,                  3669,,                    973,,                     53,                 10877,                132089,,                 20918,                111171,                111171,,,                   -486,                 27892,                 27406,                 27406,                138577,,                112087,                   -916,,                139493,                   -916,,                              1.31,                              1.31,,                              1.28,                              1.28,,,,
8081,2014年第3季,,              1049585,,                676311,                373274,                373274,,,                 67903,,                 29380,,                112831,                210114,                163160,,,                 18522,,                 29354,,                  1259,,                     61,                 46678,                209838,,                 27514,                182324,                182324,,,                  1168,                              0,                  1168,                  1168,                183492,,                185236,                 -2912,,                186404,                 -2912,,                              2.16,                              2.16,,                              2.13,                              2.13,,,,
8081,2014年第2季,,                974146,,                618751,                355395,                355395,,,                 61819,,                 26639,,                107970,                196428,                158967,,,                 12262,,                -23718,,                  1269,,                     58,                -12667,                146300,,                 30339,                115961,                115961,,,                   -879,                    243,                   -636,                   -636,                115325,,                118831,                 -2870,,                118195,                 -2870,,                              1.39,                              1.39,,                              1.36,                              1.36,,,,
8081,2014年度,,              3941557,,              2531243,              1410314,              1410314,,,                270705,,                114985,,                432861,                818551,                591763,,,                 53716,,                 61189,,                  4632,,                    158,                110431,                702194,,                106908,                595286,                595286,,,,,,                    336,                595622,,                607660,                -12374,,                607996,                -12374,,                              7.09,                              7.09,,                              6.91,                              6.91,                  1543,                    221,                 -1720,                    292
8081,2014年01月01日至2014年09月30日,,              2983349,,              1894554,              1088795,              1088795,,,                195432,,                 87064,,                329172,                611668,                477127,,,                 40992,,                 22292,,                  3423,,                    128,                 59989,                537116,,                 81069,                456047,                456047,,,                     78,                 -7435,                 -7357,                 -7357,                448690,,                464610,                 -8563,,                457253,                 -8563,,                              5.42,                              5.42,,                              5.29,                              5.29,,,,
8081,2014年01月01日至2014年06月30日,,              1933764,,              1218243,                715521,                715521,,,                127529,,                 57684,,                216341,                401554,                313967,,,                 22470,,                 -7062,,                  2164,,                     67,                 13311,                327278,,                 53555,                273723,                273723,,,                 -1090,                 -7435,                 -8525,                 -8525,                265198,,                279374,                 -5651,,                270849,                 -5651,,                              3.26,                              3.26,,                              3.19,                              3.19,,,,
