證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5521,2015年第3季,,              1473325,,              1462773,                 10552,                 10552,,,                 36049,                 36049,                -25497,,,                  8044,,                -12836,,                 10639,,                    -88,                -15519,                -41016,,                 -7146,                -33870,                -33870,,,                 27502,                              0,,                  1627,                 29129,                 29129,                 -4741,,                -33566,                   -304,,                 -4437,                   -304,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,,,,,
5521,2015年第2季,,              1797554,,              1689331,                108223,                108223,,,                 39779,                 39779,                 68444,,,                 17364,,                 -1433,,                 12826,,                    -85,                  3020,                 71464,,                 11326,                 60138,                 60138,,,                 -6879,                -13672,,                   -608,                -21159,                -21159,                 38979,,                 60452,                   -314,,                 39293,                   -314,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,
5521,2015年01月01日至2015年09月30日,,              5005379,,              4807559,                197820,                197820,,,                114120,                114120,                 83700,,,                 32495,,                -15078,,                 36019,,                   -403,                -19005,                 64695,,                 10062,                 54633,                 54633,,,                 15428,                -13672,,                    573,                  2329,                  2329,                 56962,,                 56177,                 -1544,,                 58506,                 -1544,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,
5521,2015年01月01日至2015年06月30日,,              3532054,,              3344786,                187268,                187268,,,                 78071,                 78071,                109197,,,                 24451,,                 -2242,,                 25380,,                   -315,                 -3486,                105711,,                 17208,                 88503,                 88503,,,                -12074,                -13672,,                 -1054,                -26800,                -26800,                 61703,,                 89743,                 -1240,,                 62943,                 -1240,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,
5521,2015年01月01日至2015年03月31日,,              1734500,,              1655455,                 79045,                 79045,,,                 38292,                 38292,                 40753,,,                  7087,,                   -809,,                 12554,,                   -230,                 -6506,                 34247,,                  5882,                 28365,                 28365,,,                 -5195,,,                   -446,                 -5641,                 -5641,                 22724,,                 29291,                   -926,,                 23650,                   -926,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,,
5521,2014年第3季,,              1426712,,              1449705,                -22993,                -22993,,,                 43014,                 43014,                -66007,,,                 56468,,                  7770,,                 14703,,                    -85,                 49450,                -16557,,                 -4866,                -11691,                -11691,,,                 10027,                 -3460,,                  1204,                  7771,                  7771,                 -3920,,                -13742,                  2051,,                 -5971,                  2051,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,,
5521,2014年第2季,,              1295699,,              1467051,               -171352,               -171352,,,                 40943,                 40943,               -212295,,,                 19555,,                 -7799,,                 13291,,                    -77,                 -1612,               -213907,,                -32742,               -181165,               -181165,,,                 -9190,                  5782,,                   -743,                 -4151,                 -4151,               -185316,,               -180509,                   -656,,               -184660,                   -656,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,,,,,,
5521,2014年度,,              5846800,,              5831655,                 15145,                 15145,,,                187330,                187330,               -172185,,,                 63145,,                -16326,,                 58664,,                   -370,                -12215,               -184400,,                -25867,               -158533,               -158533,,,,,,,,                 16504,               -142029,,               -158617,                     84,,               -142113,                     84,,                             -0.46,                             -0.46,,                             -0.46,                             -0.46,                 24746,                 -5244,                 -5431,,                  1510,                   -923
5521,2014年01月01日至2014年09月30日,,              4105661,,              4218839,               -113178,               -113178,,,                127432,                127432,               -240610,,,                 79511,,                 -2190,,                 40104,,                   -235,                 36982,               -203628,,                -29730,               -173898,               -173898,,,                  6946,                  2322,,                    269,                  9537,                  9537,               -164361,,               -174939,                  1041,,               -165402,                  1041,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,,,,,,
5521,2014年01月01日至2014年06月30日,,              2678949,,              2769134,                -90185,                -90185,,,                 84418,                 84418,               -174603,,,                 23043,,                 -9960,,                 25401,,                   -150,                -12468,               -187071,,                -24864,               -162207,               -162207,,,                 -3081,                  5782,,                   -935,                  1766,                  1766,               -160441,,               -161197,                 -1010,,               -159431,                 -1010,,                             -0.46,                             -0.46,,                             -0.46,                             -0.46,,,,,,
