證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 研究發展費用,　　　 研究發展費用合計
4904,2014年第3季,,             23248856,,             13679574,              9569282,              9569282,,,              4388744,,              1443650,              5832394,              3736888,,,                 42452,,               -200687,,                 87105,,                -19955,               -265295,              3471593,,                598418,              2873175,              2873175,,                  3214,                 17349,                -11099,,,                 -4225,                    402,                  4837,              2878012,,              2857296,                 15879,,              2861805,                 16207,,                              0.88,,                              0.88,,
4904,2014年第2季,,             22022176,,             12217933,              9804243,              9804243,,,              3616578,,              1749959,              5366537,              4437706,,,                 45893,,               -143894,,                 83999,,                -48958,               -230958,              4206748,,                722949,              3483799,              3483799,,                 -2512,                -37691,                 12100,,,                -12596,                     12,                -40711,              3443088,,              3469083,                 14716,,              3428866,                 14222,,                              1.06,,                              1.06,,
4904,2014年第1季,,             22864485,,             13481263,              9383222,              9383222,,,              3809252,,              1470913,              5280165,              4103057,,,                 38077,,               -212242,,                 83829,,                -38507,               -296501,              3806556,,                658261,              3148295,              3148295,,                    -42,                 26915,                -18363,,,                -11683,                    218,                 -3391,              3144904,,              3109939,                 38356,,              3106439,                 38465,,                              0.95,,                              0.95,,
4904,2014年度,,             94175600,,             56153085,             38022515,             38022515,,,             17028833,,              5939929,             22968762,             15053753,,,                197469,,               -753464,,                345337,,               -167598,             -1068930,             13984823,,              2418028,             11566795,             11566795,,                  3964,                 52463,                -41962,                 54266,,                -45593,                 10406,                 12732,             11579527,,             11484149,                 82646,,             11496781,                 82746,,                              3.52,,                              3.52,,
4904,2014年01月01日至2014年09月30日,,             68135517,,             39378770,             28756747,             28756747,,,             11814574,,              4664522,             16479096,             12277651,,,                126422,,               -556823,,                254933,,               -107420,               -792754,             11484897,,              1979628,              9505269,              9505269,,                    660,                  6573,                -17362,,,                -28504,                    632,                -39265,              9466004,,              9436318,                 68951,,              9397110,                 68894,,                              2.90,,                              2.89,,
4904,2014年01月01日至2014年06月30日,,             44886661,,             25699196,             19187465,             19187465,,,              7425830,,              3220872,             10646702,              8540763,,,                 83970,,               -356136,,                167828,,                -87465,               -527459,              8013304,,              1381210,              6632094,              6632094,,                 -2554,                -10776,                 -6263,,,                -24279,                    230,                -44102,              6587992,,              6579022,                 53072,,              6535305,                 52687,,                              2.02,,                              2.02,,
4904,2013年第3季,,             22124259,,             12590595,              9533664,              9533664,,,              3881870,,              1384695,              5266565,              4267099,,,                 88667,,               -372053,,                 35380,,                -27968,               -346734,              3920365,,                713964,              3206401,              3206401,,                 -1430,               -232455,                 39636,,,                 -9157,                   -425,               -202981,              3003420,,              3187276,                 19125,,              2984595,                 18825,,                              0.98,,                              0.98,,
4904,2013年第2季,,             22100586,,             12904500,              9196086,              9196086,,,              3901196,,              1303441,              5204637,              3991449,,,                 79431,,               -190336,,                 12291,,                -22559,               -145755,              3845694,,                698901,              3146793,              3146793,,                  1820,                 52452,                -27698,,,                 -9231,                    514,                 16829,              3163622,,              3132078,                 14715,,              3148507,                 15115,,                              0.96,,                              0.96,,
4904,2013年第1季,,             22085787,,             13451001,              8634786,              8634786,,,              3574728,,              1492678,              5067406,              3567380,,,                 71060,,               -170080,,                 10623,,                -21482,               -131125,              3436255,,                626248,              2810007,              2810007,,                 -1108,                125510,                -89930,,,                -23565,                  2473,                  8434,              2818441,,              2782518,                 27489,,              2791310,                 27131,,                              0.85,,                              0.85,,
4904,2013年度,,             89670579,,             52904612,             36765967,             36765967,,,             15457215,,              5830054,             21287269,             15478698,,,                311234,,               -989159,,                118018,,               -128365,               -924308,             14554390,,              2648007,             11906383,             11906383,,                    448,                -69498,                -78949,                 17368,,                -52041,                  6499,               -189171,             11717212,,             11829195,                 77188,,             11639600,                 77612,,                              3.63,,                              3.63,,
4904,2013年07月01日至2013年09月30日,,             22124259,,             12590595,              9533664,              9533664,,,              3881870,,              1384695,              5266565,              4267099,,,                 88667,,               -374121,,                 35380,,                -27968,               -348802,              3918297,,                713964,              3204333,              3204333,,                 -1430,               -232455,                 39636,,,                 -9157,                   -425,               -202981,              3001352,,              3185232,                 19101,,              2982551,                 18801,,                              0.98,,                              0.98,,
4904,2013年04月01日至2013年06月30日,,             22100586,,             12904500,              9196086,              9196086,,,              3901196,,              1303441,              5204637,              3991449,,,                 79431,,               -192415,,                 12291,,                -22559,               -147834,              3843615,,                698901,              3144714,              3144714,,                  1820,                 52452,                -27698,,,                 -9231,                    514,                 16829,              3161543,,              3130022,                 14692,,              3146451,                 15092,,                              0.96,,                              0.96,,
4904,2013年01月01日至2013年12月31日,,             89670579,,             52904612,             36765967,             36765967,,,             15457215,,              5830054,             21287269,             15478698,,,                311234,,             -1055330,,                118018,,               -128365,               -990479,             14488219,,              2641558,             11846661,             11846661,,                    448,                -69498,                -78949,                 17368,,                -52041,                  6499,               -189171,             11657490,,             11770520,                 76141,,             11580925,                 76565,,                              3.61,,                              3.61,,
4904,2013年01月01日至2013年09月30日,,             66310632,,             38946096,             27364536,             27364536,,,             11357794,,              4180814,             15538608,             11825928,,,                239158,,               -732469,,                 58294,,                -72009,               -623614,             11202314,,              2039113,              9163201,              9163201,,                   -718,                -54493,                -77992,,,                -41953,                  2562,               -177718,              8985483,,              9101872,                 61329,,              8924412,                 61071,,                              2.79,,                              2.79,,
4904,2013年01月01日至2013年06月30日,,             44186373,,             26355501,             17830872,             17830872,,,              7475924,,              2796119,             10272043,              7558829,,,                150491,,               -360416,,                 22914,,                -44041,               -276880,              7281949,,              1325149,              5956800,              5956800,,                    712,                177962,               -117628,,,                -32796,                  2987,                 25263,              5982063,,              5914596,                 42204,,              5939817,                 42246,,                              1.82,,                              1.81,,
4904,2013年01月01日至2013年03月31日,,             22085787,,             13451001,              8634786,              8634786,,,              3574728,,              1474091,              5067406,              3567380,,,                 71060,,               -172042,,                 10623,,                -21482,               -133087,              3434293,,                626248,              2808045,              2808045,,                 -1108,                125510,                -89930,,,                -23565,                  2473,                  8434,              2816479,,              2780578,                 27467,,              2789370,                 27109,,                              0.85,,                              0.85,,                 18587
