證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
6286,2015年第3季,,              3319444,,              2063190,              1256254,              1256254,,,                158816,,                 86689,,                538344,                783849,,                     21,                     21,                472426,,,                  9007,,                 35434,,                    194,                 44247,                516673,,                 83612,                433061,                433061,,,                 32056,                 -1208,                 30848,                 30848,                463909,,                434585,                 -1524,,                460163,                  3746,,                              2.93,                              2.93,,                              2.90,                              2.90,,,,
6286,2015年第2季,,              3122404,,              1985014,              1137390,              1137390,,,                159913,,                 85192,,                485529,                730634,,                    -38,                    -38,                406718,,,                  8305,,                 20712,,                    239,                 28778,                435496,,                 73911,                361585,                361585,,,                 -4761,                 -1539,                 -6300,                 -6300,                355285,,                363177,                 -1592,,                355898,                   -613,,                              2.45,                              2.45,,                              2.40,                              2.40,,,,
6286,2015年01月01日至2015年09月30日,,              9611322,,              6052880,              3558442,              3558442,,,                479408,,                252227,,              1483793,              2215428,,                   -100,                   -100,              1342914,,,                 25148,,                 53971,,                    614,                 78505,              1421419,,                249798,              1171621,              1171621,,,                 17445,                 -2214,                 15231,                 15231,              1186852,,              1176438,                 -4817,,              1185438,                  1414,,                              7.92,                              7.92,,                              7.78,                              7.78,,,,
6286,2015年01月01日至2015年06月30日,,              6291878,,              3989690,              2302188,              2302188,,,                320592,,                165538,,                945449,              1431579,,                   -121,                   -121,                870488,,,                 16141,,                 18537,,                    420,                 34258,                904746,,                166186,                738560,                738560,,,                -14611,                 -1006,                -15617,                -15617,                722943,,                741853,                 -3293,,                725275,                 -2332,,                              5.00,                              5.00,,                              4.90,                              4.90,,,,
6286,2015年01月01日至2015年03月31日,,              3169474,,              2004676,              1164798,              1164798,,,                160679,,                 80346,,                459920,                700945,,                    -83,                    -83,                463770,,,                  7836,,                 -2175,,                    181,                  5480,                469250,,                 92275,                376975,                376975,,,                 -9850,                    533,                 -9317,                 -9317,                367658,,                378676,                 -1701,,                369377,                 -1719,,                              2.55,                              2.55,,                              2.50,                              2.50,,,,
6286,2014年第3季,,              3147222,,              2010669,              1136553,              1136553,,,                164291,,                 77168,,                449508,                690967,,                              0,                              0,                445586,,,                  6426,,                 39094,,                    138,                 45382,                490968,,                 81239,                409729,                409729,,,                  8679,                -14855,                 -6176,                 -6176,                403553,,                411662,                 -1933,,                405457,                 -1904,,                              2.77,                              2.77,,                              2.74,                              2.74,,,,
6286,2014年第2季,,              2961256,,              1857472,              1103784,              1103784,,,                174597,,                 83571,,                438542,                696710,,                   -325,                   -325,                406749,,,                  7357,,                  1814,,                    135,                  9036,                415785,,                 66580,                349205,                349205,,,                 -9413,                 24404,                 14991,                 14991,                364196,,                351284,                 -2079,,                366306,                 -2110,,                              2.37,                              2.37,,                              2.33,                              2.33,,,,
6286,2014年度,,             11930118,,              7549068,              4381050,              4381050,,,                658697,,                361537,,              1749620,              2769854,,                100813,                100813,              1712009,,,                 29677,,                 56644,,                    649,                 85672,              1797681,,                307567,              1490114,              1490114,,,,,,                 88466,              1578580,,              1498907,                 -8793,,              1587281,                 -8701,,                             10.09,                             10.09,,                              9.89,                              9.89,                 29321,                 49108,                 12093,                 -2056
6286,2014年01月01日至2014年09月30日,,              8866607,,              5586013,              3280594,              3280594,,,                493516,,                255711,,              1297799,              2047026,,                   -407,                   -407,              1233161,,,                 20711,,                 58296,,                    492,                 78515,              1311676,,                212703,              1098973,              1098973,,,                  8769,                 13690,                 22459,                 22459,              1121432,,              1105103,                 -6130,,              1127530,                 -6098,,                              7.44,                              7.44,,                              7.30,                              7.30,,,,
6286,2014年01月01日至2014年06月30日,,              5719385,,              3575344,              2144041,              2144041,,,                329225,,                178543,,                848291,              1356059,,                   -407,                   -407,                787575,,,                 14285,,                 19202,,                    354,                 33133,                820708,,                131464,                689244,                689244,,,                     90,                 28545,                 28635,                 28635,                717879,,                693441,                 -4197,,                722073,                 -4194,,                              4.67,                              4.67,,                              4.59,                              4.59,,,,
6286,2014年01月01日至2014年03月31日,,              2758129,,              1717872,              1040257,              1040257,,,                154628,,                 94972,,                409749,                659349,,                    -82,                    -82,                380826,,,                  6928,,                 17388,,                    219,                 24097,                404923,,                 64884,                340039,                340039,,,                  9503,                  4141,                 13644,                 13644,                353683,,                342157,                 -2118,,                355767,                 -2084,,                              2.30,                              2.30,,                              2.27,                              2.27,,,,
6286,2013年第3季,,              2755055,,              1693386,              1061669,              1061669,,,                172214,,                 98743,,                391239,                662196,,,                              0,                399473,,,                  8208,,                 -1187,,                    194,                  6827,                406300,,                 64980,                341320,                341320,,,,,,                 -5275,                336045,,                344536,                 -3216,,                339282,                 -3237,,                              2.32,                              2.32,,                              2.29,                              2.29,                 -4482,                   -793,,
6286,2013年第2季,,              2792480,,              1702767,              1089713,              1089713,,,                161596,,                122390,,                384918,                668904,,                              0,                              0,                420809,,,                  7141,,                  5708,,                    162,                 12687,                433496,,                 86729,                346767,                346767,,,,,,                  2795,                349562,,                349630,                 -2863,,                352416,                 -2854,,                              2.36,                              2.36,,                              2.30,                              2.30,                  3507,                   -712,,
