證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
5305,2015年第3季,,              2345288,,              1799025,                546263,                              0,                              0,                546263,,,                112486,,                122490,,                195216,                430192,                116071,,,                 53549,,                 39972,,                 18810,,                  5455,                 80166,                196237,,                 55417,                140820,                140820,,,,                 10111,                  1718,                  8393,,                451345,                -56057,,                -65996,                 59155,                270137,                278530,                419350,,                 10635,                130185,,                251782,                167568,,                              0.03,,                              0.03,,,,,,,,,,
5305,2015年第2季,,              2420516,,              1874013,                546503,                   -240,                              0,                546743,,,                122704,,                119303,,                206230,                448237,                 98506,,,                 31954,,                410977,,                 19020,,                 76169,                500080,                598586,,                120615,                477971,                477971,,,,                 22950,                  3903,                 19047,,               -131268,                -29306,,                 28721,                -14515,               -117338,                -98291,                379680,,                395118,                 82853,,                314007,                 65673,,                              1.25,,                              1.23,,,,,,,,,,
5305,2015年01月01日至2015年09月30日,,              6948755,,              5409848,              1538907,                    542,                    979,              1539344,,,                339468,,                359396,,                612140,              1311004,                228340,,,                150983,,                556273,,                 56898,,                145808,                796166,              1024506,,                227279,                797227,                797227,,,,                 23450,                  3986,                 19464,,                156782,                -45655,,                -71428,                 15239,                 24460,                 43924,                841151,,                521101,                276126,,                569233,                271918,,                              1.65,,                              1.63,,,,,,,,,,
5305,2015年01月01日至2015年06月30日,,              4603467,,              3610823,                992644,                    542,                    979,                993081,,,                226982,,                236906,,                416924,                880812,                112269,,,                 97434,,                516301,,                 38088,,                140353,                716000,                828269,,                171862,                656407,                656407,,,,                 13339,                  2268,                 11071,,               -294563,                 10402,,                 -5432,                -43916,               -245677,               -234606,                421801,,                510466,                145941,,                317451,                104350,,                              1.62,,                              1.60,,,,,,,,,,
5305,2015年01月01日至2015年03月31日,,              2182951,,              1736810,                446141,                    782,                    979,                446338,,,                104278,,                117603,,                210694,                432575,                 13763,,,                 65480,,                105324,,                 19068,,                 64184,                215920,                229683,,                 51247,                178436,                178436,,,,                 -9611,                 -1635,                 -7976,,               -163295,                 39708,,                -34153,                -29401,               -128339,               -136315,                 42121,,                115348,                 63088,,                  3444,                 38677,,                              0.37,,                              0.36,,                              0,,,,,,,,
5305,2014年第3季,,              2644073,,              2045504,                598569,                     86,                              0,                598483,,,                119365,,                141002,,                196150,                456517,                141966,,,                 63024,,                 85625,,                 15871,,                107284,                240062,                382028,,                 90745,                291283,                291283,,,,                -17649,                 -3001,                -14648,,                211767,                -34360,,                -40018,                 24394,                112995,                 98347,                389630,,                192940,                 98343,,                263117,                126513,,                              0.55,,                              0.54,,,,,,,,,,
5305,2014年第2季,,              2749841,,              2083141,                666700,                   -958,                              0,                667658,,,                119428,,                137109,,                190169,                446706,                220952,,,                 36682,,                  3415,,                 17354,,                 92464,                115207,                336159,,                 85222,                250937,                250937,,,,                 -8523,                 -1448,                 -7075,,               -219939,                -14330,,                 19784,                -29909,               -184576,               -191651,                 59286,,                130763,                120174,,                -36668,                 95954,,                              0.29,,                              0.29,,,,,,,,,,
5305,2014年度,,             10145521,,              7847083,              2298438,                    979,                  2030,              2299489,,,                455517,,                531908,,                782190,              1769615,                529874,,,                172177,,                108803,,                 71933,,                344589,                553636,              1083510,,                268469,                815041,                815041,,,,,,,,,,,,,,                454292,              1269333,,                428587,                386454,,                784334,                484999,,                              1.10,,                              1.09,,,                667258,                 10920,                -38015,,               -115351,                 70520,,
5305,2014年01月01日至2014年09月30日,,              7817932,,              5997291,              1820641,                  1044,                  2030,              1821627,,,                347725,,                407439,,                569151,              1324315,                497312,,,                133270,,                 95857,,                 53087,,                257275,                433315,                930627,,                230877,                699750,                699750,,,,                -19142,                 -3254,                -15888,,                168847,                 41984,,                -41382,                 17522,                151927,                136039,                835789,,                397228,                302522,,                508959,                326830,,                              0.96,,                              0.95,,,,,,,,,,
5305,2014年01月01日至2014年06月30日,,              5173859,,              3951787,              1222072,                    958,                  2030,              1223144,,,                228360,,                266437,,                373001,                867798,                355346,,,                 70246,,                 10232,,                 37216,,                149991,                193253,                548599,,                140132,                408467,                408467,,,,                 -1493,                   -253,                 -1240,,                -42920,                 76344,,                 -1364,                 -6872,                 38932,                 37692,                446159,,                204288,                204179,,                245842,                200317,,                              0.46,,                              0.45,,,,,,,,,,
