證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 勞務收入,　　　 運輸收入,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 空運成本,　　　　 場站及運務成本,　　　　 旅客服務成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 維修成本,　　　 勞務成本合計,　　 其他營業成本,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計
2610,2014年01月01日至2014年03月31日,,             35246873,,             33571660,              1675213,              1675213,,              2546801,               -871588,,,                291529,,             -1546393,,                506949,,                122927,             -1638886,             -2510474,,                190753,             -2701227,             -2701227,,,                 34990,                 14731,                -92298,,                   -376,                 -7502,                -35451,                -35451,             -2736678,,             -2726282,                 25055,,             -2761466,                 24788,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,2013年第3季,,             37343853,,             33265753,              4078100,              4078100,,              2685455,              1392645,,,                737023,,                -41412,,                495010,,                122061,                322662,              1715307,,                251282,              1464025,              1464025,,,,,,,,,,                 12587,              1476612,,              1429148,                 34877,,              1444305,                 32307,,                              0.28,                              0.28,,                              0.28,                              0.28,                -25960,                 15373,                 25378,,,                              0,                  2204,,,,,,,,,,,,,,,,,,,
2610,2013年第2季,,             34187617,,             31304110,              2883507,              2883507,,              2702695,                180812,,,                204432,,                 16347,,                532322,,                110050,               -201493,                -20681,,                 50732,                -71413,                -71413,,,,,,,,,,                -18684,                -90097,,               -116232,                 44819,,               -138650,                 48553,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                 21424,                 -6468,                -36996,,,                   -766,                 -4122,,,             31879274,             31879274,,              2308343,,,             21241133,              4592269,              2196193,             28029595,              1729870,             29759465,              1544645,,              1866170,,                836525
2610,2013年度,,            141702545,,            130675160,             11027385,             11027385,,             10301117,                726268,,,              1603573,,             -1019056,,              2122326,,                450361,             -1087448,               -361180,,                587700,               -948880,               -948880,,,,,,,,,,                121723,               -827157,,             -1274046,                325166,,             -1171929,                344772,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,                 81030,                  4108,                 96500,                -23940,,                 -6082,                 29893,,,,,,,,,,,,,,,,,,,
2610,2013年07月01日至2013年09月30日,,             37343853,,             33265753,              4078100,              4078100,,              2685455,              1392645,,,                737023,,                -41412,,                495010,,                122061,                322662,              1715307,,                251282,              1464025,              1464025,,,,,,,,,,                 12587,              1476612,,              1429148,                 34877,,              1444305,                 32307,,                              0.28,                              0.28,,                              0.28,                              0.28,                -25960,                 15373,                 25378,,,                              0,                  2204,,,             34970262,             34970262,,              2373591,,,             22736127,              4757814,              2335424,             29829365,              1743506,             31572871,              1692882,,              1633845,,              1051610
2610,2013年04月01日至2013年06月30日,,             34187617,,             31304110,              2883507,              2883507,,              2702695,                180812,,,                204432,,                 16347,,                532322,,                110050,               -201493,                -20681,,                 50732,                -71413,                -71413,,,,,,,,,,                -18684,                -90097,,               -116232,                 44819,,               -138650,                 48553,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,                 21424,                 -6468,                -36996,,,                   -766,                 -4122,,,             31879274,             31879274,,              2308343,,,             21241133,              4592269,              2196193,             28029595,              1729870,             29759465,              1544645,,              1866170,,                836525
2610,2013年01月01日至2013年12月31日,,            141702545,,            132163255,              9539290,              9539290,,             10301117,               -761827,,,              1603573,,                469039,,              2122326,,                450361,                400647,               -361180,,                587700,               -948880,               -948880,,,,,,,,,,                121723,               -827157,,             -1274046,                325166,,             -1171929,                344772,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,                 81030,                  4108,                 96500,                -23940,,                 -6082,                 29893,,,            131576185,            131576185,,             10126360,,,             90691255,             18720774,              8936698,            118348727,              6941681,            125290408,              6872847,,              6554496,,              3746621
2610,2013年01月01日至2013年09月30日,,            104607388,,             95702742,              8904646,              8904646,,              7990403,                914243,,,              1217765,,               -236400,,              1584657,,                333333,               -269959,                644284,,                351928,                292356,                292356,,,,,,,,,,                 60876,                353232,,                206273,                 86083,,                268707,                 84525,,                              0.04,                              0.04,,                              0.04,                              0.04,                 43851,                  3555,                 27093,,,                 -1029,                 12594,,,,,,,,,,,,,,,,,,,
2610,2013年01月01日至2013年06月30日,,             67263535,,             62436989,              4826546,              4826546,,              5304948,               -478402,,,                480742,,               -194988,,              1089647,,                211272,               -592621,             -1071023,,                100646,             -1171669,             -1171669,,,,,,,,,,                 48289,             -1123380,,             -1222875,                 51206,,             -1175598,                 52218,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,                 69811,                -11818,                  1715,,,                 -1029,                 10390,,,             62810074,             62810074,,              4453461,,,             42581647,              9078052,              4354687,             56014386,              3369206,             59383592,              3053397,,              3590711,,              1714237
2610,2013年01月01日至2013年03月31日,,             33075918,,             31132879,              1943039,              1943039,,              2602253,               -659214,,,                276310,,               -211335,,                557325,,                101222,               -391128,             -1050342,,                 49914,             -1100256,             -1100256,,,,,,,,,,                 66973,             -1033283,,             -1106643,                  6387,,             -1036948,                  3665,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,                 48387,                 -5350,                 38711,,,                   -263,                 14512,,,             30930800,             30930800,,              2145118,,,             21340514,              4485783,              2158494,             27984791,              1639336,             29624127,              1508752,,              1724541,,                877712
2610,2012年07月01日至2012年09月30日,,             37117310,,             32638386,              4478924,              4478924,,              2888242,              1590682,,,                201729,,                353538,,                586118,,                 92230,                 61379,              1652061,,                360844,              1291217,              1291217,,,,,,,,,,                215353,              1506570,,              1296561,                 -5344,,              1516191,                 -9621,,                              0.25,                              0.25,,                              0.25,                              0.25,                -31412,                -12519,                304882,,,                              0,                 45598,,,             34665587,             34665587,,              2451723,,,             21775414,              4805891,              2240550,             28821855,              2059280,             30881135,              1757251,,              1814176,,              1074066
2610,2012年04月01日至2012年06月30日,,             35471724,,             32775140,              2696584,              2696584,,              2712565,                -15981,,,                391472,,               -108340,,                679080,,                139632,               -256316,               -272297,,                 17304,               -289601,               -289601,,,,,,,,,,               -354019,               -643620,,               -317139,                 27538,,               -672417,                 28797,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,                 23573,                -10914,               -439445,,,                    221,                -72546,,,             33253461,             33253461,,              2218263,,,             22336670,              4654210,              2142067,             29132947,              1960594,             31093541,              1681599,,              1932885,,                779680
2610,2012年01月01日至2012年12月31日,,            140972139,,            131093368,              9878771,              9878771,,             10158722,               -279951,,,              1209103,,                990873,,              2508751,,                416721,                107946,               -172005,,                 48153,               -220158,               -220158,,,,,,,,,,               -611568,               -831726,,               -418356,                198198,,               -972318,                140592,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                -81645,                -41374,                -22133,               -582244,,                 -6144,               -121972,,,            132156807,            132156807,,              8815332,,,             88042867,             18779166,              8632456,            115454489,              8547977,            124002466,              7090902,,              7010111,,              3148611
2610,2012年01月01日至2012年09月30日,,            106275720,,             98458156,              7817564,              7817564,,              8179396,               -361832,,,                887270,,                981830,,              1951603,,                317255,                234752,               -127080,,                103414,               -230494,               -230494,,,,,,,,,,               -141153,               -371647,,               -351887,                121393,,               -484649,                113002,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,                -60305,                -36069,                -71008,,,                     55,                -26174,,,             99311907,             99311907,,              6963813,,,             66343967,             14178450,              6488519,             87010936,              6574574,             93585510,              4872646,,              5377056,,              2802340
2610,2012年01月01日至2012年06月30日,,             69158410,,             65819770,              3338640,              3338640,,              5291154,             -1952514,,,                685541,,                628291,,              1365485,,                225025,                173372,             -1779142,,               -257430,             -1521712,             -1521712,,,,,,,,,,               -356506,             -1878218,,             -1648449,                126737,,             -2000841,                122623,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,                -28893,                -23550,               -375890,,,                     55,                -71772,,,             64784031,             64784031,,              4374379,,,             44568553,              9372559,              4247969,             58189081,              4515294,             62704375,              3115395,,              3562880,,              1728274
2610,2012年01月01日至2012年03月31日,,             33686686,,             33044630,                642056,                642056,,              2578589,             -1936533,,,                294069,,                736631,,                686405,,                 85393,                429688,             -1506845,,               -274734,             -1232111,             -1232111,,,,,,,,,,                 -2487,             -1234598,,             -1331310,                 99199,,             -1328424,                 93826,,                             -0.27,                             -0.27,,,,                -52466,                -12636,                 63555,,,                   -166,                    774,,,             31530570,             31530570,,              2156116,,,             22231883,              4718349,              2105902,             29056134,              2554700,             31610834,              1433796,,              1629995,,                948594
