證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1460,2013年第2季,,              1809144,,              1496618,                312526,                312526,,,                147451,,                 50415,,                 46143,                244009,,                   -124,                 68393,,,                 18514,,                -30838,,                 10186,                 10186,                -22510,                 45883,,                              0,                 45883,                 45883,,,,,,                  2370,                 48253,,                 45880,                      3,,                 48251,                      2,,                              0.10,                              0.10,,                              0.10,                              0.10,                 -2435,                  4805,,
1460,2013年度,,              7642799,,              6439051,              1203748,              1203748,,,                594477,,                204159,,                189493,                988129,,                 -1969,                213650,,,                 44002,,                 12099,,                 39840,                 39840,                 16261,                229911,,                    181,                229730,                229730,,,,,,                 47093,                276823,,                229727,                      3,,                276820,                      3,,                              0.53,                              0.53,,                              0.53,                              0.53,                 28754,                 29081,                -12942,                 -2200
1460,2013年07月01日至2013年09月30日,,              1883426,,              1599375,                284051,                284051,,,                145027,,                 52562,,                 49237,                246826,,                   -288,                 36937,,,                 10406,,                -14859,,                  9156,                  9156,                -13609,                 23328,,                     42,                 23286,                 23286,,,,,,                -11025,                 12261,,                 23286,                              0,,                 12261,                              0,,                              0.05,                              0.05,,                              0.05,                              0.05,                -14423,                  3398,,
1460,2013年04月01日至2013年06月30日,,              1809144,,              1496618,                312526,                312526,,,                147451,,                 50415,,                 46143,                244009,,                   -124,                 68393,,,                 18514,,                -30838,,                 10186,                 10186,                -22510,                 45883,,                              0,                 45883,                 45883,,,,,,                  2370,                 48253,,                 45880,                      3,,                 48251,                      2,,                              0.11,                              0.11,,,,                 -2435,                  4805,,
1460,2013年01月01日至2013年12月31日,,              7642799,,              6439051,              1203748,              1203748,,,                594477,,                204159,,                189493,                988129,,                 -1969,                213650,,,                 44002,,                 12099,,                 39840,                 39840,                 16261,                229911,,                    181,                229730,                229730,,,,,,                 47093,                276823,,                229727,                      3,,                276820,                      3,,                              0.53,                              0.53,,                              0.53,                              0.53,                 28754,                 29081,                -12942,                 -2200
1460,2013年01月01日至2013年09月30日,,              5430786,,              4592752,                838034,                838034,,,                419779,,                153554,,                142210,                715543,,                   -598,                121893,,,                 37690,,                 15652,,                 30863,                 30863,                 22479,                144372,,                     42,                144330,                144330,,,,,,                 45575,                189905,,                144328,                      2,,                189903,                      2,,                              0.33,                              0.33,,                              0.33,                              0.33,                 28370,                 17205,,
1460,2013年01月01日至2013年06月30日,,              3547360,,              2993377,                553983,                553983,,,                274752,,                100992,,                 92973,                468717,,                   -310,                 84956,,,                 27284,,                 30511,,                 21707,                 21707,                 36088,                121044,,                              0,                121044,                121044,,,,,,                 56600,                177644,,                121042,                      2,,                177642,                      2,,                              0.28,                              0.28,,                              0.28,                              0.28,                 42793,                 13807,,
1460,2013年01月01日至2013年03月31日,,              1738216,,              1496759,                241457,                241457,,,                127301,,                 50577,,                 46830,                224708,,                   -186,                 16563,,,                 12569,,                 57550,,                 11521,                 11521,                 58598,                 75161,,                              0,                 75161,                 75161,,,,,,                 54230,                129391,,                 75162,                     -1,,                129392,                     -1,,                              0.17,                              0.17,,                              0.17,                              0.17,                 45228,                  9002,,
1460,2012年07月01日至2012年09月30日,,              1717343,,              1481733,                235610,                235610,,,                157027,,                 53134,,                 42663,                252824,,                   -150,                -17364,,,                 21071,,                 14828,,                 11978,                 11978,                 23921,                  6557,,                    235,                  6322,                  6322,,,,,,                  1280,                  7602,,                  6323,                     -1,,                  7607,                     -5,,                              0.01,                              0.01,,                              0.01,                              0.01,                -10587,                 11867,,
1460,2012年04月01日至2012年06月30日,,              1835567,,              1530844,                304723,                304723,,,                173116,,                 57091,,                 39908,                270115,,                    692,                 35300,,,                 25634,,                -12410,,                 12382,                 12382,                    842,                 36142,,                   -844,                 36986,                 36986,,,,,,                -19255,                 17731,,                 36986,                              0,,                 17728,                      3,,                              0.08,                              0.08,,,,                 -2633,                -16622,,
1460,2012年01月01日至2012年12月31日,,              7378658,,              6270702,              1107956,              1107956,,,                635358,,                214259,,                167451,              1017068,,                 -2325,                 88563,,,                517980,,                 21133,,                 49449,                 49449,                489664,                578227,,                 -2508,                580735,                580735,,,,,,                -18811,                561924,,                580741,                     -6,,                561932,                     -8,,                              1.33,                              1.33,,                              1.33,                              1.33,                -33322,                 17984,                 -4184,                   -711
1460,2012年01月01日至2012年09月30日,,              5485439,,              4614460,                870979,                870979,,,                478520,,                160579,,                124207,                763306,,                    483,                108156,,,                505552,,                  8008,,                 37930,                 37930,                475630,                583786,,                   -489,                584275,                584275,,,,,,                -16783,                567492,,                584276,                     -1,,                567497,                     -5,,                              1.34,                              1.34,,                              1.34,                              1.34,                -32259,                 15476,,
1460,2012年01月01日至2012年06月30日,,              3768096,,              3132727,                635369,                635369,,,                321493,,                107445,,                 81544,                510482,,                    633,                125520,,,                484481,,                 -6820,,                 25952,                 25952,                451709,                577229,,                   -724,                577953,                577953,,,,,,                -18063,                559890,,                577953,                              0,,                559890,                              0,,                              1.32,                              1.32,,,,                -21672,                  3609,,
1460,2012年01月01日至2012年03月31日,,              1932529,,              1601883,                330646,                330646,,,                148377,,                 50354,,                 41636,                240367,,                    -59,                 90220,,,                469062,,                 -4625,,                 13570,                 13570,                450867,                541087,,                    120,                540967,                540967,,,,,,                  1192,                542159,,                540967,                              0,,                542162,                     -3,,,                              1.24,,,,                -19039,                 20231,,
