證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　 其他綜合損益
1439,2015年第3季,,                 81979,,                 78425,                  3554,                  3554,,,                    341,,                  7120,                  7461,                 -3907,,,                  4146,,                    -37,,                     34,                  4075,                    168,,                     -7,                    175,                    175,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                    175,,                              0.01,
1439,2015年第2季,,                 88903,,                 86692,                  2211,                  2211,,,                    187,,                  6837,                  7024,                 -4813,,,                  4111,,                    885,,                     33,                  4963,                    150,,                   -106,                    256,                    256,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                    256,,                              0.00,
1439,2015年01月01日至2015年09月30日,,                266425,,                256507,                  9918,                  9918,,,                    899,,                 21170,                 22069,                -12151,,,                 11904,,                    935,,                    109,                 12730,                    579,,                    -49,                    628,                    628,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                    628,,                              0.01,
1439,2015年01月01日至2015年06月30日,,                184446,,                178082,                  6364,                  6364,,,                    558,,                 14050,                 14608,                 -8244,,,                  7758,,                    972,,                     75,                  8655,                    411,,                    -42,                    453,                    453,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                    453,,                              0.00,
1439,2015年01月01日至2015年03月31日,,                 95543,,                 91390,                  4153,                  4153,,,                    371,,                  7213,                  7584,                 -3431,,,                  3647,,                     87,,                     42,                  3692,                    261,,                     64,                    197,                    197,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                    197,,                              0.00,
1439,2014年第3季,,                117411,,                113659,                  3752,                  3752,,,                    478,,                  6837,                  7315,                 -3563,,,                  3516,,                  2312,,                     42,                  5786,                  2223,,                              0,                  2223,                  2223,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                  2223,,                              0.02,
1439,2014年第2季,,                103424,,                101808,                  1616,                  1616,,,                    278,,                  6593,                  6871,                 -5255,,,                  4125,,                    -85,,                     40,                  4000,                 -1255,,                              0,                 -1255,                 -1255,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                 -1255,,                             -0.01,
1439,2014年度,,                423790,,                408031,                 15759,                 15759,,,                  1764,,                 28631,                 30395,                -14636,,,                 14764,,                    957,,                    156,                 15565,                    929,,                    160,                    769,                    769,,,,,,,,,,,,,,,,,,,,,,,,                              0,                    769,,                              0.01,                              0
1439,2014年01月01日至2014年09月30日,,                295249,,                287627,                  7622,                  7622,,,                  1036,,                 20471,                 21507,                -13885,,,                 11089,,                    828,,                    116,                 11801,                 -2084,,                   -334,                 -1750,                 -1750,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                 -1750,,                             -0.02,
1439,2014年01月01日至2014年06月30日,,                177838,,                173968,                  3870,                  3870,,,                    558,,                 13634,                 14192,                -10322,,,                  7573,,                 -1484,,                     74,                  6015,                 -4307,,                   -334,                 -3973,                 -3973,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                 -3973,,                             -0.04,
