證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3025,2015年第3季,,,                 89376,                 89376,,,                 40281,                 40281,                 40281,                 49095,                 49095,,,                 10194,,                 20421,,                 31435,                 62050,,                              0,                -12955,,,                    734,,                  6556,,                    192,                  7098,                 -5857,,                    602,                 -6459,                 -6459,,,                    999,                   -726,                    273,                    273,                 -6186,,                 -4547,                 -1912,,                 -4256,                 -1930,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,,
3025,2015年第2季,,,                117819,                117819,,,,                 62209,                 62209,                 55610,                 55610,,,                 12687,,                 15321,,                 32757,                 60765,,                              0,                 -5155,,,                    630,,                   -598,,                    196,                   -164,                 -5319,,                   -933,                 -4386,                 -4386,,,                 -2161,                   -480,                 -2641,                 -2641,                 -7027,,                 -3966,                   -420,,                 -6551,                   -476,,,                             -0.06,,,                             -0.06,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
3025,2015年01月01日至2015年09月30日,,,                329987,                329987,,,                170771,                170771,                170771,                159216,                159216,,,                 36425,,                 50318,,                100052,                186795,,                              0,                -27579,,,                  2093,,                  3963,,                    595,                  5461,                -22118,,                 -1979,                -20139,                -20139,,,                 -3458,                 -1131,                 -4589,                 -4589,                -24728,,                -17332,                 -2807,,                -21759,                 -2969,,                             -0.24,                             -0.24,,                             -0.24,                             -0.24,,,,,,,,,,,,,,,,
3025,2015年01月01日至2015年06月30日,,,                240611,                240611,,,,                130490,                130490,                110121,                110121,,,                 26231,,                 29897,,                 68617,                124745,,                              0,                -14624,,,                  1359,,                 -2593,,                    403,                 -1637,                -16261,,                 -2581,                -13680,                -13680,,,                 -4457,                   -405,                 -4862,                 -4862,                -18542,,                -12785,                   -895,,                -17503,                 -1039,,,                             -0.18,,,                             -0.18,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
3025,2015年01月01日至2015年03月31日,,,                122792,                122792,,,,                 68281,                 68281,                 54511,                 54511,,,                 13544,,                 14576,,                 35860,                 63980,,                              0,                 -9469,,,                    729,,                 -1995,,                    207,                 -1473,                -10942,,                 -1648,                 -9294,                 -9294,,,                 -2296,                     75,                 -2221,                 -2221,                -11515,,                 -8819,                   -475,,                -10952,                   -563,,,                             -0.12,,,                             -0.12,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
3025,2014年第3季,,,                145870,                145870,,,                 86961,                 86961,                 86961,                 58909,                 58909,,,                 12042,,                 13839,,                 34408,                 60289,,                              0,                 -1380,,,                  1825,,                    208,,                    229,                  1804,                    424,,                              0,                    424,                    424,,,                    743,                     81,                    824,                    824,                  1248,,                    673,                   -249,,                  1382,                   -134,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,,
3025,2014年第2季,,,                135508,                135508,,,,                 89640,                 89640,                 45868,                 45868,,,                 11931,,                 13388,,                 30615,                 55934,,                              0,                -10066,,,                    823,,                   -514,,                    235,                     74,                 -9992,,                    649,                -10641,                -10641,,,                 -1068,                     63,                 -1005,                 -1005,                -11646,,                -10733,                     92,,                -11377,                   -269,,,                             -0.15,,,                             -0.15,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
3025,2014年度,,,                532353,                532353,,,                288295,                288295,                288295,                244058,                244058,,,                 49899,,                 56660,,                134449,                241008,,                  3016,                  6066,,,                  5175,,                  6188,,                    931,                 10432,                 16498,,                  4394,                 12104,                 12104,,,,,,                 -2220,                  9884,,                 12343,                   -239,,                  9778,                    106,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,                 -2840,                    764,                   -144
3025,2014年01月01日至2014年09月30日,,,                391898,                391898,,,                225717,                225717,                225717,                166181,                166181,,,                 35999,,                 41812,,                 99092,                176903,,                  3016,                 -7706,,,                  3394,,                  2661,,                    712,                  5343,                 -2363,,                  1704,                 -4067,                 -4067,,,                 -4680,                    154,                 -4526,                 -4526,                 -8593,,                 -4114,                     47,,                 -8708,                    115,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,,
3025,2014年01月01日至2014年06月30日,,,                246028,                246028,,,,                138756,                138756,                107272,                107272,,,                 23957,,                 27973,,                 64684,                116614,,                  3016,                 -6326,,,                  1569,,                  2453,,                    483,                  3539,                 -2787,,                  1704,                 -4491,                 -4491,,,                 -5423,                     73,                 -5350,                 -5350,                 -9841,,                 -4787,                    296,,                -10090,                    249,,,                             -0.07,,,                             -0.07,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
