證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入,　　　　 投資收入合計,　　　 投資收入（投資公司適用）合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 金融資產（負債）出售淨利益,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2915,2015年第3季,,,,              1501729,              1501729,                 13314,                    564,              1487851,,,                721038,                721038,,,                  7249,                  7249,                  7249,,                 21116,                 21116,              2237254,,,              1355428,              1355428,,                  5124,                  5124,              1360552,                876702,                876702,,,                320758,,                 97001,                417759,                458943,,,                263572,,             -1012092,,                 80804,,              2727843,              1898519,              2357462,,               -135929,              2493391,              2493391,,,,                              0,                              0,,                710031,                   -331,,             -8328917,             -7619217,             -7619217,             -5125826,,              2667957,               -174566,,             -4846216,               -279610,,                              3.00,                              3.00,,                              2.84,                              2.84,,,,,,,,,,,
2915,2015年第2季,,,,              1389886,              1389886,                 13341,                  1069,              1375476,,,,                450047,,,                  7254,                  7254,                  7254,,                 22154,                 22154,              1854931,,,              1217842,              1217842,,                  9272,                  9272,              1227114,                627817,                627817,,,                287972,,                 89623,                377595,                250222,,,                 46913,,                 93387,,                 67413,,              1569858,              1642745,              1892967,,                 60729,              1832238,              1832238,,,,                              0,                              0,,               -269370,               -267763,,             -3699249,             -4236382,             -4236382,             -2404144,,              1685405,                146833,,             -2503969,                 99825,,                              1.90,                              1.90,,                              1.82,                              1.82,                450047,                              0,                              0,                              0,                              0,                              0,,,,,
2915,2015年第1季,,,,,              1522691,                 20894,                  2362,              1499435,,,,              1174676,,,                  7334,                  7334,                  7334,,,                 22686,              2704131,,,              1421920,              1421920,,                  2291,                  2291,              1424211,              1279920,              1279920,,,                300842,,                 94078,                394920,                885000,,,                 29429,,               -431691,,                 65790,,              1302546,                834494,              1719494,,                 44019,              1675475,              1675475,,,,                     65,                     65,,               -366205,                131804,,              1812192,              1577791,              1577856,              3253331,,              1424730,                250745,,              3038184,                215147,,                              1.60,                              1.60,,                              1.54,                              1.54,,,,,,,,,,,
2915,2015年01月01日至2015年09月30日,,,,              4414306,              4414306,                 47549,                  3995,              4362762,,,              2345761,              2345761,,,                 21837,                 21837,                 21837,,                 65956,                 65956,              6796316,,,              3995190,              3995190,,                 16687,                 16687,              4011877,              2784439,              2784439,,,                909572,,                280702,              1190274,              1594165,,,                339914,,             -1350396,,                214007,,              5600247,              4375758,              5969923,,                -31181,              6001104,              6001104,,,,                     65,                     65,,                 74456,               -136290,,            -10215974,            -10277808,            -10277743,             -4276639,,              5778092,                223012,,             -4312002,                 35363,,                              6.50,                              6.50,,                              6.18,                              6.18,,,,,,,,,,,
2915,2015年01月01日至2015年06月30日,,,,              2912577,              2912577,                 34235,                  3431,              2874911,,,,              1624723,,,                 14588,                 14588,                 14588,,                 44840,                 44840,              4559062,,,              2639762,              2639762,,                 11563,                 11563,              2651325,              1907737,              1907737,,,                588814,,                183701,                772515,              1135222,,,                 76342,,               -338304,,                133203,,              2872404,              2477239,              3612461,,                104748,              3507713,              3507713,,,,                     65,                     65,,               -635575,               -135959,,             -1887057,             -2658591,             -2658526,                849187,,              3110135,                397578,,                534214,                314973,,                              3.50,                              3.50,,                              3.36,                              3.36,              1624723,                     65,                              0,                              0,                              0,                              0,,,,,
2915,2014年第3季,,,,              1512627,              1512627,                 14413,                  1620,              1496594,,,                768251,                768251,,,                  7131,                  7131,                  7131,,                 15823,                 15823,              2287799,,,              1356937,              1356937,,                  2200,                  2200,              1359137,                928662,                928662,,,                305082,,                117719,                422801,                505861,,,                307009,,                348490,,                 62016,,              2394137,              2987620,              3493481,,                  6425,              3487056,              3487056,,,,                              0,                              0,,                421304,               -110831,,             -6756982,             -6446509,             -6446509,             -2959453,,              3138079,                348977,,             -3545611,                586158,,                              3.53,                              3.53,,                              3.36,                              3.36,,,,,,,,,,,
2915,2014年第2季,,,,              1498379,              1498379,                 12628,                  2553,              1483198,,,,                553009,,,                  7113,                  7113,                  7113,,                 20479,                 20479,              2063799,,,              1319820,              1319820,,                  2249,                  2249,              1322069,                741730,                741730,,,                295955,,                 85064,                381019,                360711,,,                 25135,,                264581,,                 63743,,                961606,              1187579,              1548290,,                 42332,              1505958,              1505958,,,,                              0,                              0,,               -667240,                888777,,              2596770,              2818307,              2818307,              4324265,,              1326307,                179651,,              4328823,                 -4558,,                              1.49,                              1.49,,                              1.44,                              1.44,                553009,                              0,                              0,                              0,                              0,                              0,,,,,
2915,2014年第1季,,,,,              1445771,                 13655,                  1617,              1430499,,,,              1251998,,,                  7128,                  7128,                  7128,,,                 13678,              2703303,,,              1252675,              1252675,,                  2287,                  2287,              1254962,              1448341,              1448341,,,                304748,,                101379,                406127,              1042214,,,                 24499,,                -22486,,                 61778,,                627360,                567595,              1609809,,                 54059,              1555750,              1555750,,,,                   -300,                   -300,,                524577,                288220,,              1471901,              2284698,              2284398,              3840148,,              1021382,                534368,,              3230353,                609795,,                              1.15,                              1.15,,                              1.11,                              1.11,,,,,,,,,,,
2915,2014年度,,,,              5817179,              5817179,                 55265,                  7239,              5754675,,,              3190374,              3190374,,,,                 28602,                 28602,,,                 71120,              9044771,,,              5045623,              5045623,,                  9268,                  9268,              5054891,              3989880,              3989880,,,              1222986,,                434217,              1657203,              2332677,,,                388914,,                557664,,                256260,,              5486991,              6177309,              8509986,,                 94354,              8415632,              8415632,,,,,,,,,,,,              8076762,             16492394,,              7113076,              1302556,,             12077828,              4414566,,                              8.00,                              8.00,,                              7.65,                              7.65,,,,,,,              5726857,              1063333,                -16250,,              1302822
2915,2014年01月01日至2014年09月30日,,,,              4456777,              4456777,                 40696,                  5790,              4410291,,,              2573258,              2573258,,,                 21372,                 21372,                 21372,,                 49980,                 49980,              7054901,,,              3929432,              3929432,,                  6736,                  6736,              3936168,              3118733,              3118733,,,                905785,,                304162,              1209947,              1908786,,,                356643,,                590585,,                187537,,              3983103,              4742794,              6651580,,                102816,              6548764,              6548764,,,,                   -300,                   -300,,                278641,              1066166,,             -2688311,             -1343504,             -1343804,              5204960,,              5485768,              1062996,,              4099596,              1105364,,                              6.17,                              6.17,,                              5.89,                              5.89,,,,,,,,,,,
