證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8039,2015年第3季,,,,              3007500,,,,,              2381345,                626155,                              0,,                626155,,,                131229,,                128605,,                 57289,                317123,                309032,,,                 12568,,                 62037,,                 17518,,                 -1206,                 55881,                364913,,                 62708,                302205,                302205,,,,,,,                 80749,                 13727,                 67022,                 67022,                369227,,                301233,                    972,,                365816,                  3411,,                              1.49,,                              1.49,,,,
8039,2015年第2季,,,,              2446450,,,,,              1937803,                508647,                              0,,                508647,,,                147725,,                 86867,,                 49853,                284445,                224202,,,                 12331,,                -34859,,                 11709,,                 -2555,                -36792,                187410,,                 33462,                153948,                153948,,,,,,,                -26661,                 -4533,                -22128,                -22128,                131820,,                162618,                 -8670,,                140668,                 -8848,,                              0.81,,                              0.80,,,,
8039,2015年度,,,             10267868,             10267868,,,              8103053,              8103053,              8103053,              2164815,                    442,                    347,              2164720,,,                497436,,                399605,,                218559,              1115600,              1049120,,,                 44983,,               -152161,,                 68999,,                 -5673,               -181850,                867270,,                159962,                707308,                707308,,,                -22995,                 -3909,                -19086,,                -23246,                 -3951,                -19295,                -38381,                668927,,                729856,                -22548,,                691601,                -22674,,                              3.61,,                              3.58,,,,
8039,2015年01月01日至2015年09月30日,,,,              7358738,,,,,              5779626,              1579112,                    113,,              1578999,,,                359050,,                308532,,                155929,                823511,                755488,,,                 37192,,                -34393,,                 42798,,                 -5655,                -45654,                709834,,                124813,                585021,                585021,,,,,,,                 35865,                  6097,                 29768,                 29768,                614789,,                599920,                -14899,,                627552,                -12763,,                              2.97,,                              2.95,,,,
8039,2015年01月01日至2015年06月30日,,,,              4351238,,,,,              3398281,                952957,                    113,,                952844,,,                227821,,                179927,,                 98640,                506388,                446456,,,                 24624,,                -96430,,                 25280,,                 -4449,               -101535,                344921,,                 62105,                282816,                282816,,,,,,,                -44884,                 -7630,                -37254,                -37254,                245562,,                298687,                -15871,,                261736,                -16174,,                              1.48,,                              1.47,,,,
8039,2015年01月01日至2015年03月31日,,,,              1904788,,,,,              1460478,                444310,                    113,,                444197,,,                 80096,,                 93060,,                 48787,                221943,                222254,,,                 12293,,                -61571,,                 13571,,                 -1894,                -64743,                157511,,                 28643,                128868,                128868,,,,,,,                -18223,                 -3097,                -15126,                -15126,                113742,,                136069,                 -7201,,                121068,                 -7326,,                              0.67,,                              0.67,,,,
8039,2014年第3季,,,,              2772107,,,,,              2137020,                635087,                              0,,                635087,,,                177555,,                121484,,                 47330,                346369,                288718,,,                 15128,,                 69841,,                 14084,,                 -2550,                 68335,                357053,,                 67412,                289641,                289641,,,,,,,                 43083,                  7280,                 35803,                 35803,                325444,,                289928,                   -287,,                325475,                    -31,,                              1.42,,                              1.42,,,,
8039,2014年第2季,,,,              2669115,,,,,              2038998,                630117,                     13,,                630104,,,                153429,,                 92134,,                 46246,                291809,                338295,,,                 10828,,                -43388,,                 16109,,                 -2603,                -51272,                287023,,                 52992,                234031,                234031,,,,,,,                -30785,                 -5233,                -25552,                -25552,                208479,,                233211,                    820,,                207659,                    820,,                              1.14,,                              1.14,,,,
8039,2014年度,,,             10127720,             10127720,,,              7871171,              7871171,              7871171,              2256549,                    347,                    234,              2256436,,,                657652,,                399638,,                189228,              1246518,              1009918,,,                 48523,,                124501,,                 67252,,                 -8507,                 97265,              1107183,,                222204,                884979,                884979,,,                 -2093,                   -356,                 -1737,,                 76122,                 12940,                 63182,                 61445,                946424,,                882421,                  2558,,                943310,                  3114,,                              4.32,,                              4.28,                 76122,                              0,                 -2093,                 12584
8039,2014年01月01日至2014年09月30日,,,,              7639892,,,,,              5886066,              1753826,                    130,,              1753696,,,                435086,,                298227,,                137492,                870805,                882891,,,                 34607,,                 20954,,                 54204,,                 -7108,                 -5751,                877140,,                178591,                698549,                698549,,,,,,,                 17052,                  2855,                 14197,                 14197,                712746,,                698908,                   -359,,                712849,                   -103,,                              3.42,,                              3.40,,,,
8039,2014年01月01日至2014年06月30日,,,,              4867785,,,,,              3749046,              1118739,                    130,,              1118609,,,                257531,,                176743,,                 90162,                524436,                594173,,,                 19479,,                -48887,,                 40120,,                 -4558,                -74086,                520087,,                111179,                408908,                408908,,,,,,,                -26031,                 -4425,                -21606,                -21606,                387302,,                408980,                    -72,,                387374,                    -72,,                              2.01,,                              1.99,,,,
8039,2014年01月01日至2014年03月31日,,,,              2198670,,,,,              1710048,                488622,                    117,,                488505,,,                104102,,                 84609,,                 43916,                232627,                255878,,,                  8651,,                 -5499,,                 24011,,                 -1955,                -22814,                233064,,                 58187,                174877,                174877,,,,,,,                  4754,                    808,                  3946,                  3946,                178823,,                175769,                   -892,,                179715,                   -892,,                              0.86,,                              0.86,,,,
8039,2013年第3季,,,,              2886731,,,,,              2237851,                648880,                              0,                              0,                648880,,,                117552,,                117013,,                 36805,                271370,                377510,,,                 15892,,                  3723,,                 10692,,                 -1581,                  7342,                384852,,                 63060,                321792,                321792,,,,,,,,,,                -10453,                311339,,                320061,                  1731,,                309608,                  1731,,                              1.58,,                              1.57,                -16538,                  3944,,                 -2141
8039,2013年第2季,,,,              2449610,,,,,              1921766,                527844,                              0,                              0,                527844,,,                111805,,                109519,,                 39385,                260709,                267135,,,                  9362,,                 48201,,                  9724,,                 -1628,                 46211,                313346,,                 68090,                245256,                245256,,,,,,,,,,                 23982,                269238,,                243880,                  1376,,                267862,                  1376,,                              1.20,,                              1.19,                 31679,                 -2785,,                  4912
8039,2013年度,,,             10138227,             10138227,,,              7968677,              7968677,              7968677,              2169550,                    234,                    117,              2169433,,,                465855,,                432409,,                158711,              1056975,              1112458,,,                108527,,                100425,,                 43008,,                    275,                166219,              1278677,,                253231,              1025446,              1025446,,,,,,,,,,                 64957,              1090403,,              1005346,                 20100,,              1070303,                 20100,,                              4.96,,                              4.89,                 84105,                  3528,                 -9371,                 13305
