證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換損失,　　　 銷貨成本,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 處分投資損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 當期所得稅費用（利益）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　 未實現銷貨（損）益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　 備供出售金融資產未實現評價損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2461,2014年01月01日至2014年03月31日,,,                989531,                989531,,,                747719,                747719,                241812,                 12964,                254776,,,                 72355,,                 82919,,                 48479,                203753,                 51023,,,,                  2238,                  5067,                  7305,,                    775,                 11285,                     57,                  1895,                    114,                              0,,,                 10108,,                  8100,                  8100,,                  2862,                 12175,                 63198,,                 11482,                 51716,                 51716,,,                 15848,                 15848,                 15848,                 67564,,                 30853,                 20863,,                 42532,                 25032,,                              0.19,                              0.19,,                              0.18,                              0.18,                              0,                              0,                747719,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,
2461,2013年第3季,,,              1002143,              1002143,,,                755072,                755072,                247071,                              0,                247071,,,                 56005,,                 84568,,                 39642,                180215,                 66856,,,,                  1172,                 10773,                 11945,,,,                    249,                  6342,,,,                              0,                -14335,,                  8080,                  8080,,                 16196,                  5726,                 72582,,                  3839,                 68743,                 68743,,,,,                -42149,                 26594,,                 48838,                 19905,,                  9580,                 17014,,                              0.31,                              0.31,,                              0.28,                              0.28,                    -20,                  8420,,,,,,,,,,,,,                -42149,,                   -198,,,,,,,,,,,,
2461,2013年第2季,,,                962893,                962893,,,                719566,                719566,                243327,                      4,                243331,,,                 60814,,                 97810,,                 36434,                195058,                 48273,,,,                    924,                  4975,                  5899,,,,                    182,                  3272,,,,,                 13297,,                  7879,                  7879,,                 22439,                 33756,                 82029,,                  8543,                 73486,                 73486,,,,,                 10022,                 83508,,                 43572,                 29914,,                 57757,                 25751,,                              0.29,                              0.29,,                              0.26,                              0.26,                     72,                -16633,,,,,,,,,,,,,                 10022,,                    318,,                              0,                  8543,,,,,,,,,
2461,2013年度,,,              4078901,              4078901,,,              3068518,              3068518,              1010383,                  6758,              1017141,,,                254256,,                338152,,                176207,                768615,                248526,,,,                  7132,                 25385,                 32517,,                  8425,                 46438,                  1360,                 30102,                  3445,,,                              0,                 22676,,                 37875,                 37875,,                 79743,                 97061,                345587,,                 37134,                308453,                308453,,,,,                 86969,                395422,,                227852,                 80601,,                322624,                 72798,,                              1.49,                              1.49,,                              1.38,                              1.38,,,              3068518,,,,,,,,,,,,                 86643,                    326,,,,,,,,,,,,,
2461,2013年07月01日至2013年09月30日,,,              1002143,              1002143,,,                755072,                755072,                247071,                              0,                247071,,,                 56005,,                 84568,,                 39642,                180215,                 66856,,,,                  1172,                 10773,                 11945,,,                 -8420,                    249,                  6342,,,,,                -14335,,                  8080,                  8080,,                 16196,                  5726,                 72582,,                  3839,                 68743,                 68743,,,,,                -42149,                 26594,,                 48838,                 19905,,                  9580,                 17014,,                              0.31,                              0.31,,                              0.28,                              0.28,                    -20,,                755072,,,,,,,,,,,,                -42149,,                   -198,,,,,              1002143,              1002143,                              0,,                              0,                              0,,
2461,2013年04月01日至2013年06月30日,,,                962893,                962893,,,                719566,                719566,                243327,                      4,                243331,,,                 55276,,                101080,,                 36434,                192790,                 50541,,,,                    924,                  4975,                  5899,,,                 16633,                    182,                  5540,                              0,                              0,,,                 11029,,                  7879,                  7879,,                 22439,                 31488,                 82029,,                  8543,                 73486,                 73486,,,,,                 10022,                 83508,,                 43572,                 29914,,                 57757,                 25751,,                              0.29,                              0.29,,                              0.26,                              0.26,                     72,                              0,,,,,,,,,,,,,                 10022,,                    318,,,,,,,,,,                              0,,
2461,2013年01月01日至2013年12月31日,,,              4078901,              4078901,,,              3068518,              3068518,              1010383,                  6758,              1017141,,,                236614,,                355794,,                176207,                768615,                248526,,,,                  7132,                 25385,                 32517,,,                 46438,                  1360,                 30102,,,,                              0,                 22676,,                 37875,                 37875,,                 79743,                 97061,                345587,,                 37134,                308453,                308453,,,,,                 86969,                395422,,                227852,                 80601,,                322624,                 72798,,                              1.49,                              1.49,,                              1.38,                              1.38,                 -3445,,,,,,,,,,,,,,                 86643,                    326,                 -8425,,,,,,,,,,,,
2461,2013年01月01日至2013年09月30日,,,              3007053,              3007053,,,              2255227,              2255227,                751826,                  6758,                758584,,,                165085,,                264425,,                116186,                545696,                212888,,,,                  5193,                 23081,                 28274,,,,                    976,                 25694,,,,                              0,                  9181,,                 27400,                 27400,,                 56665,                 66720,                279608,,                 26553,                253055,                253055,,,,,                 50658,                303713,,                183975,                 69080,,                237238,                 66475,,                              1.22,                              1.22,,                              1.11,                              1.11,                    260,                -33556,,,,,,,,,,,,,                 50658,,                    -83,,,,,,,,,,,,
2461,2013年01月01日至2013年06月30日,,,              2004910,              2004910,,,              1500155,              1500155,                504755,                  6758,                511513,,,                119148,,                177924,,                 76544,                373616,                137897,,,,                  4021,                 12308,                 16329,,,,                    727,                 11217,,,,,                 31651,,                 19320,                 19320,,                 40469,                 69129,                207026,,                 22714,                184312,                184312,,,,,                 92807,                277119,,                135137,                 49175,,                227658,                 49461,,                              0.91,                              0.91,,                              0.82,                              0.82,                    280,                -41976,,,,,,,,,,,,,                 92807,,                    115,,                              0,                 22714,,,,,,,,,
2461,2013年01月01日至2013年03月31日,,,              1042017,              1042017,,,                780589,                780589,                261428,                  6754,                268182,,,                 58334,,                 80114,,                 40110,                178558,                 89624,,,,                  3097,                  7333,                 10430,,                    203,                 25343,                    545,                  7945,                              0,,,,                 18354,,                 11441,                 11441,,                 18030,                 35373,                124997,,                 14171,                110826,                110826,,,,,                 82785,                193611,,                 91565,                 19261,,                169901,                 23710,,                              0.63,                              0.63,,                              0.54,                              0.54,                    208,,                780589,,,,,,,,,,,,                 82785,,,,,                 14171,,              1042017,              1042017,,,,,,
2461,2012年07月01日至2012年09月30日,,,              1137233,              1137233,,,                865200,                865200,                272033,                              0,                268706,,,                 56649,,                 92815,,                 41251,                190715,                 77991,,,,                    -24,                 10047,                 10023,,,                 -2427,                  1724,                 15653,,,,,                -15162,,                 10292,                 10292,,                 19710,                  4279,                 82270,,                 10397,                 71873,                 71873,,,,,                -31486,                 40387,,                 51015,                 20858,,                 27609,                 12778,,                              0.35,                              0.35,,                              0.29,                              0.29,                   -304,,                865200,,,,,,,,,,,,                -31922,,                    688,,,,,              1137233,              1137233,                  3327,,                  2186,                    436,,
2461,2012年04月01日至2012年06月30日,,,                795080,                795080,,,                603568,                603568,                191512,                    445,                191957,,,                 42266,,                 72814,,                 37545,                152625,                 39332,,,,                  1547,                  9869,                 11416,,,                              0,                              0,                  2381,                  2710,                    833,,,                -14920,,                  7767,                  7767,,                  9849,                 -1422,                 37910,,                 12528,                 25382,                 25382,,,,,                 13652,                 39034,,                 19676,                  5706,,                 31176,                  7858,,                              0.13,                              0.13,,                              0.11,                              0.11,                              0,                  1093,,,,,,,,,,,,,                 13692,,                  7903,,,,,,,,,,                    -40,,
2461,2012年01月01日至2012年12月31日,,,              3844829,              3844829,,,              2939879,              2939879,                904950,                  3496,                908446,,,                188895,,                351064,,                164321,                704280,                204166,,,,                  5016,                 32844,                 37860,,,                  1673,                  2794,                 17385,,,,                  3020,                -38539,,                 36546,                 36546,,                 65432,                 28207,                232373,,                 50632,                181741,                181741,,,,,               -137774,                 43967,,                127184,                 54557,,                 36872,                  7095,,                              0.87,                              0.87,,                              0.74,                              0.74,                -15544,,,,,,,,,,,,,,               -133575,                 -4199,                  7057,,,,,,,,,,,,
2461,2012年01月01日至2012年09月30日,,,              2694862,              2694862,,,              2042131,              2042131,                652731,                    406,                653137,,,                151705,,                232978,,                114006,                498689,                154448,,,,                  1917,                 28436,                 30353,,,                 -7892,                  2606,                 25512,,,,,                -40485,,                 24081,                 24081,,                 40317,                  6104,                160552,,                 32644,                127908,                127908,,,,,                -99173,                 28735,,                 94065,                 33843,,                 24532,                  4203,,                              0.64,                              0.64,,                              0.54,                              0.54,                 -3413,,              2042131,,,,,,,,,,,,                -99569,,                  8460,,,,,              2694862,              2694862,                              0,,                  2186,                    396,,
2461,2012年01月01日至2012年06月30日,,,              1557629,              1557629,,,              1176931,              1176931,                380698,                  3733,                384431,,,                 86803,,                148416,,                 72755,                307974,                 76457,,,,                  1941,                 18389,                 20330,,,                              0,                    948,                  9859,                  3109,                     66,,,                -25323,,                 13789,                 13789,,                 20607,                  1825,                 78282,,                 22247,                 56035,                 56035,,,,,                -67687,                -11652,,                 43050,                 12985,,                 -3077,                 -8575,,                              0.29,                              0.29,,                              0.25,                              0.25,                              0,                  5465,,,,,,,,,,,,,                -67647,,                  7772,,,,,,,,,,                    -40,,
2461,2012年01月01日至2012年03月31日,,,                762549,                762549,,,                573363,                573363,                189186,                  3288,                192474,,,                 44537,,                 75602,,                 35210,                155349,                 37125,,,,                    394,                  8520,                  8914,,                    131,                              0,                  1715,                  7478,                    399,,,,                -10403,,                  6022,                  6022,,                 10758,                  3247,                 40372,,                  9719,                 30653,                 30653,,,,,                -81339,                -50686,,                 23374,                  7279,,                -34253,                -16433,,                              0.16,                              0.16,,                              0.13,                              0.13,                              0,                  4372,                573363,,,,,,,,,,,,                -81339,,,,                              0,                  9719,,                762549,                762549,,,,,,                              0
