證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3518,2015年第3季,,                272912,,                228126,                 44786,                 44786,,,                 17971,,                 68101,,                  5909,                 91981,                -47195,,,                 10127,,                    967,,                  1004,                 10090,                -37105,,                  7013,                -44118,                -44118,,,                136701,                    506,                 23239,                113968,                113968,                 69850,,                -44118,                              0,,                 69850,                              0,,                             -0.51,                             -0.51,,                             -0.51,                             -0.51,,,,,
3518,2015年第2季,,                296439,,                222051,                 74388,                 74388,,,                 12650,,                 62128,,                  9260,                 84038,                 -9650,,,                 12352,,                  5121,,                  2390,                 15083,                  5433,,                  1571,                  3862,                  3862,,,                -48282,                    402,                 -8208,                -39672,                -39672,                -35810,,                  3862,                              0,,                -35810,                              0,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,
3518,2015年01月01日至2015年09月30日,,                885970,,                670791,                215179,                215179,,,                 50672,,                194380,,                 23138,                268190,                -53011,,,                 30648,,                 22867,,                  6975,                 46540,                 -6471,,                 19759,                -26230,                -26230,,,                 55935,                 -8764,                  9509,                 37662,                 37662,                 11432,,                -26230,                              0,,                 11432,                              0,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,,,,,
3518,2015年01月01日至2015年06月30日,,                613058,,                442665,                170393,                170393,,,                 32701,,                126279,,                 17229,                176209,                 -5816,,,                 20521,,                 21900,,                  5971,                 36450,                 30634,,                 12746,                 17888,                 17888,,,                -80766,                 -9270,                -13730,                -76306,                -76306,                -58418,,                 17888,                              0,,                -58418,                              0,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,
3518,2015年01月01日至2015年03月31日,,                316619,,                220614,                 96005,                 96005,,,                 20051,,                 64151,,                  7969,                 92171,                  3834,,,                  8169,,                 16779,,                  3581,                 21367,                 25201,,                 11175,                 14026,                 14026,,,                -32484,                 -9672,                 -5522,                -36634,                -36634,                -22608,,                 14026,                              0,,                -22608,                              0,,                              0.17,                              0.17,,                              0.16,                              0.16,,,,,
3518,2014年第3季,,                282564,,                232604,                 49960,                 49960,,,                 15876,,                 85991,,                  6403,                108270,                -58310,,,                  5739,,                 -9482,,                  4057,                 -7800,                -66110,,                  1162,                -67272,                -67272,,,                 86990,                  3170,                 14788,                 75372,                 75372,                  8100,,                -67272,                              0,,                  8100,                              0,,                             -0.79,                             -0.79,,                             -0.79,                             -0.79,,,,,
3518,2014年第2季,,                336815,,                287413,                 49402,                 49402,,,                 15851,,                 69063,,                  9512,                 94426,                -45024,,,                  7131,,                -28942,,                  4836,                -26647,                -71671,,                  4756,                -76427,                -76427,,,                -64710,                  3060,                -11000,                -50650,                -50650,               -127077,,                -76427,                              0,,               -127077,                              0,,                             -0.90,                             -0.90,,                             -0.90,                             -0.90,,,,,
3518,2014年度,,              1265410,,              1041723,                223687,                223687,,,                 67002,,                296421,,                 36339,                399762,               -176075,,,                 28686,,                -55862,,                 17670,                -44846,               -220921,,                 27286,               -248207,               -248207,,,,,,,                108023,               -140184,,               -248207,                              0,,               -140184,                              0,,                             -2.92,                             -2.92,,                             -2.92,                             -2.92,                117834,                 10792,                              0,                   -688,                 19915
3518,2014年01月01日至2014年09月30日,,                915372,,                773418,                141954,                141954,,,                 77200,,                192038,,                 26060,                295298,               -153344,,,                 20836,,                -53939,,                 13256,                -46359,               -199703,,                 15425,               -215128,               -215128,,,                  9153,                  6936,                  1556,                 14533,                 14533,               -200595,,               -215128,                              0,,               -200595,                              0,,                             -2.53,                             -2.53,,                             -2.53,                             -2.53,,,,,
3518,2014年01月01日至2014年06月30日,,                632808,,                540814,                 91994,                 91994,,,                 39603,,                127768,,                 19657,                187028,                -95034,,,                 15097,,                -44457,,                  9199,                -38559,               -133593,,                 14263,               -147856,               -147856,,,                -77837,                  3766,                -13232,                -60839,                -60839,               -208695,,               -147856,                              0,,               -208695,                              0,,                             -1.74,                             -1.74,,                             -1.74,                             -1.74,,,,,
