證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 採用權益法認列之關聯企業及合資利益之份額
1810,2015年第3季,,,              1349433,              1349433,,                979563,                369870,                369870,,,                235023,,                 88853,,                 32766,                356642,                 13228,,,                 72672,,                 -9784,,                 19247,,                   -374,                    374,                 44015,                 57243,,                 16235,                 16235,                 41008,                 41008,,,                 70710,               -150545,                              0,                -79835,                -79835,                -38827,,                 42718,                 -1710,,                -37906,                   -921,,                              0.12,,                              0.12,,,,,,,,,,
1810,2015年第2季,,,              1548924,              1548924,,              1101654,                447270,                447270,,,                264122,,                 80558,,                 35319,                379999,                 67271,,,                 42245,,                -10144,,                 18877,,                    578,                   -578,                 12646,                 79917,,                 28814,                 28814,                 51103,                 51103,,,                -26856,               -121522,                              0,               -148378,               -148378,                -97275,,                 52119,                 -1016,,                -94526,                 -2749,,                              0.14,,                              0.14,,,,,,,,,,
1810,2015年01月01日至2015年09月30日,,,              4276109,              4276109,,              3096417,              1179692,              1179692,,,                717754,,                269121,,                 99937,              1086812,                 92880,,,                136070,,                 -8279,,                 57701,,                  4131,                 -4131,                 65959,                158839,,                 53593,                 53593,                105246,                105246,,,                 26270,               -245247,                              0,               -218977,               -218977,               -113731,,                109265,                 -4019,,               -109258,                 -4473,,                              0.30,,                              0.30,,,,,,,,,,
1810,2015年01月01日至2015年06月30日,,,              2926676,              2926676,,              2116854,                809822,                809822,,,                482731,,                180268,,                 67171,                730170,                 79652,,,                 63398,,                  1505,,                 38454,,                  4505,                 -4505,                 21944,                101596,,                 37358,                 37358,                 64238,                 64238,,,                -44440,                -94702,                              0,               -139142,               -139142,                -74904,,                 66547,                 -2309,,                -71352,                 -3552,,                              0.18,,                              0.18,,,,,,,,,,
1810,2015年01月01日至2015年03月31日,,,              1377752,              1377752,,              1015200,                362552,                362552,,,                218609,,                 99710,,                 31852,                350171,                 12381,,,                 21153,,                 11649,,                 19577,,                  3927,                 -3927,                  9298,                 21679,,                  8544,                  8544,                 13135,                 13135,,,                -17584,                 26820,                              0,                  9236,                  9236,                 22371,,                 14428,                 -1293,,                 23174,                   -803,,                              0.04,,                              0.04,,,,,,,,,,
1810,2014年第3季,,,              1458162,              1458162,,              1068626,                389536,                389536,,,                239181,,                101535,,                 32794,                373510,                 16026,,,                 28280,,                 -2016,,                 19442,,                     56,                    -56,                  6766,                 22792,,                  7251,                  7251,                 15541,                 15541,,,                 25402,                 16705,                              0,                 42107,                 42107,                 57648,,                 13912,                  1629,,                 56207,                  1441,,                              0.04,,                              0.04,,,,,,,,,,
1810,2014年第2季,,,              1694037,              1694037,,              1189651,                504386,                504386,,,                244470,,                106057,,                 36978,                387505,                116881,,,                 60232,,                 42296,,                 19935,,                  1993,                 -1993,                 80600,                197481,,                 41199,                 41199,                156282,                156282,,,                -21574,                 21268,                              0,                   -306,                   -306,                155976,,                154441,                  1841,,                153919,                  2057,,                              0.42,,                              0.42,,,,,,,,,,
1810,2014年度,,,              5984327,              5984327,,              4367230,              1617097,              1617097,,,                946998,,                395770,,                132137,              1474905,                142192,,,                136956,,                 48120,,                 79537,,                  2190,                 -2190,                103349,                245541,,,                 58264,                187277,                187277,,,,,,,                214993,                402270,,                181562,                  5715,,                393930,                  8340,,                              0.49,,                              0.49,                 58264,                 85474,                166211,                -43589,                 -6897,,,,,
1810,2014年01月01日至2014年09月30日,,,              4474932,              4474932,,              3260664,              1214268,              1214268,,,                691764,,                302782,,                 97255,              1091801,                122467,,,                117127,,                 57663,,                 59711,,                  2135,                 -2135,                112944,                235411,,                 53529,                 53529,                181882,                181882,,,                 13638,                102755,                              0,                116393,                116393,                298275,,                178650,                  3232,,                294571,                  3704,,                              0.49,,                              0.48,,,,,,,,,,
1810,2014年01月01日至2014年06月30日,,,              3016770,              3016770,,              2192038,                824732,                824732,,,                452583,,                201247,,                 64461,                718291,                106441,,,                 88847,,                 59679,,                 40269,,                  2079,                 -2079,                106178,                212619,,                 46278,                 46278,                166341,                166341,,,                -11764,                 86050,                              0,                 74286,                 74286,                240627,,                164738,                  1603,,                238364,                  2263,,                              0.45,,                              0.45,,,,,,,,,,
1810,2014年01月01日至2014年03月31日,,,              1322733,              1322733,,              1002387,                320346,                320346,,,                208113,,                 95190,,                 27483,                330786,                -10440,,,                 28615,,                 17383,,                 20334,,                     86,                    -86,                 25578,                 15138,,                  5079,                  5079,                 10059,                 10059,,,                  9810,                 64782,                              0,                 74592,                 74592,                 84651,,                 10297,                   -238,,                 84445,                    206,,                              0.03,,                              0.03,,,,,,,,,,
