證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2482,2015年第3季,,                233351,,                137607,                 95744,                 95744,,,                 35562,,                 10596,,                 37644,                 83802,                 11942,,,                    602,,                 16154,,                    288,                 16468,                 28410,,                  4396,                  4396,                 24014,                 24014,,,                  8796,                              0,                  8796,                  8796,                 32810,,                 24116,                   -102,,                 32912,                   -102,,                              0.39,,                              0.39,,,
2482,2015年第2季,,                222622,,                128004,                 94618,                 94618,,,                 34098,,                  9422,,                 35980,                 79500,                 15118,,,                    871,,                 -4583,,                    215,                 -3927,                 11191,,                  1097,                  1097,                 10094,                 10094,,,                 -1657,                              0,                 -1657,                 -1657,                  8437,,                 10195,                   -101,,                  8538,                   -101,,                              0.16,,                              0.16,,,
2482,2015年01月01日至2015年09月30日,,                663536,,                386279,                277257,                277257,,,                108685,,                 29418,,                104240,                242343,                 34914,,,                  2372,,                  9408,,                    716,                 11064,                 45978,,                  6579,                  6579,                 39399,                 39399,,,                  5229,                              0,                  5229,                  5229,                 44628,,                 39692,                   -293,,                 44921,                   -293,,                              0.64,,                              0.64,,,
2482,2015年01月01日至2015年06月30日,,                430185,,                248672,                181513,                181513,,,                 73123,,                 18822,,                 66596,                158541,                 22972,,,                  1770,,                 -6746,,                    428,                 -5404,                 17568,,                  2183,                  2183,                 15385,                 15385,,,                 -3567,                              0,                 -3567,                 -3567,                 11818,,                 15576,                   -191,,                 12009,                   -191,,                              0.25,,                              0.25,,,
2482,2015年01月01日至2015年03月31日,,                207563,,                120668,                 86895,                 86895,,,                 39025,,                  9400,,                 30616,                 79041,                  7854,,,                    899,,                 -2163,,                    213,                 -1477,                  6377,,                  1086,                  1086,                  5291,                  5291,,,                 -1910,                              0,                 -1910,                 -1910,                  3381,,                  5381,                    -90,,                  3471,                    -90,,                              0.09,,,,,
2482,2014年第3季,,                200321,,                129816,                 70505,                 70505,,,                 32648,,                  9052,,                 29167,                 70867,                   -362,,,                  1264,,                  4862,,                    232,                  5894,                  5532,,                  1672,                  1672,                  3860,                  3860,,,                  1642,                              0,                  1642,                  1642,                  5502,,                  3963,                   -103,,                  5605,                   -103,,                              0.06,,                              0.06,,,
2482,2014年第2季,,                185450,,                135106,                 50344,                 50344,,,                 32586,,                  7691,,                 32706,                 72983,                -22639,,,                    735,,                 -3567,,                    205,                 -3037,                -25676,,                 -4913,                 -4913,                -20763,                -20763,,,                 -2575,                              0,                 -2575,                 -2575,                -23338,,                -20653,                   -110,,                -23228,                   -110,,                             -0.33,,                             -0.33,,,
2482,2014年度,,                733106,,                472818,                260288,                260288,,,                132340,,                 38453,,                127267,                298060,                -37772,,,                  5048,,                 19449,,                    730,                 23767,                -14005,,,                 -2878,                -11127,                -11127,,,,,,                  4009,                 -7118,,                -10775,                   -352,,                 -6766,                   -352,,                             -0.17,,,                  6516,                 -3020,                   -513
2482,2014年01月01日至2014年09月30日,,                524432,,                343133,                181299,                181299,,,                 98671,,                 26563,,                 89930,                215164,                -33865,,,                  2518,,                  8114,,                    653,                  9979,                -23886,,                 -3839,                 -3839,                -20047,                -20047,,,                  1823,                              0,                  1823,                  1823,                -18224,,                -19809,                   -238,,                -17986,                   -238,,                             -0.32,,                             -0.32,,,
2482,2014年01月01日至2014年06月30日,,                324111,,                213317,                110794,                110794,,,                 66023,,                 17511,,                 60763,                144297,                -33503,,,                  1254,,                  3252,,                    421,                  4085,                -29418,,                 -5511,                 -5511,                -23907,                -23907,,,                    181,                              0,                    181,                    181,                -23726,,                -23772,                   -135,,                -23591,                   -135,,                             -0.38,,                             -0.38,,,
