證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　　　 銷貨收入,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　　 銷貨成本,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費-推銷費用,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費-推銷費用,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 捐贈-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 各項攤提-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費-推銷費用,　　　 進出口費用,　　　 漁業作業費用,　　　 漁貨銷售費用,　　　 其他費用-推銷費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 運費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 廣告費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 捐贈-管理費用,　　　 稅捐-管理費用,　　　 呆帳損失,　　　 折舊-管理費用,　　　 各項攤提-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 研究發展費用,　　　 訓練費-管理費用,　　　 網路服務費,　　　 保全費,　　　 其他費用-管理費用,　　　 薪資支出-研發費用,　　　 租金支出-研發費用,　　　 文具用品-研發費用,　　　 旅費-研發費用,　　　 運費-研發費用,　　　 郵電費-研發費用,　　　 修繕費-研發費用,　　　 水電瓦斯費-研發費用,　　　 保險費-研發費用,　　　 交際費-研發費用,　　　 捐贈-研發費用,　　　 稅捐-研發費用,　　　 折舊及折耗,　　　 各項攤提-研發費用,　　　 伙食費-研發費用,　　　 職工福利-研發費用,　　　 委託研究費,　　　 訓練費-研發費用,　　　 其他費用-研發費用,　　 其他費損
4977,2015年第3季,,,,                429862,                429862,                429862,,,                316375,                316375,                113487,                113487,,,                  1110,,                 20766,,                 31246,                 53122,,                    -33,                 60332,,,,                  3350,                  3350,                    405,                  3268,                  7023,,                              0,                 12501,                     62,                  3977,                              0,                  8333,                    129,                  7152,                 67484,,                    736,                    653,                  1389,                 66095,                 66095,,,                 87744,                 87744,,                -46833,                -46833,                 40911,                107006,,                 66095,,                107006,,                              1.26,                              1.26,,                              1.26,                              1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2015年第2季,,,,                365897,                365897,                365897,,,                283317,                283317,                 82580,                 82580,,,                  1628,,                 21671,,                 25201,                 48500,,                    -39,                 34041,,,,                  6237,                  6237,,                  1013,                  7250,,                 19747,                              0,                      9,,                  1323,                  8878,                  9537,                 16787,                 50828,,                    -33,                    -96,                   -129,                 50957,                 50957,,,                -20197,                -20197,,                  6513,                  6513,                -13684,                 37273,,                 50957,,                 37273,,                              0.96,                              0.96,,                              0.96,                              0.96,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2015年01月01日至2015年09月30日,,,,              1249855,              1249855,              1249855,,,                945918,                945918,                303937,                303937,,,                  4036,,                 65699,,                 80354,                150089,,                    -74,                153774,,,,                 15374,                 15374,                    405,                  6106,                 21885,,                 16815,                 11318,                    115,                              0,                              0,                 12910,                 15108,                 36993,                190767,,                  1519,                    896,                  2415,                188352,                188352,,,                 50293,                 50293,,                -42146,                -42146,                  8147,                196499,,                188352,,                196499,,                              3.57,                              3.57,,                              3.56,                              3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2015年01月01日至2015年06月30日,,,,                819993,                819993,                819993,,,                629543,                629543,                190450,                190450,,,                  2926,,                 44933,,                 49108,                 96967,,                    -41,                 93442,,,,                 12024,                 12024,,                  2838,                 14862,,                 20792,                              0,                     53,,                  1183,                  4577,                 14979,                 29841,                123283,,                    783,                    243,                  1026,                122257,                122257,,,                -37451,                -37451,,                  4687,                  4687,                -32764,                 89493,,                122257,,                 89493,,                              2.30,                              2.30,,                              2.30,                              2.30,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2015年01月01日至2015年03月31日,,,,                454096,                454096,                454096,,,                346226,                346226,                107870,                107870,,,                  1298,,                 23262,,                 23907,                 48467,,                     -2,                 59401,,,,                  5787,                  5787,,                  1825,                  7612,,                  1045,                    140,                     44,,                              0,                              0,                  5442,                 13054,                 72455,,                    816,                    339,                  1155,                 71300,                 71300,,,                -17254,                -17254,,                 -1826,                 -1826,                -19080,                 52220,,                 71300,,                 52220,,                              1.41,                              1.41,,                              1.41,                              1.41,                  4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年第3季,,,,                462155,                462155,                462155,,,                352813,                352813,                109342,                109342,,,                    990,,                 20706,,                 24819,                 46515,,                    -61,                 62766,,,,                  7415,                  7415,                              0,                  2091,                  9506,,                    263,                              0,                              0,                              0,                  1170,                  2300,                 -3207,                  6299,                 69065,,                  1280,                  2027,                  3307,                 65758,                 65758,,,                 24945,                 24945,,                    242,                    242,                 25187,                 90945,,                 65758,,                 90945,,                              1.24,                              1.24,,                              1.24,                              1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年第2季,,,,                436592,                436592,                436592,,,                333629,                333629,                102963,                102963,,,                  1366,,                 20536,,                 22985,                 44887,,                   -136,                 57940,,,,                  7314,                  7314,,                    389,                  7703,,                              0,                    804,                              0,,                              0,                              0,                  2559,                 10262,                 68202,,                    748,                  1099,                  1847,                 66355,                 66355,,,                -28414,                -28414,,                   -286,                   -286,                -28700,                 37655,,                 66355,,                 37655,,                              1.25,                              1.25,,                              1.25,                              1.25,                  1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年度,,,,              1779934,              1779934,              1779934,,,              1361274,              1361274,                418660,                418660,,,                  4888,,                 84720,,                 95355,                184963,,                    447,                234144,,,,                 26689,                 26689,,                  3445,                 30134,,                    731,,                      2,,                  3233,                  7246,                 -9750,                 20384,                254528,,,                  5062,                  1846,                252682,                252682,,,,,,,,                 77227,                329909,,                252682,,                329909,,                              5.00,                              5.00,,                              5.00,                              5.00,                              0,                 -3216,                 77227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年01月01日至2014年09月30日,,,,              1291357,              1291357,              1291357,,,                980645,                980645,                310712,                310712,,,                  3819,,                 63223,,                 66959,                134001,,                   -234,                176477,,,,                 20757,                 20757,                              0,                  3120,                 23877,,                    263,                              0,                              0,                              0,                  1938,                  9946,                -11621,                 12256,                188733,,                  2625,                  4861,                  7486,                181247,                181247,,,                 27425,                 27425,,                 -7340,                 -7340,                 20085,                201332,,                181247,,                201332,,                              3.42,                              3.42,,                              3.41,                              3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2014年01月01日至2014年06月30日,,,,                829202,                829202,                829202,,,                627832,                627832,                201370,                201370,,,                  2829,,                 42517,,                 42140,                 87486,,                   -173,                113711,,,,                 13342,                 13342,,                  1029,                 14371,,                              0,                              0,                              0,,                    768,                  7646,                 -8414,                  5957,                119668,,                  1345,                  2834,                  4179,                115489,                115489,,,                  2480,                  2480,,                 -7582,                 -7582,                 -5102,                110387,,                115489,,                110387,,                              2.18,                              2.18,,                              2.17,                              2.17,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
