證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2492,2014年01月01日至2014年03月31日,,              3209267,,              2842337,                366930,                366930,,,                195528,,                110512,,                 81577,                387617,                -20687,,,,                 31281,                  3151,,                 15707,                 50139,,                  3789,                  5546,,                  8179,,                  1544,,                 25612,                 25612,,                 14193,                -14193,                 11878,                 -8809,,                  9737,                -18546,                -18546,,,                 32685,                125573,,                 -6574,                151684,                151684,                133138,,                -24846,                  6300,,                115632,                 17506,,                             -0.04,                             -0.04,,                              0.00,                              0.00,,,,,,                  1408,                  1020,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
2492,2013年第3季,,              3389697,,              3007252,                382445,                382445,,,                209652,,                118594,,                 82490,                410736,                -28291,,,,                 25682,                  4006,                 20002,                 14367,                 64057,,                  1009,                  8529,                              0,                  8810,                  1322,                 -9631,,                 25733,                 25733,,                 32040,                -32040,                 -3347,                -31638,,                 11132,                -42770,                -42770,,,,,,,,               -185683,               -228453,,                -48756,                  5986,,               -219994,                 -8459,,,                             -0.07,,,,,              3389697,,              3007252,              3007252,                              0,                  9037,,,,,,,,,,,,,,,,               -157934,                  9487,,,                -37236
2492,2013年第2季,,              3407026,,              2998398,                408628,                408628,,,                195581,,                124398,,                 99332,                419311,                -10683,,,,                 22165,                  4353,                    534,                 15974,                 43026,,                  1754,                 10991,                 38160,                              0,                 13863,                 37042,,                 26793,                 26793,,,                -48571,                  4704,                 -5979,,                 11426,                -17405,                -17405,,,,,,,,                272172,                254767,,                -42475,                 25070,,                222532,                 32235,,,                             -0.06,,,,,              3407026,,              2998398,              2998398,                              0,                              0,,,,,,,,,,,,,,,,                134218,                 74406,,,                 63548
2492,2013年度,,             13056483,,             11765274,              1291209,              1291209,,,                791153,,                477419,,                359443,              1628015,               -336806,,,,                 95958,                 12643,                 21168,                 45243,                175012,,                  2312,                 19651,                 60298,                 69030,                    380,                 12851,,                105397,                105397,,,               -195783,               -113317,               -450123,,                 36983,               -487106,               -487106,,,,,,,,                828174,                341068,,               -504178,                 17072,,                323395,                 17673,,,                             -0.74,,,                              0.00,,             13056483,,             11765274,             11765274,                              0,                              0,,,,,,,,,,,,                              0,                              0,,                              0,                491474,                179847,                -22509,,                179362
2492,2013年07月01日至2013年09月30日,,              3389697,,              3007252,                382445,                382445,,,                209652,,                118594,,                 82490,                410736,                -28291,,,,                 25682,                  4006,                 20002,                 14367,                 64057,,                  1009,                  8529,                              0,                  8810,                  1322,                 -9631,,                 25733,                 25733,,,                -32040,                 -3347,                -31638,,                 11132,                -42770,                -42770,,,,,,,,               -185683,               -228453,,                -48756,                  5986,,               -219994,                 -8459,,,                             -0.07,,,,,              3389697,,,              3007252,                              0,                  9037,,,,,,,,,,,,                              0,,,,               -157934,                  9487,,,                -37236
2492,2013年04月01日至2013年06月30日,,              3407026,,              2998398,                408628,                408628,,,                195581,,                124398,,                 99332,                419311,                -10683,,,,                 22165,                  4353,                    534,                 15974,                 43026,,                  1754,                 10991,                 38160,                              0,                 13863,                 37042,,                 26793,                 26793,,,                -48571,                  4704,                 -5979,,                 11426,                -17405,                -17405,,,,,,,,                272172,                254767,,                -42475,                 25070,,                222532,                 32235,,,                             -0.06,,,,,              3407026,,              2998398,              2998398,                              0,                              0,,,,,,,,,,,,                              0,,,,                134218,                 74406,,,                 63548
2492,2013年01月01日至2013年12月31日,,             13056483,,             11765274,              1291209,              1291209,,,                791153,,                477419,,                359443,              1628015,               -336806,,,,                 95958,                 12643,                 21168,                 45243,                175012,,                  2312,                 19651,                 60298,                 69030,                    380,                 12851,,                105397,                105397,,,               -195783,               -113317,               -450123,,                 36983,               -487106,               -487106,,,,,,,,                828174,                341068,,               -504178,                 17072,,                323395,                 17673,,,                             -0.74,,,,,             13056483,,             11765274,             11765274,                              0,                              0,,,,,,,,,,,,                              0,                              0,,                              0,                491474,                179847,                -22509,,                179362
2492,2013年01月01日至2013年09月30日,,              9678778,,              8780754,                898024,                898024,,,                601374,,                363985,,                274357,              1239716,               -341692,,,,                 69450,                 12493,                 20583,                 33814,                136340,,                  7208,                 19622,                 45832,                 44631,                  2653,                 25378,,                 81044,                 81044,,                106209,               -106209,                -25535,               -367227,,                 29200,               -396427,               -396427,,,,,,,,                546398,                149971,,               -406886,                 10459,,                134538,                 15433,,,                             -0.59,,,,,              9678778,,              8780754,              8780754,                              0,                              0,,,,,,,,,,,,,,,,                304760,                119602,,,                122036
2492,2013年01月01日至2013年06月30日,,              6289081,,              5773502,                515579,                515579,,,                391722,,                245391,,                191867,                828980,               -313401,,,,                 43768,                  8487,                    581,                 19447,                 72283,,                  6199,                 11093,                 54869,                 35821,                  1331,                 35009,,                 55311,                 55311,,,                -74169,                -22188,               -335589,,                 18068,               -353657,               -353657,,,,,,,,                732081,                378424,,               -358130,                  4473,,                354532,                 23892,,,                             -0.52,,,,,              6289081,,              5773502,              5773502,                              0,                              0,,,,,,,,,,,,,,,,                462694,                110115,,,                159272
2492,2013年01月01日至2013年03月31日,,              2882055,,              2775104,                106951,                106951,,,                196141,,                120993,,                 92535,                409669,               -302718,,,,                 21603,                  4134,                     47,                  9507,                 35291,,                  4445,                    102,                 16709,                 41855,,                 -8067,,                 28518,                 28518,,                 25598,                -25598,                -26892,               -329610,,                  6642,               -336252,               -336252,,,,,,,,                459909,                123657,,               -315655,                -20597,,                132000,                 -8343,,                             -0.46,                             -0.46,,,,,,,,,                 12532,                              0,,,,,,,,,,,,,,,,                328476,                 35709,,,                 95724
2492,2012年07月01日至2012年09月30日,,              3463582,,              3159907,                303675,                303675,,,                225640,,                100451,,                 92894,                418985,               -115310,,,,                 31788,                  2354,                 18256,                 15970,                 68368,,                              0,                    497,                  3610,                 23642,                    638,                -25147,,                 39295,                 39295,,,                  1822,                  5748,               -109562,,                  2409,               -111971,               -111971,,,,,,,,               -158615,               -270586,,               -112649,                    678,,               -262701,                 -7885,,,                             -0.16,,,,,              3463582,,,              3159907,                              0,                              0,,,,,,,,,,,,                  4974,,,,               -130970,                  2484,,,                -30129
2492,2012年04月01日至2012年06月30日,,              3532505,,              3327483,                205022,                205022,,,                230859,,                127006,,                 84622,                442487,               -237465,,,,                 31682,                    918,                    599,                  8436,                 41635,,                              0,                 15276,                              0,                 11445,                              0,                -14466,,                 37075,                 37075,,,                 47415,                 37509,               -199956,,                 -4990,               -194966,               -194966,,,,,,,,                 32095,               -162871,,               -191714,                 -3252,,               -182491,                 19620,,,                             -0.28,,,,,              3532505,,              3327483,              3327483,                 -2786,                 11521,,,,,,,,,,,,                  3990,,,,                 57123,                 -3343,,,                -21685
2492,2012年01月01日至2012年12月31日,,             13023336,,             12647655,                375681,                375681,,,                872127,,                486095,,                361989,              1720211,             -1344530,,,,                117862,                  7285,                 19538,                 91357,                236042,,                              0,                 27067,                              0,                113430,                              0,               -182958,,                146780,                146780,,,                 26811,                -66885,             -1411415,,                 -7827,             -1403588,             -1403588,,,,,,,,               -407939,             -1811527,,             -1377042,                -26546,,             -1719164,                -92363,,,                             -2.00,,,,,             13023336,,             12647655,             12647655,                 22719,                 38805,,,,,,,,,,,,                 22100,                 53276,,                  5133,               -360963,                 65081,                -13812,,                -98245
2492,2012年01月01日至2012年09月30日,,             10069802,,              9818507,                251295,                251295,,,                672781,,                349667,,                265702,              1288150,             -1036855,,,,                 86240,                  5524,                 18908,                 51005,                161677,,                              0,                 24665,                              0,                 79186,                              0,                -80583,,                109485,                109485,,,                 62804,                 34413,             -1002442,,                -20026,               -982416,               -982416,,,,,,,,               -328615,             -1311031,,               -957186,                -25230,,             -1255221,                -55810,,,                             -1.39,,,,,             10069802,,,              9818507,                 20234,                 33205,,,,,,,,,,,,                 13091,,,,               -336421,                 92784,,,                -84978
2492,2012年01月01日至2012年06月30日,,              6606220,,              6658600,                -52380,                -52380,,,                447141,,                249216,,                172808,                869165,               -921545,,,,                 54452,                  3170,                    652,                 35035,                 93309,,                              0,                 24168,                              0,                 55544,                              0,                -55436,,                 70190,                 70190,,,                 60982,                 28665,               -892880,,                -22435,               -870445,               -870445,,,,,,,,               -170000,             -1040445,,               -844537,                -25908,,               -992520,                -47925,,,                             -1.22,,,,,              6606220,,              6658600,              6658600,                 20872,                 36815,,,,,,,,,,,,                  8117,,,,               -205451,                 90300,,,                -54849
2492,2012年01月01日至2012年03月31日,,              3073715,,              3331117,               -257402,               -257402,,,                216282,,                122210,,                 88186,                426678,               -684080,,,,                 22770,                  2252,                     53,                 26599,                 51674,,                              0,                  8892,                              0,                 44099,,                -40970,,                 33115,                 33115,,,                 13567,                 -8844,               -692924,,                -17445,               -675479,               -675479,,,,,,,,               -202095,               -877574,,               -652823,                -22656,,               -810029,                -67545,,                             -0.95,                             -0.95,,,,,              3073715,,              3331117,              3331117,                 23658,                 25294,,,,,,,,,,,,                  4127,,,,               -262574,                 93643,,,                -33164
