證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 手續費費用合計,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產淨損益,　　　　 出售不良債權淨損益,　　　　　 出售不良債權淨損益,　　　　 證券經紀收入淨額,　　　　　 證券經紀收入淨額,　　　　 銷貨淨損益,　　　　　 銷貨淨損益,　　　　 營業資產出租淨損益,　　　　　 營業資產出租淨損益,　　　　 資產報廢損失,　　　　　 資產報廢損失合計,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 停業單位損益,　　 停業單位營業稅前損益 ,　　 停業單位資產或處分群組處分損益（稅前）,　　 停業單位資產或處分群組按公允價值減出售成本衡量損益（稅前）,　　 與停業單位損益組成部分相關之所得稅(費用)利益 ,　　 停業單位損益合計,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 減：重分類調整數─處分國外營運機構財務報表換算之兌換差額,　　　 減：重分類調整數─除列備供出售金融資產未實現損益,　　　 減：重分類調整數─現金流量避險中屬有效避險之避險工具損益,　　　 減：重分類調整數─國外營運機構淨投資避險屬有效避險部分之避險損益,　　　 其他可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期稅後淨利（損）歸屬於共同控制下前手權益,　　 本期稅後綜合損益總額歸屬於共同控制下前手權益,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額
2834,2015年第3季,,,,              6539104,,              2591844,              3947260,,,,                987108,,                 72002,                915106,,                -10417,,                 28831,,                              0,,                171520,,                              0,,,                              0,,                              0,,                 39906,,                  1698,,                  2427,,                   -331,,                 -3848,                 39852,              1144892,              5092152,,                643028,,,              1781046,,                 94684,,              1039986,              2915716,,              1533408,               -270835,              1262573,,                              0,                              0,                              0,                              0,                              0,,              1533408,               -270835,              1262573,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                358503,                -50613,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -52341,                255549,                255549,,              1841298,               -323176,              1518122,,              1262573,                              0,,              1518122,                              0,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,,,,,
2834,2015年第2季,,,,              6533659,,              2615506,              3918153,,,,                952718,,                 72597,                880121,,               -174977,,                    810,,                              0,,                360290,,                              0,,,                131489,,                              0,,                 46919,,                  1263,,                  1781,,                    -55,,                  1078,                182475,              1248719,              5166872,,                774736,,,              1788675,,                 94472,,                979895,              2863042,,              1529094,               -328439,              1200655,,,,,,,,              1529094,               -328439,              1200655,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -73672,                -41018,,,,,,,,,,                 19497,                -95193,                -95193,,              1414404,               -308942,              1105462,,              1200655,                              0,,              1105462,                              0,,                              0.23,                              0.23,,                              0.23,                              0.23,                              0,                              0,                              0.00,                              0.00,,,,,,
2834,2015年01月01日至2015年09月30日,,,,             19448693,,              7846180,             11602513,,,,              2863015,,                214137,              2648878,,                281943,,                 30875,,                    -13,,                246328,,                              0,,,                131489,,                              0,,                128058,,                  4277,,                  6570,,                   -621,,                  3578,                273351,              3481362,             15083875,,              1901962,,,              5362472,,                286486,,              2935160,              8584118,,              4597795,               -792325,              3805470,,                              0,                              0,                              0,                              0,                              0,,              4597795,               -792325,              3805470,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                108853,                -89724,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 -3252,                 15877,                 15877,,              4616924,               -795577,              3821347,,              3805470,                              0,,              3821347,                              0,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,,,
2834,2015年01月01日至2015年06月30日,,,,             12909589,,              5254336,              7655253,,,,              1875907,,                142135,              1733772,,                292360,,                  2044,,                    -13,,                 74808,,                              0,,,                131489,,                              0,,                 88152,,                  2579,,                  4143,,                   -290,,                  7426,                233499,              2336470,              9991723,,              1258934,,,              3581426,,                191802,,              1895174,              5668402,,              3064387,               -521490,              2542897,,,,,,,,              3064387,               -521490,              2542897,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -249650,                -39111,,,,,,,,,,                 49089,               -239672,               -239672,,              2775626,               -472401,              2303225,,              2542897,                              0,,              2303225,                              0,,                              0.48,                              0.48,,                              0.48,                              0.48,                              0,                              0,                              0.00,                              0.00,,,,,,
2834,2015年01月01日至2015年03月31日,,,,              6375930,,              2638830,              3737100,,,,                923189,,                 69538,                853651,,                467337,,                  1234,,                    -13,,               -285482,,,,,                              0,,                              0,,                 41233,,                  1316,,                  2362,,                   -235,,                  6348,                 51024,              1087751,              4824851,,                484198,,,              1792751,,                 97330,,                915279,              2805360,,              1535293,               -193051,              1342242,,                              0,                              0,                              0,                              0,                              0,,              1535293,               -193051,              1342242,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -175978,                  1907,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 29592,               -144479,               -144479,,              1361222,               -163459,              1197763,,              1342242,                              0,,              1197763,                              0,,                              0.25,                              0.25,,                              0.25,                              0.25,                              0,                              0,                              0.00,                              0.00,,,,,,
2834,2014年第3季,,,,              6398109,,              2621780,              3776329,,,,                943992,,                 70222,                873770,,               -135644,,                 23603,,                              0,,                380822,,                              0,,,                              0,,                              0,,                 53021,,                  1837,,                  2917,,                    -88,,                -29164,                 28523,              1171074,              4947403,,                594328,,,              1808051,,                103798,,                975284,              2887133,,              1465942,                -46771,              1419171,,                              0,                              0,                              0,                              0,                              0,,              1465942,                -46771,              1419171,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                168253,                -40889,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -21652,                105712,                105712,,              1593306,                -68423,              1524883,,              1419171,                              0,,              1524883,                              0,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,,,,,
2834,2014年第2季,,,,              6276981,,              2633839,              3643142,,,,                681484,,                 68166,                613318,,                311241,,                 10144,,                              0,,                 33920,,                              0,,,                117524,,                              0,,                 54324,,                  1469,,                  2347,,                   -381,,               -100798,                 74485,              1043108,              4686250,,                680005,,,              1754055,,                101796,,                803614,              2659465,,              1346780,                -26376,              1320404,,,,,,,,              1346780,                -26376,              1320404,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -255195,                112020,,,,,,,,,,                 24340,               -118835,               -118835,,              1203605,                 -2036,              1201569,,              1320404,                              0,,              1201569,                              0,,                              0.25,                              0.25,,                              0.25,                              0.25,                              0,                              0,                              0.00,                              0.00,,,,,,
2834,2014年度,,,,             25259678,,             10469421,             14790257,,,,,,,              2779820,,                326010,,                 53078,,,,                846166,,                    641,,,                117346,,                 21824,,                202333,,                  6009,,                  8204,,                   -651,,               -156712,                198353,              4204068,             18994325,,              2538587,,,              7034153,,                408087,,              3527782,             10970022,,              5485716,               -170579,              5315137,,,,,,                              0,,              5485716,               -170579,              5315137,,,,,,,,,,,,,,,,,,,,,,,,,,,              5697211,               -212862,,,              5315137,                              0,,              5484349,                              0,,                              1.00,                              1.00,,                              1.00,                              1.00,                              0,                              0,                              0.00,                              0.00,                244690,                -43745,                 10550,                -42283,                169212,              5484349
2834,2014年01月01日至2014年09月30日,,,,             18744830,,              7822084,             10922746,,,,              2288715,,                210638,              2078077,,                336238,,                 33766,,                              0,,                609048,,                    641,,,                117346,,                 21824,,                157490,,                  4175,,                  6653,,                   -521,,               -171551,                135416,              3193186,             14115932,,              1955777,,,              5309322,,                308928,,              2510327,              8128577,,              4031578,                -79543,              3952035,,                              0,                              0,                              0,                              0,                              0,,              4031578,                -79543,              3952035,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 68547,                 36324,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -17828,                 87043,                 87043,,              4136449,                -97371,              4039078,,              3952035,                              0,,              4039078,                              0,,                              0.70,                              0.70,,                              0.69,                              0.69,,,,,,,,,,
2834,2014年01月01日至2014年06月30日,,,,             12346721,,              5200304,              7146417,,,,              1344723,,                140416,              1204307,,                471882,,                 10163,,                              0,,                228226,,                    641,,,                117346,,                 21824,,                104469,,                  2338,,                  3736,,                   -433,,               -142387,                106893,              2022112,              9168529,,              1361449,,,              3501271,,                205130,,              1535043,              5241444,,              2565636,                -32772,              2532864,,,,,,,,              2565636,                -32772,              2532864,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -99706,                 77213,,,,,,,,,,                  3824,                -18669,                -18669,,              2543143,                -28948,              2514195,,              2532864,                              0,,              2514195,                              0,,                              0.48,                              0.48,,                              0.48,                              0.48,                              0,                              0,                              0.00,                              0.00,,,,,,
