證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨退回,　　　 銷貨折讓
2364,2015年第3季,,,,                181412,                181412,                181412,,                156758,                 24654,                 24654,,,                 24354,,                 37803,,                 22970,                 85127,                -60473,,,                  4898,,                 21587,,                  2725,,                              0,                 23760,                -36713,,                      1,                -36714,                -36714,,,                  3129,                              0,                              0,                  3129,                  3129,                -33585,,                -36714,                              0,,                -33585,                              0,,                             -0.20,,                             -0.20,,,,,
2364,2015年第2季,,,,                181356,                181356,                181356,,                154893,                 26463,                 26463,,,                 21129,,                 39916,,                 21853,                 82898,                -56435,,,                  7016,,                 -5876,,                  2711,,                              0,                 -1571,                -58006,,                     -4,                -58002,                -58002,,,                 -1928,                    317,                              0,                 -1611,                 -1611,                -59613,,                -58002,                              0,,                -59613,                              0,,                             -0.32,,                             -0.32,,,,,
2364,2015年01月01日至2015年09月30日,,,,                530585,                530585,                530585,,                453797,                 76788,                 76788,,,                 64324,,                117600,,                 66071,                247995,               -171207,,,                 17657,,                  6547,,                  7994,,                              0,                 16210,               -154997,,                     -3,               -154994,               -154994,,,                    645,                    525,                              0,                  1170,                  1170,               -153824,,               -154994,                              0,,               -153824,                              0,,                             -0.84,,                             -0.84,,,,,
2364,2015年01月01日至2015年06月30日,,,,                349173,                349173,                349173,,                297039,                 52134,                 52134,,,                 39970,,                 79797,,                 43101,                162868,               -110734,,,                 12759,,                -15040,,                  5269,,                              0,                 -7550,               -118284,,                     -4,               -118280,               -118280,,,                 -2484,                    525,                              0,                 -1959,                 -1959,               -120239,,               -118280,                              0,,               -120239,                              0,,                             -0.64,,                             -0.64,,,,,
2364,2015年01月01日至2015年03月31日,,,,                167817,                167817,                167817,,                142146,                 25671,                 25671,,,                 18841,,                 39881,,                 21248,                 79970,                -54299,,,                  5743,,                 -9164,,                  2558,,                              0,                 -5979,                -60278,,                              0,                -60278,                -60278,,,                   -556,                    208,                              0,                   -348,                   -348,                -60626,,                -60278,                              0,,                -60626,                              0,,                             -0.33,,,,,,,
2364,2014年第3季,,,,                212094,                212094,                212094,,                172884,                 39210,                 39210,,,                 23352,,                 38721,,                 29395,                 91468,                -52258,,,                  6209,,                  8787,,                  2689,,                              0,                 12307,                -39951,,                              0,                -39951,                -39951,,,                  2848,                   -173,                              0,                  2675,                  2675,                -37276,,                -39951,                              0,,                -37276,                              0,,                             -0.22,,                             -0.22,,,,,
2364,2014年第2季,,,,                228635,                228635,                228635,,                184518,                 44117,                 44117,,,                 25292,,                 43416,,                 29089,                 97797,                -53680,,,                  5986,,                -12616,,                  2595,,                              0,                 -9225,                -62905,,                    -62,                -62843,                -62843,,,                 -3640,                    -75,                              0,                 -3715,                 -3715,                -66558,,                -62843,                              0,,                -66558,                              0,,                             -0.34,,                             -0.34,,,,,
2364,2014年度,,,,                852626,                852626,                852626,,                699900,                152726,                152726,,,                 92166,,                175984,,                109981,                378131,               -225405,,,                 28732,,                 29918,,                 10422,,                 -2776,                 45452,               -179953,,                 18427,               -198380,               -198380,,,,,,,                  8682,               -189698,,               -198380,                              0,,               -189698,                              0,,                             -1.08,,,                  8589,                     93,                              0,,
2364,2014年01月01日至2014年09月30日,,,,                629096,                629096,                629096,,                522674,                106422,                106422,,,                 72688,,                125660,,                 88587,                286935,               -180513,,,                 17916,,                 11458,,                  7866,,                 -2776,                 18732,               -161781,,                    206,               -161987,               -161987,,,                  2980,                     99,                              0,                  3079,                  3079,               -158908,,               -161987,                              0,,               -158908,                              0,,                             -0.88,,                             -0.88,,,,,
2364,2014年01月01日至2014年06月30日,,,,                417002,                417002,                417002,,                349790,                 67212,                 67212,,,                 49336,,                 86939,,                 59192,                195467,               -128255,,,                 11707,,                  2671,,                  5177,,                 -2776,                  6425,               -121830,,                    206,               -122036,               -122036,,,                    132,                    272,                              0,                    404,                    404,               -121632,,               -122036,                              0,,               -121632,                              0,,                             -0.66,,                             -0.66,,,,,
2364,2014年01月01日至2014年03月31日,,,,                188367,                188367,                188367,,                165272,                 23095,                 23095,,,                 24044,,                 43523,,                 30103,                 97670,                -74575,,,                  5721,,                 15287,,                  2582,,                 -2776,                 15650,                -58925,,                    268,                -59193,                -59193,,,                  3772,                    347,                              0,                  4119,                  4119,                -55074,,                -59193,                              0,,                -55074,                              0,,                             -0.32,,,,,,,
2364,2013年第3季,,,,                280792,                280792,                280792,,                232068,                 48724,                 48724,,,                 26196,,                 43212,,                 27841,                 97249,                -48525,,,                  6274,,                  1169,,                  2142,,                 -2312,                  2989,                -45536,,                    483,                -46019,                -46019,,,,,,,                 -2803,                -48822,,                -46019,                              0,,                -48822,                              0,,                             -0.25,,,                 -2303,                   -500,                              0,,
2364,2013年第2季,,,,                234987,                234987,                234987,,                191601,                 43386,                 43386,,,                 24978,,                 42342,,                 28045,                 95365,                -51979,,,                  3153,,                  6436,,                  1981,,                 -4093,                  3515,                -48464,,                     83,                -48547,                -48547,,,,,,,                  3275,                -45272,,                -48547,                              0,,                -45272,                              0,,                             -0.26,,,                  3775,                   -500,                              0,,
2364,2013年度,,,,                912508,                912508,                912508,,                748841,                163667,                163667,,,                 98279,,                174498,,                108217,                380994,               -217327,,,                 32705,,                 36508,,                  8465,,                -11591,                 49157,               -168170,,                 26417,               -194587,               -194587,,,,,,,                 10514,               -184073,,               -194587,                              0,,               -184073,                              0,,                             -1.06,,,                 11252,                   -738,                              0,,
2364,2013年07月01日至2013年09月30日,,,,                280792,                280792,                280792,,                232068,                 48724,                 48724,,,                 26196,,                 43212,,                 27841,                 97249,                -48525,,,                  6274,,                  1169,,                  2142,,                 -2312,                  2989,                -45536,,                    483,                -46019,                -46019,,,,,,,                 -2803,                -48822,,                -46019,                              0,,                -48822,                              0,,                             -0.25,,,                 -2303,                   -500,                              0,,
2364,2013年04月01日至2013年06月30日,,,,                234987,                234987,                234987,,                191601,                 43386,                 43386,,,                 24978,,                 42342,,                 28045,                 95365,                -51979,,,                  3153,,                  6436,,                  1981,,                 -4093,                  3515,                -48464,,                     83,                -48547,                -48547,,,,,,,                  3275,                -45272,,                -48547,                              0,,                -45272,                              0,,                             -0.26,,,                  3775,                   -500,                              0,,
2364,2013年01月01日至2013年12月31日,,,,                912508,                912508,                912508,,                748841,                163667,                163667,,,                 98279,,                174498,,                108217,                380994,               -217327,,,                 32705,,                 36508,,                  8465,,                -11591,                 49157,               -168170,,                 26417,               -194587,               -194587,,,,,,,                 10514,               -184073,,               -194587,                              0,,               -184073,                              0,,                             -1.06,,,                 11252,                   -738,                              0,,
2364,2013年01月01日至2013年09月30日,,,,                685440,                685440,                685440,,                563499,                121941,                121941,,,                 76895,,                132447,,                 83488,                292830,               -170889,,,                 20379,,                 20893,,                  6075,,                -10483,                 24714,               -146175,,                    659,               -146834,               -146834,,,,,,,                  8221,               -138613,,               -146834,                              0,,               -138613,                              0,,                             -0.80,,,                  8796,                   -575,                              0,,
2364,2013年01月01日至2013年06月30日,,,,                404648,                404648,                404648,,                331431,                 73217,                 73217,,,                 50699,,                 89235,,                 55647,                195581,               -122364,,,                 14105,,                 19724,,                  3933,,                 -8171,                 21725,               -100639,,                    176,               -100815,               -100815,,,,,,,                 11024,                -89791,,               -100815,                              0,,                -89791,                              0,,                             -0.54,,,                 11099,                    -75,                              0,,
2364,2013年01月01日至2013年03月31日,,,,                169661,                169661,                169661,,                139830,                 29831,                 29831,,,                 25721,,                 46893,,                 27602,                100216,                -70385,,,                 10952,,                 13288,,                  1952,,                 -4078,                 18210,                -52175,,                     93,                -52268,                -52268,,,,,,,                  7749,                -44519,,                -52268,                              0,,                -44519,                              0,,                             -0.28,,,                  7324,                    425,                              0,,
2364,2012年07月01日至2012年09月30日,,,,                383076,                383076,                383076,,                311314,                 71762,                 71762,,,                 26132,,                 44058,,                 27205,                 97395,                -25633,,,                  8708,,                 14923,,                  2376,,                  1206,                 22461,                 -3172,,                    -34,                 -3138,                 -3138,,,,,,,                  5513,                  2375,,                 -3137,                     -1,,                  2376,                     -1,,                             -0.02,,,                  5196,                    317,                              0,,
2364,2012年04月01日至2012年06月30日,,,,                316653,                316653,                316653,,                258518,                 58135,                 58135,,,                 26758,,                 44254,,                 26679,                 97691,                -39556,,,                 11751,,                  3346,,                  2709,,                 -2286,                 10102,                -29454,,                   -487,                -28967,                -28967,,,,,,,                  2076,                -26891,,                -28965,                     -2,,                -26889,                     -2,,                             -0.16,,,                  1872,                    204,                              0,,
2364,2012年01月01日至2012年12月31日,,,,              1349752,              1349752,              1349752,,              1158908,                190844,                190844,,,                 91201,,                172903,,                105083,                369187,               -178343,,,                 38883,,                -13293,,                  9983,,                     39,                 15646,               -162697,,                 83937,               -246634,               -246634,,,,,,,                   -286,               -246920,,               -246634,                              0,,               -246920,                              0,,                             -1.34,,,                   -911,                    625,                              0,,
2364,2012年01月01日至2012年09月30日,,,,              1096523,              1096523,              1096523,,                879442,                217081,                217081,,,                 77036,,                131526,,                 80793,                289355,                -72274,,,                 25880,,                  4847,,                  7796,,                 -4348,                 18583,                -53691,,                  2768,                -56459,                -56459,,,,,,,                   -231,                -56690,,                -56456,                     -3,,                -56687,                     -3,,                             -0.31,,,                   -773,                    542,                              0,,
2364,2012年01月01日至2012年06月30日,,,,                713447,                713447,                713447,,                568128,                145319,                145319,,,                 50904,,                 87468,,                 53588,                191960,                -46641,,,                 17172,,                -10076,,                  5420,,                 -5554,                 -3878,                -50519,,                  2802,                -53321,                -53321,,,,,,,                 -5744,                -59065,,                -53319,                     -2,,                -59063,                     -2,,                             -0.29,,,                 -5969,                    225,                              0,,
2364,2012年01月01日至2012年03月31日,,,,                399044,                396794,                396794,,                309610,                 87184,                 87184,,,                 24146,,                 43214,,                 26909,                 94269,                 -7085,,,                  5421,,                -13422,,                  2711,,                 -3268,                -13980,                -21065,,                  3289,                -24354,                -24354,,,,,,,                 -7820,                -32174,,                -24354,                              0,,                -32174,,,                             -0.13,,,                 -7841,                     21,                              0,                  1712,                    538
