證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 金融資產（負債）出售淨利益,　　　 投資收入（投資公司適用）合計,　　 旅遊服務收入,　　　 餐旅服務收入,　　　　 餐旅服務收入淨額,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 公允價值調整利益－投資性不動產,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分無形資產損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資性不動產損失,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計
1402,2014年01月01日至2014年06月30日,,,             74135508,,                 57967,                 57967,,,             34352226,             34352226,,,              2365907,              2365907,,              5908082,            116819690,,,             72936353,,,             13173531,             13173531,,              2247556,              2247556,              3927536,             92284976,             24534714,                    278,             24534992,,,             10708886,,              5782069,,                343877,             16834832,              7700160,,,,                205705,                735145,                940850,,                              0,,                 60057,              3186449,                121588,                464529,                  1329,                197428,,                 19792,              2441840,,                907016,                907016,,              2586387,              5062061,             12762221,,              2801420,              9960801,              9960801,,,                     39,,                 30503,                 30542,,               -953678,               -579642,                -67715,,               -656188,             -2257223,             -2226681,              7734120,,              6214062,              3746739,,              3661402,              4072718,,                              1.24,                              1.24,,                              1.24,                              1.24,,,,,,,,,,,,
1402,2013年第3季,,,             40043743,,                202308,                202308,,,             17140013,             17140013,,,                588103,                588103,,              2506312,             60480479,,,             39178824,,,              6586259,              6586259,,                535887,                535887,              1440278,             47741248,             12739231,                      1,             12739232,,,              5556669,,              2638841,,                167859,              8363369,              4375863,,,,                140839,                166921,                307760,,,                 45318,                 35792,              1130264,                124378,                527681,                    600,                              0,,                 17170,                541545,,                395366,                395366,,                725922,              1179861,              5555724,,                750202,              4805522,              4805522,,,,,,,,,,,,,,               -153057,              4652465,,              2880724,              1924798,,              2880751,              1771714,,                              0.59,                              0.59,,                              0.59,                              0.59,,               -214147,                 15334,                -34424,                  4381,                              0,,                 75799,,,,
1402,2013年第2季,,,             40142984,,                 31241,                 31241,,,             17004900,             17004900,,,              1289634,              1289634,,              2611784,             61080543,,,             39498589,,,              6957817,              6957817,,              1127562,              1127562,              1867024,             49450992,             11629551,                    277,             11629828,,,              5379662,,              2645689,,                148124,              8173475,              3456353,,,,                142130,                533869,                675999,,,                144196,                115439,              2569690,                 19075,                211313,                     40,                              0,,                  3412,              2595485,,                384861,                384861,,              1186516,              4073139,              7529492,,              1483992,              6045500,              6045500,,,,,,,,,,,,,,                424902,              6470402,,              4119814,              1925686,,              4347916,              2122486,,                              0.86,                              0.86,,                              0.85,                              0.85,,                627442,                -52655,                 -1302,                              0,                              0,,               -148583,,,,
1402,2013年第1季,,,             37942196,,                171200,                171200,,,             16663970,             16663970,,,                460374,                460374,,              2382753,             57620493,,,             37769346,,,              6799317,              6799317,,                497080,                497080,              1579981,             46645724,             10974769,,             10974769,,,              5152330,,              2452274,,                174844,              7779448,              3195321,,,,                103417,                285888,                389305,,,,                 92717,,                183793,                212425,                    225,                 81094,,                  6634,               -391454,,                321123,                321123,,              1300042,                976770,              4172091,,                553785,              3618306,              3618306,,,,,,,,,,,,,,              1430479,              5048785,,              1912037,              1706269,,              3168645,              1880140,,                              0.40,                              0.40,,                              0.40,                              0.40,,              1603301,                296538,               -149720,                  4928,                              0,,               -324568,,,,
1402,2013年度,,,            155953627,,                530650,                530650,,,             68147021,             68147021,,,              6046806,              6046806,,              8162553,            238840657,,,            155962513,,,             27151232,             27151232,,              5745691,              5745691,              3377950,            192237386,             46603271,                    555,             46603826,,,             22052202,,             10443911,,                675902,             33172015,             13431811,,,,                448607,              1184876,              1633483,,,                310965,                402456,              6424024,                304062,              1356800,                  1912,,,                214451,              5260220,,              1432622,              1432622,,              4984423,             10445504,             23877315,,              2935346,             20941969,             20941969,,,,,,,,,,,,,,              2342262,             23284231,,             13215754,              7726215,,             15568654,              7715577,,                              2.69,                              2.69,,                              2.69,                              2.69,,              2486063,                515409,               -132503,                 10572,                128401,,               -643843,                 21837,,,
1402,2013年07月01日至2013年09月30日,,,             40043743,,                202308,                202308,,,             17140013,             17140013,,,                588103,                588103,,              2506312,             60480479,,,             39178824,,,              6580603,              6580603,,                535887,                535887,              1479121,             47774435,             12706044,                      1,             12706045,,,              5556669,,              2639979,,                167859,              8364507,              4341538,,,,                140839,                166921,                307760,,,                 45318,                 35792,,                131545,                527681,                    600,                              0,,                 17170,               -595886,,                395366,                395366,,                629032,                -54460,              4287078,,                793436,              3493642,              3493642,,,,,,,,,,,,,,               -164145,              3329497,,              1586955,              1906687,,              1577412,              1752085,,                              0.33,                              0.33,,                              0.33,                              0.33,,               -222847,                 12129,                -34404,,,,                 80977,,                              0,,
1402,2013年04月01日至2013年06月30日,,,             40142984,,,                 31241,,,,             17004900,,,              1289634,              1289634,,              2611784,             61080543,,,             39498589,,,,              6963473,,              1127562,              1127562,              1906673,             49496297,             11584246,                    277,             11584523,,,              5379662,,              2646814,,                148124,              8174600,              3409923,,,,                142130,                533869,                675999,,,                144196,                115439,,                 25678,                211313,                     40,                              0,,                  3412,                 19192,,                384861,                384861,,              1088983,              1399313,              4809236,,                874929,              3934307,              3934307,,,,,,,,,,,,,,                424902,              4359209,,              2033678,              1900629,,              2261780,              2097429,,                              0.43,                              0.43,,                              0.43,                              0.43,,                627442,                -52655,                 -1302,,,,               -148583,,                              0,,                              0
1402,2013年01月01日至2013年12月31日,,,            155953627,,                530650,                530650,,,             68147021,             68147021,,,              6046806,              6046806,,              8162553,            238840657,,,            155962513,,,             27151232,             27151232,,              5745691,              5745691,              3497304,            192356740,             46483917,                    555,             46484472,,,             22052202,,             10448419,,                675902,             33176523,             13307949,,,,                448607,              1184876,              1633483,,,                310965,                402456,,                338228,              1356800,                  1912,                              0,,                214451,             -1198488,,              1432622,              1432622,,              4197698,              3200071,             16508020,,              2223481,             14284539,             14284539,,,,,,,,,,,,,,              2321112,             16605651,,              7207081,              7077458,,              9540356,              7065295,,                              1.50,                              1.50,,                              1.49,                              1.49,,              2474593,                515409,               -132503,,                128401,,               -644214,                 20574,                    518,,
1402,2013年01月01日至2013年09月30日,,,            118128923,,                404749,                404749,,,             50808883,             50808883,,,              2338111,              2338111,,              7500849,            179181515,,,            116446759,,,             20343393,             20343393,,              2160529,              2160529,              4887283,            143837964,             35343551,                    278,             35343829,,,             16088661,,              7736804,,                490827,             24316292,             11027537,,,,                386386,                987196,              1373582,,,                108420,                243948,              3699436,                327246,                951419,                    865,                              0,,                 27216,              2745058,,              1101350,              1101350,,              3212480,              6229770,             17257307,,              2787979,             14469328,             14469328,,,,,,,,,,,,,,              1707502,             16176830,,              8912575,              5556753,,             10402470,              5774360,,                              1.82,                              1.82,,                              1.81,                              1.81,,              2016596,                259217,               -185446,                  9309,                              0,,               -392174,,,,
1402,2013年01月01日至2013年06月30日,,,             78085180,,                202441,                202441,,,             33668870,             33668870,,,              1750008,              1750008,,              4994537,            118701036,,,             77267935,,,             13757134,             13757134,,              1624642,              1624642,              3447005,             96096716,             22604320,                    277,             22604597,,,             10531992,,              5097963,,                322968,             15952923,              6651674,,,,                245547,                820275,              1065822,,,                 63102,                208156,              2569172,                202868,                423738,                    265,                              0,,                 10046,              2203513,,                705984,                705984,,              2486558,              5049909,             11701583,,              2037777,              9663806,              9663806,,,,,,,,,,,,,,              1860559,             11524365,,              6031851,              3631955,,              7521719,              4002646,,                              1.25,                              1.25,,                              1.25,                              1.25,,              2230743,                243883,               -151022,                  4928,                              0,,               -467973,,,,
1402,2013年01月01日至2013年03月31日,,,             37942196,,                171200,                171200,,,             16663970,             16663970,,,                460374,                460374,,              2382753,             57620493,,,             37769346,,,              6799317,              6799317,,                497080,                497080,              1617915,             46683658,             10936835,,             10936835,,,              5152330,,              2453386,,                174844,              7780560,              3156275,,,,                103417,                286406,                389823,,,,                 92717,,                192418,                212425,                    225,                 81094,,                  6634,               -400597,,                321123,                321123,,              1296502,                964605,              4120880,,                553785,              3567095,              3567095,,,,,,,,,,,,,,              1425551,              4992646,,              1872376,              1694719,,              3124056,              1868590,,                              0.37,                              0.37,,                              0.37,                              0.37,,              1603301,                296538,               -149720,,,,               -324568,,                    518,,
1402,2012年07月01日至2012年09月30日,,,             38093355,,                  2410,                  2410,,,             17255554,             17255554,,,                373496,                373496,,              2572257,             58297072,,,             37542678,,,              7465613,              7465613,,                602614,                602614,              1403447,             47014352,             11282720,                              0,             11282720,,,              5219720,,              2628492,,                172679,              8020891,              3261829,,,,                188039,                187682,                375721,,,                              0,                 45888,,                112800,                207288,                     25,                 52998,,                  9516,               -336739,,                394243,                394243,,                518473,                163212,              3425041,,                710424,              2714617,              2714617,,,,,,,,,,,,,,                158278,              2872895,,                985213,              1729404,,                961525,              1911370,,                              0.21,                              0.21,,                              0.21,                              0.21,,               -459994,                458189,               -106661,,,,                266744,,                              0,,
1402,2012年04月01日至2012年06月30日,,,             39593688,,,                              0,,,,             16898779,,,              1729941,              1729941,,              1683363,             59905771,,,             39860148,,,,              7121363,,              1501029,              1501029,              1216333,             49730536,             10175235,                    278,             10175513,,,              4450675,,              3376353,,                178847,              8005875,              2169638,,,,                106459,                395974,                502433,,,                              0,                 11922,,                 69078,                388249,                    563,                131002,,                  9310,               -586280,,                352705,                352705,,                789673,                353121,              2522759,,                515825,              2006934,              2006934,,,,,,,,,,,,,,               -788363,              1218571,,                644043,              1362891,,                105357,              1113214,,                              0.14,                              0.14,,                              0.14,                              0.14,,                 31617,               -159823,                -94688,,,,               -565469,,                              0,,                 31663
1402,2012年01月01日至2012年12月31日,,,            156365608,,                103530,                103530,,,             67674377,             67674377,,,              5209748,              5209748,,              7439084,            236792347,,,            154617223,,,             29231099,             29231099,,              4475708,              4475708,              4175212,            192499242,             44293105,                    556,             44293661,,,             22262649,,              9114037,,                700375,             32077061,             12216600,,,,                450906,                937482,              1388388,,,                              0,                171068,,                407442,              1105548,                    604,                276387,,                202860,             -1820698,,              1414201,              1414201,,              3057869,              1211358,             13427958,,              2226494,             11201464,             11201464,,,,,,,,,,,,,,             -1599998,              9601466,,              4917568,              6283896,,              3344419,              6257047,,                              1.02,                              1.02,,                              1.02,                              1.02,,             -1987566,                167070,               -200397,,               -618813,,                938029,               -101679,                 -1075,,
1402,2012年01月01日至2012年09月30日,,,            119087973,,                 16963,                 16963,,,             50605523,             50605523,,,              3218266,              3218266,,              5849941,            178778666,,,            116260478,,,             21980566,             21980566,,              3034544,              3034544,              3226572,            144502160,             34276506,                    278,             34276784,,,             14988307,,              8658135,,                511905,             24158347,             10118437,,,,                396121,                746570,              1142691,,,                              0,                131409,,                386035,                848052,                    588,                301723,,                 97208,             -1502197,,              1116530,              1116530,,              2278565,                802529,             10920966,,              2006193,              8914773,              8914773,,,,,,,,,,,,,,             -1622922,              7291851,,              3986840,              4927933,,              2296351,              4995500,,                              0.82,                              0.82,,                              0.82,                              0.82,,             -1700311,                519246,               -146631,,,,               -295226,,                              0,,
1402,2012年01月01日至2012年06月30日,,,             80994618,,,                 14553,,,,             33349969,,,              2844770,              2844770,,              3277684,            120481594,,,             78717800,,,,             14514953,,              2431930,              2431930,              1823125,             97487808,             22993786,                    278,             22994064,,,              9768587,,              6029643,,                339226,             16137456,              6856608,,,,                208082,                558888,                766970,,,                              0,                 85521,,                273235,                640764,                    563,                248725,,                 87692,             -1165458,,                722287,                722287,,              1760092,                639317,              7495925,,              1295769,              6200156,              6200156,,,,,,,,,,,,,,             -1781200,              4418956,,              3001627,              3198529,,              1334826,              3084130,,                              0.64,                              0.64,,                              0.63,                              0.63,,             -1240317,                 61057,                -39970,,,,               -561970,,                              0,,                              0
1402,2012年01月01日至2012年03月31日,,,             41400930,,                 46216,                 46216,,,             16451190,             16451190,,,              1114829,              1114829,,              1594321,             60607486,,,             38857652,,,              7393590,              7393590,,                930901,                930901,                606792,             47788935,             12818551,,             12818551,,,              5317912,,              2653290,,                160379,              8131581,              4686970,,,,                101623,                162914,                264537,,,,                 73599,,                204157,                252515,                              0,                117723,,                 78382,               -579178,,                369582,                369582,,                970419,                286196,              4973166,,                779944,              4193222,              4193222,,,,,,,,,,,,,,               -992837,              3200385,,              2357584,              1835638,,              1229469,              1970916,,                              0.47,                              0.47,,                              0.47,                              0.47,,             -1271934,                220880,                 54718,,,,                  3499,,                              0,,
