證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2431,2015年第3季,,                806619,,                735370,                 71249,                 71249,,,                 58807,,                 24966,,                 21743,                105516,                -34267,,,                 23887,,                 33642,,                    367,                 57162,                 22895,,                  5872,                 17023,                 17023,,,                 30871,                  5112,                  5248,                 30735,                 30735,                 47758,,                 17023,,                 47758,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,,,
2431,2015年第2季,,                842193,,                749371,                 92822,                 92822,,,                 61574,,                 17095,,                 20958,                 99627,                 -6805,,,                  8792,,                   -763,,                     73,                  7956,                  1151,,                 -1879,                  3030,                  3030,,,                -11618,                -30720,                 -1975,                -40363,                -40363,                -37333,,                  3030,,                -37333,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,
2431,2015年01月01日至2015年09月30日,,              2860507,,              2550081,                310426,                310426,,,                194634,,                 65525,,                 63028,                323187,                -12761,,,                 40523,,                 33873,,                    818,                 73578,                 60817,,                  7106,                 53711,                 53711,,,                 12402,                -28133,                  2108,                -17839,                -17839,                 35872,,                 53711,,                 35872,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,
2431,2015年01月01日至2015年06月30日,,              2053888,,              1814711,                239177,                239177,,,                135827,,                 40559,,                 41285,                217671,                 21506,,,                 16636,,                    231,,                    451,                 16416,                 37922,,                  1234,                 36688,                 36688,,,                -18469,                -33245,                 -3140,                -48574,                -48574,                -11886,,                 36688,,                -11886,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,
2431,2015年01月01日至2015年03月31日,,              1211695,,              1065340,                146355,                146355,,,                 74253,,                 23464,,                 20327,                118044,                 28311,,,                  7844,,                    994,,                    378,                  8460,                 36771,,                  3113,                 33658,                 33658,,,                 -6851,                 -2525,                 -1165,                 -8211,                 -8211,                 25447,,                 33658,,                 25447,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,
2431,2014年第3季,,              1264351,,              1090666,                173685,                173685,,,                 73908,,                 22277,,                 20113,                116298,                 57387,,,                 21745,,                  6280,,                    438,                 27587,                 84974,,                  2623,                 82351,                 82351,,,                 17325,                -20958,                  2945,                 -6578,                 -6578,                 75773,,                 82351,,                 75773,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,,,
2431,2014年第2季,,              1000648,,                862980,                137668,                137668,,,                 69641,,                 20354,,                 17265,                107260,                 30408,,,                  6551,,                    893,,                    130,                  7314,                 37722,,                  3586,                 34136,                 34136,,,                -12659,                  9979,                 -2212,                   -468,                   -468,                 33668,,                 34136,,                 33668,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,
2431,2014年度,,              4307917,,              3772088,                535829,                535829,,,                296066,,                 79283,,                 81030,                456379,                 79450,,,                 39574,,                 29185,,                  1551,                 67208,                146658,,                  4302,                142356,                142356,,,,,,,                  2588,                144944,,                142356,,                144944,,                              1.28,                              1.28,,                              1.28,                              1.28,,                              0,                 23222,                -14173,                 -3028,                  3433,                              0.00,                              0.00
2431,2014年01月01日至2014年09月30日,,              3112345,,              2705843,                406502,                406502,,,                196549,,                 60774,,                 56736,                314059,                 92443,,,                 35038,,                 15666,,                    583,                 50121,                142564,,                  8390,                134174,                134174,,,                  2065,                 -9750,                    351,                 -8036,                 -8036,                126138,,                134174,,                126138,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,,,,,
2431,2014年01月01日至2014年06月30日,,              1847994,,              1615177,                232817,                232817,,,                122641,,                 38497,,                 36623,                197761,                 35056,,,                 13293,,                  9386,,                    145,                 22534,                 57590,,                  5767,                 51823,                 51823,,,                -15260,                 11208,                 -2594,                 -1458,                 -1458,                 50365,,                 51823,,                 50365,,                              0.47,                              0.47,,                              0.47,                              0.47,,,,,,,,
