證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 佣金收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額
2906,2015年第3季,,              1667687,,              1364155,                303532,                303532,,,                130762,,                114160,                244922,                 58610,,,                  9115,,                -64456,,                    655,,                 -1086,                -57082,                  1528,,                 22847,                -21319,                -21319,,,                 22531,                -98267,                              0,                -75736,                -75736,                -97055,,                -20172,                 -1147,,                -94060,                 -2995,,                             -0.10,,                             -0.10,,,,,,,,,,,,,,,,,,
2906,2015年第2季,,              1363516,,              1073749,                289767,                289767,,,                143825,,                111549,                255374,                 34393,,,                 47468,,                 57130,,                    917,,                  1629,                105310,                139703,,                 -9475,                149178,                149178,,,                -16561,                 -8175,                              0,                -24736,                -24736,                124442,,                124048,                 25130,,                110173,                 14269,,                              0.59,,                              0.59,,,,,,,,,,,,,,,,,,
2906,2015年01月01日至2015年09月30日,,              4527549,,              3622852,                904697,                904697,,,                414100,,                377544,                791644,                113053,,,                 77543,,                  2443,,                  2532,,                  2415,                 79869,                192922,,                 25630,                167292,                167292,,,                -47483,               -106858,                              0,               -154341,               -154341,                 12951,,                141770,                 25522,,                 12674,                    277,,                              0.68,,                              0.68,,,,,,,,,,,,,,,,,,
2906,2015年01月01日至2015年06月30日,,              2859862,,              2258697,                601165,                601165,,,                283338,,                263384,                546722,                 54443,,,                 68428,,                 66899,,                  1877,,                  3501,                136951,                191394,,                  2783,                188611,                188611,,,                -70014,                 -8591,                              0,                -78605,                -78605,                110006,,                161942,                 26669,,                106734,                  3272,,                              0.77,,                              0.77,,,,,,,,,,,,,,,,,,
2906,2015年01月01日至2015年03月31日,,              1496346,,              1184948,                311398,                311398,,,                139513,,                151835,                291348,                 20050,,,                 20960,,                  9769,,                    960,,                  1872,                 31641,                 51691,,                 12258,                 39433,                 39433,,,                -53453,                   -416,                              0,                -53869,                -53869,                -14436,,                 37894,                  1539,,                 -3439,                -10997,,                              0.18,,                              0.18,,,,,,,,,,,,,,,,,,
2906,2014年第3季,,              1717116,,              1323225,                393891,                393891,,,                164404,,                170642,                335046,                 58845,,,                 25507,,                 32717,,                    777,,                   -825,                 56622,                115467,,                 16828,                 98639,                 98639,,,                  6527,                -14111,                              0,                 -7584,                 -7584,                 91055,,                 93221,                  5418,,                 86053,                  5002,,                              0.45,,                              0.45,,,,,,,,,,,,,,,,,,
2906,2014年第2季,,              1546963,,              1146625,                400338,                400338,,,                153293,,                202504,                355797,                 44541,,,                 20557,,                -31061,,                    724,,                  3075,                 -8153,                 36388,,                  4162,                 32226,                 32226,,,                -23709,                  4490,                              0,                -19219,                -19219,                 13007,,                 30965,                  1261,,                 22851,                 -9844,,                              0.15,,                              0.15,,,,,,,,,,,,,,,,,,
2906,2014年度,,              6293543,,              4894366,              1399177,              1399177,,,                675426,,                516528,              1191954,                207223,,,                101255,,                -33679,,                  3414,,                  8675,                 72837,                280060,,                 63772,                216288,                216288,,,,,,,                 71444,                287732,,                203382,                 12906,,                269470,                 18262,,                              0.97,,                              0.97,                 50426,                 16276,                  4742,                              0,,,,,,,,,,,,,,
2906,2014年01月01日至2014年09月30日,,              4825813,,              3675318,              1150495,              1150495,,,                475585,,                517677,                993262,                157233,,,                 70328,,                -45126,,                  2358,,                  5920,                 28764,                185997,,                 35591,                150406,                150406,,,                   -529,                -25281,                              0,                -25810,                -25810,                124596,,                145272,                  5134,,                130620,                 -6024,,                              0.69,,                              0.69,,,,,,,,,,,,,,,,,,
2906,2014年01月01日至2014年06月30日,,              3108697,,              2352093,                756604,                756604,,,                311181,,                347035,                658216,                 98388,,,                 44821,,                -77843,,                  1581,,                  6745,                -27858,                 70530,,                 18763,                 51767,                 51767,,,                 -7056,                -11170,                              0,                -18226,                -18226,                 33541,,                 52051,                   -284,,                 44567,                -11026,,                              0.25,,                              0.25,,,,,,,,,,,,,,,,,,
2906,2014年01月01日至2014年03月31日,,              1561734,,              1205468,                356266,                356266,,,                157888,,                144531,                302419,                 53847,,,                 24264,,                -46782,,                    857,,                  3670,                -19705,                 34142,,                 14601,                 19541,                 19541,,,                 16653,                -15660,                              0,                    993,                    993,                 20534,,                 21086,                 -1545,,                 21716,                 -1182,,                              0.10,,                              0.10,,,,,,,,,,,,,,,,,,
2906,2013年第3季,,              1975117,,              1562263,                412854,                412854,,,                214302,,                162120,                376422,                 36432,,,                 26404,,                 -4147,,                    713,,                 -2741,                 18803,                 55235,,                 21473,                 33762,                 33762,,,,,,,                -18252,                 15510,,                 40088,                 -6326,,                 22918,                 -7408,,                              0.18,,                              0.18,                -19942,                  1690,,,,,,,,,,,,,,,,
2906,2013年第2季,,              1435681,,              1144142,                291539,                291539,,,                158528,,                159498,                318026,                -26487,,,                 21954,,                 -8918,,                  1008,,                  7621,                 19649,                 -6838,,                    573,                 -7411,                 -7411,,,,,,,                 14926,                  7515,,                 -2364,                 -5047,,                 13668,                 -6153,,                             -0.01,,                             -0.01,                 -4122,                 19048,,                              0,,,,,,,,,,,,,,
2906,2013年度,,              6248395,,              4861938,              1386457,              1386457,,,                713200,,                636202,              1349402,                 37055,,,                129331,,                -28723,,                  2588,,                  8464,                106484,                143539,,                 65222,                 78317,                 78317,,,,,,,                 71435,                149752,,                101015,                -22698,,                172846,                -23094,,                              0.46,,                              0.46,                 -7694,                 82869,                 -3740,                              0,,,,,,,,,,,,,,
2906,2013年07月01日至2013年09月30日,,              1975117,,              1562263,                412854,                412854,,,                214302,,                162120,                376422,                 36432,,,                 26404,,                 -4147,,                    713,,                 -2741,                 18803,                 55235,,                 21473,                 33762,                 33762,,,,,,,                -18252,                 15510,,                 40088,                 -6326,,                 22918,                 -7408,,                              0.18,,                              0.18,                -19942,                  1690,,,,,,,,,,,,,,,,
2906,2013年04月01日至2013年06月30日,,              1435681,,              1144142,                291539,                291539,,,                158528,,                159498,                318026,                -26487,,,                 21954,,                 -8918,,                  1008,,                  7621,                 19649,                 -6838,,                    573,                 -7411,                 -7411,,,,,,,                 14926,                  7515,,                 -2364,                 -5047,,                 13668,                 -6153,,                             -0.01,,                             -0.01,                 -4122,                 19048,,                              0,,,,,,,,,,,,,,
2906,2013年01月01日至2013年12月31日,,              6248395,,              4861938,              1386457,              1386457,,,                713200,,                636202,              1349402,                 37055,,,                129331,,                -28723,,                  2588,,                  8464,                106484,                143539,,                 65222,                 78317,                 78317,,,,,,,                 71435,                149752,,                101015,                -22698,,                172846,                -23094,,                              0.46,,                              0.46,                 -7694,                 82869,                 -3740,                              0,,,,,,,,,,,,,,
2906,2013年01月01日至2013年09月30日,,              4867659,,              3852433,              1015226,              1015226,,,                510721,,                502684,              1013405,                  1821,,,                 61601,,                 -7008,,                  2270,,                  6955,                 59278,                 61099,,                 25134,                 35965,                 35965,,,,,,,                 42961,                 78926,,                 52295,                -16330,,                 95728,                -16802,,                              0.24,,                              0.24,                 -3431,                 46392,,,,,,,,,,,,,,,,
2906,2013年01月01日至2013年06月30日,,              2892542,,              2290170,                602372,                602372,,,                296419,,                340564,                636983,                -34611,,,                 35197,,                 -2861,,                  1557,,                  9696,                 40475,                  5864,,                  3661,                  2203,                  2203,,,,,,,                 61213,                 63416,,                 12207,                -10004,,                 72810,                 -9394,,                              0.06,,                              0.06,                 16511,                 44702,,                              0,,,,,,,,,,,,,,
2906,2013年01月01日至2013年03月31日,,              1456861,,              1181613,                275248,                275248,,,                137891,,                145481,                283372,                 -8124,,,                  7194,,                  6057,,                    549,,                  2075,                 14777,                  6653,,                 -2961,                  9614,                  9614,,,,,,,                 46287,                 55901,,                 14571,                 -4957,,                 59142,                 -3241,,                              0.07,,                              0.07,                 20633,                 25654,,,,,,,,,,,,,,,,
2906,2012年07月01日至2012年09月30日,,              1996581,,              1580904,                415677,                415677,,,                193481,,                237759,                431240,                -15563,,,                 12195,,                    994,,                    851,,                 20414,                 32752,                 17189,,                 -4908,                 22097,                 22097,,,,,,,                 27451,                 49548,,                 26713,                 -4616,,                 53624,                 -4076,,                              0.12,,                              0.12,                 -2415,                 29866,,,,,,,,,,,,,,,,
2906,2012年04月01日至2012年06月30日,,              1660285,,              1258623,                401662,                401662,,,                198508,,                191890,                390398,                 11264,,,                 18921,,                 13047,,                    517,,                              0,                 31451,                 42715,,                 12464,                 30251,                 30251,,,,,,,                 10085,                 40336,,                 32498,                 -2247,,                 41928,                 -1592,,                              0.14,,                              0.14,                   -154,                 10239,,                              0,,,,,,,,,,,,,,
2906,2012年01月01日至2012年12月31日,,              7081172,,              5503783,              1577389,              1577389,,,                733016,,                792316,              1525332,                 52057,,,                 45480,,                 15004,,                  1862,,                 19605,                 78227,                130284,,                 49863,                 80421,                 80421,,,,,,,                 65757,                146178,,                 94052,                -13631,,                161665,                -15487,,                              0.42,,                              0.42,                -37503,                104818,                 -1558,                              0,,,,,,,,,,,,,,
2906,2012年01月01日至2012年09月30日,,              5399813,,              4215727,              1184086,              1184086,,,                528447,,                622800,              1151247,                 32839,,,                 36481,,                 13337,,                  1516,,                 20414,                 68716,                101555,,                 12711,                 88844,                 88844,,,,,,,                 82997,                171841,,                 95094,                 -6250,,                177647,                 -5806,,                              0.42,,                              0.42,                -19845,                102842,,,,,,,,,,,,,,,,
2906,2012年01月01日至2012年06月30日,,              3403232,,              2634823,                768409,                768409,,,                334966,,                385041,                720007,                 48402,,,                 24286,,                 12343,,                    665,,                              0,                 35964,                 84366,,                 17619,                 66747,                 66747,,,,,,,                 55546,                122293,,                 68381,                 -1634,,                124023,                 -1730,,                              0.30,,                              0.30,                -17430,                 72976,,                              0,,,,,,,,,,,,,,
2906,2012年01月01日至2012年03月31日,,              1742947,,              1412097,                330850,                330850,,,                 52357,,                241355,                293712,                 37138,,,                  5365,,                   -704,,                    148,,                              0,                  4513,                 41651,,                  5155,                 36496,                 36496,,,,,,,                 45461,                 81957,,                 35883,                    613,,                 82095,                   -138,,                              0.16,,                              0.16,                -17276,                 62737,,,,,              1813923,                 34462,                 36611,              1742850,,,                     97,                     97,                     97,,                              0,                              0
