證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 不重分類至損益之其他項目,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　 停業單位損益,　　 停業單位損益合計
2007,2015年第3季,,              1820719,,              1842510,                -21791,                -21791,,,                 24422,,                 32300,                 56722,                -78513,,,                    911,,                -26205,,                 41975,,                 -3145,                -70414,               -148927,,                              0,               -148927,               -148927,,,                              0,                              0,                              0,,                              0,,                  5204,                    858,                  4346,                  4346,               -144581,,               -148927,                              0,,               -144581,                              0,,                             -0.24,,,,,,,,,
2007,2015年第2季,,              1853119,,              1874675,                -21556,                -21556,,,                 25624,,                 28626,                 54250,                -75806,,,                  1430,,                 -4651,,                 44401,,                -11239,                -58861,               -134667,,                              0,               -134667,               -134667,,,,,,,                              0,,                 -1461,                   -188,                 -1273,                 -1273,               -135940,,               -134667,                              0,,               -135940,                              0,,                             -0.21,,,,,,,,,
2007,2015年第1季,,              1818319,,              1823969,                 -5650,                 -5650,,,                 26415,,                 29133,                 55548,                -61198,,,                  3072,,                 -8438,,                 43528,,                 -2636,                -51530,               -112728,,                              0,               -112728,               -112728,,,,,                              0,,                              0,,                   -572,                   -149,                   -423,                   -423,               -113151,,               -112728,                              0,,               -113151,                              0,,                             -0.18,                              0,,,,,,,,
2007,2015年01月01日至2015年09月30日,,              5492157,,              5541154,                -48997,                -48997,,,                 76461,,                 90059,                166520,               -215517,,,                  5413,,                -39294,,                129904,,                -17020,               -180805,               -396322,,                              0,               -396322,               -396322,,,                              0,                              0,                              0,,                    347,,                  2824,                    521,                  2650,                  2650,               -393672,,               -396322,                              0,,               -393672,                              0,,                             -0.63,,,,,,,,,
2007,2015年01月01日至2015年06月30日,,              3671438,,              3698644,                -27206,                -27206,,,                 52039,,                 57759,                109798,               -137004,,,                  4502,,                -13089,,                 87929,,                -13875,               -110391,               -247395,,                              0,               -247395,               -247395,,,,,,,                    347,,                 -2380,                   -337,                 -1696,                 -1696,               -249091,,               -247395,                              0,,               -249091,                              0,,                             -0.39,,,,,,,,,
2007,2014年第3季,,              2066249,,              2117516,                -51267,                -51267,,,                 33212,,                 50700,                 83912,               -135179,,,                  2162,,                    790,,                 28151,,                 -7408,                -32607,               -167786,,                    200,               -167986,               -167986,,,                              0,                              0,                              0,,                   -218,,                  1393,                    227,                    948,                    948,               -167038,,               -167986,                              0,,               -167038,                              0,,                             -0.27,,,,,,,,,
2007,2014年第2季,,              2005332,,              2042853,                -37521,                -37521,,,                 31317,,                 23876,                 55193,                -92714,,,                  6735,,                 -1476,,                 40227,,                 -1507,                -36475,               -129189,,                    398,               -129587,               -129587,,,,,,,                    -13,,                 -1574,                   -244,                 -1343,                 -1343,               -130930,,               -129587,                              0,,               -130930,                              0,,                             -0.20,,,,,,,,,
2007,2014年第1季,,              1367471,,              1430020,                -62549,                -62549,,,                 25115,,                 34645,                 59760,               -122309,,,                  3734,,                    557,,                 42886,,                 -5193,                -43788,               -166097,,                  1983,               -168080,               -168080,,,,,                              0,,                     -7,,                  1490,                    268,                  1215,                  1215,               -166865,,               -168080,                              0,,               -166865,                              0,,                             -0.27,                              0,,,,,,,,
2007,2014年度,,              7231688,,              7427768,               -196080,               -196080,,,                118610,,                138407,                257017,               -453097,,,                 13719,,                -10059,,                159087,,                -18485,               -173912,               -627009,,                 -4515,               -622494,               -622494,,,,,,,,,,,,                 -4404,               -626898,,               -622494,                              0,,               -626898,                              0,,                             -0.99,,                   -419,                 -9009,,                  4251,                   -773,                             -0.99,,
2007,2014年01月01日至2014年09月30日,,              5439052,,              5590389,               -151337,               -151337,,,                 89644,,                109221,                198865,               -350202,,,                 12631,,                   -129,,                111264,,                -14108,               -112870,               -463072,,                  2581,               -465653,               -465653,,,                              0,                              0,                              0,,                   -238,,                  1309,                    251,                    820,                    820,               -464833,,               -465653,                              0,,               -464833,                              0,,                             -0.74,,,,,,,,,
