證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額
2460,2015年第3季,,                967902,,                893536,                 74366,                 74366,,,                 36778,,                 52669,,                 11200,                100647,                -26281,,,                  6152,,                 10046,,                 12139,                  4059,                -22222,,                  1166,                -23388,                -23388,,,                141948,                  1115,                 24308,                118755,                118755,                 95367,,                -23388,,                 95367,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,,,,,,,,,
2460,2015年第2季,,                959997,,                878460,                 81537,                 81537,,,                 33647,,                 47479,,                 10843,                 91969,                -10432,,,                  6212,,                  2380,,                 11459,                 -2867,                -13299,,                  4727,                -18026,                -18026,,,                -54012,                 -3887,                 -9944,                -47955,                -47955,                -65981,,                -18026,,                -65981,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,,,,,,,
2460,2015年第1季,,                855017,,                780260,                 74757,                 74757,,,                 30908,,                 52244,,                  9918,                 93070,                -18313,,,                 10120,,                  3443,,                 11469,                  2094,                -16219,,                 -4063,                -12156,                -12156,,,                -23389,                    -20,                 -3981,                -19428,                -19428,                -31584,,                -12156,,                -31584,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,,,,,,,,,
2460,2015年01月01日至2015年09月30日,,              2782916,,              2552256,                230660,                230660,,,                101333,,                152392,,                 31961,                285686,                -55026,,,                 22484,,                 15869,,                 35067,                  3286,                -51740,,                  1830,                -53570,                -53570,,,                 64547,                 -2792,                 10383,                 51372,                 51372,                 -2198,,                -53570,,                 -2198,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,,,,,,,,,
2460,2015年01月01日至2015年06月30日,,              1815014,,              1658720,                156294,                156294,,,                 64555,,                 99723,,                 20761,                185039,                -28745,,,                 16332,,                  5823,,                 22928,                   -773,                -29518,,                    664,                -30182,                -30182,,,                -77401,                 -3907,                -13925,                -67383,                -67383,                -97565,,                -30182,,                -97565,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,,,,,,
2460,2014年第3季,,              1021640,,                872640,                149000,                149000,,,                 35854,,                 55873,,                  7634,                 99361,                 49639,,,                  5611,,                  1952,,                 12611,                 -5048,                 44591,,                 19587,                 25004,                 25004,,,                 81202,                     37,                    103,                 81136,                 81136,                106140,,                 25004,,                106140,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,,,,
2460,2014年第2季,,              1070351,,                876665,                193686,                193686,,,                 35430,,                 48823,,                  7195,                 91448,                102238,,,                  7908,,                  3636,,                 11158,                    386,                102624,,                 36092,                 66532,                 66532,,,                -56896,                     90,                    171,                -56977,                -56977,                  9555,,                 66532,,                  9555,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,
2460,2014年第1季,,                852932,,                800337,                 52595,                 52595,,,                 36709,,                 44389,,                  8801,                 89899,                -37304,,,                  8791,,                  5107,,                 10812,                  3086,                -34218,,                 -9016,                -25202,                -25202,,,                 -7830,                 -2197,                   -284,                 -9743,                 -9743,                -34945,,                -25202,,                -34945,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,,,,,,,,,
2460,2014年度,,              3945079,,              3417772,                527307,                527307,,,                138208,,                209600,,                 33702,                381510,                145797,,,                 27443,,                 12665,,                 45748,                 -5640,                140157,,                 52317,                 87840,                 87840,,,,,,,                120889,                208729,,                 87840,,                208729,,                              0.51,                              0.51,,                              0.51,                              0.51,                121666,                   -787,                    -10,,,,,,
2460,2014年01月01日至2014年09月30日,,              2944923,,              2549642,                395281,                395281,,,                107993,,                149085,,                 23630,                280708,                114573,,,                 22310,,                 10695,,                 34581,                 -1576,                112997,,                 46663,                 66334,                 66334,,,                 16476,                 -2070,                    -10,                 14416,                 14416,                 80750,,                 66334,,                 80750,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,
2460,2014年01月01日至2014年06月30日,,              1923283,,              1677002,                246281,                246281,,,                 72139,,                 93212,,                 15996,                181347,                 64934,,,                 16699,,                  8743,,                 21970,                  3472,                 68406,,                 27076,                 41330,                 41330,,,                -64726,                 -2107,                   -113,                -66720,                -66720,                -25390,,                 41330,,                -25390,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,
2460,2014年01月01日至2014年03月31日,,                852932,,                800301,                 52631,                 52631,,,                 36697,,                 44347,,                  8770,                 89814,                -37183,,,                  8791,,                  5107,,                 10812,                  3086,                -34097,,                 -8995,                -25102,                -25102,,,,,,,                 -9743,                -34845,,                -25102,,                -34845,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,                 -7830,                 -2197,                   -284,,,                852995,                     38,                     25,                852932
2460,2013年第3季,,              1067300,,                890180,                177120,                177120,,,                 34990,,                 60319,,                  8493,                103802,                 73318,,,                  7010,,                  4966,,                 15259,                 -3283,                 70035,,                 21146,                 48889,                 48889,,,,,,,                -30995,                 17894,,                 48889,,                 17894,,                              0.28,                              0.28,,                              0.28,                              0.28,                -33510,                  3091,                    576,,,,,,
2460,2013年第2季,,                986666,,                938677,                 47989,                 47989,,,                 37994,,                 54973,,                 12299,                105266,                -57277,,,                 13006,,                 -8990,,                 16765,                -12749,                -70026,,                -24323,                -45703,                -45703,,,,,,,                 45776,                     73,,                -45703,,                     73,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,                 48313,                 -3090,                   -553,,,                986680,                      7,                      7,                986666
2460,2013年度,,              4022046,,              3564142,                457904,                457904,,,                142177,,                212894,,                 42300,                397371,                 60533,,,                 39899,,                -11681,,                 66094,                -37876,                 22657,,                  7939,                 14718,                 14718,,,,,,,                173612,                188330,,                 14718,,                188330,,                              0.09,                              0.09,,                              0.09,                              0.09,                175156,                 -2003,                   -459,,,,,,
2460,2013年07月01日至2013年09月30日,,              1067300,,                890180,                177120,                177120,,,                 34990,,                 60319,,                  8493,                103802,                 73318,,,                  7010,,                  4966,,                 15259,                 -3283,                 70035,,                 21146,                 48889,                 48889,,,,,,,                -30995,                 17894,,                 48889,,                 17894,,                              0.28,                              0.28,,                              0.28,                              0.28,                -33510,                  3091,                    576,,,              1067408,                    105,                      3,              1067300
2460,2013年04月01日至2013年06月30日,,                986666,,                938677,                 47989,                 47989,,,                 37994,,                 54973,,                 12299,                105266,                -57277,,,                 13006,,                 -8990,,                 16765,                -12749,                -70026,,                -24323,                -45703,                -45703,,,,,,,                 45776,                     73,,                -45703,,                     73,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,                 48313,                 -3090,                   -553,,,                986680,                      7,                      7,                986666
2460,2013年01月01日至2013年12月31日,,              4022046,,              3564142,                457904,                457904,,,                142177,,                212894,,                 42300,                397371,                 60533,,,                 39899,,                -11681,,                 66094,                -37876,                 22657,,                  7939,                 14718,                 14718,,,,,,,                173612,                188330,,                 14718,,                188330,,                              0.09,                              0.09,,                              0.09,                              0.09,                175156,                 -2003,                   -459,,,              4022257,                    144,                     67,              4022046
2460,2013年01月01日至2013年09月30日,,              2954506,,              2626496,                328010,                328010,,,                103540,,                163588,,                 32488,                299616,                 28394,,,                 29798,,                -12160,,                 50462,                -32824,                 -4430,,                 -2253,                 -2177,                 -2177,,,,,,,                123667,                121490,,                 -2177,,                121490,,                             -0.01,                             -0.01,,                             -0.01,                             -0.01,                126325,                 -3210,                   -552,,,,,,
2460,2013年01月01日至2013年06月30日,,              1887206,,              1736316,                150890,                150890,,,                 68550,,                103269,,                 23995,                195814,                -44924,,,                 22788,,                -17126,,                 35203,                -29541,                -74465,,                -23399,                -51066,                -51066,,,,,,,                154662,                103596,,                -51066,,                103596,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,                159835,                 -6301,                 -1128,,,              1887234,                     20,                      8,              1887206
