證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3376,2015年第3季,,              2036422,,              1330517,                705905,                705905,,,                 77736,,                118677,,                 45184,                241597,                464308,,,                 33159,,                114120,,                  3258,                144021,                608329,,                120456,                487873,                487873,,,                220529,                220529,                220529,                708402,,                487873,                              0,,                708402,                              0,,                              2.73,,                              2.71,,,,
3376,2015年第2季,,              2015634,,              1293546,                722088,                722088,,,                 77963,,                108578,,                 32067,                218608,                503480,,,                 30849,,                -58958,,                  3561,                -31670,                471810,,                169137,                302673,                302673,,,                -70304,                -70304,                -70304,                232369,,                302673,                              0,,                232369,                              0,,                              1.69,,                              1.68,,,,
3376,2015年01月01日至2015年09月30日,,              6026919,,              3900238,              2126681,              2126681,,,                226876,,                337273,,                114897,                679046,              1447635,,,                101198,,                 15902,,                  9894,                107206,              1554841,,                387439,              1167402,              1167402,,,                101509,                101509,                101509,              1268911,,              1167448,                    -46,,              1268957,                    -46,,                              6.53,,                              6.46,,,,
3376,2015年01月01日至2015年06月30日,,              3990497,,              2569721,              1420776,              1420776,,,                149140,,                218596,,                 69713,                437449,                983327,,,                 68039,,                -98218,,                  6636,                -36815,                946512,,                266983,                679529,                679529,,,               -119020,               -119020,               -119020,                560509,,                679575,                    -46,,                560555,                    -46,,                              3.80,,                              3.76,,,,
3376,2015年01月01日至2015年03月31日,,              1974863,,              1276175,                698688,                698688,,,                 71177,,                110018,,                 37646,                218841,                479847,,,                 37190,,                -39260,,                  3075,                 -5145,                474702,,                 97846,                376856,                376856,,,                -48716,                -48716,                -48716,                328140,,                376902,                    -46,,                328186,                    -46,,                              2.11,,                              2.09,,,,
3376,2014年第3季,,              2064698,,              1525727,                538971,                538971,,,                 92957,,                109209,,                 41177,                243343,                295628,,,                 21319,,                 38284,,                  2244,                 57359,                352987,,                 74901,                278086,                278086,,,                114594,                114594,                114594,                392680,,                278184,                    -98,,                392778,                    -98,,                              1.56,,                              1.55,,,,
3376,2014年第2季,,              1943215,,              1421977,                521238,                521238,,,                 75146,,                113245,,                 29757,                218148,                303090,,,                 35790,,                -27156,,                  4430,                  4204,                307294,,                 85614,                221680,                221680,,,               -105305,               -105305,               -105305,                116375,,                222564,                   -884,,                117259,                   -884,,                              1.25,,                              1.24,,,,
3376,2014年度,,              7906320,,              5754622,              2151698,              2151698,,,                333866,,                479193,,                151729,                964788,              1186910,,,                162940,,                125629,,                 15156,                273413,              1460323,,                327017,              1133306,              1133306,,,,,                177767,              1311073,,              1135519,                 -2213,,              1313286,                 -2213,,                              6.36,,                              6.28,,                              0,                182023,                 -4256
3376,2014年01月01日至2014年09月30日,,              5792255,,              4269572,              1522683,              1522683,,,                243578,,                338629,,                106799,                689006,                833677,,,                 84342,,                 57587,,                 10789,                131140,                964817,,                224379,                740438,                740438,,,                 21759,                 21759,                 21759,                762197,,                742248,                 -1810,,                764007,                 -1810,,                              4.16,,                              4.11,,,,
3376,2014年01月01日至2014年06月30日,,              3727557,,              2743845,                983712,                983712,,,                150621,,                229420,,                 65622,                445663,                538049,,,                 63023,,                 19303,,                  8545,                 73781,                611830,,                149478,                462352,                462352,,,                -92835,                -92835,                -92835,                369517,,                464064,                 -1712,,                371229,                 -1712,,                              2.60,,                              2.58,,,,
3376,2014年01月01日至2014年03月31日,,              1784342,,              1321868,                462474,                462474,,,                 75475,,                116175,,                 35865,                227515,                234959,,,                 27233,,                 46459,,                  4115,                 69577,                304536,,                 63864,                240672,                240672,,,                 12470,                 12470,                 12470,                253142,,                241500,                   -828,,                253970,                   -828,,                              1.36,,                              1.34,,,,
3376,2013年第3季,,              2132102,,              1486538,                645564,                645564,,,                 75885,,                124515,,                 39095,                239495,                406069,,,                 24495,,                -38750,,                  6160,                -20415,                385654,,                 90787,                294867,                294867,,,,,                -65437,                229430,,                295900,                 -1033,,                230463,                 -1033,,                              1.69,,                              1.65,,                              0,                -65437,
3376,2013年第2季,,              1882668,,              1496430,                386238,                386238,,,                 58384,,                108142,,                 32292,                198818,                187420,,,                 48630,,                -14169,,                  6577,                 26754,                214174,,                 99683,                114491,                114491,,,,,                 63651,                178142,,                116227,                 -1736,,                179878,                 -1736,,                              0.67,,                              0.65,,                 -1130,                 63651,
3376,2013年度,,              7767823,,              5770550,              1997273,              1997273,,,                271227,,                498460,,                151709,                921396,              1075877,,,                160784,,                -16101,,                 26088,                120130,              1196007,,                327832,                868175,                868175,,,,,                205690,              1073865,,                873976,                 -5801,,              1079666,                 -5801,,                              5.00,,                              4.86,,                  1535,                209098,                 -3408
3376,2013年07月01日至2013年09月30日,,              2132102,,              1486538,                645564,                645564,,,                 75885,,                124515,,                 39095,                239495,                406069,,,                 24495,,                -38750,,                  6160,                -20415,                385654,,                 90787,                294867,                294867,,,,,                -65437,                229430,,                295900,                 -1033,,                230463,                 -1033,,                              1.69,,                              1.65,,                              0,                -65437,
3376,2013年04月01日至2013年06月30日,,              1882668,,              1496430,                386238,                386238,,,                 58384,,                108142,,                 32292,                198818,                187420,,,                 48630,,                -14169,,                  6577,                 26754,                214174,,                 99683,                114491,                114491,,,,,                 63651,                178142,,                116227,                 -1736,,                179878,                 -1736,,                              0.67,,                              0.65,,                 -1130,                 63651,
3376,2013年01月01日至2013年12月31日,,              7767823,,              5770550,              1997273,              1997273,,,                271227,,                498460,,                151709,                921396,              1075877,,,                160784,,                -16101,,                 26088,                120130,              1196007,,                327832,                868175,                868175,,,,,                205690,              1073865,,                873976,                 -5801,,              1079666,                 -5801,,                              5.00,,                              4.86,,                  1535,                209098,                 -3408
3376,2013年01月01日至2013年09月30日,,              5791429,,              4377464,              1413965,              1413965,,,                177855,,                355359,,                106780,                639994,                773971,,,                117153,,                    715,,                 20889,                 98514,                872485,,                253930,                618555,                618555,,,,,                125934,                744489,,                623345,                 -4790,,                749279,                 -4790,,                              3.57,,                              3.46,,                  1535,                125934,
3376,2013年01月01日至2013年06月30日,,              3659327,,              2890926,                768401,                768401,,,                101970,,                230844,,                 67685,                400499,                367902,,,                 92658,,                 39465,,                 14729,                118929,                486831,,                163143,                323688,                323688,,,,,                191371,                515059,,                327445,                 -3757,,                518816,                 -3757,,                              1.88,,                              1.83,,                  1535,                191371,
3376,2013年01月01日至2013年03月31日,,              1776659,,              1394496,                382163,                382163,,,                 43586,,                122702,,                 35393,                201681,                180482,,,                 44028,,                 53634,,                  8152,                 92175,                272657,,                 63460,                209197,                209197,,,,,                127720,                336917,,                211218,                 -2021,,                338938,                 -2021,,                              1.21,,                              1.18,,                  2665,                127720,
