證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨退回,　　　 銷貨折讓,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1726,2014年01月01日至2014年03月31日,,,,              1932754,              1932754,,,                 76715,                 76715,              2009469,,,              1378146,,                 37268,                 37268,              1415414,                594055,                594055,,,                118531,,                 53744,,                 50764,                223039,,                  3188,                374204,,,                 14835,,                -40692,,                    291,,                 -2111,                -28259,                345945,,                 89234,                256711,                256711,,,                 36185,                -12509,,                 23676,                 23676,                280387,,                256711,                              0,,                280387,                              0,,                              1.58,,                              1.58,,,,,,,,,,
1726,2013年第3季,,,,              1950660,              1950660,,,                 33012,                 33012,              1983672,,,              1417901,,                 26898,                 26898,              1444799,                538873,                538873,,,                153524,,                 50160,,                 46711,                250395,,                    263,                288741,,,                 29187,,                -22546,,                     75,,                 -1778,                  4788,                293529,,                 39486,                254043,                254043,,,,,,,                -42747,                211296,,                256445,                 -2402,,                213604,                 -2308,,                              1.58,,                              1.58,,,                -20497,                -22250,,,,,,
1726,2013年第2季,,,,              1870810,              1870810,,,                 68291,                 68291,              1939101,,,              1349841,,                 94236,                 94236,              1444077,                495024,                495024,,,                144580,,                 41558,,                 46047,                232185,,                  1445,                264284,,,                 21909,,                -11616,,                    113,,                -11202,                 -1022,                263262,,                 80445,                182817,                182817,,,,,,,                 40986,                223803,,                181307,                  1510,,                222268,                  1535,,                              1.12,,                              1.12,,                              0,                 19486,                 21500,,,,,,
1726,2013年度,,,,              7912506,              7912506,,,                234182,                234182,              8146688,,,              5721173,,                234713,                234713,              5955886,              2190802,              2190802,,,                657066,,                203866,,                190752,              1051684,,                              0,              1139118,,,                 82979,,                 53952,,                    504,,                -16026,                120401,              1259519,,                244122,              1015397,              1015397,,,,,,,                101290,              1116687,,              1025137,                 -9740,,              1126441,                 -9754,,                              6.33,,                              6.32,,,                 69934,                 22500,                 10670,                  1814,,,,
1726,2013年07月01日至2013年09月30日,,,,              1985251,              1950660,,,                 33012,                 33012,              1983672,,,              1417901,,                 26898,                 26898,              1444799,                538873,                538873,,,                153524,,                 50160,,                 46711,                250395,,                    263,                288741,,,                 29187,,                -22546,,                     75,,                 -1778,                  4788,                293529,,                 39486,                254043,                254043,,,,,,,                -42747,                211296,,                256445,                 -2402,,                213604,                 -2308,,                              1.58,,                              1.58,,,                -20497,                -22250,,,                 12997,                 21594,,
1726,2013年04月01日至2013年06月30日,,,,              1870810,              1870810,,,                 68291,                 68291,              1939101,,,              1349841,,                 94236,                 94236,              1444077,                495024,                495024,,,                144580,,                 41558,,                 46047,                232185,,                  1445,                264284,,,                 21909,,                -11616,,                    113,,                -11202,                 -1022,                263262,,                 80445,                182817,                182817,,,,,,,                 40986,                223803,,                181307,                  1510,,                222268,                  1535,,                              1.12,,                              1.12,,                              0,                 19486,                 21500,,,,,                              0,                              0
1726,2013年01月01日至2013年12月31日,,,,              7912506,              7912506,,,                234182,                234182,              8146688,,,              5721173,,                234713,                234713,              5955886,              2190802,              2190802,,,                657066,,                203866,,                190752,              1051684,,                              0,              1139118,,,                 82979,,                 53952,,                    504,,                -16026,                120401,              1259519,,                244122,              1015397,              1015397,,,,,,,                101290,              1116687,,              1025137,                 -9740,,              1126441,                 -9754,,                              6.33,,                              6.32,,,                 69934,                 22500,                 10670,                  1814,,,,
1726,2013年01月01日至2013年09月30日,,,,              5808004,              5808004,,,                176313,                176313,              5984317,,,              4214275,,                198963,                198963,              4413238,              1571079,              1571079,,,                444272,,                147876,,                134718,                726866,,                  3658,                847871,,,                 64925,,                 47292,,                    258,,                -17769,                 94190,                942061,,                185861,                756200,                756200,,,,,,,                 68267,                824467,,                764207,                 -8007,,                832412,                 -7945,,                              4.72,,                              4.71,,,                 44017,                 24250,,,,,,
1726,2013年01月01日至2013年06月30日,,,,              3857344,              3857344,,,                143301,                143301,              4000645,,,              2796374,,                172065,                172065,              2968439,              1032206,              1032206,,,                290748,,                 97716,,                 88007,                476471,,                  3395,                559130,,,                 35738,,                 69838,,                    183,,                -15991,                 89402,                648532,,                146375,                502157,                502157,,,,,,,                111014,                613171,,                507762,                 -5605,,                618808,                 -5637,,                              3.13,,                              3.13,,                              0,                 64514,                 46500,,,,,                              0,                              0
1726,2013年01月01日至2013年03月31日,,,,              1986534,              1986534,,,                 75010,                 75010,              2061544,,,              1446533,,                 77829,                 77829,              1524362,                537182,                537182,,,                146168,,                 56158,,                 41960,                244286,,                  1950,                294846,,,                 13829,,                 81454,,                     70,,                 -4789,                 90424,                385270,,                 65930,                319340,                319340,,,,,,,                 70028,                389368,,                326455,                 -7115,,                396540,                 -7172,,                              2.02,,                              2.01,,,                 45028,                 25000,,,,,,
1726,2012年07月01日至2012年09月30日,,,,              1955029,              1932196,,,                 77825,                 77825,              2010021,,,              1447014,,                106227,                106227,              1553241,                456780,                456780,,,                129958,,                 38453,,                 36897,                205308,,                  2343,                253815,,,                 26137,,                 -4295,,                      2,,                  1268,                 23108,                276923,,                 60294,                216629,                216629,,,,,,,                -43798,                172831,,                216629,                              0,,                172831,                              0,,                              1.34,,                              1.34,,,                -34548,                 -9250,,,                 12463,                 10370,,
1726,2012年04月01日至2012年06月30日,,,,              1965666,              1965666,,,                119490,                119490,              2085156,,,              1493168,,                107323,                107323,              1600491,                484665,                484665,,,                135218,,                 36922,,                 36730,                208870,,                 -4756,                271039,,,                 12093,,                 -7071,,                              0,,                  9559,                 14581,                285620,,                 71108,                214512,                214512,,,,,,,                 16266,                230778,,                214512,                              0,,                230778,                              0,,                              1.32,,                              1.32,,                              0,                 12516,                  3750,,,,,                              0,                              0
1726,2012年01月01日至2012年12月31日,,,,              7770377,              7770377,,,                356997,                356997,              8127374,,,              5916422,,                385814,                385814,              6302236,              1825138,              1825138,,,                543359,,                175355,,                151181,                869895,,                  8617,                963860,,,                 66550,,                 78651,,                    371,,                 11457,                156287,              1120147,,                241091,                879056,                879056,,,,,,,               -155537,                723519,,                880640,                 -1584,,                725103,                 -1584,,                              5.44,,                              5.43,,,                -60810,                -74110,                -24840,                 -4223,,,,
1726,2012年01月01日至2012年09月30日,,,,              5800800,              5721404,,,                269976,                269976,              5991380,,,              4346169,,                291303,                291303,              4637472,              1353908,              1353908,,,                370408,,                114665,,                102747,                587820,,                  8327,                774415,,,                 50375,,                 94890,,                      5,,                 12987,                158247,                932662,,                190323,                742339,                742339,,,,,,,               -138322,                604017,,                742339,                              0,,                604017,                              0,,                              4.58,,                              4.58,,,                -56462,                -81860,,,                 39010,                 40386,,
1726,2012年01月01日至2012年06月30日,,,,              3789208,              3789208,,,                192151,                192151,              3981359,,,              2899155,,                185076,                185076,              3084231,                897128,                897128,,,                240450,,                 76212,,                 65850,                382512,,                  5984,                520600,,,                 24238,,                 99185,,                      3,,                 11719,                135139,                655739,,                130029,                525710,                525710,,,,,,,                -94524,                431186,,                525710,                              0,,                431186,                              0,,                              3.25,,                              3.24,,                              0,                -21914,                -72610,,,,,                              0,                              0
1726,2012年01月01日至2012年03月31日,,,,              1852453,              1823542,,,                 72661,                 72661,              1896203,,,              1405987,,                 77753,                 77753,              1483740,                412463,                412463,,,                105232,,                 39290,,                 29120,                173642,,                 10740,                249561,,,                 12145,,                106996,,                    743,,                  2160,                120558,                370119,,                 58921,                311198,                311198,,,,,,,               -110790,                200408,,                311198,                              0,,                200408,                              0,,                              1.92,,                              1.92,,,                -34430,                -76360,,,                 13667,                 15244,,
