證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
8374,2013年第3季,,                992934,,                853672,                139262,                139262,,,                 94724,,                 49329,                144053,                 -4791,,,                  1905,,                 13415,,                 11794,,                     -8,                  3518,                 -1273,,                 -3590,                  2317,                  2317,,,,,,,                -18372,                -16055,,                  2290,                     27,,                -16089,                     34,,                              0.03,,                              0.03,,,,,,,,,,,,                -18372,                              0,                              0
8374,2013年第2季,,              1242085,,              1039964,                202121,                202121,,,                107753,,                 53544,                161297,                 40824,,,                  2206,,                  5267,,                  8188,,                     28,                   -687,                 40137,,                  5386,                 34751,                 34751,,,,,,,                 21707,                 56458,,                 35152,                   -401,,                 56861,                   -403,,                              0.40,,                              0.40,,,,,,,,,,,,                 21707,                              0,                              0
8374,2013年度,,              4129704,,              3522860,                606844,                606844,,,                411411,,                196218,                607629,                   -785,,,                 11679,,                 28760,,                 37341,,                    -41,                  3057,                  2272,,                -17696,                 19968,                 19968,,,,,,,                 76210,                 96178,,                 21332,                 -1364,,                 97535,                 -1357,,                              0.24,,                              0.24,,,,,,,,,,,,                 71433,                  4777,                              0
8374,2013年07月01日至2013年09月30日,,                992934,,                853672,                139262,                139262,,,                 94724,,                 49329,                144053,                 -4791,,,                  1905,,                 13415,,                 11794,,                     -8,                  3518,                 -1273,,                 -3590,                  2317,                  2317,,,,,,,                -18372,                -16055,,                  2290,                     27,,                -16089,                     34,,                              0.03,,                              0.03,,,,,,,,,,,,                -18372,,                              0
8374,2013年04月01日至2013年06月30日,,              1242085,,              1039964,                202121,                202121,,,                107753,,                 53544,                161297,                 40824,,,                  2206,,                  5267,,                  8188,,                     28,                   -687,                 40137,,                  5386,                 34751,                 34751,,,,,,,                 21707,                 56458,,                 35152,                   -401,,                 56861,                   -403,,                              0.40,,                              0.40,,,,,,,,,,,,                 21707,,                              0
8374,2013年01月01日至2013年12月31日,,              4129704,,              3522860,                606844,                606844,,,                411411,,                196218,                607629,                   -785,,,                 11679,,                 28760,,                 37341,,                    -41,                  3057,                  2272,,                -17696,                 19968,                 19968,,,,,,,                 76210,                 96178,,                 21332,                 -1364,,                 97535,                 -1357,,                              0.24,,                              0.24,,,,,,,,,,,,                 71433,                  4777,                              0
8374,2013年01月01日至2013年09月30日,,              3153140,,              2700921,                452219,                452219,,,                289714,,                149010,                438724,                 13495,,,                  6232,,                 20247,,                 27278,,                    -33,                   -832,                 12663,,                -10323,                 22986,                 22986,,,,,,,                 47713,                 70699,,                 23971,                   -985,,                 71679,                   -980,,                              0.27,,                              0.27,,,,,,,,,,,,                 47713,                              0,                              0
8374,2013年01月01日至2013年06月30日,,              2160206,,              1847249,                312957,                312957,,,                194990,,                 99681,                294671,                 18286,,,                  4327,,                  6832,,                 15484,,                    -25,                 -4350,                 13936,,                 -6733,                 20669,                 20669,,,,,,,                 66085,                 86754,,                 21681,                 -1012,,                 87768,                 -1014,,                              0.25,,                              0.25,,,,,,,,,,,,                 66085,                              0,                              0
8374,2013年01月01日至2013年03月31日,,                918121,,                807285,                110836,                110836,,,                 87237,,                 46137,                133374,                -22538,,,                  2121,,                  1565,,                  7296,,                    -53,                 -3663,                -26201,,                -12119,                -14082,                -14082,,,,,,,                 44378,                 30296,,                -13471,                   -611,,                 30907,                   -611,,                             -0.15,,,,,,,,,,,,,,                 44378,                              0,                              0
8374,2012年07月01日至2012年09月30日,,              1120005,,                955836,                164169,                164169,,,                106659,,                 40745,                147404,                 16765,,,                  5366,,                 -7163,,                 12959,,                   -426,                -15182,                  1583,,                 -6035,                  7618,                  7618,,,,,,,                -14990,                 -7372,,                  8283,                   -665,,                 -6701,                   -671,,                              0.09,,                              0.09,,,,,,,,,,,,                -14990,,                              0
8374,2012年04月01日至2012年06月30日,,              1311813,,              1111859,                199954,                199954,,,                111838,,                 48325,                160163,                 39791,,,                  4704,,                 -5303,,                 10063,,                   -852,                -11514,                 28277,,                 11526,                 16751,                 16751,,,,,,,                  9070,                 25821,,                 17163,                   -412,,                 26227,                   -406,,                              0.20,,                              0.20,,,,,,,,,,,,                  9070,,                              0
8374,2012年01月01日至2012年12月31日,,              4165588,,              3551335,                614253,                614253,,,                442372,,                177422,                619794,                 -5541,,,                 25939,,                 -5064,,                 41784,,                 -1567,                -22476,                -28017,,                -11811,                -16206,                -16206,,,,,,,                -49369,                -65575,,                -14953,                 -1253,,                -64287,                 -1288,,                             -0.17,,                              0.00,,,,,,,,,,,,                -49369,                              0,                              0
8374,2012年01月01日至2012年09月30日,,              3289946,,              2768057,                521889,                521889,,,                327406,,                126693,                454099,                 67790,,,                 11520,,                 -9587,,                 32214,,                 -1541,                -31822,                 35968,,                 10719,                 25249,                 25249,,,,,,,                -47509,                -22260,,                 26418,                 -1169,,                -21056,                 -1204,,                              0.30,,                              0.30,,,,,,,,,,,,                -47509,,                              0
8374,2012年01月01日至2012年06月30日,,              2169941,,              1812221,                357720,                357720,,,                220747,,                 85948,                306695,                 51025,,,                  6154,,                 -2424,,                 19255,,                 -1115,                -16640,                 34385,,                 16754,                 17631,                 17631,,,,,,,                -32519,                -14888,,                 18135,                   -504,,                -14355,                   -533,,                              0.21,,                              0.21,,,,,,,,,,,,                -32519,,                              0
8374,2012年01月01日至2012年03月31日,,                858128,,                700362,                157766,                157766,,,                108909,,                 37623,                146532,                 11234,,,                  1450,,                  2879,,                  9192,,                   -263,                 -5126,                  6108,,                  5228,                    880,                    880,,,,,,,                -41589,                -40709,,                    972,                    -92,,                -40582,                   -127,,                              0.01,,                              0.01,,,,,,,,,,,,                -41589,,                              0
