證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1220,2015年第3季,,                828448,,                711339,                117109,                117109,,,                 28555,,                 31817,                 60372,                 56737,,,                  6738,,                 13285,,                  1013,                 19010,                 75747,,                 10045,                 65702,                 65702,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -1979,                 -7799,                              0,                              0,                              0,,                              0,                              0,                   -320,                 -9458,                 -9458,                 56244,,                 57098,                  8604,,                 48767,                  7477,,                              0.32,,                              0.32,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2015年第2季,,                764209,,                682472,                 81737,                 81737,,,                 30007,,                 27592,                 57599,                 24138,,,                  4061,,                 -1764,,                  2205,                     92,                 24230,,                  5837,                 18393,                 18393,,,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,,                    454,                -11063,                              0,                              0,                              0,,                              0,                              0,                     73,                -10682,                -10682,                  7711,,                 30797,                -12404,,                 19907,                -12196,,                              0.17,,                              0.17,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2015年01月01日至2015年09月30日,,              2429927,,              2180957,                248970,                248970,,,                 96389,,                 84431,                180820,                 68150,,,                 14289,,                 16499,,                  3859,                 26929,                 95079,,                 14818,                 80261,                 80261,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 -1585,                 -9962,                              0,                              0,                              0,,                              0,                              0,                   -256,                -11291,                -11291,                 68970,,                 86322,                 -6061,,                 75978,                 -7008,,                              0.49,,                              0.49,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2015年01月01日至2015年06月30日,,              1601479,,              1469618,                131861,                131861,,,                 67834,,                 52613,                120447,                 11414,,,                  7551,,                  3214,,                  2846,                  7919,                 19333,,                  4773,                 14560,                 14560,,,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,,                    394,                 -2163,                              0,                              0,                              0,,                              0,                              0,                     64,                 -1833,                 -1833,                 12727,,                 29224,                -14664,,                 27212,                -14485,,                              0.17,,                              0.16,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2015年01月01日至2015年03月31日,,                837271,,                787147,                 50124,                 50124,,,                 37826,,                 25023,                 62849,                -12725,,,                  3490,,                  4977,,                    640,                  7827,                 -4898,,                 -1064,                 -3834,                 -3834,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    -60,                  8900,                              0,                              0,                              0,,                              0,                              0,                    -10,                  8850,                  8850,                  5016,,                 -1573,                 -2261,,                  7304,                 -2288,,                             -0.01,,                             -0.01,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1220,2014年第3季,,                937806,,                852468,                 85338,                 85338,,,                 44061,,                 35152,                 79213,                  6125,,,                  7423,,                   -343,,                    474,                  6606,                 12731,,                  1912,                 10819,                 10819,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                   -108,                 -9017,                              0,                              0,                              0,,                              0,                              0,                    -17,                 -9108,                 -9108,                  1711,,                 17137,                 -6318,,                  8079,                 -6368,,                              0.10,,                              0.10,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2014年第2季,,                807569,,                739534,                 68035,                 68035,,,                 35724,,                 19087,                 54811,                 13224,,,                  3320,,                  2670,,                  1003,                  4987,                 18211,,                  3630,                 14581,                 14581,,,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,,                    223,                 -7302,                              0,                              0,                              0,,                              0,                              0,                     36,                 -7115,                 -7115,                  7466,,                 19148,                 -4567,,                 11931,                 -4465,,                              0.11,,                              0.11,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2014年度,,              3769955,,              3509161,                260794,                260794,,,                129337,,                101924,                231261,                 29533,,,                 29048,,                   -580,,                  5831,                 22637,                 52170,,                 10303,                 41867,                 41867,,,,,,,,,,,,,,,,,,,,,,,,                -16439,                 25428,,                 53469,                -11602,,                 37575,                -12147,,                              0.30,,                              0.30,,,,,,,                              0,,                              0,,                              0,                 -1188,                              0,                -11490,                              0,                              0,                              0,                 -4762,                              0,,                              0,                 -1001,,,
1220,2014年01月01日至2014年09月30日,,              2497984,,              2268844,                229140,                229140,,,                110457,,                 72445,                182902,                 46238,,,                 14684,,                  1402,,                  3344,                 12742,                 58980,,                  9802,                 49178,                 49178,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    -75,                -14679,                              0,                              0,                              0,,                              0,                              0,                    -12,                -14742,                -14742,                 34436,,                 57439,                 -8261,,                 42731,                 -8295,,                              0.32,,                              0.32,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2014年01月01日至2014年06月30日,,              1560178,,              1416376,                143802,                143802,,,                 66396,,                 37293,                103689,                 40113,,,                  7262,,                  1745,,                  2871,                  6136,                 46249,,                  7890,                 38359,                 38359,,,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,,                     32,                 -5662,                              0,                              0,                              0,,                              0,                              0,                      5,                 -5635,                 -5635,                 32724,,                 40301,                 -1942,,                 34651,                 -1927,,                              0.23,,                              0.23,,,,,,,,,,,,,,,,,,,,,,,,,
