證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2731,2015年第3季,,              6130994,,              5450401,                680593,                680593,,                602095,                 78498,,,                 24401,,                 18769,,                    237,                 42933,                121431,,                 23602,                 97829,                 97829,,,                 17598,                 -3192,                 14406,                 14406,                112235,,                101165,                 -3336,,                115556,                 -3321,,                              1.45,                              1.45,,                              1.44,                              1.44,,,,,,
2731,2015年第2季,,              5868084,,              5047182,                820902,                820902,,                628724,                192178,,,                 14072,,                  9696,,                    259,                 23509,                215687,,                 40647,                175040,                175040,,,                 -6579,                 -2220,                 -8799,                 -8799,                166241,,                174776,                    264,,                166299,                    -58,,                              2.50,                              2.50,,                              2.49,                              2.49,,,,,,
2731,2015年01月01日至2015年09月30日,,             16295035,,             14079261,              2215774,              2215774,,              1804280,                411494,,,                 60330,,                 28315,,                    802,                 87843,                499337,,                 91421,                407916,                407916,,,                  8420,                 -6144,                  2276,                  2276,                410192,,                410637,                 -2721,,                413234,                 -3042,,                              5.87,                              5.87,,                              5.84,                              5.84,,,,,,
2731,2015年01月01日至2015年06月30日,,             10164041,,              8628860,              1535181,              1535181,,              1202185,                332996,,,                 35929,,                  9546,,                    565,                 44910,                377906,,                 67819,                310087,                310087,,,                 -9178,                 -2952,                -12130,                -12130,                297957,,                309472,                    615,,                297678,                    279,,                              4.42,                              4.42,,                              4.40,                              4.40,,,,,,
2731,2015年01月01日至2015年03月31日,,              4295957,,              3581678,                714279,                714279,,                573461,                140818,,,                 21857,,                   -150,,                    306,                 21401,                162219,,                 27172,                135047,                135047,,,                 -2599,                   -732,                 -3331,                 -3331,                131716,,                134696,                    351,,                131379,                    337,,,                              1.92,,,                              1.92,,              4295957,,,,
2731,2014年第3季,,              5495882,,              4823456,                672426,                672426,,                532577,                139849,,,                 20137,,                  5852,,                    394,                 25595,                165444,,                 27250,                138194,                138194,,,                   -533,                 -3592,                 -4125,                 -4125,                134069,,                138425,                   -231,,                134178,                   -109,,                              1.98,                              1.98,,                              1.97,                              1.97,,,,,,
2731,2014年第2季,,              4598322,,              3954220,                644102,                644102,,                525017,                119085,,,                 12040,,                  7218,,                    441,                 18817,                137902,,                 29642,                108260,                108260,,,                 -1277,                  5208,                  3931,                  3931,                112191,,                108183,                     77,,                112231,                    -40,,                              1.55,                              1.55,,                              1.54,                              1.54,,,,,,
2731,2014年度,,             17689512,,             15238617,              2450895,              2450895,,              2103527,                347368,,,                 79123,,                 44991,,                  1667,                122447,                469815,,                 86790,                383025,                383025,,,,,,                -23704,                359321,,                383910,                   -885,,                359884,                   -563,,,                              5.48,,,                              5.46,,             17689512,                  2453,                  1020,                -32743,                 -5566
2731,2014年01月01日至2014年09月30日,,             13520138,,             11669006,              1851132,              1851132,,              1523564,                327568,,,                 45486,,                 29577,,                  1318,                 73745,                401313,,                 72624,                328689,                328689,,,                    -55,                  3744,                  3689,                  3689,                332378,,                329662,                   -973,,                333167,                   -789,,                              4.71,                              4.71,,                              4.69,                              4.69,,,,,,
2731,2014年01月01日至2014年06月30日,,              8024256,,              6845550,              1178706,              1178706,,                990987,                187719,,,                 25349,,                 23725,,                    924,                 48150,                235869,,                 45374,                190495,                190495,,,                    478,                  7336,                  7814,                  7814,                198309,,                191237,                   -742,,                198989,                   -680,,                              2.73,                              2.73,,                              2.72,                              2.72,,,,,,
2731,2014年01月01日至2014年03月31日,,              3425934,,              2891330,                534604,                534604,,                465970,                 68634,,,                 13309,,                 16507,,                    483,                 29333,                 97967,,                 15732,                 82235,                 82235,,,                  1755,                  2128,                  3883,                  3883,                 86118,,                 83054,                   -819,,                 86758,                   -640,,,                              1.19,,,                              1.18,,              3425934,,,,
2731,2013年第3季,,              4999738,,              4352898,                646840,                646840,,                508782,                138058,,,                 12352,,                 17424,,                    636,                 29140,                167198,,                 29675,                137523,                137523,,,,,,                    865,                138388,,                137635,                   -112,,                138554,                   -166,,                              2.21,                              2.21,,                              2.20,                              2.20,,,                   -691,                  1556,,
2731,2013年第2季,,              3994102,,              3430380,                563722,                563722,,                494239,                 69483,,,                 19131,,                    492,,                    739,                 18884,                 88367,,                 14234,                 74133,                 74133,,,,,,                 -6331,                 67802,,                 73283,                    850,,                 67050,                    752,,                              1.20,                              1.20,,                              1.19,                              1.19,,,                 -1585,                 -4746,,
2731,2013年度,,             15854268,,             13575074,              2279194,              2279194,,              1931276,                347918,,,                 79605,,                 28397,,                  2687,                105315,                453233,,                 80699,                372534,                372534,,,,,,                 -6249,                366285,,                372046,                    488,,                365948,                    337,,,                              5.85,,,                              5.83,,             15854268,                 -2186,                 -1812,                 -2712,                   -461
2731,2013年07月01日至2013年09月30日,,              4999738,,              4352898,                646840,                646840,,                508782,                138058,,,                 12352,,                 17424,,                    636,                 29140,                167198,,                 29675,                137523,                137523,,,,,,                    865,                138388,,                137635,                   -112,,                138554,                   -166,,                              2.21,                              2.21,,                              2.20,                              2.20,,,                   -691,                  1556,,
2731,2013年04月01日至2013年06月30日,,              3994102,,              3430380,                563722,                563722,,                494239,                 69483,,,                 19131,,                    492,,                    739,                 18884,                 88367,,                 14234,                 74133,                 74133,,,,,,                 -6331,                 67802,,                 73283,                    850,,                 67050,                    752,,                              1.20,                              1.20,,                              1.19,                              1.19,,,                 -1585,                 -4746,,
2731,2013年01月01日至2013年12月31日,,             15854268,,             13575074,              2279194,              2279194,,              1931276,                347918,,,                 79605,,                 28397,,                  2687,                105315,                453233,,                 80699,                372534,                372534,,,,,,                 -6249,                366285,,                372046,                    488,,                365948,                    337,,,                              5.85,,,                              5.83,,             15854268,                 -2186,                 -1812,                 -2712,                   -461
2731,2013年01月01日至2013年09月30日,,             12192124,,             10440424,              1751700,              1751700,,              1443260,                308440,,,                 46409,,                 12029,,                  2160,                 56278,                364718,,                 64233,                300485,                300485,,,,,,                   -588,                299897,,                299696,                    789,,                299159,                    738,,                              4.88,                              4.88,,                              4.86,                              4.86,,,                 -1130,                    542,,
2731,2013年01月01日至2013年06月30日,,              7192386,,              6087526,              1104860,              1104860,,                934478,                170382,,,                 34057,,                 -5395,,                  1524,                 27138,                197520,,                 34558,                162962,                162962,,,,,,                 -1453,                161509,,                162061,                    901,,                160605,                    904,,                              2.65,                              2.65,,                              2.64,                              2.64,,,                   -439,                 -1014,,
2731,2013年01月01日至2013年03月31日,,              3198284,,              2657146,                541138,                541138,,                440239,                100899,,,                 14926,,                 -5887,,                    785,                  8254,                109153,,                 20324,                 88829,                 88829,,,,,,                  4878,                 93707,,                 88778,                     51,,                 93555,                    152,,,                              1.45,,,                              1.45,,              3198284,                  1146,                  3732,,
2731,2012年07月01日至2012年09月30日,,              4117098,,              3637253,                479845,                479845,,                442300,                 37545,,,                 21024,,                 -6273,,                    862,                 13889,                 51434,,                  9051,                 42383,                 42383,,,,,,                    400,                 42783,,                 41981,                    402,,                 42366,                    417,,                              0.69,                              0.69,,                              0.69,                              0.69,,,                    400,                              0,,
2731,2012年04月01日至2012年06月30日,,              3299170,,              2793977,                505193,                505193,,                490216,                 14977,,,                 13988,,                 -2956,,                    796,                 10236,                 25213,,                  4734,                 20479,                 20479,,,,,,                   -152,                 20327,,                 20112,                    367,,                 19979,                    348,,                              0.33,                              0.33,,                              0.33,                              0.33,,,                   -152,                              0,,
2731,2012年01月01日至2012年12月31日,,             13348212,,             11477830,              1870382,              1870382,,              1743129,                127253,,,                 62538,,                -18462,,                  3302,                 40774,                168027,,                 29869,                138158,                138158,,,,,,                 -5903,                132255,,                137935,                    223,,                132050,                    205,,,                              2.39,,,                              2.38,,             13348212,                 -4197,                  7200,                -10730,                 -1824
2731,2012年01月01日至2012年09月30日,,             10221714,,              8820113,              1401601,              1401601,,              1314740,                 86861,,,                 54843,,                -17566,,                  2502,                 34775,                121636,,                 22877,                 98759,                 98759,,,,,,                 -1558,                 97201,,                 98418,                    341,,                 96870,                    331,,                              1.74,                              1.74,,                              1.74,                              1.74,,,                 -1558,                              0,,
2731,2012年01月01日至2012年06月30日,,              6164735,,              5208245,                956490,                956490,,                907174,                 49316,,,                 33819,,                -11293,,                  1640,                 20886,                 70202,,                 13826,                 56376,                 56376,,,,,,                 -1958,                 54418,,                 56437,                    -61,,                 54504,                    -86,,                              1.04,                              1.04,,                              1.04,                              1.04,,,                 -1958,                              0,,
2731,2012年01月01日至2012年03月31日,,              2865565,,              2414268,                451297,                451297,,                416958,                 34339,,,                 19831,,                 -8337,,                    844,                 10650,                 44989,,                  9092,                 35897,                 35897,,,,,,                 -1806,                 34091,,                 36325,                   -428,,                 34525,                   -434,,,                              0.76,,,                              0.76,,              2865565,                 -1806,                              0,,
