證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1305,2015年第3季,,,              2964122,              2964122,,,              2657969,              2657969,                306153,                306153,,,                172967,,                 65676,,                 11792,                250435,                 55718,,,                  6626,,                 67611,,                  7747,                  7747,,                 -4269,                 62221,                117939,,                 15488,                102451,,                -19244,                 83207,,,                 33046,                   -217,,                    101,                  2639,                  2740,                  5618,                 29951,                 29951,                113158,,                 83276,                    -69,,                113218,                    -60,,                              0.22,                             -0.04,                              0.18,,                              0.22,                             -0.04,                              0.18,,,,,,,,,,,,
1305,2015年第2季,,,              3684854,              3684854,,,              3087930,              3087930,                596924,                596924,,,                185315,,                 57215,,                 12247,                254777,                342147,,,                 11537,,                 -4275,,                  8474,                  8474,,                   -997,                 -2209,                339938,,                 64212,                275726,,                 -7013,                268713,,,                 -8510,                   -803,,                   -283,                 -6825,                 -7108,                 -1447,                -14974,                -14974,                253739,,                252632,                 16081,,                237702,                 16037,,                              0.55,                             -0.01,                              0.54,,                              0.55,                             -0.01,                              0.54,,,,,,,,,,,,
1305,2015年01月01日至2015年09月30日,,,             10310043,             10310043,,,              8904573,              8904573,              1405470,              1405470,,,                566288,,                188530,,                 36329,                791147,                614323,,,                 23853,,                 56903,,                 23671,                 23671,,                 -8445,                 48640,                662963,,                108379,                554584,,                -32871,                521713,,,                 15496,                 -1681,,                   -746,                 -9830,                -10576,                  2634,                    605,                    605,                522318,,                497601,                 24112,,                498281,                 24037,,                              1.13,                             -0.07,                              1.06,,                              1.13,                             -0.07,                              1.06,,,,,,,,,,,,
1305,2015年01月01日至2015年06月30日,,,              7345921,              7345921,,,              6246604,              6246604,              1099317,              1099317,,,                393321,,                122854,,                 24537,                540712,                558605,,,                 17227,,                -10708,,                 15924,                 15924,,                 -4176,                -13581,                545024,,                 92891,                452133,,                -13627,                438506,,,                -17550,                 -1464,,                   -847,                -12469,                -13316,                 -2984,                -29346,                -29346,                409160,,                414325,                 24181,,                385063,                 24097,,                              0.91,                             -0.03,                              0.88,,                              0.91,                             -0.03,                              0.88,,,,,,,,,,,,
1305,2015年01月01日至2015年03月31日,,,              3661067,              3661067,,,              3158674,              3158674,                502393,                502393,,,                208006,,                 65639,,                 12290,                285935,                216458,,,                  5690,,                 -6433,,                  7450,                  7450,,                 -3179,                -11372,                205086,,                 28679,                176407,,                 -6614,                169793,,,                 -9040,                   -661,,                   -564,                 -5644,                 -6208,                 -1537,                -14372,                -14372,                155421,,                161693,                  8100,,                147361,                  8060,,                              0.36,                             -0.01,                              0.35,,                              0.36,                             -0.01,                              0.35,,                              0,                              0,,,,,,,,,
1305,2014年第3季,,,              3633713,              3633713,,,              3338725,              3338725,                294988,                294988,,,                180272,,                 70444,,                 12138,                262854,                 32134,,,                  8158,,                 32872,,                  7214,                  7214,,                  1540,                 35356,                 67490,,                 12834,                 54656,,                 -7000,                 47656,,,                 12563,                   -715,,                    325,                -10473,                -10148,                  2136,                   -436,                   -436,                 47220,,                 44805,                  2851,,                 44425,                  2795,,                              0.11,                             -0.01,                              0.10,,                              0.11,                             -0.01,                              0.10,,,,,,,,,,,,
1305,2014年第2季,,,              4177709,              4177709,,,              3879618,              3879618,                298091,                298091,,,                207369,,                 60876,,                 11701,                279946,                 18145,,,                 11756,,                -31534,,                  7627,                  7627,,                  2924,                -24481,                 -6336,,                 12572,                -18908,,                 -6351,                -25259,,,                -13792,                   -199,,                   -364,                  2823,                  2459,                 -2344,                 -9188,                 -9188,                -34447,,                -21769,                 -3490,,                -30980,                 -3467,,                             -0.03,                             -0.02,                             -0.05,,                             -0.03,                             -0.02,                             -0.05,,,,,,,,,,,,
1305,2014年度,,,             14559831,             14559831,,,             13422934,             13422934,              1136897,              1136897,,,                734826,,                258575,,                 47187,              1040588,                 96309,,,                 38717,,                 47196,,                 29884,                 29884,,                  2154,                 58183,                154492,,                  5531,                148961,,                -26566,                122395,,,,,,,,,,,                  3337,                125732,,                118906,                  3489,,                122933,                  2799,,                              0.31,                             -0.06,                              0.25,,                              0.31,                             -0.06,                              0.25,,                              0,,                 40721,                   -374,                -29470,,                  1050,                 -6114,                    321,                 -4743,                  2797
1305,2014年01月01日至2014年09月30日,,,             11339985,             11339985,,,             10312291,             10312291,              1027694,              1027694,,,                570031,,                195644,,                 35308,                800983,                226711,,,                 28934,,                 17812,,                 21935,                 21935,,                  3933,                 28744,                255455,,                 49965,                205490,,                -21189,                184301,,,                 11481,                 -1223,,                    313,                -13515,                -13202,                  1952,                 -4896,                 -4896,                179405,,                177076,                  7225,,                172252,                  7153,,                              0.42,                             -0.04,                              0.38,,                              0.42,                             -0.04,                              0.38,,,,,,,,,,,,
1305,2014年01月01日至2014年06月30日,,,              7706272,              7706272,,,              6973566,              6973566,                732706,                732706,,,                389759,,                125200,,                 23170,                538129,                194577,,,                 20776,,                -15060,,                 14721,                 14721,,                  2393,                 -6612,                187965,,                 37131,                150834,,                -14189,                136645,,,                 -1082,                   -508,,                    -12,                 -3042,                 -3054,                   -184,                 -4460,                 -4460,                132185,,                132271,                  4374,,                127827,                  4358,,                              0.31,                             -0.03,                              0.28,,                              0.31,                             -0.03,                              0.28,,,,,,,,,,,,
