證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）
4164,2015年第3季,,                598054,,                400141,                197913,                197913,,,                 31025,,                 37371,                 68396,                129517,,,                  1568,,                -20596,,                 16282,                -35310,                 94207,,                 22691,                 71516,                 71516,,,                 12324,                 21537,                  4679,                 29182,                 29182,                100698,,                 67548,                  3968,,                 96730,                  3968,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,
4164,2015年第2季,,                723542,,                485002,                238540,                238540,,,                 31644,,                 49998,                 81642,                156898,,,                  1686,,                -14960,,                 17969,                -31243,                125655,,                 20450,                105205,                105205,,,                 -3947,                 -2301,                   -948,                 -5300,                 -5300,                 99905,,                101072,                  4133,,                 95772,                  4133,,                              0.78,                              0.78,,                              0.77,                              0.77,,,,
4164,2015年01月01日至2015年09月30日,,              1627193,,              1113051,                514142,                514142,,,                 81877,,                201921,                283798,                230344,,,                  6595,,                -30248,,                 49118,                -72771,                157573,,                 37073,                120500,                120500,,,                  4799,                -56713,                 -5991,                -45923,                -45923,                 74577,,                128370,                 -7870,,                 82447,                 -7870,,                              0.98,                              0.98,,                              0.98,                              0.98,,,,
4164,2015年01月01日至2015年06月30日,,              1029139,,                712910,                316229,                316229,,,                 50852,,                164550,                215402,                100827,,,                  5027,,                 -9652,,                 32836,                -37461,                 63366,,                 14382,                 48984,                 48984,,,                 -7525,                -78250,                -10670,                -75105,                -75105,                -26121,,                 60822,                -11838,,                -14283,                -11838,,                              0.47,                              0.47,,                              0.46,                              0.46,,,,
4164,2015年01月01日至2015年03月31日,,                305597,,                227908,                 77689,                 77689,,,                 19208,,                114552,                133760,                -56071,,,                  3341,,                  5308,,                 14867,                 -6218,                -62289,,                 -6068,                -56221,                -56221,,,                 -3578,                -75949,                 -9722,                -69805,                -69805,               -126026,,                -40250,                -15971,,               -110055,                -15971,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,,,,
4164,2014年第3季,,                410647,,                276339,                134308,                134308,,,                 31576,,                 35899,                 67475,                 66833,,,                    191,,                -11763,,                 10950,                -22522,                 44311,,                  7896,                 36415,                 36415,,,                  6649,                -53547,                  8265,                -55163,                -55163,                -18748,,                 36852,                   -437,,                -18311,                   -437,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,
4164,2014年第2季,,                522179,,                372764,                149415,                149415,,,                 21910,,                 36711,                 58621,                 90794,,,                    647,,                 14328,,                  9828,                  5147,                 95941,,                 11216,                 84725,                 84725,,,                 -3039,                100384,                   -516,                 97861,                 97861,                182586,,                 85383,                   -658,,                183244,                   -658,,                              0.66,                              0.66,,                              0.61,                              0.61,,,,
4164,2014年度,,              2091026,,              1484277,                606749,                606749,,,                 95402,,                137901,                233303,                373446,,,                  7689,,                -15830,,                 40897,                -49038,                324408,,                 60615,                263793,                263793,,,,,,,                -19222,                244571,,                265766,                 -1973,,                246544,                 -1973,,                              2.04,                              2.04,,                              2.03,                              2.03,                 12496,                -32049,                   -331,
4164,2014年01月01日至2014年09月30日,,              1355300,,                961983,                393317,                393317,,,                 74496,,                105685,                180181,                213136,,,                  6400,,                 -3446,,                 30166,                -27212,                185924,,                 28881,                157043,                157043,,,                  3254,                 47872,                  7688,                 43438,                 43438,                200481,,                158561,                 -1518,,                201999,                 -1518,,                              1.22,                              1.22,,                              1.21,                              1.21,,,,
4164,2014年01月01日至2014年06月30日,,                944653,,                685644,                259009,                259009,,,                 42920,,                 69786,                112706,                146303,,,                  6209,,                  8317,,                 19216,                 -4690,                141613,,                 20985,                120628,                120628,,,                 -3395,                101419,                   -577,                 98601,                 98601,                219229,,                121709,                 -1081,,                220310,                 -1081,,                              0.94,                              0.94,,                              0.90,                              0.90,,,,
