證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2485,2013年度,,              8373594,,              6782366,              1591228,              1591228,,,                332286,,                308563,,                276988,                917837,                673391,,,                 65520,,                163806,,                  4391,,                 -2321,                222614,                896005,,                150149,                745856,                745856,,,,,                 46007,                791863,,                773690,                -27834,,                819659,                -27796,,                              2.44,                              2.44,,                              2.42,                              2.42,                 45906,                     65,                   -611,                   -647
2485,2013年07月01日至2013年09月30日,,              2408561,,              1950571,                457990,                457990,,,                 82772,,                 65345,,                 66824,                214941,                243049,,,                 22464,,                -41558,,                  1164,,                    -11,                -20269,                222780,,                 62329,                160451,                160451,,,,,                 -9294,                151157,,                165388,                 -4937,,                156094,                 -4937,,                              0.52,                              0.52,,                              0.52,                              0.52,                 -8398,                   -896,,                              0
2485,2013年04月01日至2013年06月30日,,              2163300,,              1737828,                425472,                425472,,,                 80153,,                 71524,,                 72501,                224178,                201294,,,                 15429,,                 25786,,                  1039,,                   -544,                 39632,                240926,,                 15933,                224993,                224993,,,,,                 13150,                238143,,                229760,                 -4767,,                242910,                 -4767,,                              0.72,                              0.72,,                              0.72,                              0.72,                 13228,                    -93,,                    -15
2485,2013年01月01日至2013年12月31日,,              8373594,,              6782366,              1591228,              1591228,,,                332286,,                308563,,                276988,                917837,                673391,,,                 65520,,                163806,,                  4391,,                 -2321,                222614,                896005,,                150149,                745856,                745856,,,,,                 46007,                791863,,                773690,                -27834,,                819659,                -27796,,                              2.44,                              2.44,,                              2.42,                              2.42,                 45906,                     65,                   -611,                   -647
2485,2013年01月01日至2013年09月30日,,              6174632,,              5008230,              1166402,              1166402,,,                231554,,                195953,,                206766,                634273,                532129,,,                 50933,,                 94994,,                  3224,,                 -1189,                141514,                673643,,                112702,                560941,                560941,,,,,                 33055,                593996,,                576187,                -15246,,                609242,                -15246,,                              1.81,                              1.81,,                              1.80,                              1.80,                 32459,                    249,,                   -347
2485,2013年01月01日至2013年06月30日,,              3766071,,              3057659,                708412,                708412,,,                148782,,                130608,,                139942,                419332,                289080,,,                 28469,,                136552,,                  2060,,                 -1178,                161783,                450863,,                 50373,                400490,                400490,,,,,                 42349,                442839,,                410799,                -10309,,                453148,                -10309,,                              1.29,                              1.29,,                              1.28,                              1.28,                 40857,                  1145,,                   -347
2485,2013年01月01日至2013年03月31日,,              1602771,,              1319831,                282940,                282940,,,                 68629,,                 59084,,                 67441,                195154,                 87786,,,                 13040,,                110766,,                  1021,,                   -634,                122151,                209937,,                 34440,                175497,                175497,,,,,                 29199,                204696,,                181039,                 -5542,,                210238,                 -5542,,                              0.57,                              0.57,,                              0.56,                              0.56,                 27629,                  1238,,                   -332
2485,2012年07月01日至2012年09月30日,,              2164384,,              1735454,                428930,                428930,,,                 74352,,                 54571,,                 68191,                197114,                231816,,,                 24242,,                -87352,,                  1855,,                   -299,                -65264,                166552,,                 28772,                137780,                137780,,,,,                -12511,                125269,,                144375,                 -6595,,                131864,                 -6595,,                              0.45,                              0.45,,                              0.45,                              0.45,                -12474,                    -45,,                     -8
2485,2012年04月01日至2012年06月30日,,              2130565,,              1759956,                370609,                370609,,,                 66218,,                 65833,,                 73590,                205641,                164968,,,                 14714,,                 31878,,                  1666,,                   -363,                 44563,                209531,,                 35405,                174126,                174126,,,,,                  7096,                181222,,                178787,                 -4661,,                185883,                 -4661,,                              0.56,                              0.56,,                              0.56,                              0.56,                  7669,                   -690,,                   -117
2485,2012年01月01日至2012年12月31日,,              7848570,,              6424025,              1424545,              1424545,,,                272001,,                239924,,                281207,                793132,                631413,,,                162214,,               -188907,,                  7375,,                 -4425,                -38493,                592920,,                110214,                482706,                482706,,,,,                -25789,                456917,,                513998,                -31292,,                487841,                -30924,,                              1.62,                              1.62,,                              1.61,                              1.61,                -29872,                  3124,                  1649,                    690
2485,2012年01月01日至2012年09月30日,,              6351488,,              5160180,              1191308,              1191308,,,                207886,,                190617,,                212398,                610901,                580407,,,                132867,,               -140061,,                  5431,,                 -1169,                -13794,                566613,,                101726,                464887,                464887,,,,,                -28237,                436650,,                480865,                -15978,,                452628,                -15978,,                              1.51,                              1.51,,                              1.50,                              1.50,                -28832,                    717,,                    122
2485,2012年01月01日至2012年06月30日,,              4187104,,              3424726,                762378,                762378,,,                133534,,                136046,,                144207,                413787,                348591,,,                108625,,                -52709,,                  3576,,                   -870,                 51470,                400061,,                 72954,                327107,                327107,,,,,                -15726,                311381,,                336490,                 -9383,,                320764,                 -9383,,                              1.06,                              1.06,,                              1.05,                              1.05,                -16358,                    762,,                    130
2485,2012年01月01日至2012年03月31日,,              2056539,,              1664770,                391769,                391769,,,                 67316,,                 70213,,                 70617,                208146,                183623,,,                 93911,,                -84587,,                  1910,,                   -507,                  6907,                190530,,                 37549,                152981,                152981,,,,,                -22822,                130159,,                157703,                 -4722,,                134881,                 -4722,,                              0.50,                              0.50,,                              0.49,                              0.49,                -24027,                  1452,,                    247
