證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2377,2015年第3季,,             22544227,,             19058852,              3485375,              3485375,,,              1127340,,                341434,,                787923,              2256697,              1228678,,,                158787,,                -54215,,                  1156,,                              0,                103416,              1332094,,                188148,              1143946,              1143946,,,                441651,                441651,                441651,              1585597,,              1143946,,              1585597,,                              1.35,,                              1.34,,,,,,,,
2377,2015年第2季,,             18427145,,             16004311,              2422834,              2422834,,,                966667,,                241502,,                704340,              1912509,                510325,,,                110532,,                -53985,,                  5318,,                    405,                 51634,                561959,,                  7178,                554781,                554781,,,                -94482,                -94482,                -94482,                460299,,                554781,,                460299,,                              0.66,,                              0.65,                              0,                              0,,,,,,
2377,2015年01月01日至2015年09月30日,,             61209045,,             52147698,              9061347,              9061347,,,              3167616,,                798098,,              2266394,              6232108,              2829239,,,                365169,,               -153066,,                 13927,,                   -479,                197697,              3026936,,                379639,              2647297,              2647297,,,                203636,                203636,                203636,              2850933,,              2647297,,              2850933,,                              3.13,,                              3.09,,,,,,,,
2377,2015年01月01日至2015年06月30日,,             38664818,,             33088846,              5575972,              5575972,,,              2040276,,                456664,,              1478471,              3975411,              1600561,,,                206382,,                -98851,,                 12771,,                   -479,                 94281,              1694842,,                191491,              1503351,              1503351,,,               -238015,               -238015,               -238015,              1265336,,              1503351,,              1265336,,                              1.78,,                              1.75,                              0,                              0,,,,,,
2377,2015年01月01日至2015年03月31日,,             20237673,,             17084535,              3153138,              3153138,,,              1073609,,                215162,,                774131,              2062902,              1090236,,,                 95850,,                -44866,,                  7453,,                   -884,                 42647,              1132883,,                184313,                948570,                948570,,,,,               -143533,                805037,,                948570,,                805037,,                              1.12,,                              1.11,                              0,                              0,,               -143533,               -143533,,,
2377,2014年第3季,,             21695171,,             18808740,              2886431,              2886431,,,              1102955,,                186191,,                722304,              2011450,                874981,,,                114037,,               -134653,,                  8839,,                    604,                -28851,                846130,,                140871,                705259,                705259,,,                150621,                150621,                150621,                855880,,                705259,,                855880,,                              0.83,,                              0.83,,,,,,,,
2377,2014年第2季,,             20903091,,             18268612,              2634479,              2634479,,,              1025443,,                137886,,                632726,              1796055,                838424,,,                 84225,,                 14839,,                  8681,,                  1246,                 91629,                930053,,                135965,                794088,                794088,,,               -157300,               -157300,               -157300,                636788,,                794088,,                636788,,                              0.94,,                              0.93,                              0,                              0,,,,,,
2377,2014年度,,             84901773,,             73387333,             11514440,             11514440,,,              4412360,,                773023,,              2735708,              7921091,              3593349,,,                500265,,               -469334,,                 47156,,                     46,                -16179,              3577170,,                563309,              3013861,              3013861,,,,,                270801,              3284662,,              3013861,,              3284662,,                              3.57,,                              3.53,                              0,                              0,,,,                281168,                -12490,                 -2123
2377,2014年01月01日至2014年09月30日,,             63193485,,             54642389,              8551096,              8551096,,,              3214796,,                559739,,              2046800,              5821335,              2729761,,,                353451,,               -133267,,                 23053,,                  1695,                198826,              2928587,,                459068,              2469519,              2469519,,,                 29576,                 29576,                 29576,              2499095,,              2469519,,              2499095,,                              2.92,,                              2.89,,,,,,,,
2377,2014年01月01日至2014年06月30日,,             41498314,,             35833649,              5664665,              5664665,,,              2107909,,                377480,,              1324496,              3809885,              1854780,,,                239414,,                  1386,,                 14214,,                  1091,                227677,              2082457,,                318197,              1764260,              1764260,,,               -121045,               -121045,               -121045,              1643215,,              1764260,,              1643215,,                              2.09,,                              2.07,                              0,                              0,,,,,,
