證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 銷貨成本,　　 共同控制下前手權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　　 銷貨收入,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（綜合損益）,　　　 銷貨退回,　　　 銷貨折讓
3044,2015年第3季,,,,             11944209,             11944209,             11944209,,,              9920099,              9920099,              2024110,              2024110,,,                425388,,                559687,,                 38072,              1023147,,                              0,                              0,              1000963,,,                 96002,                 96002,,                115912,,                 31291,,                              0,                180623,              1181586,,                232765,                948821,                948821,,,              1435200,                243984,              1191216,              1191216,              2140037,,                948821,                              0,,              2140037,                              0,,                              1.81,                              1.81,,                              1.79,                              1.79,,,,,,,,,,,,
3044,2015年第2季,,,,,             10233359,             10233359,,,              8747120,              8747120,              1486239,              1486239,,,                451110,,                487292,,                 38000,                976402,,,,                509837,,,                170199,                170199,,                 92470,,                 38756,,                              0,                223913,                733750,,                211953,                521797,                521797,,,               -468926,                -79717,               -389209,               -389209,                132588,,                521797,,,                132588,                              0,,                              0.99,                              0.99,,                              0.98,                              0.98,              8747120,                              0,,,,,,,,,,
3044,2015年01月01日至2015年09月30日,,,,             32170467,             32170467,             32170467,,,             27227538,             27227538,              4942929,              4942929,,,              1296599,,              1563232,,                112945,              2972776,,                              0,                              0,              1970153,,,                394592,                394592,,                287309,,                107140,,                              0,                574761,              2544914,,                536621,              2008293,              2008293,,,                657333,                111747,                545586,                545586,              2553879,,              2008293,                              0,,              2553879,                              0,,                              3.82,                              3.82,,                              3.76,                              3.76,,,,,,,,,,,,
3044,2015年01月01日至2015年06月30日,,,,,             20226258,             20226258,,,             17307439,             17307439,              2918819,              2918819,,,                871211,,              1003545,,                 74873,              1949629,,,,                969190,,,                298590,                298590,,                171397,,                 75849,,                              0,                394138,              1363328,,                303856,              1059472,              1059472,,,               -777867,               -132237,               -645630,               -645630,                413842,,              1059472,,,                413842,                              0,,                              2.02,                              2.02,,                              1.99,                              1.99,             17307439,                              0,,,,,,,,,,
3044,2015年01月01日至2015年03月31日,,,,,              9992899,              9992899,,,              8560319,              8560319,              1432580,              1432580,,,                420101,,                516253,,                 36873,                973227,,,,                459353,,,,                128391,,                 78927,,                 37093,,                              0,                170225,                629578,,                 91903,                537675,                537675,,,               -308941,                -52520,               -256421,               -256421,                281254,,                537675,                              0,,                281254,                              0,,                              1.02,                              1.02,,                              1.01,                              1.01,,,,,,,,,,,,
3044,2014年第3季,,,,             11205218,             11205218,             11205218,,,              9351383,              9351383,              1853835,              1853835,,,                532398,,                512872,,                 40451,              1085721,,               -128791,               -128791,                639323,,,                266734,                266734,,                 66130,,                 35959,,                 -4540,                292365,                931688,,                144226,                787462,                787462,,,                771906,                131224,                640682,                640682,              1428144,,                787462,                              0,,              1428144,                              0,,                              1.50,                              1.50,,                              1.49,                              1.49,,,,,,,,,,,,
3044,2014年第2季,,,,,             10337899,             10337899,,,              8700050,              8700050,              1637849,              1637849,,,                467706,,                470952,,                 33705,                972363,,,,                665486,,,                148830,                148830,,                -47335,,                 32799,,                 -2314,                 66382,                731868,,                195917,                535951,                535951,,,               -480976,                -81766,               -399210,               -399210,                136741,,                526078,,,                126868,                  9873,,                              1.00,                              1.00,,                              0.99,                              0.99,              8700050,                  9873,,,,,,,,,,
3044,2014年度,,,,             42433278,             42433278,             42433278,,,             35771112,             35771112,              6662166,              6662166,,,              1899666,,              1912427,,                147783,              3959876,,               -128791,               -128791,              2573499,,,,                752900,,                 70975,,                137154,,                -20199,                666522,              3240021,,                584116,              2655905,              2655905,,,,,,              1005841,              3661746,,              2636872,                 19033,,              3642713,                 19033,,                              5.02,                              5.02,,                              4.95,                              4.95,,,              1229074,                              0,                -17216,               -206017,,,,,,
3044,2014年01月01日至2014年09月30日,,,,             31372922,             31372922,             31372922,,,             26415319,             26415319,              4957603,              4957603,,,              1420598,,              1377315,,                106531,              2904444,,               -128791,               -128791,              1924368,,,                547249,                547249,,                 24352,,                100603,,                -12437,                458561,              2382929,,                477302,              1905627,              1905627,,,                296936,                 50479,                246457,                246457,              2152084,,              1886594,                 19033,,              2133051,                 19033,,                              3.59,                              3.59,,                              3.55,                              3.55,,,,,,,,,,,,
3044,2014年01月01日至2014年06月30日,,,,,             20167704,             20167704,,,             17063936,             17063936,              3103768,              3103768,,,                888200,,                864443,,                 66080,              1818723,,,,              1285045,,,                280515,                280515,,                -41778,,                 64644,,                 -7897,                166196,              1451241,,                333076,              1118165,              1118165,,,               -474970,                -80745,               -394225,               -394225,                723940,,              1099132,,,                704907,                 19033,,                              2.09,                              2.09,,                              2.07,                              2.07,             17063936,                 19033,,,,,,,,,,
