證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2228,2015年第3季,,              1099670,,                748184,                351486,                351486,,,                 49302,,                 63958,,                 27749,                141009,                210477,,,                  4233,,                 40677,,                  2567,                 42343,                252820,,                 58476,                194344,                194344,,,                 65100,                 -7000,                 11067,                 47033,                 47033,                241377,,                194344,,                241377,,                              2.70,                              2.70,,                              2.69,                              2.69,,,,
2228,2015年第2季,,                901856,,                634073,                267783,                267783,,,                 46564,,                 56849,,                 28783,                132196,                135587,,,                  2978,,                 29501,,                    249,                 32230,                167817,,                 54774,                113043,                113043,,,                -10142,                 -2000,                 -1724,                -10418,                -10418,                102625,,                113043,,                102625,,                              1.57,                              1.57,,                              1.53,                              1.53,,,,
2228,2015年01月01日至2015年09月30日,,              2941688,,              2036866,                904822,                904822,,,                147150,,                176103,,                 79875,                403128,                501694,,,                  9331,,                 92097,,                  2883,                 98545,                600239,,                152529,                447710,                447710,,,                 -2666,                -25000,                   -453,                -27213,                -27213,                420497,,                447710,,                420497,,                              6.23,                              6.23,,                              6.22,                              6.22,,,,
2228,2015年01月01日至2015年06月30日,,              1842018,,              1288682,                553336,                553336,,,                 97848,,                112145,,                 52126,                262119,                291217,,,                  5098,,                 51420,,                    316,                 56202,                347419,,                 94053,                253366,                253366,,,                -67766,                -18000,                -11520,                -74246,                -74246,                179120,,                253366,,                179120,,                              3.53,                              3.53,,                              3.43,                              3.43,,,,
2228,2015年01月01日至2015年03月31日,,                940162,,                654609,                285553,                285553,,,                 51284,,                 55296,,                 23343,                129923,                155630,,,                  2120,,                 21919,,                     67,                 23972,                179602,,                 39279,                140323,                140323,,,                -57624,                -16000,                 -9796,                -63828,                -63828,                 76495,,                140323,,                 76495,,                              1.96,                              1.96,,                              1.96,                              1.96,,,,
2228,2014年第3季,,                989613,,                692513,                297100,                297100,,,                 47950,,                 65500,,                 23200,                136650,                160450,,,                  2772,,                 16698,,                              0,                 19470,                179920,,                 43355,                136565,                136565,,,                  5883,                              0,                  1000,                  4883,                  4883,                141448,,                136565,,                141448,,                              1.90,                              1.90,,                              1.90,                              1.90,,,,
2228,2014年第2季,,                809033,,                541712,                267321,                267321,,,                 43285,,                 61330,,                 22681,                127296,                140025,,,                  1355,,                 -5189,,                              0,                 -3834,                136191,,                 36754,                 99437,                 99437,,,                -27540,                              0,                 -4681,                -22859,                -22859,                 76578,,                 99437,,                 76578,,                              1.39,                              1.39,,                              1.39,                              1.39,,,,
2228,2014年度,,              3506989,,              2422852,              1084137,              1084137,,,                176869,,                247158,,                 90634,                514661,                569476,,,                  6192,,                 48658,,                              0,                 54850,                624326,,                137761,                486565,                486565,,,,,,,                 68396,                554961,,                486565,,                554961,,                              6.79,                              6.79,,                              6.78,                              6.78,                 60700,                 20000,                 -2392,                  9912
2228,2014年01月01日至2014年09月30日,,              2680592,,              1851198,                829394,                829394,,,                136201,,                184287,,                 66734,                387222,                442172,,,                  4886,,                 35744,,                              0,                 40630,                482802,,                119112,                363690,                363690,,,                 -4141,                              0,                   -704,                 -3437,                 -3437,                360253,,                363690,,                360253,,                              5.07,                              5.07,,                              5.07,                              5.07,,,,
2228,2014年01月01日至2014年06月30日,,              1690979,,              1158685,                532294,                532294,,,                 88251,,                118787,,                 43534,                250572,                281722,,,                  2114,,                 19046,,                              0,                 21160,                302882,,                 75757,                227125,                227125,,,                -10024,                              0,                 -1704,                 -8320,                 -8320,                218805,,                227125,,                218805,,                              3.17,                              3.17,,                              3.16,                              3.16,,,,
2228,2014年01月01日至2014年03月31日,,                881946,,                616973,                264973,                264973,,,                 44966,,                 57457,,                 20853,                123276,                141697,,,                    759,,                 24235,,                              0,                 24994,                166691,,                 39003,                127688,                127688,,,                 17516,                              0,                  2977,                 14539,                 14539,                142227,,                127688,,                142227,,                              1.78,                              1.78,,                              1.78,                              1.78,,,,
2228,2013年第3季,,                811902,,                600511,                211391,                211391,,,                 38454,,                 55148,,                 10818,                104420,                106971,,,                  1342,,                  6890,,                  1453,                  6779,                113750,,                 26993,                 86757,                 86757,,,,,,,                 -2668,                 84089,,                 86757,,                 84089,,                              1.33,                              1.33,,                              1.33,                              1.33,                 -3214,,,                   -546
2228,2013年第2季,,                718635,,                510186,                208449,                208449,,,                 43305,,                 54335,,                  8987,                106627,                101822,,,                   -757,,                 19356,,                     94,                 18505,                120327,,                 37410,                 82917,                 82917,,,,,,,                 20635,                103552,,                 82917,,                103552,,                              1.28,                              1.28,,                              1.28,                              1.28,                 24860,,,                  4225
2228,2013年度,,              3020479,,              2186128,                834351,                834351,,,                163026,,                220564,,                 53909,                437499,                396852,,,                  2609,,                 62250,,                  4941,                 59918,                456770,,                123635,                333135,                333135,,,,,,,                 77504,                410639,,                333135,,                410639,,                              5.09,                              5.09,,                              5.09,                              5.09,                 71792,                              0,                 20985,                 15273
2228,2013年07月01日至2013年09月30日,,                811902,,                600511,                211391,                211391,,,                 38454,,                 55148,,                 10818,                104420,                106971,,,                  1342,,                  6890,,                  1453,                  6779,                113750,,                 26993,                 86757,                 86757,,,,,,,                 -2668,                 84089,,                 86757,,                 84089,,                              1.33,                              1.33,,                              1.33,                              1.33,                 -3214,,,                   -546
