證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
6197,2013年第3季,,              1233901,,                966822,                267079,                267079,,,                 91337,,                 54391,,                 26353,                172081,                 94998,,,                 12501,,                -26106,,                  2495,,                 -1253,                -17353,                 77645,,                  9596,                 68049,                 68049,,,,,,,,                -19166,                 48883,,                 69767,                 -1718,,                 50943,                 -2060,,                              0.40,                              0.40,,                              0.40,                              0.40,                -12780,                 -5870,,,                   -516,
6197,2013年第2季,,              1087976,,                884038,                203938,                203938,,,                 84546,,                 47827,,                 24687,                157060,                 46878,,,                  7681,,                 -3207,,                  2495,,                     43,                  2022,                 48900,,                 12620,                 36280,                 36280,,,,,,,,                 24177,                 60457,,                 38313,                 -2033,,                 59498,                    959,,                              0.22,                              0.22,,                              0.22,                              0.22,                 27209,                 -2519,,,                   -513,
6197,2013年度,,              4474155,,              3652245,                821910,                821910,,,                335323,,                202136,,                 98855,                636314,                185596,,,                 29714,,                 14084,,                  9984,,                 -3184,                 30630,                216226,,                 46488,                169738,                169738,,,,,,,,                 79758,                249496,,                168036,                  1702,,                247558,                  1938,,                              0.97,                              0.97,,                              0.97,                              0.97,                 82599,                  1426,                 -5148,,                              0,                   -881
6197,2013年07月01日至2013年09月30日,,              1233901,,                966822,                267079,                267079,,,                 91337,,                 54391,,                 26353,                172081,                 94998,,,                 12501,,                -26106,,                  2495,,                 -1253,                -17353,                 77645,,                  9596,                 68049,                 68049,,,,,,,,                -19166,                 48883,,                 69767,                 -1718,,                 50943,                 -2060,,                              0.40,                              0.40,,                              0.40,                              0.40,                -12780,                 -5870,,,                   -516,
6197,2013年04月01日至2013年06月30日,,              1087976,,                884038,                203938,                203938,,,                 84546,,                 47827,,                 24687,                157060,                 46878,,,                  7681,,                 -3207,,                  2495,,                     43,                  2022,                 48900,,                 12620,                 36280,                 36280,,,,,,,,                 24177,                 60457,,                 38313,                 -2033,,                 59498,                    959,,                              0.22,                              0.22,,                              0.22,                              0.22,                 27209,                 -2519,,,                   -513,
6197,2013年01月01日至2013年12月31日,,              4474155,,              3652245,                821910,                821910,,,                335323,,                202136,,                 98855,                636314,                185596,,,                 29714,,                 14084,,                  9984,,                 -3184,                 30630,                216226,,                 46488,                169738,                169738,,,,,,,,                 79758,                249496,,                168036,                  1702,,                247558,                  1938,,                              0.97,                              0.97,,                              0.97,                              0.97,                 82599,                  1426,                 -5148,,,                   -881
6197,2013年01月01日至2013年09月30日,,              3186234,,              2568047,                618187,                618187,,,                242750,,                154688,,                 74312,                471750,                146437,,,                 27672,,                  9152,,                  7486,,                 -2987,                 26351,                172788,,                 40541,                132247,                132247,,,,,,,,                 55753,                188000,,                139699,                 -7452,,                191074,                 -3074,,                              0.81,                              0.81,,                              0.80,                              0.80,                 61992,                 -4870,,,                 -1369,
6197,2013年01月01日至2013年06月30日,,              1952333,,              1601225,                351108,                351108,,,                151413,,                100297,,                 47959,                299669,                 51439,,,                 15171,,                 35258,,                  4991,,                 -1734,                 43704,                 95143,,                 30945,                 64198,                 64198,,,,,,,,                 74919,                139117,,                 69932,                 -5734,,                140131,                 -1014,,                              0.40,                              0.40,,                              0.40,                              0.40,                 74772,                  1000,,,                   -853,
6197,2013年01月01日至2013年03月31日,,                864357,,                717187,                147170,                147170,,,                 66867,,                 52470,,                 23272,                142609,                  4561,,,                  7490,,                 38465,,                  2496,,                 -1777,                 41682,                 46243,,                 18325,                 27918,                 27918,,,,,,,,                 50742,                 78660,,                 31619,                 -3701,,                 80633,                 -1973,,                              0.18,                              0.18,,                              0.18,                              0.18,                 47563,                  3519,,,                   -340,
6197,2012年07月01日至2012年09月30日,,              1016920,,                813099,                203821,                203821,,,                 37346,,                 86738,,                 25766,                149850,                 53971,,,                 18544,,                -39871,,                  2495,,                 -2301,                -26123,                 27848,,                 13413,                 14435,                 14435,,,,,,,,                 -3242,                 11193,,                 16027,                 -1592,,                 13708,                 -2515,,                              0.09,                              0.09,,                              0.09,                              0.09,                -16041,                 12882,,,                    -83,
6197,2012年04月01日至2012年06月30日,,              1003171,,                833062,                170109,                170109,,,                 45334,,                 92798,,                 26041,                164173,                  5936,,,                  4379,,                 11587,,                  2496,,                 -2182,                 11288,                 17224,,                    -45,                 17269,                 17269,,,,,,,,                  1156,                 18425,,                 17461,                   -192,,                 17991,                    434,,                              0.10,                              0.10,,                              0.10,                              0.10,                 10307,                 -9996,,,                    845,
6197,2012年01月01日至2012年12月31日,,              3952817,,              3242635,                710182,                710182,,,                161998,,                350603,,                103641,                616242,                 93940,,,                 79062,,                -78454,,                  9984,,                 -7142,                -16518,                 77422,,                 15510,                 61912,                 61912,,,,,,,,                -20594,                 41318,,                 68462,                 -6550,,                 57000,                -15682,,                              0.39,                              0.39,,                              0.39,                              0.39,                -52060,                 31271,                    235,,,                     40
6197,2012年01月01日至2012年09月30日,,              2920617,,              2405309,                515308,                515308,,,                113373,,                268435,,                 77790,                459598,                 55710,,,                 50688,,                -54557,,                  7487,,                 -6178,                -17534,                 38176,,                 14887,                 23289,                 23289,,,,,,,,                -12207,                 11082,,                 27079,                 -3790,,                 16924,                 -5842,,                              0.16,                              0.16,,                              0.16,                              0.16,                -37932,                 25970,,,                   -245,
6197,2012年01月01日至2012年06月30日,,              1903697,,              1592210,                311487,                311487,,,                 76027,,                181697,,                 52024,                309748,                  1739,,,                 32144,,                -14686,,                  4992,,                 -3877,                  8589,                 10328,,                  1474,                  8854,                  8854,,,,,,,,                 -8965,                   -111,,                 11052,                 -2198,,                  3216,                 -3327,,                              0.06,                              0.06,,                              0.06,                              0.06,                -21891,                 13088,,,                   -162,
6197,2012年01月01日至2012年03月31日,,                900526,,                759148,                141378,                141378,,,                 30693,,                 88899,,                 25983,                145575,                 -4197,,,                 27765,,                -26273,,                  2496,,                 -1695,                 -2699,                 -6896,,                  1519,                 -8415,                 -8415,,,,,,,,                -10121,                -18536,,                 -6409,                 -2006,,                -14775,                 -3761,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                -33205,                 23084,,,,
