證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 其他營業成本,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1710,2015年第3季,,,              3543787,,                 31201,              3574988,,,              3267676,              3267676,                307312,                307312,,,                103774,,                 55108,,                 33782,                192664,                114648,,,,                  5726,                  7955,                 74602,                 98323,                186606,,                  1673,               -381693,                 -2333,                 33532,               -415885,,                 20608,                 20608,,                282640,               -282640,               -532527,               -417879,,                -46160,               -371719,               -371719,,,                155911,               -164920,,                 65693,                 56684,                 56684,               -315035,,               -234779,               -136940,,               -246018,                -69017,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,,,,
1710,2015年第2季,,,              4068415,,                  1841,              4070256,,,              3322691,              3322691,                747565,                747565,,,                 96426,,                 89940,,                 39211,                225577,                521988,,,,                 15205,                 10153,,                 90980,                116338,,                              0,                 11867,                 -1587,                 79154,                -68874,,                 19845,                 19845,,                 66005,                -66005,                -38386,                483602,,                 87792,                395810,                395810,,,                -66620,               -105283,,                -29047,               -200950,               -200950,                194860,,                410945,                -15135,,                238274,                -43414,,,                              0.47,,,                              0.47,                              0,,,,,,,,
1710,2015年01月01日至2015年09月30日,,,             10450565,,                 34631,             10485196,,,              9200596,              9200596,              1284600,              1284600,,,                269038,,                236525,,                105335,                610898,                673702,,,,                 40205,                 27321,                 88804,                190038,                346368,,                 62664,               -366848,                 -4550,                122713,               -431447,,                 62158,                 62158,,                447722,               -447722,               -594959,                 78743,,                 17177,                 61566,                 61566,,,                -16328,               -290651,,                 -9577,               -316556,               -316556,               -254990,,                222637,               -161071,,                -88494,               -166496,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,,
1710,2015年01月01日至2015年06月30日,,,              6906778,,                  3430,              6910208,,,              5932920,              5932920,                977288,                977288,,,                165264,,                181417,,                 71553,                418234,                559054,,,,                 34479,                 19366,,                105917,                159762,,                 60991,                 14845,                 -2217,                 89181,                -15562,,                 41550,                 41550,,                165082,               -165082,                -62432,                496622,,                 63337,                433285,                433285,,,               -172239,               -125731,,                -75270,               -373240,               -373240,                 60045,,                457416,                -24131,,                157524,                -97479,,,                              0.52,,,                              0.52,                              0,,,,,,,,
1710,2015年01月01日至2015年03月31日,,,              2838363,,                  1589,              2839952,,,              2610229,              2610229,                229723,                229723,,,                 68838,,                 91477,,                 32342,                192657,                 37066,,,,                 19274,                  9213,,                 14937,                 43424,,                 60991,                  2978,                   -630,                 10027,                 53312,,                 21705,                 21705,,                 99077,                -99077,                -24046,                 13020,,                -24455,                 37475,                 37475,,,               -105619,                -20448,,                -46223,               -172290,               -172290,               -134815,,                 46471,                 -8996,,                -80750,                -54065,,                              0.05,                              0.05,,                              0.05,                              0.05,                              0,,,,,,,,
1710,2014年第3季,,,              3280249,,                  9885,              3290134,,,              3065354,              3065354,                224780,                224780,,,                 86071,,                 80577,,                 33461,                200109,                 24671,,,,                 20557,                  7871,                 59281,                 29654,                117363,,                 83144,                  8249,                 -6100,                  5725,                 79568,,                 17366,                 17366,,                 68547,                -68547,                111018,                135689,,                  4154,                131535,                131535,,,                175146,               -182814,,                 82513,                 74845,                 74845,                206380,,                150317,                -18782,,                151765,                 54615,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,
1710,2014年第2季,,,              3848518,,                  9970,              3858488,,,              3514638,              3505736,                352752,                352752,,,                 89886,,                 80997,,                 33657,                204540,                148212,,,,                 14630,                  7851,,                 17757,                 40238,,                 20361,                  6366,                  1127,                  7308,                 20546,,                 15255,                 15255,,                112097,               -112097,                -66568,                 81644,,                 18094,                 63550,                 63550,,,               -113092,                234699,,                -64017,                 57590,                 57590,                121140,,                 73408,                 -9858,,                176968,                -55828,,,                              0.08,,,                              0.08,                 -8902,,,,,,,,
1710,2014年度,,,             14108791,,                 17543,             14126334,,,             12961399,             12961399,              1164935,              1164935,,,                348423,,                298001,,                132812,                779236,                385699,,,,                 65243,                 37621,                 74775,                103380,                281019,,                181273,                 26135,                  9293,                 71451,                145250,,                 68712,                 68712,,                700215,               -700215,               -342658,                 43041,,                -20322,                 63363,                 63363,,,,,,,,                520840,                584203,,                115882,                -52519,,                481285,                102918,,,                              0.13,,,                              0.13,,,                              0,                372588,                -20160,                -14111,,                180124,                 -2399
1710,2014年01月01日至2014年09月30日,,,             10732995,,                 19855,             10752850,,,              9780194,              9780194,                972656,                972656,,,                249812,,                195557,,                101725,                547094,                425562,,,,                 45587,                 25864,                 60108,                 70002,                201561,,                126297,                    379,                  6873,                 18556,                114993,,                 46773,                 46773,,                427809,               -427809,               -158028,                267534,,                 23818,                243716,                243716,,,                 38963,                 15237,,                 30559,                 84759,                 84759,                328475,,                272634,                -28918,,                342928,                -14453,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,
1710,2014年01月01日至2014年06月30日,,,              7452746,,                  9970,              7462716,,,              6714840,              6714840,                747876,                747876,,,                163741,,                114980,,                 68264,                346985,                400891,,,,                 25030,                 17993,,                 41175,                 84198,,                 43153,                 -7870,                 12973,                 12831,                 35425,,                 29407,                 29407,,                359262,               -359262,               -269046,                131845,,                 19664,                112181,                112181,,,               -136183,                198051,,                -51954,                  9914,                  9914,                122095,,                122317,                -10136,,                191163,                -69068,,,                              0.14,,,                              0.14,                              0,,,,,,,,
