證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 手續費收入,　　　　 手續費收入合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 利息費用
2536,2015年第3季,,,                  7339,,,              1076141,                    440,              1075701,              1075701,              1083040,,,                    205,,                691874,                691874,                692079,                390961,                390961,,,                 23077,,                 11828,                 34905,                356056,,,                 16505,,                 -9159,,                  7754,,                 -6682,                 -7090,                348966,,                 15633,                333333,                333333,,,                 17330,                 -1597,                              0,                 15733,                 15733,                349066,,                              1.00,,                              1.00,,,,,,,,,,,,
2536,2015年第2季,,,                  7419,,,                751912,                  1569,                750343,                750343,                757762,,,                    437,,                476804,                476804,                477241,                280521,                280521,,,                 47853,,                 18885,                 66738,                213783,,,                 11508,,                 -1484,,                  9455,,                 -4820,                 -4251,                209532,,                 44286,                165246,                165246,,,                 -6478,                 -2283,,                 -8761,                 -8761,                156485,,                              0.50,,                              0.49,,,,,,,,,,,,
2536,2015年01月01日至2015年09月30日,,,                 22126,,,              4284479,                  2778,              4281701,              4281701,              4303827,,,                    920,,              2806263,              2806263,              2807183,              1496644,              1496644,,,                120456,,                 43740,                164196,              1332448,,,                 28875,,                -10977,,                 28717,,                -13835,                -24654,              1307794,,                 83718,              1224076,              1224076,,,                  5644,                 -4717,                              0,                    927,                    927,              1225003,,                              3.68,,                              3.66,,,,,,,,,,,,
2536,2015年01月01日至2015年06月30日,,,                 14787,,,              3208338,                  2338,              3206000,              3206000,              3220787,,,                    715,,              2114389,              2114389,              2115104,              1105683,              1105683,,,                 97379,,                 31912,                129291,                976392,,,                 12370,,                 -1818,,                 20963,,                 -7153,                -17564,                958828,,                 68085,                890743,                890743,,,                -11686,                 -3120,,                -14806,                -14806,                875937,,                              2.68,,                              2.66,,,,,,,,,,,,
2536,2015年01月01日至2015年03月31日,,,                  7368,,,              2456426,                    769,              2455657,              2455657,              2463025,,,                    278,,              1637585,              1637585,              1637863,                825162,                825162,,,                 49526,,                 13027,                 62553,                762609,,,                    862,,                   -334,,                 11508,,                 -2333,                -13313,                749296,,                 23799,                725497,                725497,,,                 -5208,                   -837,,                 -6045,                 -6045,                719452,,                              2.18,,                              2.17,,                    325,                    537,,,,,,,,,
2536,2014年第3季,,,                 11172,,,                651017,                    292,                650725,                650725,                661897,,,                    228,,                299081,                299081,                299309,                362588,                362588,,,                 68859,,                 12754,                 81613,                280975,,,                  2835,,                 -9297,,                 30432,,                 -1314,                -38208,                242767,,                 22603,                220164,                220164,,,                 11125,                    151,                              0,                 11276,                 11276,                231440,,                              0.66,,                              0.66,,,,,,,,,,,,
2536,2014年第2季,,,                 10678,,,                448230,                    363,                447867,                447867,                458545,,,                  1234,,                279420,                279420,                280654,                177891,                177891,,,                137610,,                 10260,                147870,                 30021,,,                 10204,,                -20450,,                 21386,,                   -571,                -32203,                 -2182,,                 14198,                -16380,                -16380,,,                 -9074,                 -1445,,                -10519,                -10519,                -26899,,                             -0.05,,                             -0.05,,,,,,,,,,,,
2536,2014年度,,,                 39488,,,              4468996,                  8504,              4460492,              4460492,              4499980,,,                  2344,,,              2739808,              2742152,              1757828,              1757828,,,                345001,,                 54952,                399953,              1357875,,,                 33322,,                -63292,,                 87154,,                 -4060,               -121184,              1236691,,                 98016,              1138675,              1138675,,,,,,,                  8639,              1147314,,                              3.46,,                              3.36,,,,                 98016,                 16431,                 -7792,,,,,,
2536,2014年01月01日至2014年09月30日,,,                 32470,,,              2443307,                  6659,              2436648,              2436648,              2469118,,,                  1932,,              1425064,              1425064,              1426996,              1042122,              1042122,,,                236304,,                 37654,                273958,                768164,,,                 13906,,                -30406,,                 97168,,                 -2720,               -116388,                651776,,                 76465,                575311,                575311,,,                    924,                 -7793,                              0,                 -6869,                 -6869,                568442,,                              1.76,,                              1.69,,,,,,,,,,,,
2536,2014年01月01日至2014年06月30日,,,                 21298,,,              1792290,                  6367,              1785923,              1785923,              1807221,,,                  1704,,              1125983,              1125983,              1127687,                679534,                679534,,,                167445,,                 24900,                192345,                487189,,,                 11071,,                -41993,,                 45852,,                 -1406,                -78180,                409009,,                 53862,                355147,                355147,,,                -10201,                 -7944,,                -18145,                -18145,                337002,,                              1.09,,                              1.04,,,,,,,,,,,,
