證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額
2358,2015年第3季,,                362930,,                407364,                -44434,                -44434,,,                 12512,,                  7550,                 20062,                -64496,,,                  1296,,                 -4986,,                  1583,                 -5273,                -69769,,                -11861,                -57908,                -57908,                -57908,,                             -0.68,,                             -0.68,,
2358,2015年第2季,,                361294,,                397218,                -35924,                -35924,,,                  8675,,                  7368,                 16043,                -51967,,,                    474,,                  4223,,                    864,                  3833,                -48134,,                 -8183,                -39951,                -39951,                -39951,,                             -0.47,,                             -0.47,,                361294
2358,2015年01月01日至2015年09月30日,,              1081755,,              1169892,                -88137,                -88137,,,                 38392,,                 21966,                 60358,               -148495,,,                  2563,,                  1942,,                  3546,                    959,               -147536,,                -13683,               -133853,               -133853,               -133853,,                             -1.57,,                             -1.57,,
2358,2015年01月01日至2015年06月30日,,                718825,,                762528,                -43703,                -43703,,,                 25880,,                 14416,                 40296,                -83999,,,                  1267,,                  6928,,                  1963,                  6232,                -77767,,                 -1822,                -75945,                -75945,                -75945,,                             -0.89,,                             -0.89,,                718825
2358,2014年第3季,,                486975,,                467280,                 19695,                 19695,,,                 10445,,                  6066,                 16511,                  3184,,,                    425,,                   -696,,                    867,                 -1138,                  2046,,                    348,                  1698,                  1698,                  1698,,                              0.02,,                              0.02,,
2358,2014年第2季,,                544643,,                523622,                 21021,                 21021,,,                  8892,,                  9097,                 17989,                  3032,,,                    648,,                  1721,,                    398,                  1971,                  5003,,                    850,                  4153,                  4153,                  4153,,                              0.05,,                              0.05,,                544643
2358,2014年01月01日至2014年09月30日,,              1353672,,              1312723,                 40949,                 40949,,,                 27186,,                 25667,                 52853,                -11904,,,                  1608,,                     55,,                  1725,                    -62,                -11966,,                   -842,                -11124,                -11124,                -11124,,                             -0.13,,                             -0.13,,
2358,2014年01月01日至2014年06月30日,,                866697,,                845443,                 21254,                 21254,,,                 16741,,                 19601,                 36342,                -15088,,,                  1183,,                    751,,                    858,                  1076,                -14012,,                 -1190,                -12822,                -12822,                -12822,,                             -0.15,,                             -0.15,,                866697
