證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
9927,2015年第3季,,              2574129,,              2434796,                139333,                139333,,,                 17837,,                 32728,                 50565,                 88768,,,                 30570,,                 -3202,,                  4077,                 23291,                112059,,                 21525,                 90534,                 90534,,,                 37359,                -41487,                 -4128,                 -4128,                 86406,,                 89868,                    666,,                 85740,                    666,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,
9927,2015年第2季,,              2675996,,              2372930,                303066,                303066,,,                 17520,,                 31889,                 49409,                253657,,,                 10602,,                -31864,,                  5122,                -26384,                227273,,                 60289,                166984,                166984,,,                -29782,                 50669,                 20887,                 20887,                187871,,                166168,                    816,,                187055,                    816,,                              0.79,                              0.79,,                              0.79,                              0.79,,,,
9927,2015年01月01日至2015年09月30日,,              7922920,,              7322100,                600820,                600820,,,                 54091,,                 96002,                150093,                450727,,,                 50178,,                -54465,,                 13217,                -17504,                433223,,                 94706,                338517,                338517,,,                -13021,                 -7513,                -20534,                -20534,                317983,,                336289,                  2228,,                315755,                  2228,,                              1.61,                              1.61,,                              1.61,                              1.61,,,,
9927,2015年01月01日至2015年06月30日,,              5348791,,              4887304,                461487,                461487,,,                 36254,,                 63274,                 99528,                361959,,,                 19608,,                -51263,,                  9140,                -40795,                321164,,                 73181,                247983,                247983,,,                -50380,                 33974,                -16406,                -16406,                231577,,                246421,                  1562,,                230015,                  1562,,                              1.18,                              1.18,,                              1.18,                              1.18,,,,
9927,2015年01月01日至2015年03月31日,,              2672795,,              2514374,                158421,                158421,,,                 18734,,                 31385,                 50119,                108302,,,                  9006,,                -19399,,                  4018,                -14411,                 93891,,                 12892,                 80999,                 80999,,,                -20598,                -16695,                -37293,                -37293,                 43706,,                 80253,                    746,,                 42960,                    746,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,
9927,2014年第3季,,              2665923,,              2335784,                330139,                330139,,,                 18549,,                 33848,                 52397,                277742,,,                 33731,,                  3603,,                  5088,                 32246,                309988,,                 58252,                251736,                251736,,,                 26326,                -52504,                -26178,                -26178,                225558,,                251107,                    629,,                224929,                    629,,                              1.20,                              1.20,,                              1.20,                              1.20,,,,
9927,2014年第2季,,              2606046,,              2358309,                247737,                247737,,,                 17634,,                 30083,                 47717,                200020,,,                  9073,,                -12370,,                  5163,                 -8460,                191560,,                 51628,                139932,                139932,,,                -33020,                -44310,                -77330,                -77330,                 62602,,                139370,                    562,,                 62040,                    562,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,
9927,2014年01月01日至2014年09月30日,,              7449859,,              6636482,                813377,                813377,,,                 53257,,                 86372,                139629,                673748,,,                 51128,,                  5406,,                 15693,                 40841,                714589,,                146252,                568337,                568337,,,                 16584,                 10602,                 27186,                 27186,                595523,,                566665,                  1672,,                593851,                  1672,,                              2.71,                              2.71,,                              2.71,                              2.71,,,,
9927,2014年01月01日至2014年06月30日,,              4783936,,              4300698,                483238,                483238,,,                 34708,,                 52524,                 87232,                396006,,,                 17397,,                  1803,,                 10605,                  8595,                404601,,                 88000,                316601,                316601,,,                 -9742,                 63106,                 53364,                 53364,                369965,,                315558,                  1043,,                368922,                  1043,,                              1.51,                              1.51,,                              1.51,                              1.51,,,,
9927,2014年01月01日至2014年03月31日,,              2177890,,              1942389,                235501,                235501,,,                 17074,,                 22441,                 39515,                195986,,,                  8324,,                 14173,,                  5442,                 17055,                213041,,                 36372,                176669,                176669,,,                 23278,                107416,                130694,                130694,                307363,,                176188,                    481,,                306882,                    481,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,
